Gene	Class	PDB chain	Coexpression	Seqid	Unique subunits
Apc	E	3qhe_A	0.226200	99.41	2
Upf1	E	2wjv_A	0.078500	99.38	2
Rdx	E	3x23_A	0.099200	99.36	2
Ripk3	E	4m69_A	0.296800	99.36	2
Tnpo3	E	4c0o_A	0.345000	99.35	2
Arpc5	E	4jd2_G	0.361314	99.34	8
Cdk5	E	1unl_A	0.144900	99.32	2
Sept7	E	2qag_C	0.246250	99.28	3
Ddx6	E	5anr_B	0.180450	99.21	3
Ap1g1	E	1w63_A	0.148500	99.19	4
Ipo13	E	3zjy_B	0.093200	99.17	3
Itsn1	E	3qbv_B	0.255400	99.15	2
Carm1	E	5dx1_A	0.160300	99.14	2
Rae1	E	4owr_A	0.226600	99.12	3
Otub1	E	3von_A	0.141350	99.12	3
Cab39	E	3gni_A	0.099700	99.12	2
Ppp1cb	E	1s70_A	0.296700	99.09	2
Hsp90aa1	E	2k5b_A	0.200100	99.05	2
Trio	E	2nz8_B	0.198700	99.04	2
U2af1	E	1jmt_A	0.210100	99.04	2
Arpc2	E	4jd2_D	0.358886	99.00	8
Rab11b	E	4ojk_A	0.021500	99.00	2
Cdk2	E	1okw_A	0.431100	98.99	3
Exoc2	E	1uad_C	0.226300	98.99	2
Sec23a	E	3egd_A	0.285550	98.95	4
Eif5b	E	4ujc_AB	0.166390	98.88	77
Snrpa1	E	1a9n_A	0.427700	98.86	2
Mapre1	E	1txq_B	0.131800	98.84	2
Pabpc1	E	2rqg_B	0.304900	98.80	2
Pik3ca	E	4l23_A	0.280100	98.69	2
Tsn	E	3qb5_A	0.028000	98.68	2
Vps35	E	2r17_C	0.341600	98.66	2
Araf	E	2mse_D	0.262800	98.63	3
Sept2	E	2qag_A	0.222150	98.61	3
Prkab1	E	4eak_B	0.127350	98.61	3
Clta	E	1xi4_J	0.396700	98.57	2
Src	E	3d7u_B	0.083600	98.56	2
Por	E	3wkt_A	0.171900	98.54	2
Nsf	E	3j96_A	0.181200	98.53	5
Arhgdia	E	4f38_B	0.257000	98.53	2
Ppfibp1	E	3tad_C	-0.024700	98.49	2
Puf60	E	2kxh_A	0.326000	98.49	2
Cdk12	E	4un0_C	0.051800	98.47	2
Gsn	E	4cbw_G	0.215200	98.43	2
Rad23b	E	2f4o_B	0.069000	98.36	3
Vps29	E	2r17_A	0.341600	98.36	2
Rheb	E	3t5g_A	0.136500	98.34	2
Dlg1	E	1rso_A	0.181900	98.33	2
Rab14	E	4d0g_A	0.043300	98.29	2
Serbp1	E	4v6x_Ah	0.344240	98.28	82
Rab8a	E	3qbt_A	0.007100	98.28	2
Rab21	E	2ot3_B	0.149900	98.24	2
Stk24	E	4o27_B	0.193400	98.22	3
Cul4b	E	4a0l_E	0.148000	98.21	4
Ppp1ca	E	3hvq_A	-0.026000	98.18	2
Arl3	E	3bh7_A	0.071700	98.17	2
Ptk2	E	3b71_A	-0.010400	98.15	2
Cul3	E	4eoz_B	0.284400	98.08	2
Nup54	E	3t98_A	0.447000	98.04	2
Cnot2	E	4c0d_B	0.233850	98.01	3
Hgs	E	3f1i_H	0.088100	97.96	2
Flna	E	2mtp_A	0.200800	97.89	3
Cct4	E	3iyg_D	0.478914	97.88	8
Upf3b	E	1uw4_A	0.318300	97.80	2
Kpna1	E	3tj3_A	0.299500	97.76	2
Nupl1	E	4jo7_A	0.447000	97.75	2
Timm9	E	2bsk_A	0.449400	97.75	2
Sos1	E	1xd2_C	0.045300	97.73	2
Rab1b	E	4hlq_B	0.227100	97.71	2
Stxbp1	E	4jeu_A	0.217500	97.63	2
