Gene	Class	PDB chain	Coexpression	Seqid	Unique subunits
PSMB4	N	4r3o_2	0.492685	100.00	14
PSMB1	N	4r3o_1	0.515415	100.00	14
NUP85	N	5a9q_8	0.382156	100.00	10
SNRPB	N	4pjo_B	0.391200	100.00	9
NCKAP1	N	4n78_B	0.196325	100.00	6
AP2B1	N	2xa7_B	0.301100	100.00	5
ITGAV	N	4o02_A	0.094300	100.00	4
PPP3R1	N	1m63_B	0.126500	100.00	4
KDM1A	N	2v1d_A	0.179600	100.00	3
INTS3	N	4owt_A	0.059200	100.00	3
ITGA5	N	4wk4_A	0.203900	100.00	3
DYNC1H1	N	3j1t_A	0.123750	100.00	3
ATP1B1	N	3b8e_B	0.128450	100.00	3
HDAC1	N	4bkx_B	0.192400	100.00	2
PDHB	N	3exe_B	0.344900	100.00	2
RQCD1	N	4ct7_B	0.345900	100.00	2
COL4A2	N	1li1_C	0.852300	100.00	2
GPS2	N	2l5g_A	0.166200	100.00	2
NCOR2	N	1kkq_E	0.132600	100.00	2
MARCKS	N	1iwq_B	0.157200	100.00	2
MSH6	N	2o8e_B	0.592500	99.80	2
HEXB	N	2gjx_B	0.394200	99.80	2
DDB1	N	2hye_A	0.246900	99.74	4
PLAUR	N	2fd6_U	0.476600	99.64	4
AP2S1	N	2xa7_S	0.384400	99.30	5
MYL9	N	3j04_B	0.326250	99.30	3
AP1M1	N	4p6z_M	0.155050	99.29	6
FARSA	N	3l4g_A	0.418200	99.02	2
RPL13A	N	4v6x_CO	0.648201	99.01	82
ANAPC5	N	4ui9_O	0.270121	98.94	18
ATP5B	N	2xnd_D	0.424680	98.93	6
RNPS1	N	4a8x_A	0.201600	98.86	3
MRPL28	N	3j9m_X	0.243563	98.83	81
COPS6	N	4wsn_F	0.335143	98.79	8
SMC4	N	4u4p_B	0.639900	98.79	2
CCT7	N	3iyg_H	0.588071	98.64	8
POLR2E	N	5flm_E	0.307218	98.57	12
CCT3	N	4b2t_G	0.588043	98.53	8
EIF3C	N	5a5t_C	0.091414	98.34	8
DLG1	N	1rso_A	0.360200	98.33	2
ARPC5	N	4jd2_G	0.457729	98.01	8
FN1	N	3ejh_A	0.509200	97.85	2
SNU13	N	3siv_A	0.302100	97.69	2
SDHB	N	3sfe_B	0.429867	97.62	4
CCT5	N	4b2t_E	0.562914	97.41	8
CCT6A	N	4b2t_Z	0.576529	97.18	8
SDHA	N	1zoy_A	0.284867	96.30	4
LIG3	N	3qvg_A	0.172000	95.51	2
RPS20	N	3jag_UU	0.604825	95.19	80
ATP5D	N	2xnd_H	0.295920	94.66	6
DIAPH1	N	1z2c_B	0.210100	94.26	2
MRPL37	N	3j9m_5	0.426061	94.09	81
GNAS	N	1u0h_C	0.207050	92.39	3
ATP5C1	N	2w6h_G	0.404050	91.95	5
UQCRC1	N	2ybb_A	0.304667	90.36	37
CD44	N	2zpy_B	0.181200	90.00	2
NRP1	N	4gza_H	0.115150	89.60	3
UQCRC2	N	1sqb_B	0.413325	89.40	11
MRPS7	N	5aj4_AG	0.444405	88.94	83
SUCLG2	N	4xx0_B	0.254800	88.35	2
ATP5H	N	2wss_U	0.439929	88.14	9
ATP5O	N	5ara_S	0.487610	86.84	11
RPL28	N	3jaj_r	0.491273	86.40	83
MYL6	N	1i84_T	0.089400	86.00	3
COX5B	N	2ybb_Q	0.395407	85.71	37
MRPL4	N	3iy9_D	0.394214	85.71	19
COX6B1	N	2y69_H	0.324533	84.88	13
RPS17	N	3jaj_SR	0.609327	84.50	83
EXOSC9	N	2nn6_A	0.267462	84.36	9
RPL27	N	3jaj_Z	0.590982	82.96	83
MYL1	N	2w4g_C	0.467050	82.76	3
POLR2A	N	5flm_A	0.071764	81.78	12
EIF3F	N	5a5t_F	0.433814	81.04	8
DRAP1	N	1jfi_A	0.130750	78.57	3
ATP5J	N	4b2q_V	0.487050	75.76	10
RPS21	N	3jaj_SV	0.587127	75.61	83
PSMC5	N	5a5b_J	0.171900	73.58	35
RPSA	U	3jaj_SA	0.570686	100.00	83
RPL12	U	3jaj_K	0.586349	100.00	83
RPL34	U	3jaj_g	0.534265	100.00	83
RPL22	U	3jaj_U	0.558050	100.00	83
RPS15	U	3jaj_SP	0.532356	100.00	83
SRP14	U	3jaj_S4	0.375386	100.00	83
RPL38	U	3jaj_k	0.536555	100.00	83
EEF2	U	4v6x_Az	0.468138	100.00	82
RPLP0	U	4v6x_Cq	0.597517	100.00	82
SERBP1	U	4v6x_Ah	0.308035	100.00	82
RPLP2	U	4v6x_Cu	0.571765	100.00	82
MRPS27	U	3j9m_AV	0.322501	100.00	81
MRPL38	U	3j9m_6	0.327217	100.00	81
MRPS9	U	3j9m_AG	0.376156	100.00	81
MRPL15	U	3j9m_M	0.426411	100.00	81
MRPL44	U	3j9m_c	0.340233	100.00	81
MRPS35	U	3j9m_A1	0.373468	100.00	81
MRPS22	U	3j9m_AR	0.345604	100.00	81
MRPL46	U	3j9m_e	0.403575	100.00	81
MRPS34	U	3j9m_A0	0.373811	100.00	81
MRPL47	U	3j9m_Y	0.371988	100.00	81
MRPL45	U	3j9m_d	0.322422	100.00	81
MRPS25	U	3j9m_AT	0.359769	100.00	81
MRPL11	U	3j9m_J	0.429339	100.00	81
MRPS6	U	3j9m_AE	0.237968	100.00	81
MRPS31	U	3j9m_AY	0.257478	100.00	81
MRPL41	U	3j9m_9	0.305922	100.00	81
MRPS12	U	3j9m_AJ	0.436694	100.00	81
MRPL50	U	3j9m_h	0.335317	100.00	81
MRPL9	U	3j9m_H	0.379194	100.00	81
MRPS33	U	3j9m_AZ	0.379172	100.00	81
RPS12	U	3jag_MM	0.595071	100.00	80
SEC61B	U	3jag_1	0.297204	100.00	80
LTN1	U	3j92_0	0.105926	100.00	47
DCTN2	U	5afu_d	0.208333	100.00	22
PSMA4	U	4r3o_C	0.490400	100.00	14
PSMA3	U	1iru_G	0.533100	100.00	14
PSMA7	U	4r3o_D	0.505300	100.00	14
PSMB2	U	1iru_K	0.501654	100.00	14
PSMB5	U	1iru_L	0.445723	100.00	14
PSMB6	U	1iru_H	0.482815	100.00	14
NUP155	U	5a9q_A	0.372489	100.00	10
NUP160	U	5a9q_1	0.374678	100.00	10
NUP107	U	5a9q_4	0.403611	100.00	10
NUP98	U	5a9q_5	0.278389	100.00	10
NUP37	U	5a9q_2	0.407344	100.00	10
SEC13	U	5a9q_6	0.188889	100.00	10
SNRPD2	U	4pjo_D	0.449486	100.00	9
SNRPE	U	4pjo_E	0.473914	100.00	9
SNRPA	U	3pgw_A	0.367433	100.00	9
EIF3E	U	5a5t_E	0.436957	100.00	8
ACTR3	U	4jd2_A	0.398357	100.00	8
EIF3M	U	5a5t_M	0.473100	100.00	8
ARPC3	U	3rse_E	0.404383	100.00	8
COPZ1	U	5a1v_F	0.340357	100.00	8
SRP54	U	2go5_W	0.262467	100.00	7
CYFIP1	U	4n78_A	0.150275	100.00	6
MTOR	U	5flc_B	0.140600	100.00	6
NCSTN	U	5fn3_A	0.248367	100.00	5
AP2M1	U	2jkr_M	0.344600	100.00	5
SYT1	U	5cci_E	0.182650	100.00	5
SKP1	U	1ldk_D	0.288067	100.00	5
XPO1	U	5dis_A	0.320650	100.00	4
CUL4A	U	2hye_C	0.256050	100.00	4
PPP2R1A	U	2nyl_A	0.191000	100.00	4
TUBB2B	U	4o4i_B	0.125533	100.00	4
EIF4A3	U	2j0s_A	0.321100	100.00	4
GNB1	U	3ah8_B	0.163400	100.00	4
F3	U	1fak_T	-0.051600	100.00	4
SUMO1	U	3uip_B	0.302700	100.00	4
CKS1B	U	2ast_C	0.347850	100.00	4
CASC3	U	3ex7_D	0.158367	100.00	4
MCM2	U	5bnx_C	0.339000	100.00	4
GTF2A1	U	1nvp_B	0.246400	100.00	4
XPO5	U	3a6p_A	0.411600	100.00	3
NCBP1	U	3fey_A	0.453650	100.00	3
PRMT5	U	4gqb_A	0.261400	100.00	3
CTNNB1	U	1t08_A	-0.040500	100.00	3
KIF5B	U	2p4n_K	0.110550	100.00	3
SAE1	U	1y8r_A	0.382900	100.00	3
CDK2	U	1okw_A	0.488100	100.00	3
ETFA	U	2a1t_R	0.346800	100.00	3
HUS1	U	3g65_C	0.135350	100.00	3
SEPT2	U	2qag_A	0.317200	100.00	3
VPS25	U	3cuq_C	0.279150	100.00	3
RANGAP1	U	2iy0_C	0.247250	100.00	3
RPA2	U	1l1o_B	0.424600	100.00	3
NFKB1	U	1nfi_B	0.361400	100.00	3
S100A13	U	2ki6_C	0.059150	100.00	3
S100A10	U	4ftg_A	0.409500	100.00	3
FLNA	U	2mtp_A	0.139150	100.00	3
PSIP1	U	3u88_C	0.161700	100.00	3
AIMP1	U	4r3z_A	0.304850	100.00	3
JUN	U	1s9k_E	0.269100	100.00	3
INCENP	U	2qfa_C	0.412250	100.00	3
DYNC1I2	U	2pg1_I	-0.155400	100.00	3
CD2AP	U	3aa6_C	0.161450	100.00	3
WASF2	U	2a40_C	0.114600	100.00	3
HNRNPC	U	3ln4_C	0.253550	100.00	3
STAG2	U	4pjw_A	0.421000	100.00	2
MSH2	U	3thw_A	0.316400	100.00	2
XRCC6	U	1jeq_A	0.554500	100.00	2
XRCC5	U	1jey_B	0.554500	100.00	2
JUP	U	3ifq_A	0.278100	100.00	2
EGFR	U	1ivo_A	-0.001500	100.00	2
DLD	U	1zy8_A	0.380000	100.00	2
KPNA1	U	4b18_A	-0.010400	100.00	2
EPHA2	U	3mx0_A	0.101500	100.00	2
EED	U	2qxv_A	0.354000	100.00	2
CAB39	U	3gni_A	0.025600	100.00	2
MAPKAPK2	U	4tyh_A	0.294200	100.00	2
GNAI3	U	2ihb_A	0.141300	100.00	2
UCHL5	U	4wlp_A	0.142200	100.00	2
PDCD4	U	2zu6_B	0.113400	100.00	2
CWC22	U	4c9b_B	0.118800	100.00	2
CCNB1	U	2jgz_B	0.473600	100.00	2
CTSB	U	3k9m_A	0.255500	100.00	2
SENP1	U	2iyd_A	0.243900	100.00	2
TP53BP1	U	1kzy_C	0.091200	100.00	2
LMAN1	U	3a4u_A	0.320300	100.00	2
TSNAX	U	3qb5_K	0.377700	100.00	2
CASC5	U	4nf9_A	0.255500	100.00	2
DDX19B	U	3fhc_B	0.074100	100.00	2
PRIM2	U	4rr2_B	0.471800	100.00	2
ANLN	U	4xoi_B	0.221300	100.00	2
CHP1	U	2e30_A	0.145200	100.00	2
SMAD2	U	1u7v_A	0.452100	100.00	2
SUN2	U	4fi9_A	0.125700	100.00	2
IST1	U	3jc1_Aa	0.111500	100.00	2
POLA1	U	4y97_B	0.467400	100.00	2
EPHA4	U	3gxu_A	0.204300	100.00	2
RND3	U	2v55_B	0.102200	100.00	2
IL1B	U	1itb_A	0.151200	100.00	2
GTF2F1	U	1f3u_B	0.169000	100.00	2
RANBP2	U	5cll_B	0.211600	100.00	2
TXNL4A	U	1syx_A	0.224300	100.00	2
PTK2	U	3b71_A	0.020100	100.00	2
SF3B6	U	2f9d_A	0.308800	100.00	2
PVR	U	3udw_C	-0.026400	100.00	2
U2AF2	U	2m0g_B	0.283800	100.00	2
HGS	U	3f1i_H	0.010800	100.00	2
MKI67	U	2aff_A	0.204900	100.00	2
SRSF1	U	4c0o_C	0.278200	100.00	2
APAF1	U	3ygs_C	0.117800	100.00	2
SNRPB2	U	1a9n_B	0.339200	100.00	2
DLAT	U	3crk_C	0.163500	100.00	2
RAD21	U	4pjw_B	0.421000	100.00	2
DCTN1	U	1txq_A	0.101600	100.00	2
TIMM10	U	2bsk_B	0.315200	100.00	2
MPP5	U	1y76_B	0.224200	100.00	2
BTF3	U	3lkx_A	0.673300	100.00	2
NACA	U	3mcb_A	0.673300	100.00	2
CASK	U	1y74_B	0.077400	100.00	2
SF3B1	U	2f9d_P	0.308800	100.00	2
NIFK	U	2aff_B	0.204900	100.00	2
ATP2B4	U	2kne_B	0.166300	100.00	2
BID	U	4bd2_C	0.200600	100.00	2
ACTN1	U	1ydi_B	0.379300	100.00	2
NUMA1	U	3ro2_B	0.077900	100.00	2
PAIP1	U	1jh4_B	0.132400	100.00	2
TLN1	U	1syq_B	0.223700	100.00	2
FUS	U	4fdd_B	0.351500	100.00	2
HNRNPA1	U	2h4m_C	0.226700	100.00	2
HEBP2	U	3r85_E	0.021000	100.00	2
SART1	U	4pyu_C	0.143400	100.00	2
TCF12	U	2knh_B	0.147100	100.00	2
HNRNPM	U	2ot8_C	0.288700	100.00	2
TPX2	U	4c3p_B	0.774000	100.00	2
ATXN2	U	3ktr_B	0.134800	100.00	2
POGZ	U	2n3a_A	0.312500	100.00	2
EIF4G3	U	1ejh_E	0.217400	100.00	2
TPT1	U	4z9v_C	0.089200	100.00	2
VPS51	U	4j2c_B	0.011800	100.00	2
DST	U	3gjo_E	0.140100	100.00	2
KHDRBS1	U	3qhe_B	0.232600	100.00	2
RBM39	U	4oo6_B	0.312000	100.00	2
UFD1L	U	5c1b_U	0.383300	100.00	2
PKN2	U	4rrv_B	0.303500	100.00	2
MAVS	U	4z8m_C	-0.004800	100.00	2
BUB1B	U	4ggd_C	0.788500	100.00	2
CLTC	U	1xi4_A	0.248100	99.94	2
TNPO1	U	1qbk_B	0.423000	99.89	2
TFRC	U	1de4_C	0.246050	99.84	3
HEXA	U	2gjx_A	0.394200	99.80	2
PDIA3	U	3f8u_A	0.242000	99.79	2
ITGB1	U	4wk4_B	0.203900	99.78	3
SEC61A1	U	5a6u_A	0.349850	99.78	3
SNRNP200	U	4kit_B	0.557400	99.77	2
HSPA8	U	2qwo_A	0.073000	99.75	2
EIF4A1	U	2zu6_A	0.113400	99.74	2
ACTR1A	U	5afu_A	0.293200	99.73	22
ARPC2	U	4jd2_D	0.439957	99.67	8
MSH3	U	3thw_B	0.316400	99.67	2
GLMN	U	4f52_E	0.210150	99.66	3
CDK5	U	1unl_A	0.026200	99.66	2
NFKB2	U	3do7_B	0.645700	99.66	2
ANAPC1	U	4ui9_A	0.239729	99.64	18
CCNK	U	5efq_B	0.271700	99.63	2
PSPC1	U	3sde_A	0.511000	99.62	2
NONO	U	3sde_B	0.511000	99.62	2
PSMA6	U	4r3o_A	0.501900	99.59	14
SMC2	U	4u4p_A	0.639900	99.57	2
CDC20	U	4ggd_A	0.788500	99.54	2
RPL10	U	5aj0_AI	0.586554	99.53	79
SMC3	U	2wd5_B	0.479000	99.53	2
EIF5B	U	4ujc_AB	0.169517	99.52	77
RPL18	U	4v6x_CQ	0.610897	99.47	82
ILF2	U	4at7_A	0.494200	99.45	2
RHEB	U	3t5g_A	0.270200	99.45	2
ARPC4	U	3rse_F	0.381183	99.40	8
PPP2R2A	U	3dw8_B	0.222550	99.33	4
OCRL	U	3qbt_B	0.066100	99.29	2
LGMN	U	4n6n_A	0.035400	99.28	2
DDX6	U	5anr_B	0.151450	99.21	3
PLCB3	U	3ohm_B	0.023900	99.21	2
POLR2I	U	5flm_I	0.313527	99.20	12
CTNNA2	U	4ons_A	0.019900	99.19	2
ANAPC7	U	5a31_X	0.247042	99.17	18
SEH1L	U	5a9q_7	0.390900	99.17	10
GPS1	U	4d18_A	0.244786	99.17	8
H2AFY	U	2f8n_G	0.063600	99.17	6
AP1B1	U	4hmy_B	0.146775	99.15	5
CTNND1	U	3l6x_A	0.421200	99.14	2
MCM6	U	2le8_A	0.495900	99.12	2
COPS2	U	4d18_B	0.257114	99.11	8
EIF3L	U	5a5t_L	0.417986	99.11	8
PITRM1	U	4nge_A	0.117500	99.11	3
EIF3K	U	5a5t_K	0.363443	99.08	8
PRKAA1	U	4rer_A	0.154550	99.07	3
COPS3	U	4d18_C	0.329271	99.06	8
TRIO	U	2nz8_B	0.169400	99.04	2
DCUN1D1	U	4p5o_E	0.271100	99.00	4
RCC1	U	1i2m_B	0.415800	99.00	2
PRKAR1A	U	4x6r_B	0.189500	98.97	2
PDHA1	U	1ni4_A	0.344900	98.90	2
VPS4B	U	4u7y_A	0.289600	98.89	2
SNRPA1	U	1a9n_A	0.339200	98.86	2
CSNK1A1	U	5fqd_C	0.278500	98.83	3
ATP1A1	U	3wgu_A	0.174500	98.82	3
ERCC4	U	1z00_B	0.034000	98.81	2
PSMC4	U	2dvw_B	0.251200	98.80	2
ATP5A1	U	2xnd_A	0.386100	98.78	6
MET	U	4o3u_B	0.050900	98.55	3
PDCD10	U	4geh_A	0.246700	98.55	2
CTNNA1	U	1dow_A	0.186300	98.54	2
FMNL3	U	4eah_A	0.005900	98.51	2
SAP18	U	4a8x_C	0.201600	98.46	3
COPA	U	3mkr_B	0.299700	98.44	2
PPIB	U	3ici_A	0.013000	98.40	2
CDK4	U	3g33_A	0.120900	98.38	2
RAD23B	U	2f4o_B	0.356100	98.36	3
VPS33A	U	4bx9_A	0.087500	98.35	2
COPB2	U	5a1v_D	0.340457	98.34	8
RAB14	U	4d0g_A	0.193900	98.29	2
HSPBP1	U	1xqs_A	-0.053400	98.21	2
COPS7A	U	4d18_G	0.200000	98.20	8
CCT2	U	4b2t_B	0.579486	98.13	8
OBSL1	U	3knb_B	0.149500	98.13	2
COPS8	U	4d18_H	0.347871	98.12	8
COPG1	U	3tjz_B	0.277000	98.03	3
EIF3H	U	5a5t_H	0.416214	98.01	8
CCT4	U	3iyg_D	0.626757	97.88	8
PRPF8	U	4kit_C	0.557400	97.84	2
COPB1	U	5a1v_G	0.315343	97.73	8
H2AFV	U	3waa_C	0.069567	97.71	4
GATAD2A	U	2l2l_A	0.155700	97.67	2
ANXA2	U	4hre_A	0.279950	97.64	3
PDGFRB	U	3mjg_X	0.263800	97.58	2
SF3A3	U	2dt7_A	0.341700	97.37	2
CBX1	U	2fmm_A	0.254400	97.30	2
FKBP5	U	4drh_A	0.094000	97.22	2
ATOX1	U	2k1r_B	-0.024300	97.06	2
SDCBP	U	1ybo_A	0.131500	96.99	2
FASN	U	2cg5_B	0.005800	96.70	2
SUPT4H1	U	3h7h_A	0.051300	96.67	2
ILF3	U	4at7_B	0.494200	96.61	2
SEMA3A	U	4gza_G	0.069200	96.47	3
PPP3CB	U	4or9_A	0.196500	96.32	2
ASH2L	U	5f6k_A	0.049500	96.20	4
VAPA	U	2rr3_A	0.272500	96.15	2
STK4	U	4oh8_A	0.284500	96.08	2
SUCLG1	U	2fp4_A	0.254800	96.07	2
PDHX	U	1zy8_K	0.380000	96.07	2
UBL5	U	4pyu_A	0.143400	96.05	2
TUFM	U	1xb2_A	0.361400	95.84	2
MCFD2	U	3lcp_C	0.320300	95.70	2
CPSF6	U	3q2s_C	0.405800	95.63	2
EIF3A	U	5a5t_A	0.312557	95.52	8
PPFIBP1	U	3tad_C	0.068900	95.47	2
EXOSC2	U	2nn6_H	0.400000	95.13	9
MYLK	U	1cdl_E	0.111500	95.00	2
HSPD1	U	4pj1_A	0.741600	94.80	2
MYO1C	U	4r8g_E	0.216600	94.63	2
VAMP3	U	3rl0_A	-0.017433	94.59	5
GLYR1	U	4gur_B	0.333100	94.35	3
SYMPK	U	3o2q_A	0.174200	94.30	2
SQSTM1	U	4mjs_B	0.319800	94.23	2
COPE	U	3mkr_A	0.299700	93.47	2
CYC1	U	2ybb_D	0.311633	93.36	37
ETFB	U	1t9g_S	0.213750	92.94	3
SPTAN1	U	2fot_C	0.209800	92.86	2
UQCRFS1	U	2ybb_E	0.337873	92.35	37
SPAG9	U	2w83_C	0.262700	92.21	2
PLEC	U	4q57_B	0.124800	91.80	2
ATP5F1	U	2wss_T	0.489057	91.38	9
STAT2	U	2ka4_B	0.286900	91.23	2
MME	U	2yvc_D	0.058800	90.91	2
STX7	U	1gl2_B	0.257167	90.77	4
SSU72	U	3o2s_B	0.174200	90.65	2
CYCS	U	2ybb_Y	0.302660	90.38	37
CLTA	U	1xi4_J	0.248100	88.57	2
SAMHD1	U	4z8l_C	0.090200	86.44	3
APBB2	U	2roz_B	0.124300	86.03	2
TSFM	U	1xb2_B	0.361400	85.91	2
CPSF7	U	3n9u_C	0.095800	85.90	2
KIAA0101	U	4d2g_D	0.639400	85.71	2
KIF13B	U	3fm8_A	0.126100	85.48	2
FUBP1	U	2kxh_B	0.274200	83.87	2
GNB2L1	U	3jaj_Sg	0.557218	83.71	83
SYNE1	U	4dxr_B	0.225200	82.86	2
COX4I1	U	2y69_D	0.302311	82.84	13
MLPH	U	2zet_C	0.318700	81.70	2
BAG5	U	3a8y_C	0.017600	75.35	2
OSBP	U	2rr3_B	0.272500	72.34	2
GOLGA2	U	4rey_B	0.200500	71.88	2
DYNLT1	U	3fm7_A	0.085500	71.17	3
ARHGDIA	U	1hh4_D	0.311300	71.08	2
SRP9	E	3jaj_S1	0.293246	100.00	83
RPS23	E	4v6x_AX	0.612221	100.00	82
RPLP1	E	4v6x_Cs	0.576691	100.00	82
MRPS5	E	3j9m_AD	0.312010	100.00	81
MRPL43	E	3j9m_b	0.373868	100.00	81
ABCE1	E	3jag_jj	0.245261	100.00	80
GSPT1	E	4d61_i	0.189463	100.00	35
EIF1	E	4kzy_l	0.333674	100.00	35
EIF1AX	E	4kzy_n	0.234710	100.00	35
PSMB7	E	4r3o_I	0.529977	100.00	14
POLR2G	E	5flm_G	0.297500	100.00	12
EFTUD1	E	5anb_K	0.110900	100.00	11
NUP133	E	5a9q_3	0.386333	100.00	10
NUP43	E	5a9q_0	0.325478	100.00	10
SNRPD1	E	3cw1_B	0.565800	100.00	9
ACTR2	E	4jd2_B	0.436714	100.00	8
ETF1	E	5a8l_Q	0.227167	100.00	5
PPP2R5C	E	3fga_B	0.179200	100.00	5
CUL1	E	1ldk_B	0.224533	100.00	5
RBX1	E	1ldk_C	0.265933	100.00	5
SEC23A	E	3egd_A	0.392000	100.00	4
TUBA1B	E	4i4t_A	0.177167	100.00	4
PPP3CA	E	1m63_A	0.155100	100.00	4
PPP2CA	E	2nyl_C	0.257350	100.00	4
GINS3	E	2eho_D	0.509733	100.00	4
GINS2	E	2e9x_B	0.582167	100.00	4
PPIA	E	1m63_C	0.135400	100.00	4
ASF1B	E	5bnx_D	0.338250	100.00	4
GINS1	E	2e9x_A	0.584100	100.00	4
SEC22B	E	3egd_C	0.382000	100.00	4
TCEB1	E	4wqo_C	0.216700	100.00	4
RBM8A	E	2hyi_B	0.379900	100.00	4
SUMO2	E	3uio_B	0.258933	100.00	4
SNAP29	E	4wy4_D	0.172850	100.00	4
RBBP5	E	5f6k_D	0.165550	100.00	4
CAND1	E	1u6g_C	0.292050	100.00	3
SEC24A	E	2nup_B	0.387200	100.00	3
NAE1	E	1r4m_A	0.276150	100.00	3
LDLR	E	3p5c_L	0.192400	100.00	3
TUBA1A	E	4x1i_A	0.151200	100.00	3
UBA3	E	3gzn_B	0.231700	100.00	3
FNTB	E	1tn6_B	0.229700	100.00	3
RPA1	E	1l1o_C	0.409250	100.00	3
RAP1B	E	4hdq_B	0.166850	100.00	3
ARF6	E	4fme_C	0.389700	100.00	3
RB1	E	1o9k_B	-0.008600	100.00	3
UBE2N	E	4dhj_C	0.255900	100.00	3
GSN	E	3cjc_G	0.095800	100.00	3
TES	E	2xqn_T	0.313850	100.00	3
RPA3	E	1l1o_A	0.383450	100.00	3
TGFB1	E	3kfd_A	0.132050	100.00	3
TCEB2	E	4w9c_A	0.185300	100.00	3
ADRM1	E	4wlr_B	0.127900	100.00	3
NEDD8	E	1r4m_I	0.172050	100.00	3
CDCA8	E	2qfa_B	0.576850	100.00	3
MAPRE1	E	3tq7_A	0.088950	100.00	3
CREB1	E	2lxt_C	0.392450	100.00	3
VASP	E	2pbd_V	0.074900	100.00	3
HLTF	E	4hre_G	-0.064850	100.00	3
TNPO3	E	4ol0_B	0.313500	100.00	2
KPNB1	E	2p8q_A	0.149500	100.00	2
UPF1	E	2wjv_A	0.180900	100.00	2
VCP	E	5c1b_A	0.383300	100.00	2
SEMA7A	E	3nvq_A	0.008400	100.00	2
POLA2	E	4y97_A	0.467400	100.00	2
RBBP4	E	4pc0_A	0.256200	100.00	2
GPHN	E	1t3e_A	0.131700	100.00	2
TRMT6	E	5ccb_B	0.144000	100.00	2
PRKACA	E	3vqh_A	-0.003900	100.00	2
ACTB	E	3b63_L	0.518800	100.00	2
CSNK2A1	E	1jwh_A	0.354900	100.00	2
MAT2A	E	4ndn_A	0.243200	100.00	2
USP14	E	2ayo_A	0.213700	100.00	2
GNAI1	E	4g5q_A	0.071300	100.00	2
RASA1	E	1wq1_G	-0.024900	100.00	2
MSN	E	1sgh_A	-0.038400	100.00	2
CPA4	E	2bo9_A	-0.049800	100.00	2
VPS35	E	2r17_C	0.302100	100.00	2
CDK1	E	4yc6_A	0.651500	100.00	2
TRMT61A	E	5ccx_A	0.144000	100.00	2
CNOT7	E	4gmj_B	0.266800	100.00	2
UPF2	E	1uw4_B	0.450300	100.00	2
