struc	unq	tot	sym	p1	p1score	p1cls	p2	p2score	p2cls	int
1ul1	2	6	A	P17918	0.999971	N	P17918	0.999971	N	1443.4
1us7	2	2	M	P11499	0.3473193	U	Q61081	0.07601824	E	1125.7
1uw4	2	2	M	Q3ULL6	0.01070585	E	A2AT37	0.5160594	U	2135.5
1vyh	2	4	C2	Q61206	0.9398851	N	P63005	0.1047037	U	1165.8
1vyh	2	4	C2	Q61206	0.9398851	N	Q61206	0.9398851	N	2252.3
1w63	4	4	M	P35585	0.02035983	E	P61967	0.09146523	E	816.0
1w63	4	4	M	Q9DBG3	0.9999999	N	P35585	0.02035983	E	6136.5
1w63	4	4	M	Q9DBG3	0.9999999	N	P61967	0.09146523	E	1200.6
1w63	4	4	M	P22892	0.1818659	U	Q9DBG3	0.9999999	N	2949.6
1w63	4	4	M	P22892	0.1818659	U	P61967	0.09146523	E	6152.7
1w63	4	4	M	P22892	0.1818659	U	P35585	0.02035983	E	1101.9
1wrd	2	2	M	O88746	6.01e-06	E	P62983	0.9926568	N	1129.7
1xb2	2	2	M	Q8BFR5	0.4135468	U	Q9CZR8	0.797035	U	3235.7
1xd3	2	2	M	Q9JKB1	0.09692966	E	P62983	0.9926568	N	2295.2
1xqs	2	2	M	Q99P31	0.9990109	N	Q61696	0.1129992	U	2395.9
1y8r	3	3	M	Q9Z1F9	0.5042732	U	P63166	0.1458069	U	2196.8
1y8r	3	3	M	Q9R1T2	0.9919579	N	P63166	0.1458069	U	16.5
1y8r	3	3	M	Q9R1T2	0.9919579	N	Q9Z1F9	0.5042732	U	4835.6
1z2c	2	4	C2	Q62159	0.1567608	U	Q6NS79	0.006258643	E	2491.0
1z2c	2	4	C2	Q62159	0.1567608	U	Q62159	0.1567608	U	302.3
1zoq	2	2	M	P70671	0.005910676	E	B2RWS6	0.4043153	U	1750.8
2ast	3	3	M	Q9WTX5	0.5044863	U	A0A087WQ11	0.0769602	E	2966.4
2ast	3	3	M	A0A087WQ11	0.0769602	E	P61025	0.01863796	E	1864.3
2b2w	2	3	A	P40201	0.2222945	U	P40201	0.2222945	U	2514.3
2bf8	2	2	M	P61087	0.9166687	N	P63166	0.1458069	U	485.8
2brq	2	4	C2	B7FAU9	0.4455253	U	B7FAU9	0.4455253	U	256.1
2bsk	2	6	C	Q9WV98	0.03439087	E	P62073	3.18e-06	E	2624.3
2bsk	2	6	C	P62073	3.18e-06	E	P62073	3.18e-06	E	80.7
2bsk	2	6	C	Q9WV98	0.03439087	E	Q9WV98	0.03439087	E	34.5
2c1m	2	2	M	P52293	0.998789	N	Q9JIH2	0.3243638	U	4472.2
2c35	2	2	M	Q9D7M8	0.002899287	E	P62488	0.9832116	N	3389.6
2cly	3	3	M	Q9CQQ7	0.9156653	N	G3X9L6	0.9255733	N	5531.7
2cly	3	3	M	Q9CQQ7	0.9156653	N	P97450	0.997681	N	2933.8
2cly	3	3	M	G3X9L6	0.9255733	N	P97450	0.997681	N	993.0
2dt7	2	2	M	Q9D554	0.9527811	N	Q8K4Z5	0.8444119	U	1283.3
2dwz	2	2	M	Q9Z2X2	2.13e-06	E	P54775	0.9975995	N	2414.8
2dx5	2	2	M	Q91XD6	1.47e-05	E	P62983	0.9926568	N	977.5
2f5z	2	3	A	O08749	0.9788222	N	Q8BKZ9	0.5988228	U	933.3
2f5z	2	3	A	O08749	0.9788222	N	O08749	0.9788222	N	7704.7
2f8n	6	8	-	P62806	0.9367234	N	Q6ZWY9	0.264898	U	1013.2
2f8n	6	8	-	P62806	0.9367234	N	Q8CGP6	0.913338	N	804.4
2f8n	6	8	-	P84228	0.02762913	E	Q8CGP6	0.913338	N	1310.7
2f8n	6	8	-	P62806	0.9367234	N	Q9QZQ8	0.6701912	U	754.2
2f8n	6	8	-	P84228	0.02762913	E	Q9QZQ8	0.6701912	U	1299.2
2f8n	6	8	-	Q6ZWY9	0.264898	U	Q8CGP6	0.913338	N	5133.4
2f8n	6	8	-	Q6ZWY9	0.264898	U	Q9QZQ8	0.6701912	U	107.3
2f8n	6	8	-	P84228	0.02762913	E	Q6ZWY9	0.264898	U	0.0
2f8n	6	8	-	P62806	0.9367234	N	P62806	0.9367234	N	0.0
2f8n	6	8	-	P84228	0.02762913	E	P84228	0.02762913	E	1140.8
2f8n	6	8	-	P84228	0.02762913	E	P62806	0.9367234	N	5029.8
2f8n	6	8	-	Q9QZQ8	0.6701912	U	Q8CGP6	0.913338	N	358.9
2fcw	2	2	M	P55302	0.4677772	U	P35951	0.08142059	E	1404.6
2fh5	2	2	M	Q9DBG7	0.987367	N	P47758	0.9017435	N	1261.7
2fid	2	3	A	P62983	0.9926568	N	Q9JM13	0.5682443	U	813.0
2fid	2	3	A	P62983	0.9926568	N	P62983	0.9926568	N	-0.1
2g45	2	2	M	Q3U4W8	0.3012533	U	P62983	0.9926568	N	1022.5
2gk1	2	2	M	P29416	0.778455	U	P20060	0.0571743	E	3105.5
2jtt	2	4	C2	P14069	0.07131114	E	P14069	0.07131114	E	3059.3
2jtt	2	4	C2	P14069	0.07131114	E	Q9CXW3	0.5596694	U	1821.7
2jtt	2	4	C2	Q9CXW3	0.5596694	U	Q9CXW3	0.5596694	U	0.0
2jy6	2	2	M	P62983	0.9926568	N	Q9QZM0	0.3626634	U	1107.9
2k1r	2	2	M	Q64430	0.317753	U	O08997	0.8540317	U	1071.5
2k5b	2	2	M	P07901	0.5017485	U	Q61081	0.07601824	E	1439.3
2k8c	2	2	M	P62983	0.9926568	N	P27612	0.2311212	U	1324.5
2ka6	2	2	M	B2RWS6	0.4043153	U	Q8C3V4	0.01271043	E	3072.4
2kdf	2	3	A	O35226	0.01889827	E	P62983	0.9926568	N	982.3
2kdf	2	3	A	P62983	0.9926568	N	P62983	0.9926568	N	182.3
2kso	2	2	M	Q03145	0.9564654	N	Q6P549	0.01328464	E	995.0
2l0t	2	2	M	P62983	0.9926568	N	O88811	0.9174347	N	963.1
2l2l	2	2	M	Q8CHY6	0.9340657	N	Q9Z2D8	0.9815453	N	1275.8
2lxt	2	2	M	B2RWS6	0.4043153	U	Q62347	0.2234339	U	1186.4
2mcn	2	2	M	Q9JLQ0	0.02979108	E	P62983	0.9926568	N	1610.1
2mqs	2	4	A	P53690	0.000911513	E	P11087	0.8986815	U	725.1
2mqs	2	4	A	P11087	0.8986815	U	P11087	0.8986815	U	2103.5
2mre	2	2	M	P62983	0.9926568	N	Q9QXK2	0.3545683	U	1075.2
2nz8	2	2	M	Q3TLP8	0.5221864	U	Q0KL02	0.2949003	U	2617.7
2o25	2	2	M	P61087	0.9166687	N	P63280	0.09031576	E	849.5
2o8f	2	2	M	P43247	0.9228018	N	P54276	0.9999369	N	6783.0
2o8g	2	2	M	P62137	0.5027892	U	D3Z3A0	0.09196933	E	4427.7
2odg	2	3	A	O54962	0.4396448	U	O08579	0.6312069	U	624.8
2odg	2	3	A	O54962	0.4396448	U	O54962	0.4396448	U	1405.3
2ot3	2	2	M	Q9JM13	0.5682443	U	P35282	0.2552901	U	2289.9
2oxq	2	4	C2	P61079	0.3327464	U	Q9WUD1	0.9857178	N	1293.0
2oxq	2	4	C2	Q9WUD1	0.9857178	N	Q9WUD1	0.9857178	N	1296.4
2pbd	3	3	M	P62737	0.4594713	U	P62962	0.3468106	U	2217.3
2pjh	2	2	M	P60670	0.2936233	U	Q01853	0.8849729	U	2103.7
2px9	2	2	M	Q9Z1F9	0.5042732	U	P63280	0.09031576	E	1425.6
2q8i	2	4	C2	Q922H2	0.4454814	U	Q8BMF4	0.4193237	U	933.7
2q8i	2	4	C2	Q8BMF4	0.4193237	U	Q8BMF4	0.4193237	U	0.0
2q8i	2	4	C2	Q922H2	0.4454814	U	Q922H2	0.4454814	U	5231.7
2roz	2	2	M	Q60709	0.0	E	Q3TIZ5	0.005070041	E	1708.2
2rr3	2	2	M	Q9WV55	0.395414	U	Q3B7Z2	0.10161	U	1482.7
2vgl	4	4	M	P17427	0.9685622	N	P62743	8.3e-05	E	4620.5
2vgl	4	4	M	Q9DBG3	0.9999999	N	P62743	8.3e-05	E	1243.1
2vgl	4	4	M	Q9DBG3	0.9999999	N	Q3TWV4	0.8684387	U	6538.6
2vgl	4	4	M	P17427	0.9685622	N	Q9DBG3	0.9999999	N	3534.2
2vgl	4	4	M	Q3TWV4	0.8684387	U	P62743	8.3e-05	E	1123.5
2vgl	4	4	M	P17427	0.9685622	N	Q3TWV4	0.8684387	U	2247.5
2vrr	2	2	M	P63280	0.09031576	E	P63166	0.1458069	U	698.2
2w6h	5	9	A	P56480	1.0	N	Q8C2Q8	0.9350241	N	1427.0
2w6h	5	9	A	Q03265	0.7869257	U	P56480	1.0	N	5761.7
2w6h	5	9	A	Q8C2Q8	0.9350241	N	Q9D3D9	0.9956645	N	1960.4
2w6h	5	9	A	P56480	1.0	N	P56480	1.0	N	218.0
2w6h	5	9	A	Q03265	0.7869257	U	Q03265	0.7869257	U	0.0
2w6h	5	9	A	Q03265	0.7869257	U	Q8C2Q8	0.9350241	N	1333.2
2w9f	2	2	M	P25322	0.09871015	E	P30285	0.9999676	N	2027.4
2wax	2	2	M	P54823	0.2424152	U	Q8K2D3	0.04085266	E	2050.3
2wd5	2	2	M	Q9CU62	0.7196649	U	Q9CW03	0.8535659	U	3100.2
2wel	2	2	M	Q6PHZ2	0.03960012	E	P62204	0.6559055	U	3021.2
2wss	9	13	A	Q9CQQ7	0.9156653	N	P97450	0.997681	N	3138.9
2wss	9	13	A	Q03265	0.7869257	U	Q9DB20	0.9719645	N	1711.0
2wss	9	13	A	Q03265	0.7869257	U	P97450	0.997681	N	0.0
2wss	9	13	A	Q03265	0.7869257	U	P56480	1.0	N	5444.7
2wss	9	13	A	Q8C2Q8	0.9350241	N	Q9D3D9	0.9956645	N	2005.6
2wss	9	13	A	P56480	1.0	N	P97450	0.997681	N	667.1
2wss	9	13	A	P56480	1.0	N	P56480	1.0	N	143.7
2wss	9	13	A	Q03265	0.7869257	U	Q8C2Q8	0.9350241	N	1171.2
2wss	9	13	A	Q9DB20	0.9719645	N	Q9CQQ7	0.9156653	N	1218.2
2wss	9	13	A	P56480	1.0	N	Q8C2Q8	0.9350241	N	1133.8
2wss	9	13	A	P56480	1.0	N	Q9CQQ7	0.9156653	N	0.0
2wss	9	13	A	Q03265	0.7869257	U	Q9CQQ7	0.9156653	N	12.3
2wss	9	13	A	Q03265	0.7869257	U	Q03265	0.7869257	U	0.0
2wss	9	13	A	Q9DB20	0.9719645	N	P97450	0.997681	N	526.9
2wss	9	13	A	P56480	1.0	N	Q9DB20	0.9719645	N	446.2
2wss	9	13	A	Q8C2Q8	0.9350241	N	Q9DB20	0.9719645	N	0.0
2xb2	5	5	M	Q91VC3	0.9991278	N	Q8K3W3	0.1699122	U	4229.4
2xb2	5	5	M	Q91VC3	0.9991278	N	P61327	0.9918861	N	3170.6
2xb2	5	5	M	P61327	0.9918861	N	Q8K3W3	0.1699122	U	584.4
2xql	2	10	C	Q8CGP6	0.913338	N	Q6ZWY9	0.264898	U	5045.9
2xql	2	10	C	Q6ZWY9	0.264898	U	Q6ZWY9	0.264898	U	53.0
2xql	2	10	C	Q8CGP6	0.913338	N	Q8CGP6	0.913338	N	893.8
2xrp	3	9	A	Q9CWF2	0.3979377	U	Q9JLM8	0.06441611	E	798.0
2xrp	3	9	A	Q9CWF2	0.3979377	U	P68369	0.8670816	U	3285.0
2xrp	3	9	A	P68369	0.8670816	U	P68369	0.8670816	U	420.2
2xrp	3	9	A	P68369	0.8670816	U	Q9JLM8	0.06441611	E	442.5
2xrp	3	9	A	Q9CWF2	0.3979377	U	Q9CWF2	0.3979377	U	494.9
2xwu	2	2	M	P63280	0.09031576	E	Q8K0C1	0.06993309	E	2633.9
2y3a	2	2	M	Q8BTI9	1.66e-05	E	P26450	0.7425635	U	5826.3
2z59	2	2	M	Q9JKV1	0.1566988	U	P62983	0.9926568	N	1162.5
3a6p	2	2	M	Q924C1	0.9999922	N	P62827	0.3160383	U	3315.8
3chw	2	2	M	P63260	0.0640457	E	P62962	0.3468106	U	2179.4
3cqg	2	2	M	Q8BH74	0.9997333	N	Q8R0G9	0.5576096	U	2338.5
3cqx	2	4	C2	P63017	0.999908	N	Q91YN9	0.2945707	U	1899.3
3cqx	2	4	C2	Q91YN9	0.2945707	U	Q91YN9	0.2945707	U	2948.2
3d7u	2	2	M	P41241	0.004248993	E	Q80XU2	0.2058661	U	1322.9
3daw	2	2	M	P62737	0.4594713	U	Q91YR1	0.277012	U	2364.4
3dw8	3	3	M	Q76MZ3	0.9999657	N	Q6P1F6	0.6582302	U	3719.6
3dw8	3	3	M	Q76MZ3	0.9999657	N	P63330	0.09582701	E	1899.3
3dw8	3	3	M	Q6P1F6	0.6582302	U	P63330	0.09582701	E	184.6
3eg5	2	4	C2	P60766	0.09315526	E	Q6NS79	0.006258643	E	2008.9
3eg5	2	4	C2	Q6NS79	0.006258643	E	Q6NS79	0.006258643	E	6575.2
3eg5	2	4	C2	P60766	0.09315526	E	P60766	0.09315526	E	0.0
3eg9	2	2	M	Q9D662	0.8545014	U	Q6NXL1	0.9999975	N	1486.3
3egh	2	4	A	P62137	0.5027892	U	P62137	0.5027892	U	0.0
3egh	2	4	A	P62137	0.5027892	U	Q6R891	0.282535	U	4012.7
3egh	2	4	A	Q6R891	0.282535	U	Q6R891	0.282535	U	252.5
3egx	3	3	M	Q9D662	0.8545014	U	Q3U2P1	0.08702686	E	1860.2
3egx	3	3	M	Q9D662	0.8545014	U	O08547	0.5646262	U	756.6
3egx	3	3	M	Q3U2P1	0.08702686	E	O08547	0.5646262	U	1459.3
3fhc	2	2	M	Q80U93	0.1449216	U	Q61655	0.9204023	N	2132.0
3fru	2	2	M	Q61559	0.0	E	P01887	0.00923897	E	2864.1
3gc3	2	2	M	Q91YI4	0.6355338	U	Q68FD5	0.9582203	N	2199.9
3gtu	2	2	M	P15626	0.133072	U	P48774	1.65e-06	E	2662.8
3h2v	2	2	M	Q64727	0.1010529	U	Q9CW46	0.2807915	U	1260.0
3ha6	2	4	C2	P97477	0.04574413	E	A2APB8	0.06012255	E	2823.2
3ha6	2	4	C2	A2APB8	0.06012255	E	A2APB8	0.06012255	E	0.0
3ha6	2	4	C2	P97477	0.04574413	E	P97477	0.04574413	E	1018.0
3iyg	8	8	M	P11983	0.9996511	N	P80316	1.0	N	0.0
3iyg	8	8	M	P80318	1.0	N	P80313	0.9999998	N	0.0
3iyg	8	8	M	P80316	1.0	N	P42932	0.9781719	N	110.7
3iyg	8	8	M	P80314	0.9999976	N	P80313	0.9999998	N	0.0
3iyg	8	8	M	P80316	1.0	N	P80318	1.0	N	0.0
3iyg	8	8	M	P11983	0.9996511	N	P80314	0.9999976	N	-0.1
3iyg	8	8	M	P80314	0.9999976	N	P42932	0.9781719	N	6.0
3iyg	8	8	M	P80315	0.7611855	U	P80313	0.9999998	N	0.0
3iyg	8	8	M	P80314	0.9999976	N	P80315	0.7611855	U	0.0
3iyg	8	8	M	P11983	0.9996511	N	P80315	0.7611855	U	0.0
3iyg	8	8	M	P80313	0.9999998	N	P42932	0.9781719	N	0.0
3iyg	8	8	M	P80318	1.0	N	P42932	0.9781719	N	664.6
3iyg	8	8	M	P80315	0.7611855	U	P80316	1.0	N	873.8
3iyg	8	8	M	P11983	0.9996511	N	P42932	0.9781719	N	0.0
3iyg	8	8	M	P11983	0.9996511	N	P80318	1.0	N	-0.1
3iyg	8	8	M	P80315	0.7611855	U	P42932	0.9781719	N	796.5
3iyg	8	8	M	P80315	0.7611855	U	P80318	1.0	N	19.5
3iyg	8	8	M	P80314	0.9999976	N	P80316	1.0	N	0.0
3iyg	8	8	M	P80316	1.0	N	P80313	0.9999998	N	736.3
3iyg	8	8	M	P11983	0.9996511	N	P80313	0.9999998	N	1103.0
3iyg	8	8	M	P80314	0.9999976	N	P80318	1.0	N	503.8
3j04	3	6	A	Q61879	0.6123228	U	Q9CQ19	0.4484861	U	3742.4
3j04	3	6	A	Q61879	0.6123228	U	Q8CI43	1.41e-05	E	3176.5
3j04	3	6	A	Q9CQ19	0.4484861	U	Q8CI43	1.41e-05	E	245.3
3j04	3	6	A	Q9CQ19	0.4484861	U	Q9CQ19	0.4484861	U	32.7
3j04	3	6	A	Q61879	0.6123228	U	Q61879	0.6123228	U	1765.0
3j0s	2	24	H	P45591	0.1530449	U	P45591	0.1530449	U	0.0
3j0s	2	24	H	P60710	0.4648651	U	P45591	0.1530449	U	2630.1
3j0s	2	24	H	P60710	0.4648651	U	P60710	0.4648651	U	1324.3
3j2t	2	14	C	O88879	6.31e-06	E	P62897	0.9961842	N	1992.1
3j2t	2	14	C	O88879	6.31e-06	E	O88879	6.31e-06	E	2093.5
3jar	3	14	H	P05213	0.5803372	U	Q9CWF2	0.3979377	U	3771.6
3jar	3	14	H	P05213	0.5803372	U	P05213	0.5803372	U	802.9
3jar	3	14	H	Q9CWF2	0.3979377	U	Q9CWF2	0.3979377	U	760.4
3jar	3	14	H	Q9CWF2	0.3979377	U	Q6PER3	0.000872977	E	901.6
3jar	3	14	H	P05213	0.5803372	U	Q6PER3	0.000872977	E	1007.5
3jsv	2	4	A	P62983	0.9926568	N	Q8VC91	0.03786436	E	1101.1
3jsv	2	4	A	P62983	0.9926568	N	P62983	0.9926568	N	104.6
3jsv	2	4	A	Q8VC91	0.03786436	E	Q8VC91	0.03786436	E	4199.8
3jv4	2	2	M	Q04863	0.001067063	E	P25799	0.9511677	N	1511.2
3jv6	2	2	M	Q04863	0.001067063	E	Q9WTK5	0.7338305	U	1395.5
3k9p	2	2	M	P61087	0.9166687	N	P62983	0.9926568	N	805.2
3l1z	2	2	M	P61079	0.3327464	U	Q9ES00	0.9675394	N	1308.8
3laq	2	2	M	P06869	0.9040778	N	P35456	0.3007589	U	2715.4
3lcp	2	2	M	Q9D0F3	0.1553418	U	Q8K5B2	6.92e-06	E	1688.2
3lge	2	8	C2h	P05064	0.3280198	U	P05064	0.3280198	U	2820.2
3lue	2	20	H	P60710	0.4648651	U	Q9JI91	0.000589181	E	1927.2
3lue	2	20	H	P60710	0.4648651	U	P60710	0.4648651	U	2740.6
3mcb	2	2	M	Q60817	0.9993938	N	Q64152	0.7487327	U	2294.5
3mjh	2	2	M	Q9CQD1	5.55e-06	E	Q8BL66	0.2597301	U	1182.0
3mkr	2	2	M	O89079	0.09079918	E	Q8CIE6	0.9741455	N	5298.8
3n3k	2	2	M	Q80U87	0.03244807	E	P62983	0.9926568	N	2844.2
3nc1	2	2	M	Q6P5F9	0.4430942	U	P62827	0.3160383	U	5078.3
3ohm	2	2	M	P21279	1.18e-05	E	P51432	0.0	E	3073.3
3q2t	2	4	C2	Q9CQF3	0.1778247	U	Q6NVF9	0.5102854	U	984.9
3q2t	2	4	C2	Q9CQF3	0.1778247	U	Q9CQF3	0.1778247	U	2746.4
3qq8	2	2	M	Q01853	0.8849729	U	P54731	0.8511077	U	1682.0
3rep	2	2	M	O55222	0.4744572	U	Q3UF75	0.999433	N	1927.7
3rnm	2	3	A	O08749	0.9788222	N	P53395	2.74e-06	E	889.5
3rnm	2	3	A	O08749	0.9788222	N	O08749	0.9788222	N	7899.8
3ryt	2	2	M	P70206	0.6434381	U	Q3TLP8	0.5221864	U	1118.3
3sde	2	2	M	Q8R326	0.8441914	U	Q99K48	0.668691	U	8864.7
3t97	2	3	A	Q63850	0.1970499	U	Q8BTS4	0.9455934	N	2260.4
3t97	2	3	A	Q63850	0.1970499	U	Q63850	0.1970499	U	2099.1
3tad	2	2	M	B2RXW8	0.13783	U	Q8C8U0	0.05899773	E	954.6
3tbl	2	5	A	P17918	0.999971	N	P62983	0.9926568	N	148.7
3tbl	2	5	A	P17918	0.999971	N	P17918	0.999971	N	1381.3
3tg1	2	2	M	P47811	0.04418672	E	Q9ESS0	0.0	E	1867.0
3tj3	2	2	M	Q60960	0.07036003	E	Q9JIH2	0.3243638	U	4332.4
3tjz	3	3	M	P84078	0.4778762	U	Q9QZE5	1.0	N	1743.7
3tjz	3	3	M	Q9QZE5	1.0	N	P61924	0.9958646	N	4013.2
3tpq	2	6	A	P62737	0.4594713	U	P62737	0.4594713	U	842.7
3tpq	2	6	A	P62737	0.4594713	U	Q5DTZ3	8.2e-06	E	3017.8
