struc	unq	tot	sym	p1	p1score	p1cls	p2	p2score	p2cls	int
2xrp	3	9	A	Q9CWF2	0.3979377	U	Q9CWF2	0.3979377	U	494.9
3c5w	3	3	M	Q76MZ3	0.9999657	N	P63330	0.09582701	E	2016.5
3c5w	3	3	M	P63330	0.09582701	E	Q8BVQ5	0.9994973	N	2893.2
3dw8	3	3	M	Q76MZ3	0.9999657	N	Q6P1F6	0.6582302	U	3719.6
3dw8	3	3	M	Q76MZ3	0.9999657	N	P63330	0.09582701	E	1899.3
3dw8	3	3	M	Q6P1F6	0.6582302	U	P63330	0.09582701	E	184.6
3egx	3	3	M	Q9D662	0.8545014	U	Q3U2P1	0.08702686	E	1860.2
3egx	3	3	M	Q9D662	0.8545014	U	O08547	0.5646262	U	756.6
3egx	3	3	M	Q3U2P1	0.08702686	E	O08547	0.5646262	U	1459.3
3iyg	8	8	M	P11983	0.9996511	N	P80316	1.0	N	0.0
3iyg	8	8	M	P80318	1.0	N	P80313	0.9999998	N	0.0
3iyg	8	8	M	P80316	1.0	N	P42932	0.9781719	N	110.7
3iyg	8	8	M	P80314	0.9999976	N	P80313	0.9999998	N	0.0
3iyg	8	8	M	P80316	1.0	N	P80318	1.0	N	0.0
3iyg	8	8	M	P11983	0.9996511	N	P80314	0.9999976	N	-0.1
3iyg	8	8	M	P80314	0.9999976	N	P42932	0.9781719	N	6.0
3iyg	8	8	M	P80315	0.7611855	U	P80313	0.9999998	N	0.0
3iyg	8	8	M	P80314	0.9999976	N	P80315	0.7611855	U	0.0
3iyg	8	8	M	P11983	0.9996511	N	P80315	0.7611855	U	0.0
3iyg	8	8	M	P80313	0.9999998	N	P42932	0.9781719	N	0.0
3iyg	8	8	M	P80318	1.0	N	P42932	0.9781719	N	664.6
3iyg	8	8	M	P80315	0.7611855	U	P80316	1.0	N	873.8
3iyg	8	8	M	P11983	0.9996511	N	P42932	0.9781719	N	0.0
3iyg	8	8	M	P11983	0.9996511	N	P80318	1.0	N	-0.1
3iyg	8	8	M	P80315	0.7611855	U	P42932	0.9781719	N	796.5
3iyg	8	8	M	P80315	0.7611855	U	P80318	1.0	N	19.5
3iyg	8	8	M	P80314	0.9999976	N	P80316	1.0	N	0.0
3iyg	8	8	M	P80316	1.0	N	P80313	0.9999998	N	736.3
3iyg	8	8	M	P11983	0.9996511	N	P80313	0.9999998	N	1103.0
3iyg	8	8	M	P80314	0.9999976	N	P80318	1.0	N	503.8
3j04	3	6	A	Q61879	0.6123228	U	Q9CQ19	0.4484861	U	3742.4
3j04	3	6	A	Q61879	0.6123228	U	Q8CI43	1.41e-05	E	3176.5
3j04	3	6	A	Q9CQ19	0.4484861	U	Q8CI43	1.41e-05	E	245.3
3j04	3	6	A	Q9CQ19	0.4484861	U	Q9CQ19	0.4484861	U	32.7
3j04	3	6	A	Q61879	0.6123228	U	Q61879	0.6123228	U	1765.0
3j1u	3	3	M	Q9JHU4	0.9999956	N	P68369	0.8670816	U	1233.5
3j1u	3	3	M	Q9JHU4	0.9999956	N	Q9CWF2	0.3979377	U	579.7
3j1u	3	3	M	P68369	0.8670816	U	Q9CWF2	0.3979377	U	2509.2
3j8y	3	3	M	P05213	0.5803372	U	Q9CWF2	0.3979377	U	3524.7
3j8y	3	3	M	Q9CWF2	0.3979377	U	Q61768	0.4979435	U	1285.5
3j8y	3	3	M	P05213	0.5803372	U	Q61768	0.4979435	U	1334.5
3jar	3	14	H	P05213	0.5803372	U	Q9CWF2	0.3979377	U	3771.6
3jar	3	14	H	P05213	0.5803372	U	P05213	0.5803372	U	802.9
3jar	3	14	H	Q9CWF2	0.3979377	U	Q9CWF2	0.3979377	U	760.4
3jar	3	14	H	Q9CWF2	0.3979377	U	Q6PER3	0.000872977	E	901.6
3jar	3	14	H	P05213	0.5803372	U	Q6PER3	0.000872977	E	1007.5
3jw0	3	3	M	P61079	0.3327464	U	P62983	0.9926568	N	357.3
3jw0	3	3	M	P61079	0.3327464	U	P46935	0.9972888	N	2569.8
3jw0	3	3	M	P46935	0.9972888	N	P62983	0.9926568	N	1409.8
3oj4	3	3	M	P61079	0.3327464	U	P62983	0.9926568	N	1430.8
3oj4	3	3	M	P61079	0.3327464	U	Q60769	0.1525106	U	271.7
3oj4	3	3	M	P62983	0.9926568	N	Q60769	0.1525106	U	775.0
3tjz	3	3	M	P84078	0.4778762	U	Q9QZE5	1.0	N	1743.7
3tjz	3	3	M	Q9QZE5	1.0	N	P61924	0.9958646	N	4013.2
3uip	4	4	M	P63280	0.09031576	E	P63166	0.1458069	U	1211.4
3uip	4	4	M	P63280	0.09031576	E	Q9ERU9	0.7344469	U	2807.9
3uip	4	4	M	P63280	0.09031576	E	P46061	0.139116	U	1207.6
3uip	4	4	M	P63166	0.1458069	U	Q9ERU9	0.7344469	U	1356.4
3uip	4	4	M	P63166	0.1458069	U	P46061	0.139116	U	101.4
3une	14	28	C2	Q9R1P4	0.9999413	N	O70435	0.6000463	U	2755.5
3une	14	28	C2	P99026	0.9949651	N	Q9QUM9	0.9999999	N	0.1
3une	14	28	C2	P49722	0.9999986	N	O70435	0.6000463	U	360.3
3une	14	28	C2	Q9R1P0	0.9999998	N	Q9Z2U0	0.9172035	N	3030.5
3une	14	28	C2	O55234	0.9999154	N	Q9Z2U0	0.9172035	N	922.8
3une	14	28	C2	Q9R1P0	0.9999998	N	O70435	0.6000463	U	209.3
3une	14	28	C2	P49722	0.9999986	N	Q9QUM9	0.9999999	N	2823.7
3une	14	28	C2	O09061	0.9838939	N	P99026	0.9949651	N	1993.0
3une	14	28	C2	P49722	0.9999986	N	Q9R1P1	0.9999887	N	868.6
3une	14	28	C2	P49722	0.9999986	N	Q9R1P4	0.9999413	N	34.3
3une	14	28	C2	O55234	0.9999154	N	Q9Z2U1	0.9999695	N	1178.4
3une	14	28	C2	Q60692	0.9997103	N	P70195	0.177019	U	1139.7
3une	14	28	C2	P49722	0.9999986	N	Q9R1P0	0.9999998	N	2954.3
3une	14	28	C2	P49722	0.9999986	N	Q9Z2U0	0.9172035	N	273.0
3une	14	28	C2	Q60692	0.9997103	N	Q9R1P4	0.9999413	N	0.0
3une	14	28	C2	O70435	0.6000463	U	Q9QUM9	0.9999999	N	2701.2
3une	14	28	C2	P99026	0.9949651	N	O70435	0.6000463	U	736.5
3une	14	28	C2	P70195	0.177019	U	Q9R1P3	0.989288	N	0.0
3une	14	28	C2	P99026	0.9949651	N	Q60692	0.9997103	N	2341.4
3une	14	28	C2	Q9Z2U1	0.9999695	N	Q9R1P4	0.9999413	N	2715.5
3une	14	28	C2	Q9Z2U0	0.9172035	N	O70435	0.6000463	U	0.0
3une	14	28	C2	O09061	0.9838939	N	Q9Z2U1	0.9999695	N	985.7
3une	14	28	C2	Q9R1P0	0.9999998	N	Q9R1P4	0.9999413	N	288.7
3une	14	28	C2	Q9R1P1	0.9999887	N	Q9R1P3	0.989288	N	1507.4
3une	14	28	C2	P99026	0.9949651	N	Q9R1P3	0.989288	N	0.1
3une	14	28	C2	Q60692	0.9997103	N	Q9R1P1	0.9999887	N	0.1
3une	14	28	C2	P49722	0.9999986	N	P70195	0.177019	U	926.8
3une	14	28	C2	O09061	0.9838939	N	Q9R1P3	0.989288	N	0.0
3une	14	28	C2	Q9Z2U0	0.9172035	N	Q9R1P3	0.989288	N	857.0
3une	14	28	C2	Q9QUM9	0.9999999	N	P70195	0.177019	U	1184.9
3une	14	28	C2	Q9R1P0	0.9999998	N	Q9R1P1	0.9999887	N	964.2
3une	14	28	C2	O09061	0.9838939	N	Q9R1P1	0.9999887	N	1426.4
3une	14	28	C2	O09061	0.9838939	N	Q9R1P4	0.9999413	N	816.0
3une	14	28	C2	O55234	0.9999154	N	P70195	0.177019	U	0.0
3une	14	28	C2	Q9Z2U0	0.9172035	N	Q9R1P4	0.9999413	N	39.0
3une	14	28	C2	Q9R1P0	0.9999998	N	P70195	0.177019	U	0.0
3une	14	28	C2	Q9R1P4	0.9999413	N	Q9QUM9	0.9999999	N	0.0
3une	14	28	C2	P49722	0.9999986	N	Q9Z2U1	0.9999695	N	137.0
3une	14	28	C2	O09061	0.9838939	N	Q60692	0.9997103	N	0.1
3une	14	28	C2	P99026	0.9949651	N	P70195	0.177019	U	1569.1
3une	14	28	C2	P70195	0.177019	U	Q9R1P1	0.9999887	N	3260.6
3une	14	28	C2	O55234	0.9999154	N	Q9R1P3	0.989288	N	1344.2
3une	14	28	C2	P99026	0.9949651	N	Q9R1P4	0.9999413	N	1067.1
3une	14	28	C2	Q9R1P0	0.9999998	N	Q9Z2U1	0.9999695	N	267.2
3une	14	28	C2	Q60692	0.9997103	N	Q60692	0.9997103	N	1929.2
3une	14	28	C2	Q9Z2U1	0.9999695	N	O70435	0.6000463	U	0.1
3une	14	28	C2	O09061	0.9838939	N	P70195	0.177019	U	2486.3
3une	14	28	C2	Q60692	0.9997103	N	Q9QUM9	0.9999999	N	838.1
3une	14	28	C2	Q9R1P0	0.9999998	N	Q9QUM9	0.9999999	N	246.2
3une	14	28	C2	Q9R1P3	0.989288	N	Q9R1P3	0.989288	N	1532.5
3une	14	28	C2	O55234	0.9999154	N	O09061	0.9838939	N	1119.3
3une	14	28	C2	Q9Z2U0	0.9172035	N	Q9Z2U1	0.9999695	N	2896.6
3une	14	28	C2	Q9Z2U1	0.9999695	N	Q9QUM9	0.9999999	N	0.1
3une	14	28	C2	Q60692	0.9997103	N	O70435	0.6000463	U	911.2
3une	14	28	C2	Q9Z2U0	0.9172035	N	Q9QUM9	0.9999999	N	0.0
3une	14	28	C2	O55234	0.9999154	N	Q9R1P1	0.9999887	N	1672.0
3une	14	28	C2	Q9R1P0	0.9999998	N	Q9R1P3	0.989288	N	1032.9
3wtp	5	8	A	Q6ZWY9	0.264898	U	P84244	0.8277982	U	0.0
3wtp	5	8	A	P62806	0.9367234	N	Q8CGP6	0.913338	N	831.3
3wtp	5	8	A	Q6ZWY9	0.264898	U	Q6ZWY9	0.264898	U	26.0
3wtp	5	8	A	Q8CGP6	0.913338	N	Q6ZWY9	0.264898	U	5104.4
3wtp	5	8	A	P62806	0.9367234	N	P84244	0.8277982	U	5118.8
3wtp	5	8	A	P62806	0.9367234	N	P62806	0.9367234	N	0.0
3wtp	5	8	A	Q8CGP6	0.913338	N	Q8CGP6	0.913338	N	252.9
3wtp	5	8	A	Q8CGP6	0.913338	N	P84244	0.8277982	U	1323.3
3wtp	5	8	A	P62806	0.9367234	N	Q6ZWY9	0.264898	U	988.3
3zjy	3	3	M	P62827	0.3160383	U	Q8K0C1	0.06993309	E	2399.7
3zjy	3	3	M	P62827	0.3160383	U	Q8BMJ3	0.6237165	U	45.5
3zjy	3	3	M	Q8K0C1	0.06993309	E	Q8BMJ3	0.6237165	U	518.5
3zni	3	3	M	P61079	0.3327464	U	P62983	0.9926568	N	1785.7
3zni	3	3	M	P22682	5.08e-06	E	P61079	0.3327464	U	1269.7
3zni	3	3	M	P22682	5.08e-06	E	P62983	0.9926568	N	936.7
4atx	3	3	M	Q9CWF2	0.3979377	U	P68369	0.8670816	U	3279.0
4atx	3	3	M	Q9CWF2	0.3979377	U	Q61768	0.4979435	U	545.7
4atx	3	3	M	P68369	0.8670816	U	Q61768	0.4979435	U	427.7
4ck7	3	3	M	Q9CWF2	0.3979377	U	Q6P9P6	0.6574469	U	0.0
4ck7	3	3	M	P68369	0.8670816	U	Q6P9P6	0.6574469	U	98.0
4ck7	3	3	M	P68369	0.8670816	U	Q9CWF2	0.3979377	U	93.3
4d10	8	8	M	G3UXW9	0.9831658	N	O35864	0.9861414	N	0.0
4d10	8	8	M	Q9CZ04	0.5798172	U	Q8VBV7	0.03979981	E	712.1
4d10	8	8	M	P61202	0.9901496	N	O88543	0.9999943	N	126.1
4d10	8	8	M	O88543	0.9999943	N	O35864	0.9861414	N	4.8
4d10	8	8	M	P61202	0.9901496	N	Q8VBV7	0.03979981	E	0.0
4d10	8	8	M	O35864	0.9861414	N	Q9CZ04	0.5798172	U	632.1
4d10	8	8	M	O88543	0.9999943	N	Q9CZ04	0.5798172	U	212.7
4d10	8	8	M	G3UXW9	0.9831658	N	P61202	0.9901496	N	2982.4
4d10	8	8	M	O88544	0.9999883	N	Q8VBV7	0.03979981	E	-0.1
4d10	8	8	M	G3UXW9	0.9831658	N	O88543	0.9999943	N	4223.9
4d10	8	8	M	P61202	0.9901496	N	O88544	0.9999883	N	1080.0
4d10	8	8	M	O88543	0.9999943	N	Q8VBV7	0.03979981	E	3122.8
4d10	8	8	M	G3UXW9	0.9831658	N	O88544	0.9999883	N	0.0
4d10	8	8	M	O88544	0.9999883	N	O35864	0.9861414	N	1114.3
4d10	8	8	M	P61202	0.9901496	N	Q9CZ04	0.5798172	U	12.7
4d10	8	8	M	O88543	0.9999943	N	O88544	0.9999883	N	0.0
4d10	8	8	M	O88544	0.9999883	N	Q9CZ04	0.5798172	U	1724.3
4d10	8	8	M	P61202	0.9901496	N	O35864	0.9861414	N	1341.7
4d10	8	8	M	O35864	0.9861414	N	Q8VBV7	0.03979981	E	890.8
4d10	8	8	M	G3UXW9	0.9831658	N	Q8VBV7	0.03979981	E	0.0
4hmy	5	5	M	Q9DBG3	0.9999999	N	P35585	0.02035983	E	6465.5
4hmy	5	5	M	P22892	0.1818659	U	Q9DBG3	0.9999999	N	2938.4
4hmy	5	5	M	Q9DBG3	0.9999999	N	P84078	0.4778762	U	1604.9
4hmy	5	5	M	P22892	0.1818659	U	P35585	0.02035983	E	318.3
4imy	3	3	M	Q99J95	0.8455226	U	Q9QWV9	0.4985286	U	1943.5
4imy	3	3	M	Q9QWV9	0.4985286	U	Q9ESC8	0.000600726	E	2825.8
4jd2	8	8	M	Q9WV32	0.9988518	N	Q9CQI3	0.03697174	E	799.3
4jd2	8	8	M	Q99JY9	0.999932	N	Q9JM76	0.9989048	N	1850.6
4jd2	8	8	M	Q99JY9	0.999932	N	P59999	0.9998913	N	856.0
4jd2	8	8	M	P61161	0.76424	U	Q9WV32	0.9988518	N	396.1
4jd2	8	8	M	Q9WV32	0.9988518	N	P59999	0.9998913	N	2298.6
4jd2	8	8	M	P61161	0.76424	U	P59999	0.9998913	N	1585.0
4jd2	8	8	M	P59999	0.9998913	N	Q9CQI3	0.03697174	E	0.0
4jd2	8	8	M	Q9WV32	0.9988518	N	Q9CVB6	0.4675481	U	75.7
4jd2	8	8	M	P61161	0.76424	U	Q9CQI3	0.03697174	E	2411.7
4jd2	8	8	M	P61161	0.76424	U	Q9CVB6	0.4675481	U	0.0
4jd2	8	8	M	Q9CVB6	0.4675481	U	P59999	0.9998913	N	4346.7
4jd2	8	8	M	P61161	0.76424	U	Q9CPW4	0.03049294	E	1001.8
4jd2	8	8	M	Q9WV32	0.9988518	N	Q9CPW4	0.03049294	E	1358.8
4jd2	8	8	M	Q99JY9	0.999932	N	P61161	0.76424	U	1611.6
4jd2	8	8	M	P59999	0.9998913	N	Q9CPW4	0.03049294	E	1868.8
4jd2	8	8	M	Q99JY9	0.999932	N	Q9CVB6	0.4675481	U	3323.0
4lac	3	3	M	P58389	0.558237	U	P63330	0.09582701	E	2853.5
4lac	3	3	M	Q76MZ3	0.9999657	N	P63330	0.09582701	E	1902.3
4pjo	9	9	M	P62307	0.05715172	E	Q62376	0.9999269	N	543.2
4pjo	9	9	M	P62305	5.66e-06	E	P62307	0.05715172	E	1671.9
4pjo	9	9	M	P62320	1.0	N	P62307	0.05715172	E	0.0
4pjo	9	9	M	P62305	5.66e-06	E	Q62376	0.9999269	N	161.0
4pjo	9	9	M	P27048	0.9950891	N	P62307	0.05715172	E	0.0
4pjo	9	9	M	P62305	5.66e-06	E	P62309	0.721795	U	1992.6
4pjo	9	9	M	P27048	0.9950891	N	P62305	5.66e-06	E	0.0
4pjo	9	9	M	P62320	1.0	N	P62305	5.66e-06	E	50.8
4pjo	9	9	M	P27048	0.9950891	N	Q62241	0.6391788	U	0.0
4pjo	9	9	M	P62317	0.9982405	N	P62309	0.721795	U	0.0
4pjo	9	9	M	P62320	1.0	N	P27048	0.9950891	N	1831.8
4pjo	9	9	M	P62320	1.0	N	Q62241	0.6391788	U	1097.8
4pjo	9	9	M	P62307	0.05715172	E	P62309	0.721795	U	0.0
4pjo	9	9	M	P62320	1.0	N	P62317	0.9982405	N	0.0
4pjo	9	9	M	P62309	0.721795	U	Q62241	0.6391788	U	195.1
4pjo	9	9	M	P62317	0.9982405	N	P62307	0.05715172	E	1562.6
4pjo	9	9	M	P27048	0.9950891	N	P62317	0.9982405	N	0.0
4pjo	9	9	M	P62320	1.0	N	P62309	0.721795	U	1732.8
4pjo	9	9	M	P62320	1.0	N	Q62376	0.9999269	N	1536.8
4pjo	9	9	M	P62317	0.9982405	N	P62305	5.66e-06	E	0.0
4pjo	9	9	M	P62309	0.721795	U	Q62376	0.9999269	N	110.8
4pjo	9	9	M	P27048	0.9950891	N	Q62376	0.9999269	N	858.0
4pjo	9	9	M	P62317	0.9982405	N	Q62376	0.9999269	N	2059.9
4pjo	9	9	M	Q62376	0.9999269	N	Q62241	0.6391788	U	566.0
4pjo	9	9	M	P62317	0.9982405	N	Q62241	0.6391788	U	0.0
4pjo	9	9	M	P27048	0.9950891	N	P62309	0.721795	U	36.0
4qfs	3	3	M	Q9R078	0.01874925	E	O54950	0.9999484	N	1998.5
4qfs	3	3	M	Q5EG47	0.6482516	U	O54950	0.9999484	N	732.8
4qfs	3	3	M	Q5EG47	0.6482516	U	Q9R078	0.01874925	E	5466.2
4ue5	5	5	M	P16254	0.9946577	N	P49962	0.8707642	U	1661.8
4ue5	5	5	M	P14576	0.9918973	N	Q9D104	0.2278827	U	197.9
4y72	3	3	M	P11440	0.3271984	U	P24860	0.1468824	U	2580.2
4y72	3	3	M	P11440	0.3271984	U	P56390	0.9999017	N	1435.9
5a1y	8	21	A	Q9QZE5	1.0	N	P61924	0.9958646	N	735.0
5a1y	8	21	A	Q9JIF7	0.999997	N	Q5XJY5	0.9982699	N	760.7
5a1y	8	21	A	Q9QZE5	1.0	N	Q9JIF7	0.999997	N	1332.2
5a1y	8	21	A	O55029	0.9970059	N	Q9QZE5	1.0	N	1001.8
5a1y	8	21	A	P84078	0.4778762	U	Q9JIF7	0.999997	N	182.3
5a1y	8	21	A	Q8CIE6	0.9741455	N	Q9QZE5	1.0	N	-0.1
5a1y	8	21	A	O55029	0.9970059	N	Q9JIF7	0.999997	N	289.6
5a1y	8	21	A	P84078	0.4778762	U	Q9QZE5	1.0	N	123.6
5a1y	8	21	A	P84078	0.4778762	U	P84078	0.4778762	U	0.0
5a1y	8	21	A	Q8CIE6	0.9741455	N	Q9JIF7	0.999997	N	1028.6
5a1y	8	21	A	O55029	0.9970059	N	Q5XJY5	0.9982699	N	9.6
5a1y	8	21	A	Q8CIE6	0.9741455	N	O55029	0.9970059	N	1792.0
5a1y	8	21	A	Q8CIE6	0.9741455	N	O89079	0.09079918	E	720.3
5a1y	8	21	A	P84078	0.4778762	U	Q5XJY5	0.9982699	N	0.0
5a1y	8	21	A	P84078	0.4778762	U	O55029	0.9970059	N	144.1
