struc	unq	tot	sym	prot	s	ab	dcls
5a1y	8	21	A	P84078	0.4778762	0.8059535	U
5a1y	8	21	A	Q8CIE6	0.9741455	0.222907	N
5a1y	8	21	A	O55029	0.9970059	0.0208268	N
5a1y	8	21	A	Q9QZE5	1.0	0.2227188	N
5a1y	8	21	A	P61924	0.9958646	0.06792331	N
5a1y	8	21	A	Q9JIF7	0.999997	0.04687871	N
5a1y	8	21	A	Q5XJY5	0.9982699	0.06474328	N
5a1y	8	21	A	O89079	0.09079918	0.06157908	E
5a5t	8	8	M	P23116	0.3977074	0.1630891	U
5a5t	8	8	M	Q8R1B4	1.0	0.1568344	N
5a5t	8	8	M	P60229	0.9999995	0.2148828	N
5a5t	8	8	M	Q9DCH4	0.9999999	0.1473951	N
5a5t	8	8	M	Q91WK2	0.9999985	0.1475293	N
5a5t	8	8	M	Q9DBZ5	0.9934509	0.09855499	N
5a5t	8	8	M	Q8QZY1	0.9999996	0.1388524	N
5a5t	8	8	M	Q99JX4	0.999162	0.1338996	N
5a9q	10	304	C	P59235	0.007809265	0.01073495	E
5a9q	10	304	C	Q9Z0W3	0.564405	0.004169091	U
5a9q	10	304	C	Q9CWU9	0.9972522	0.0287717	N
5a9q	10	304	C	Q8R0G9	0.5576096	0.007386147	U
5a9q	10	304	C	Q8BH74	0.9997333	0.009439589	N
5a9q	10	304	C	Q9D1M0	0.8026305	0.06374881	U
5a9q	10	304	C	Q8R480	0.9674656	0.0292734	N
5a9q	10	304	C	Q99P88	0.9050719	0.06768373	N
5bnx	4	4	M	P84244	0.8277982	6.590408	U
5bnx	4	4	M	P62806	0.9367234	10.27271	N
5bnx	4	4	M	P97310	0.9997919	0.1163409	N
5bnx	4	4	M	Q9CQE6	0.6920015	0.01493213	U
5bo0	4	4	M	P84228	0.02762913	0.1564886	E
5bo0	4	4	M	P62806	0.9367234	10.27271	N
5bo0	4	4	M	P97310	0.9997919	0.1163409	N
5bo0	4	4	M	Q9CQE6	0.6920015	0.01493213	U
5bs7	3	6	C2	P84228	0.02762913	0.1564886	E
5bs7	3	6	C2	P62806	0.9367234	10.27271	N
5bs7	3	6	C2	Q68FG3	0.02447519	0.008327001	E
