proID	geneName	Rep1_t=0	Rep1_t=1	Rep1_t=2	Rep1_t=4	Rep1_t=8	Rep1_t=16	Rep1_t=32	Rep2_t=0	Rep2_t=1	Rep2_t=2	Rep2_t=4	Rep2_t=8	Rep2_t=16	Rep2_t=32	Median_4	Median_8	c1_k10	c2_k10	c2_k20	c2_k12	#dataPts	c1_AICp	c1_RSS	c2_AICp	c2_RSS	AIC.recommendation	c1_aveLife	c1_thalf	c2_aveLife	c2_thalf.pulse.	c2_thalf.ss.	X.deg.fr.comp1.2comp.	X.deg.fr.comp2.2comp.	ss..comp1.2comp.	ss..comp2.2comp.	Median_deltascore	def
P62312	LSM6	1	1.119275457	0.930111073	1.130216646	1.083225432	1.091693822	0.984038052	1	1.138648324	1.032202455	NA	NA	NA	NA	1.130216646	1.083225432	2.84E-08	0.000257186	1.00E-05	2.203781863	10	0.977095283	0.001228624	0.022904717	0.001230218	1	35223616.37	50816936.65	99648.21697	4000	321.3	0.000116689	0.999883311	4.55E-06	0.999995447	-0.082437786	ED
Q53FA7	TP53I3	1	NA	NA	0.742655306	1.012540829	0.985202183	0.888871953	1	1.033243164	1.095580108	1.017372998	1.145938908	1.552111497	0.955243762	0.880014152	1.079239868	5.82E-07	0.001215579	1.14E-05	3.777236707	12	0.964454666	0.005130115	0.035545334	0.005131404	1	1717244.745	2477460.478	88052.91869	4000	187.1	0.000321713	0.999678287	3.01E-06	0.999996994	0.165945774	ED
F5GYC4	RPS6KA3	1	NA	NA	1.031196163	1.078922542	0.51748933	0.700746733	NA	NA	NA	NA	NA	NA	NA	1.031196163	1.078922542	0.015580309	0.000111188	0.016134625	0.869242833	5	0.999998377	0.008940647	1.62E-06	0.008925806	1	64.18357748	92.59732894	63.12086272	43.7	43	0.000127897	0.999872103	0.018223442	0.981776558	0.007261997	ED
C9JDU5	PRPSAP2	1	NA	NA	1.150364214	1.077663485	0.894180613	0.673595858	NA	NA	NA	NA	NA	NA	NA	1.150364214	1.077663485	0.009761022	8.65E-05	0.034747942	0.034653927	5	0.999996643	0.002424587	3.36E-06	0.001353256	1	102.4482907	147.801641	57.49188543	47.7	33	0.002490762	0.997509238	0.50067732	0.49932268	-0.102680971	ED
P04080	CSTB	1	0.910103422	0.844997748	1.050840603	1.114853134	0.884499915	0.918255067	1	0.879931948	1.020803191	1.027592287	1.027231391	0.959102946	0.996949008	1.039216445	1.071042262	0.001679271	0.620301766	0.000372508	4.150178723	14	0.940997396	0.00116073	0.059002604	0.001076406	1	595.4966061	859.1200005	2335.653955	1778.7	148.1	0.130029201	0.869970799	8.97E-05	0.999910251	-0.004150885	ED
P30086	PEBP1	1	0.971424046	1.059511555	1.034575573	1.127964476	1.054690897	1.219488253	1	0.961164332	0.955625797	0.995986942	0.994526761	1.088394104	1.132290434	1.015281258	1.061245618	3.51E-06	6.29E-06	1.55E-08	3.544201304	14	0.953894134	0.001191337	0.046105866	0.001190071	1	285200.7643	411457.7283	64347965.24	3999.5	199.5	1.77E-06	0.999998227	4.38E-09	0.999999996	0.014555989	ED
P07108	DBI	1	0.980771178	0.863670098	1.137404885	1.066797216	0.820775288	0.890792007	1	0.924986892	1.131826878	0.988658946	1.036913683	0.892021094	0.860066988	1.063031915	1.05185545	0.004534529	4.05E-06	0.005594716	0.21707278	14	0.949557108	0.00131362	0.050442892	0.001277283	1	220.5300561	318.1576183	183.3434109	128.1	124	1.86E-05	0.99998135	0.025125877	0.974874123	-0.035847272	ED
P62942	FKBP1A	1	0.939776341	0.884635045	0.967625617	0.981575901	1.008672634	1.098958827	1	0.947330365	0.980182074	1.027295033	1.109162473	0.894496117	1.066928115	0.997460325	1.045369187	1.81E-08	0.1629469	8.42E-07	3.83011865	14	0.950827284	0.000817867	0.049172716	0.000801365	1	55245971.72	79703089.42	1139230.516	4000	177	0.040807469	0.959192531	2.20E-07	0.99999978	0.024727961	ED
P30043	BLVRB	1	0.986523768	1.03899647	0.898708108	1.036287979	0.684641387	0.923699536	1	0.877801362	0.995170096	0.973228285	1.046666284	0.795832553	0.887496748	0.935968197	1.041477131	0.00587457	1.119397374	0.00416451	4.903559249	14	0.944713023	0.002103955	0.055286977	0.001989946	1	170.2252132	245.583071	195.6619739	157.5	117.3	0.185855128	0.814144872	0.000848562	0.999151438	0.086493793	ED
P15121	AKR1B1	1	0.950021257	1.024663653	0.899573765	1.031212917	0.954521006	1.192115478	1	0.927466877	0.964887696	0.975302883	1.049064485	0.980961372	1.004487479	0.937438324	1.040138701	1.34E-06	0.078301092	4.29E-06	3.401223419	14	0.953001815	0.000790611	0.046998185	0.000785248	1	746791.7831	1077392.802	227910.7629	4000	203.2	0.022503388	0.977496612	1.26E-06	0.999998739	0.084281346	ED
P21266	GSTM3	1	0.91675485	0.881645427	0.948824442	1.066585997	0.797601607	0.844006994	1	NA	NA	1.18744543	1.012434274	1.123805237	1.08417388	1.068134936	1.039510136	0.001408757	0.232873492	0.000988402	4.847104962	12	0.964173319	0.002430853	0.035826681	0.002424846	1	709.8457705	1024.090973	965.5517311	691.9	139.1	0.045841433	0.954158567	0.000203874	0.999796126	-0.046539288	ED
O43813	LANCL1	1	NA	NA	0.828647262	1.023409232	0.933802283	0.994084596	1	0.835943467	0.728798998	0.93429769	1.029453073	NA	NA	0.881472476	1.026431153	0.001871266	2.177114751	2.32E-05	3.664639199	10	0.921810705	0.003266467	0.078189295	0.001955394	1	534.3974452	770.9725441	27057.70311	4000	120.9	0.372681693	0.627318307	6.33E-06	0.999993673	0.139205444	ED
E9PL57	NEDD8-MDP1	1	0.579981063	0.762049182	NA	NA	0.889166239	0.715853582	1	NA	NA	0.989853073	1.016093443	NA	NA	0.989853073	1.016093443	0.009947187	4.982107843	0.000465554	2.804453779	8	0.97745319	0.0085217	0.02254681	0.005440989	1	100.5309323	145.0354774	773.7572424	1047.5	90.7	0.639834125	0.360165875	0.000165978	0.999834022	0.018181416	ED
P43490	NAMPT	1	1.019221218	1.030554227	0.978125845	1.036936272	1.007242245	1.082206405	1	0.924222861	1.039642313	0.99631959	0.992904066	0.951057667	1.023890039	0.987222718	1.014920169	3.80E-07	0.000757302	1.51E-06	3.5894616	14	0.954169707	0.000272537	0.045830293	0.000272736	1	2630001.836	3794290.606	662188.6254	4000	196.9	0.000210935	0.999789065	4.21E-07	0.999999579	0.020264593	ED
Q5TC12-3	ATPAF1	1	0.805280266	1.179112478	0.778825539	0.963852271	1.316503505	2.596253345	1	0.947478916	0.834135525	0.976771886	1.065243277	1.364138598	1.497104731	0.877798712	1.014547774	1.56E-06	6.98E-06	2.04E-08	3.440283648	14	0.954040529	0.019178066	0.045959471	0.019175945	1	640829.5371	924521.5952	49036845.01	4000	205.5	2.03E-06	0.999997972	5.93E-09	0.999999994	0.137559454	ED
Q6GMV3	PTRHD1	1	1.050646743	1.103395796	0.882688992	1.008505089	1.016807707	0.836416331	NA	NA	NA	NA	NA	NA	NA	0.882688992	1.008505089	0.004128201	2.63E-06	0.020701359	0.020694397	7	0.995334939	0.000988626	0.004665061	0.000863398	1	242.2362516	349.4730389	96.61598717	80.6	55.4	0.00012706	0.99987294	0.500084095	0.499915905	0.12901692	ED
P00558	PGK1	1	0.966773069	0.921153064	0.995002062	0.982963994	0.901499616	0.899247447	1	0.92888319	1.00122655	1.016818148	1.029100483	0.929928286	0.951979224	1.005910105	1.006032239	0.002903243	0.577343115	0.001923111	4.888432963	14	0.927510415	0.000289318	0.072489585	0.000251933	1	344.4424434	496.9254049	465.2478628	349.4	129.3	0.105628754	0.894371246	0.000393246	0.999606754	-0.00288565	ED
Q8IYB5-3	SMAP1	1	0.838495611	1.042841212	0.944916189	1.004564299	0.465792013	0.459462362	NA	NA	NA	NA	NA	NA	NA	0.944916189	1.004564299	0.027394173	0.010595753	0.028544674	0.550620246	7	0.996279933	0.005394327	0.003720067	0.005364468	1	36.50411375	52.66430387	36.15323081	25.2	24.3	0.01887999	0.98112001	0.049285917	0.950714083	0.058936001	ED
Q9BRA2	TXNDC17	1	0.927227745	0.842479704	1.035722924	0.943303479	0.872208729	0.916799045	1	0.934755831	1.083806264	0.996119974	1.05479582	0.940325817	0.989953446	1.015921449	0.999049649	0.002386497	0.967096811	0.000875674	4.919687722	14	0.935653476	0.000918767	0.064346524	0.000829823	1	419.0241203	604.5240203	954.5407357	754.2	120	0.164282692	0.835717308	0.000177962	0.999822038	-0.016271434	ED
Q9HB90	RRAGC	1	NA	NA	0.983303688	0.996003946	0.955831729	0.892067198	NA	NA	NA	NA	NA	NA	NA	0.983303688	0.996003946	0.003292345	0.000787279	0.006045838	0.054831726	5	65535	2.44E-05	5.12E-06	9.72E-06	1	303.7348434	438.1967524	181.0412632	130.9	116.4	0.014154861	0.985845139	0.099311424	0.900688576	0.014835237	ED
P14618-2	PKM	1	0.92469616	0.894038058	0.979322469	1.004766217	0.94853769	0.917518973	1	0.90092436	0.89991412	1.036922086	0.980370518	0.873587122	0.833976086	1.008122277	0.992568368	0.004486763	1.531578709	0.002319957	4.925157361	14	0.870430811	0.000664449	0.129569189	0.00048131	1	222.8778224	321.5447292	328.9512873	278.5	109.4	0.237206336	0.762793664	0.000470821	0.999529179	-0.011819161	ED
Q53H82	LACTB2	1	NA	NA	0.896870952	0.991266219	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.896870952	0.991266219	0.006319494	0.521734867	2.09E-05	2.622158051	3	1	0.0005488	NA	0.00031533	1	158.2405103	228.2927995	39853.2912	4000	225	0.165951857	0.834048143	7.98E-06	0.999992019	0.104457221	ED
Q9NRX4-2	PHPT1	1	1.065781473	0.931164141	1.149610159	0.991021008	1.013997195	0.991013603	NA	NA	NA	NA	NA	NA	NA	1.149610159	0.991021008	4.65E-06	0.000460771	1.21E-05	3.684059102	7	0.996318744	0.000779862	0.003681256	0.000780224	1	215030.0006	310222.7156	82300.7424	4000	191.9	0.000125056	0.999874944	3.30E-06	0.999996702	-0.143932666	ED
P04406-2	GAPDH	1	NA	NA	0.955213288	1.199614826	1.077665461	1.493549167	1	NA	NA	0.973520485	0.780467053	0.97604149	1.004099539	0.964366886	0.99004094	3.95E-06	0.001365923	1.64E-06	4.710688837	10	0.97701811	0.004990802	0.02298189	0.004990401	1	253133.6777	365194.7014	610936.2597	4000	149.9	0.000289878	0.999710122	3.47E-07	0.999999653	0.031278978	ED
P46926	GNPDA1	1	1.022648465	0.980995627	0.733261064	0.777855052	0.834872442	1.040756101	1	NA	NA	1.42685653	1.198863568	NA	NA	1.080058797	0.98835931	0.001386272	0.007270372	4.51E-06	0.137094289	10	0.976279245	0.006618098	0.023720755	0.006532354	1	721.3590993	1040.701195	210785.0161	4000	4000	0.050361159	0.949638841	3.29E-05	0.999967138	-0.082869968	ED
P61106	RAB14	1	1.119258644	0.989511293	0.997333799	0.969795282	1.042168703	0.753922096	1	1.023511769	1.149893973	0.97869464	0.99539162	1.058312815	0.841223248	0.988014219	0.982593451	0.004757951	2.84E-06	0.023192219	0.02319192	14	0.886448823	0.001173232	0.113551177	0.000887124	1	210.1745083	303.2177208	86.2258229	71.9	49.4	0.000122358	0.999877642	0.500003225	0.499996775	0.003278278	ED
Q9BS40	LXN	1	0.967765056	1.012011889	0.996196083	1.035906032	0.753205538	0.894143625	1	0.766582007	0.944651463	0.800016201	0.929261783	0.56061951	0.703717374	0.898106142	0.982583908	0.0110695	3.785431118	0.007044457	4.829164653	14	0.925926244	0.004691644	0.074073756	0.00405826	1	90.33831946	130.3306455	79.6934554	86	82	0.439420632	0.560579368	0.001456607	0.998543393	0.098682251	ED
Q04760-2	GLO1	1	0.894694611	0.787067954	1.057533961	0.874094302	0.929785876	0.787645036	1	1.012670428	0.964122757	1.189244303	1.09061772	1.08661544	0.964934298	1.123389132	0.982356011	0.003199007	0.219417393	0.002794973	4.842971047	14	0.953638761	0.002324358	0.046361239	0.00231805	1	312.5970509	450.9822151	342.4754137	244.9	139.6	0.043342662	0.956657338	0.000576787	0.999423213	-0.125250877	ED
Q9UBQ0	VPS29	1	0.887934876	1.009385561	1.014640261	1.00788369	0.944983571	0.951290195	1	1.044303252	0.985117235	0.932953579	0.9452492	1.003082177	0.969836444	0.97379692	0.976566445	0.001512138	0.542944441	0.000556294	4.814572104	14	0.933503709	0.000336524	0.066496291	0.000300907	1	661.3152633	954.0762508	1615.622043	1208.8	131.8	0.10134256	0.89865744	0.000115531	0.999884469	0.014696255	ED
P40925	MDH1	1	0.931342164	0.895347721	1.025675184	0.970435863	0.969031766	0.902459768	1	0.900208489	0.944263155	1.008908538	0.980050743	0.934502642	0.909586213	1.017291861	0.975243303	0.003179781	1.029723379	0.001273797	4.434007368	14	0.829531749	0.00041953	0.170468251	0.00027715	1	314.4870791	453.7089494	637.2821161	511.6	129.3	0.18846525	0.81153475	0.000287196	0.999712804	-0.029678207	ED
Q86UY8	NT5DC3	1	NA	NA	0.983850399	0.974311873	1.126808849	0.955227373	NA	NA	NA	NA	NA	NA	NA	0.983850399	0.974311873	8.64E-06	0.029398138	0.000191797	3.702743407	5	0.999998416	0.0006525	1.58E-06	0.000664042	1	115708.7549	166932.4468	5173.055222	3603.2	189.4	0.007877016	0.992122984	5.18E-05	0.999948204	0.003269513	ED
P51570	GALK1	1	NA	NA	0.871002181	0.973475553	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.871002181	0.973475553	0.009594396	1.501660209	1.52E-05	3.482236423	3	1	0.000781732	NA	0.000389334	1	104.2275077	150.3685085	45919.83057	4000	141.8	0.301302439	0.698697561	4.37E-06	0.999995631	0.124669515	ED
Q9HC38-2	GLOD4	1	0.960516767	0.887866052	1.082352628	0.912182597	0.955739861	0.878884628	1	0.807133232	0.846002497	1.045674569	1.032459873	0.927725273	0.970370789	1.064013598	0.972321235	0.002868279	1.793229434	2.77E-05	4.437419909	14	0.893329232	0.001484161	0.106670768	0.001144978	1	348.6411267	502.9828245	25673.26379	4000	113.3	0.287807793	0.712192207	6.25E-06	0.999993748	-0.076082691	ED
P31150	GDI1	1	0.839021768	0.75707787	0.9128608	0.927136196	0.785513461	0.773192136	1	0.887253947	0.958017039	1.008144782	1.016437175	0.889708515	0.861423967	0.960502791	0.971786686	0.0075025	4.126118873	0.003187924	4.748079109	14	0.803458678	0.001959704	0.196541322	0.00123174	1	133.288908	192.2952466	167.9470318	188.1	79.5	0.46495682	0.53504318	0.000670963	0.999329037	0.025988912	ED
O43301	HSPA12A	1	NA	NA	0.912464405	0.75628715	NA	NA	1	NA	NA	1.154129039	1.183283181	NA	NA	1.033296722	0.969785165	0.004258651	7.29E-06	0.038130717	0.038229175	6	0.999439188	0.00416166	0.000560812	0.004121801	1	234.8161224	338.7680553	52.37361726	43.5	30	0.000190726	0.999809274	0.499355302	0.500644698	-0.048094748	ED
P18669	PGAM1	1	0.927666424	0.900283846	1.016004705	0.970741893	0.991489065	0.934691011	1	0.994109802	0.913378707	1.034003608	0.961700156	0.915510483	0.869906034	1.025004157	0.966221024	0.003295121	0.806133304	0.001915639	4.753620433	14	0.9126424	0.000416361	0.0873576	0.000342156	1	303.4789725	437.8276086	446.5090722	346.2	127.1	0.144994426	0.855005574	0.000402823	0.999597177	-0.041878002	ED
P60709	ACTB	1	1.079388196	1.071666259	0.954372729	0.937570983	0.987060264	0.867331623	1	1.137662122	0.906622927	1.134034491	0.985111557	0.985170272	0.852426424	1.04420361	0.96134127	0.00376685	1.80E-06	0.019507899	0.019517851	14	0.935698129	0.000898135	0.064301871	0.00081136	1	265.4737747	382.9976983	102.4870092	85.5	58.7	9.20E-05	0.999908036	0.499872497	0.500127503	-0.062967406	ED
P17931	LGALS3	1	0.95541779	1.039131055	0.907317934	1.007695154	0.800297663	0.848206542	1	1.016623377	0.898831678	0.985067764	0.911709256	0.88006697	0.830487549	0.946192849	0.959702205	0.006635022	0.01401194	8.87E-06	0.058400073	14	0.904765338	0.000550491	0.095234662	0.000440267	1	150.7153982	217.4363575	90963.39245	4000	4000	0.193502981	0.806497019	0.000151818	0.999848182	0.034742751	ED
P36405	ARL3	1	NA	NA	NA	NA	0.753572478	0.831814558	1	0.788044437	0.956097194	0.960790382	0.956971675	0.919241611	0.894945046	0.960790382	0.956971675	0.006109124	4.524842995	0.001698612	4.51715321	10	0.927691165	0.001828511	0.072308835	0.001132245	1	163.6895862	236.1541543	294.2183091	346.2	78.1	0.500425226	0.499574774	0.000375895	0.999624105	0.018008276	ED
P41250	GARS	1	0.807698289	0.876192695	0.798876565	0.969868033	0.820224003	1.034516901	1	0.970499322	0.931541748	0.889925184	0.942044777	1.126542258	1.313049528	0.844400875	0.955956405	9.23E-07	0.98192307	6.81E-06	3.702374892	14	0.926924012	0.003588166	0.073075988	0.003116763	1	1083667.962	1563402.395	116071.7668	4000	150.9	0.209620113	0.790379887	1.84E-06	0.999998161	0.146606443	ED
Q9NR45	NANS	1	1.050682035	0.893154646	1.055276826	0.891181661	1.014183784	0.867922202	1	1.06855845	0.984054406	0.946415105	1.011199131	1.02787616	1.06713665	1.000845966	0.951190396	0.001014063	0.009834128	0.000254684	0.446002892	14	0.951897351	0.000830259	0.048102649	0.000818901	1	986.1318742	1422.687565	3843.924449	2654.4	1557.9	0.021573781	0.978426219	0.00057071	0.99942929	-0.025866124	ED
P78417	GSTO1	1	0.857740102	0.89484835	0.843353225	0.904802913	0.6736426	0.742651051	1	0.881643878	0.977078375	0.912196172	0.990184117	0.906642105	0.989271832	0.877774699	0.947493515	0.007410815	4.319889338	0.002533956	4.43125801	14	0.830518657	0.00275181	0.169481343	0.001821536	1	134.9379294	194.6742816	199.9453572	231.8	80.7	0.49363691	0.50636309	0.00057151	0.99942849	0.103397732	ED
O15305	PMM2	1	0.898221489	0.988124868	0.939321088	1.006252049	0.715559586	0.83835488	1	1.010198518	1.103827815	0.988645839	0.878649506	0.821393574	0.834269183	0.963983463	0.942450777	0.007746634	0.518109713	0.006847333	4.841593583	14	0.950002097	0.001255244	0.049997903	0.001223779	1	129.0883309	186.2350948	132.1112782	98.4	101.2	0.096667611	0.903332389	0.001412275	0.998587725	0.007045346	ED
P12429	ANXA3	1	1.14043265	1.067033568	0.962390717	1.038218619	0.908251541	0.97260448	1	NA	NA	1.116479935	0.844730001	NA	NA	1.039435326	0.94147431	0.002027645	1.11E-05	0.002211448	0.632378858	10	0.97675271	0.001302517	0.02324729	0.001296304	1	493.1829703	711.5126255	453.7656592	314.6	313.4	1.76E-05	0.999982393	0.003484844	0.996515156	-0.068831719	ED
Q9Y2X7	GIT1	1	0.945800548	0.922901636	0.917581935	0.851706137	0.742638321	0.52859816	1	0.964273076	1.001161904	0.92349188	1.031153298	NA	NA	0.920536908	0.941429718	0.018698584	0.010045415	0.026901444	0.070960114	12	0.939000302	0.000617806	0.060999698	0.000511573	1	53.47998516	77.15530938	44.90780878	34.2	28.2	0.124009005	0.875990995	0.274892867	0.725107133	0.052620392	ED
P30622-2	CLIP1	1	0.841333384	0.750113773	1.023832382	0.916125452	0.557439656	0.556722898	1	0.843725476	1.323298082	0.753940276	0.957352817	0.876417797	0.688541679	0.888886329	0.936739135	0.016332362	2.090109701	0.013661289	4.967531304	14	0.9457376	0.005695724	0.0542624	0.005417631	1	61.22813263	88.33352331	51.66329402	46.5	50.7	0.296148486	0.703851514	0.002742574	0.997257426	0.085110696	ED
B4DFQ6	ACSF2	1	1.231593839	1.051130073	1.1322783	0.936265587	0.421028543	0.382847714	NA	NA	NA	NA	NA	NA	NA	1.1322783	0.936265587	0.032444339	0.007657926	0.03304537	1.571399184	7	0.996144587	0.008055026	0.003855413	0.00784791	1	30.82201844	44.46677316	30.74795611	21.2	21	0.004849683	0.995150317	0.020596144	0.979403856	-0.157159846	ED
Q96EK6	GNPNAT1	1	0.785077835	0.810271374	0.857134982	0.957570127	NA	NA	1	NA	NA	0.98926221	0.90373962	1.028488938	0.892618651	0.923198596	0.930654873	0.003920518	2.824460102	7.36E-06	3.809336033	10	0.872835724	0.0024577	0.127164276	0.001184988	1	255.0683049	367.9857786	78034.19178	4000	106.5	0.4257683	0.5742317	1.93E-06	0.999998068	0.043977516	ED
P52888	THOP1	1	0.950142402	0.79964033	0.962280537	0.840619559	0.788896455	0.686415499	1	0.980865907	1.091396665	1.040524469	1.017943741	0.890155175	0.843940898	1.001402503	0.92928165	0.009051391	0.485557018	0.008153608	4.688845838	14	0.950680473	0.001490321	0.049319527	0.001458944	1	110.480254	159.3893146	111.3295492	82.6	85	0.093838271	0.906161729	0.001735918	0.998264082	-0.038073226	ED
Q92747	ARPC1A	1	0.868892834	0.723582853	0.878650438	0.691405452	0.790428328	0.639559649	1	0.782735907	0.92428143	0.946210973	1.166119174	NA	NA	0.912430705	0.928762313	0.014977672	4.756158795	0.008474733	4.160596252	12	0.909142079	0.004716017	0.090857921	0.003382785	1	66.76605011	96.3230494	55.17043549	67.5	79.2	0.533395699	0.466604301	0.002032763	0.997967237	0.054691923	ED
O00743	PPP6C	1	0.849612506	0.851884701	0.937108764	0.927695016	0.713440028	0.550871867	1	NA	NA	NA	NA	0.867649926	0.664377912	0.937108764	0.927695016	0.015570089	2.4698208	0.012807573	4.916848788	10	0.962175122	0.001466979	0.037824878	0.001194464	1	64.22570802	92.65811046	52.10760896	49	54.1	0.334361889	0.665638111	0.002598066	0.997401934	0.027429803	ED
Q15181	PPA1	1	0.984646463	0.837477443	1.011343993	0.899089614	0.945355758	0.784988169	1	0.958744466	0.967099326	1.009372812	0.956020146	0.95222104	0.973519827	1.010358402	0.92755488	0.004357456	0.270225839	0.002643641	2.437880989	14	0.926296687	0.000824372	0.073703313	0.000714184	1	229.4917034	331.0865425	340.8905443	248.1	261.6	0.099784039	0.900215961	0.001083226	0.998916774	-0.04790678	ED
Q96JY6	PDLIM2	1	NA	NA	1.024768572	0.801324443	0.795641472	0.472209015	1	1.024923844	1.261937803	0.898784109	1.052509613	0.712937403	0.763137544	0.961776341	0.926917028	0.015755567	3.21E-06	0.018029607	0.313126097	12	0.959095862	0.003847188	0.040904138	0.003665369	1	63.46962859	91.56731842	58.6573248	41.3	38.6	1.03E-05	0.999989738	0.054444502	0.945555498	0.001027737	ED
Q92930	RAB8B	1	NA	NA	1.062433368	0.926735982	1.101902975	0.762306448	NA	NA	NA	NA	NA	NA	NA	1.062433368	0.926735982	0.005514024	0.003199704	0.005531159	2.184662588	5	0.999998376	0.001930912	1.62E-06	0.001926303	1	181.3557595	261.6410549	180.9865891	125.4	125.3	0.001462479	0.998537521	0.00252542	0.99747458	-0.098605189	ED
F5GYN4	OTUB1	1	1.047270681	0.961089239	0.933647677	1.064829086	1.228772239	1.037310462	1	0.931364998	0.806729548	1.228907989	0.788053719	1.62302976	0.965634008	1.081277833	0.926441402	5.58E-08	0.000324153	2.20E-06	2.282969487	14	0.954086551	0.005959048	0.045913449	0.005960177	1	17936493.23	25876889.84	455239.0954	4000	310.1	0.000141967	0.999858033	9.62E-07	0.999999038	-0.116345761	ED
