Rep1_t=0	Rep1_t=1	Rep1_t=2	Rep1_t=4	Rep1_t=8	Rep1_t=16	Rep1_t=32	Rep2_t=0	Rep2_t=1	Rep2_t=2	Rep2_t=4	Rep2_t=8	Rep2_t=16	Rep2_t=32	Rep3_t=0	Rep3_t=1	Rep3_t=2	Rep3_t=4	Rep3_t=8	Rep3_t=16	Rep3_t=32	Rep4_t=0	Rep4_t=1	Rep4_t=2	Rep4_t=4	Rep4_t=8	Rep4_t=16	Rep4_t=32	Median_4	Median_8	c1_k10	c2_k10	c2_k20	c2_k12	#dataPts	c1_AICp	c1_RSS	c2_AICp	c2_RSS	AIC.recommendation	c1_aveLife	c1_thalf	c2_aveLife	c2_thalf.pulse.	c2_thalf.ss.	X.deg.fr.comp1.2comp.	X.deg.fr.comp2.2comp.	ss..comp1.2comp.	ss..comp2.2comp.	Median_deltascore	Rel. abund	def	proID	geneName
1	1.384167	1.152735	1.116485	1.16084	1.028271	0.8908056	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.116485	1.16084	0.000741591	2.09E-06	0.01413685	0.01410118	7	0.9960494	0.004679605	0.00395061	0.004495927	1	1348.452	1945.405	141.6321	118.4	81.2	0.000148331	0.9998516	0.5006315	0.4993685	-0.03561322	0.02243941	ED	Q61107	Gbp4
1	NaN	NaN	1.081671	1.155743	1.004562	1.14682	1	1.127458	1.18439	NaN	NaN	NaN	NaN	1	1.277489	1.248638	NaN	NaN	1.125209	1.044099	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.081671	1.155743	4.03E-08	0.005541903	5.06E-05	3.607554	13	0.9602002	0.003104742	0.03979981	0.003135236	1	2.48E+07	3.58E+07	19733.71	4000	195.7	0.001533838	0.9984661	1.40E-05	0.999986	-0.006135451	0.5479009	ED	Q8VBV7	Cops8
1	1.094344	1.331012	1.266762	1.536451	1.71791	2.669915	1	0.9686942	1.021413	1.162635	1.173384	1.128998	1.61608	1	0.8453835	0.9683092	0.9361212	1.133089	1.567361	2.471511	1	0.875843	0.5642935	0.7174684	0.5009122	0.7492867	0.7643136	1.049378	1.153237	2.51E-06	8.42E-05	6.08E-08	4.535927	28	0.9185221	0.02722274	0.0814779	0.02722024	1	397949.3	574119.5	1.65E+07	4000	155.8	1.86E-05	0.9999814	1.34E-08	1	0.02308862	3.932429	ED	Q5F2E7	Nufip2
1	NaN	NaN	0.9910854	1.17477	1.158393	1.728808	1	NaN	NaN	1.155311	1.13806	1.155331	1.733677	1	0.9382888	0.9478968	NaN	NaN	1.005293	1.33604	1	0.9796981	0.7870834	1.20648	0.9269922	NaN	NaN	1.155311	1.13806	4.94E-06	2.92E-06	2.08E-08	3.261492	20	0.9331476	0.008474538	0.06685237	0.008469773	1	202588.8	292273.8	4.82E+07	NaN	216.9	8.97E-07	0.9999991	6.36E-09	1	-0.07970696	0.4679535	ED	Q61171	Prdx2
1	0.8626766	0.9300983	0.9813739	1.133054	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.9813739	1.133054	9.37E-08	0.567972	1.60E-05	4.150979	5	0.9999982	0.001623148	1.78E-06	0.001504046	1	1.07E+07	1.54E+07	54854.88	4000	149.7	0.1203598	0.8796402	3.86E-06	0.9999961	0.08126007	0.0141326	ED	F6XC25	Cc2d1b
1	NaN	NaN	0.9171451	1.102201	0.955557	0.8565177	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.9171451	1.102201	0.003861363	0.0009847	0.003888834	1.670133	5	0.9999984	0.000857416	1.63E-06	0.000854759	1	258.976	373.6233	257.5933	178.5	178.2	0.000589246	0.9994107	0.002323049	0.997677	0.1351442	0.01272614	ED	Q9R062	Gyg1;Gyg
1	0.9440424	0.98184	1.338923	1.495561	1.180977	0.9821986	1	0.9357953	0.8029792	0.8489236	0.6923758	0.8361224	0.7122595	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.093923	1.093969	0.004191729	0.1626823	0.00389237	4.846823	14	0.9539911	0.007983203	0.04600888	0.007979752	1	238.565	344.1766	248.7693	176.4	141.1	0.03247471	0.9675253	0.000802432	0.9991975	-0.04486476	0.2333755	ED	Q9DBF1-2	Aldh7a1
1	0.9809818	0.9948123	1.230762	1.085332	0.8326417	0.7516655	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.230762	1.085332	0.007772455	1.02E-06	0.02433242	0.03799468	7	0.9947023	0.002230686	0.005297698	0.001810921	1	128.6595	185.6164	67.41509	55.5	38.8	2.69E-05	0.9999731	0.3903987	0.6096013	-0.1666904	0.1307192	ED	P55264-2	Adk
1	NaN	NaN	1.017467	1.077972	0.815294	0.786456	1	0.873796	1.010273	NaN	NaN	0.8399848	0.8854668	1	NaN	NaN	NaN	NaN	0.6839036	0.6213681	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.017467	1.077972	0.009780122	0.5767447	0.008944591	4.940482	13	0.9577797	0.002382163	0.04222028	0.002360422	1	102.2482	147.513	100.2937	75.2	77.5	0.1045353	0.8954648	0.001807197	0.9981928	0.0202243	1.047506	ED	A2AP78	Hmgb3;Gm6104
1	0.9614562	0.882244	0.9202297	0.8702796	0.9630015	0.8284912	1	1.027916	1.10505	0.9890795	1.014264	0.8666438	0.8255297	1	1.039442	1.118031	1.026301	1.135007	1.033617	1.027465	1	1.042003	1.139009	1.044714	1.238979	1.036812	1.130674	1.00769	1.074636	0.001284353	5.20E-07	0.01143974	0.01145888	28	0.9084869	0.001717142	0.09151307	0.001686082	1	778.6022	1123.286	174.6752	146.1	100.1	4.54E-05	0.9999546	0.4995821	0.5004179	0.02832994	9.082439	ED	P34022	Ranbp1
1	1.263582	1.21533	1.116198	1.23802	1.432928	1.685213	1	1.079783	1.114697	0.997007	1.074213	1.277991	1.53865	1	0.8227245	0.7098678	0.7537211	0.7555473	1.06331	1.169485	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.997007	1.074213	7.67E-06	6.53E-06	2.34E-08	2.997345	21	0.9306996	0.01045327	0.06930036	0.01044703	1	130387.6	188109.6	4.28E+07	4000	236	2.18E-06	0.9999978	7.79E-09	1	0.03879157	0.384001	ED	Q62012	Ott;Gm15097;Gm15107;Gm15093;Gm15080;Gm15128;Gm15114
1	NaN	NaN	NaN	NaN	0.9861052	0.7989357	1	1.356574	0.9131746	1.104808	1.222836	0.9342337	0.8742574	1	0.9609491	0.9397276	0.809704	0.8930576	0.9604206	0.8402449	1	0.7999353	0.5843332	NaN	NaN	0.8210772	0.6199537	0.9572561	1.057947	0.007279593	0.1742894	0.005230034	1.60013	22	0.9181765	0.00552992	0.08182354	0.005382275	1	137.3703	198.1835	172.9863	123.3	132.5	0.09822334	0.9017767	0.003257858	0.9967421	0.07184923	0.5420311	ED	Q91Z53	Grhpr
1	0.8615463	0.9956185	1.039923	1.213665	1.107172	1.088207	1	0.7306619	0.9035439	1.14413	0.9019142	0.9270488	0.8213522	1	1.379288	1.242592	1.426043	1.263543	1.267986	1.000656	1	1.072581	0.6006954	1.097903	0.6350864	0.7863449	0.446326	1.121017	1.05779	0.005207534	8.60E-06	0.02408118	0.0240722	28	0.9052647	0.01137331	0.09473526	0.01110687	1	192.0295	277.0399	83.03822	69.2	47.6	0.000357207	0.9996428	0.5000932	0.4999068	-0.08614499	3.549325	ED	O35215	Ddt
1	NaN	NaN	1.181167	1.068402	0.9921677	0.8672814	1	1.075035	1.309783	0.6945588	1.042528	0.759886	0.8827898	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.9378629	1.055465	0.004544112	4.59E-06	0.005275056	0.2977907	12	0.9636881	0.004711391	0.03631193	0.004677936	1	220.065	317.4867	192.9265	134.3	131.5	1.54E-05	0.9999846	0.01740565	0.9825944	0.09114217	0.3339718	ED	Q6P8I4	Pcnp
1	NaN	NaN	0.9385794	1.051955	0.5959278	0.4177043	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.9385794	1.051955	0.02651906	4.09E-06	0.03344371	0.1985478	5	0.9999976	0.003025046	2.45E-06	0.002168813	1	37.70873	54.4022	34.93684	25.7	21.6	2.06E-05	0.9999794	0.1441592	0.8558408	0.08871312	0.07654338	ED	Q9D1F4	Akt1s1
1	0.9140997	1.035181	0.8564103	1.009947	0.885207	0.9718838	1	1.141172	1.000255	1.132087	1.135715	1.217943	1.136679	1	1.063599	0.9746695	1.048312	0.9603678	1.084515	0.9897193	1	0.8780766	1.023436	0.6984071	1.093661	0.8700352	1.138137	0.9523613	1.051804	9.19E-07	0.03777461	5.11E-05	3.714501	28	0.9206543	0.002417162	0.07934569	0.002426918	1	1088153	1569873	19378.77	4000	188.4	0.01006712	0.9899329	1.38E-05	0.9999862	0.07406404	8.669073	ED	Q9D819	Ppa1
1	NaN	NaN	NaN	NaN	0.7618805	0.8277517	1	1.11893	1.013573	1.077688	1.048784	1.089727	1.003091	1	NaN	NaN	NaN	NaN	0.7421107	0.5906504	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.077688	1.048784	0.007574202	3.70E-06	0.008802093	0.2640485	13	0.9567693	0.004044898	0.04323074	0.003977628	1	132.0271	190.4749	117.3949	82.1	78.9	1.40E-05	0.999986	0.03225975	0.9677402	-0.0510022	0.3006207	ED	P47199	Cryz
1	1.017565	1.014356	1.024389	1.045483	0.7696521	1.164162	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.024389	1.045483	9.21E-07	0.02690264	3.22E-06	3.58889	7	0.9963151	0.002552185	0.003684927	0.002551912	1	1085357	1565839	307953.5	4000	195.5	0.007440316	0.9925597	8.98E-07	0.9999991	-0.001857008	0.05130622	ED	Q6NZM9	Hdac4
1	NaN	NaN	0.8832086	1.044158	0.8770518	0.807267	1	1.027179	0.9498491	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.8832086	1.044158	0.006723524	0.02670182	0.006049363	0.9042715	8	0.9902703	0.000518777	0.009729701	0.000507521	1	148.7315	214.5742	161.6396	112.1	114.6	0.02868161	0.9713184	0.006645308	0.9933547	0.1457993	0.4132925	ED	Q99LT0	Dpy30
1	1.061692	1.053788	0.9773654	1.043531	0.8431717	0.7616384	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.9773654	1.043531	0.008079571	3.38E-06	0.01129984	0.13915	7	0.9940607	0.000614374	0.00593929	0.000467051	1	123.7689	178.5609	95.68101	68.4	61.9	2.43E-05	0.9999757	0.07510701	0.924893	0.04419958	0.2086691	ED	Q9WUL7	Arl3
1	1.018014	0.9702964	1.106817	1.074049	1.16069	1.388549	1	1.069348	1.020314	1.117146	1.092755	1.39779	1.324816	1	1.00589	1.039758	1.055237	1.012917	1.110121	1.100067	1	0.9021161	0.89095	1.048201	0.988006	1.021525	0.9547566	1.081027	1.043483	1.14E-06	0.000209995	6.41E-07	4.001392	28	0.918582	0.002805569	0.08141804	0.002805632	1	880358.6	1270089	1559636	4000	176.6	5.25E-05	0.9999475	1.60E-07	0.9999998	-0.05662962	91.79145	ED	P17742	Ppia
1	1.083488	1.076038	1.016345	1.041735	0.9031986	0.8233196	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.016345	1.041735	0.005297939	2.49E-06	0.01390995	0.04423411	7	0.9939385	0.000635519	0.006061518	0.0004775	1	188.7527	272.3125	94.49264	74.1	56	5.63E-05	0.9999437	0.2392325	0.7607675	0.004231029	0.4324665	ED	Q8BH93	Mapk1ip1l
1	1.015741	1.038174	0.9242245	0.9891164	0.9751474	1.232747	1	0.8702425	0.9200711	0.9135358	1.050669	0.8640374	0.9651634	1	0.9527305	0.9891898	0.9559951	1.041497	0.9989871	1.119342	1	1.178749	1.122649	0.987512	1.040669	1.011246	1.077456	0.9401098	1.041083	6.26E-07	0.002549957	2.31E-06	4.195377	28	0.9187824	0.001203179	0.08121765	0.001203668	1	1597978	2305394	432441.3	4000	168.3	0.000607432	0.9993926	5.51E-07	0.9999995	0.08188941	12.78153	ED	O70251	Eef1b
1	0.949384	0.9336641	0.9171034	0.9861519	0.864264	0.9493556	1	1.130806	1.127187	1.097603	1.092936	1.432761	1.67828	1	1.181149	1.176295	1.058362	1.189754	1.090642	1.002441	1	0.7578207	0.6616565	0.8758976	0.9667778	1.168007	1.209289	0.9877326	1.039544	1.61E-06	2.11E-05	3.74E-08	3.980857	28	0.9185181	0.00608954	0.08148185	0.006088935	1	620335.1	894954.4	2.67E+07	4000	177.6	5.31E-06	0.9999947	9.39E-09	1	0.03173428	6.037306	ED	P70296	Pebp1
1	1.017426	1.115283	0.9301473	1.020023	0.9557651	0.9740043	1	0.8996941	0.912798	0.8994628	0.8725324	0.887207	0.8364013	1	0.9128179	1.047481	0.9442046	1.058204	0.860363	0.9170984	1	1.022583	1.147988	1.008896	1.159489	1.069345	1.05783	0.9371759	1.039113	0.002098633	0.09432609	0.001919529	4.808818	28	0.9180574	0.001268713	0.08194262	0.001267474	1	476.5006	687.445	511.1428	359.1	144.1	0.01923788	0.9807621	0.000399009	0.999601	0.08406815	35.1314	ED	P09411	Pgk1
1	0.7382266	0.7340747	NaN	NaN	NaN	NaN	1	1.07347	1.100439	0.9058573	1.037512	0.8823769	0.8649382	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.9058573	1.037512	0.005405765	3.609434	0.00119261	4.733474	10	0.9632661	0.003954889	0.03673384	0.003259602	1	184.9877	266.8808	475.8539	507.9	84.6	0.432635	0.5673651	0.000251889	0.9997481	0.1172861	0.7345746	ED	D3Z637	Tpd52
1	0.9342773	1.289644	0.9206795	1.217265	0.9850951	1.217063	1	1.009717	1.208865	0.9945809	1.136691	0.9780168	1.018671	1	0.927633	0.9111521	0.90613	0.9335505	0.9406376	0.8825587	1	0.7531123	0.5641738	0.8744608	0.7460524	0.9679323	0.6976006	0.9134048	1.035121	0.002413663	1.40422	1.37E-05	4.182237	28	0.8820212	0.005832511	0.1179788	0.005499632	1	414.3081	597.7203	54513.72	4000	126.4	0.2513615	0.7486385	3.28E-06	0.9999967	0.1078352	3.049817	ED	Q9JII6	Akr1a1
1	0.9764934	0.9115658	1.202932	1.031735	0.8458818	0.6635733	1	NaN	NaN	NaN	NaN	0.5991306	0.3632333	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.202932	1.031735	0.02103018	1.63E-06	0.03023911	0.1281284	10	0.9694482	0.006764916	0.03055177	0.006017498	1	47.55071	68.60117	40.87392	31	24.7	1.27E-05	0.9999873	0.1909427	0.8090574	-0.1691408	0.06172067	ED	Q3UIA2	Arhgap17
1	NaN	NaN	0.9390834	0.966619	NaN	NaN	1	1.167164	1.174514	1.007693	1.095912	0.7947913	0.6596192	1	1.007984	0.5897745	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.9733881	1.031265	0.01194573	0.003358178	0.02151359	0.06205259	13	0.956379	0.005239794	0.04362098	0.005137779	1	83.71191	120.7708	59.38387	46.1	36	0.05133983	0.9486602	0.2574437	0.7425563	0.04236572	0.1439592	ED	P59326	Ythdf1
1	0.9390811	1.096938	0.9243047	1.027824	0.9366732	1.091358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.9243047	1.027824	3.84E-08	0.01142257	2.32E-06	3.956669	7	0.9963185	0.000845591	0.003681458	0.000845958	1	2.61E+07	3.76E+07	428969.8	4000	178.1	0.002878607	0.9971214	5.87E-07	0.9999994	0.09243544	0.3075766	ED	O35295	Purb
1	1.107988	1.064757	1.259526	1.215373	1.185673	1.316869	1	1.105224	0.9023161	1.12656	1.002886	1.144515	1.04762	1	1.180577	0.9924402	1.187002	1.004994	1.175949	0.9923412	1	1.088603	1.051983	1.053452	1.046218	1.24211	1.262095	1.156781	1.025606	1.14E-06	3.80E-05	1.60E-07	4.184083	28	0.9185092	0.003131142	0.08149084	0.003130777	1	880356.1	1270085	6262907	4000	168.9	9.08E-06	0.9999909	3.82E-08	0.9999999	-0.1329993	5.71188	ED	P45376	Akr1b1
1	1.048584	1.165827	1.222063	1.295406	1.432885	2.121627	1	NaN	NaN	0.963563	1.180398	1.57363	1.93801	1	0.7493842	0.7979105	0.8012972	0.8698633	1.28483	1.951727	1	0.7671686	0.5078426	0.7908068	0.5814377	1.278126	1.580464	0.8824301	1.025131	1.20E-06	0.008324773	5.39E-08	4.079122	26	0.9216946	0.02438565	0.0783054	0.0243987	1	836347.5	1206594	1.85E+07	4000	172.9	0.002036668	0.9979633	1.32E-08	1	0.1374857	21.39134	ED	Q6ZWN5	Rps9
1	NaN	NaN	0.9702991	1.02494	0.9997877	0.9680202	1	1.008852	0.9438756	0.9469785	1.073254	0.7599323	0.7774732	1	1.047135	0.9853059	1.031354	0.9742469	0.9822097	0.822257	1	1.032292	1.083933	NaN	NaN	1.055355	1.112345	0.9702991	1.02494	0.002852076	6.05E-06	0.003648122	0.1743569	24	0.9211767	0.001361881	0.07882332	0.001350433	1	350.6217	505.8402	279.8393	195.3	190.1	3.47E-05	0.9999653	0.02049449	0.9795055	0.04246782	0.5231317	ED	Q9D1P4	Chordc1
1	NaN	NaN	1.102254	1.020287	0.9305018	1.009694	1	NaN	NaN	NaN	NaN	1.105532	1.066346	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.102254	1.020287	2.20E-08	0.000659147	6.33E-06	2.482825	8	0.9907375	0.000692098	0.009262481	0.000694112	1	4.55E+07	6.56E+07	157857.1	4000	285	0.000265412	0.9997346	2.55E-06	0.9999974	-0.08731555	0.05239748	ED	F6ZFU0	Eef1d
1	1.034064	1.063409	1.041035	1.153637	1.34075	1.837542	1	0.8891283	0.8866519	1.177565	1.019815	1.038094	1.399712	1	0.9961208	1.072397	1.040625	1.006915	1.166907	1.241278	1	NaN	NaN	NaN	NaN	1.132954	0.975987	1.041035	1.019815	1.44E-05	3.53E-05	1.10E-07	3.620641	24	0.9240071	0.005875347	0.07599295	0.005864573	1	69561.2	100355.6	9054964	4000	195.3	9.74E-06	0.9999903	3.05E-08	0.9999999	-0.03040477	0.3667046	ED	Q9R059	Fhl3
1	NaN	NaN	0.9808061	1.135813	1.104617	2.003222	1	NaN	NaN	0.7503783	0.9020584	1.043452	1.253699	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.8655922	1.018935	8.89E-06	5.35E-06	3.46E-08	2.361057	10	0.9769762	0.01236825	0.02302387	0.01235802	1	112523.4	162337	2.89E+07	4000	299.8	2.27E-06	0.9999977	1.47E-08	1	0.1537206	0.1870816	ED	Q8BG05-2	Hnrnpa3;Gm9242;Gm8991;Gm6793
1	0.9305473	0.9310544	0.8886067	0.9252341	0.9376044	1.100457	1	0.9380233	1.005938	0.9687179	1.000535	1.262546	1.426747	1	1.010944	1.0675	0.9556117	1.029661	0.9757888	0.981637	1	1.035915	1.025369	0.8924361	1.051504	0.9818429	1.105226	0.9240239	1.015098	1.49E-08	3.64E-05	6.38E-08	3.739691	28	0.9185765	0.001787217	0.08142349	0.001787239	1	6.71E+07	9.69E+07	1.57E+07	4000	189	9.72E-06	0.9999903	1.71E-08	1	0.08650994	47.56645	ED	E9PZF0	Gm20390;Nme2
1	0.9768528	1.077561	0.9391904	1.120675	0.9457332	0.887571	1	0.9118606	0.8633068	0.8586984	0.8506545	0.5597878	0.5211701	1	0.9795871	1.03616	1.010256	1.05781	0.9694513	1.002725	1	0.9871885	0.8590046	1.271176	0.9690458	1.157539	0.8631291	0.9747233	1.013428	0.006995572	0.001297235	0.008429517	0.1902145	28	0.9165486	0.005017052	0.08345139	0.004997933	1	142.9476	206.2297	123.0488	86.4	82.4	0.006773657	0.9932263	0.0424353	0.9575647	0.03227077	9.767226	ED	Q61553	Fscn1
1	NaN	NaN	0.7789607	0.9899548	1.131958	1.191403	1	0.8400336	0.829495	0.9219552	1.012944	1.047748	1.411087	1	0.861668	1.02247	0.8807864	1.018681	0.9404607	0.982287	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.8807864	1.012944	1.71E-08	0.4286514	5.44E-08	4.398865	19	0.9307367	0.003420799	0.06926329	0.00336063	1	5.84E+07	8.43E+07	1.67E+07	4000	146.3	0.08879334	0.9112067	1.24E-08	1	0.1333708	0.8641284	ED	P97315	Csrp1
