mouse human
Q91VD9 P28331
Q99JR1 Q9H9B4
Q8VHI3 Q9Y2G5
P57780 O43707
Q64674 P19623
P42128 P85037
Q9Z2I0 O95202
Q9CZ04 Q9UBW8
P62897 P99999
Q505F5 Q8N1G4
Q80XJ3 Q96AY4
P28352 P27695
Q8BV13 Q9H9Q2
Q8BNU0 Q6NXE6
Q61687 P46100
P52019 Q14534
Q9R061 Q9Y5Y2
P24668 P20645
O54790 O15525
Q922U1 O43395
Q8BGS2 Q9H3K6
Q8BM72 P48723
Q8BVE3 Q9UI12
Q8VCI5 P40855
Q5SU73 P38432
Q921Y2 Q9NV31
Q61233 P13796
Q5DTT3 Q5VWN6
Q9D0B0 Q13242
P30558 P25116
Q61081 Q16543
Q5RJG1 Q9BSC4
Q61387 O14548
P32020 P22307
Q91VJ2 Q969G5
P63325 P46783
Q9D0D4 Q9UNQ2
Q9D1N9 Q7Z2W9
O35239 P43378
Q8VCL2 O43819
P42232 P51692
Q91VR5 Q92499
Q64669 P15559
P55302 P30533
Q9Z2L6 Q9UNW1
Q9CQM5 Q9BRA2
P62855 P62854
Q8BFV2 Q5JVF3
Q6PFQ7 O43374
Q9DBG7 P08240
Q8CCJ3 O94874
P63276 P08708
P61164 P61163
P42208 Q15019
Q9CWL8 Q8WYA6
Q9D2N9 Q96AX1
Q9QZQ8 O75367
Q99M31 Q0VDF9
Q6ZPY2 Q9UPR3
Q8R349 Q13042
O54984 O43681
Q5SSH7 O43149
P97363 O15270
Q7TSC1 P48634
Q8BP47 O43776
P47809 P45985
Q8R322 Q53GS7
Q8BL66 Q15075
Q8BGR2 Q7L1W4
P26883 P62942
Q9JLQ0 Q9Y5K6
P07607 P04818
Q64737 P22102
Q9D3D9 P30049
Q9CR26 Q9NP79
Q3UVG3 Q658Y4
Q8BKZ9 O00330
P40201 O14646
Q63850 Q96RQ9
Q9EQP2 Q9H223
P51660 P51659
P26041 P26038
P70318 Q01085
Q8BML1 O94851
Q9D1J3 P82979
P42582 P52952
Q9EQ61 O00541
Q99KK7 Q9NY33
Q8R307 Q9P253
Q8BS90 Q6PGQ7
Q8BLU0 O43155
P97471 Q13485
P24270 P04040
P56213 P55789
P97370 P54709
Q9R0M6 P51151
Q569Z6 Q9Y2W1
P70460 P50552
Q3UZ39 Q32MZ4
Q62523 Q15942
Q8BH43 Q9Y6W5
Q99J83 Q9H1Y0
Q6NXJ0 Q6AWC2
P58742 Q9NRG9
Q9D1C8 Q96HA7
P63085 P28482
Q8C3X2 Q9GZT6
P53986 P53985
Q91V61 Q9BWM7
P17012 P08048
Q9CZA6 Q9NXR1
Q8K4X7 Q9NRZ5
P53798 P37268
Q791N7 Q9P1U0
P43247 P43246
Q6P6J9 Q96J42
Q8C3Y4 P50748
Q9CR16 Q08752
Q62433 Q92597
P61087 P61086
Q9CWJ9 P31939
O54998 Q9Y680
Q60790 Q14644
Q9D1M4 O43324
P62320 P62318
P70122 Q9Y3A5
Q3ULJ0 Q8N335
Q8C0D5 Q7Z2Z2
P56390 P33552
Q8BJM7 Q9NV66
E9PZJ8 Q8N3C0
P60670 Q8TAT6
Q8BHN0 Q5SGD2
P51949 P51948
Q8BM55 Q6NUQ4
Q8BVE8 O96028
Q6P9R2 O95747
Q9EPK5 Q9GZV5
P29416 P06865
Q9Z2U1 P28066
Q60737 Q8NEV1
Q60737 P68400
Q91WG3 O95900
Q9JIW9 P11234
Q920L1 O60427
Q99LR1 Q8N2K0
Q9D517 Q9NRZ7
Q9WTM5 Q9Y230
Q91YR5 Q8N6R0
P14873 P46821
Q9D1A2 Q96KP4
P19783 P13073
Q8BPG6 Q8NBJ7
O09106 Q13547
Q99JT9 Q9BV57
P37040 P16435
Q9JII6 P14550
Q9CQZ6 O43676
P14115 P46776
P43274 P10412
Q8C761 Q8WVS4
Q9D5V6 Q96A49
Q3UA06 Q15645
Q3UCQ1 Q01167
Q8K2J0 Q8N3E9
P58871 Q9C0C2
Q9JJ78 Q96KB5
Q8BRF7 Q8WVM8
Q8K2D3 Q96F86
Q9EST3 Q9NRA8
Q810B6 Q9P2R3
Q9CXK8 Q9Y221
Q99LT0 Q9C005
Q8R422 Q6YHK3
Q8VDW0 O00148
Q8R0J7 Q9H9H4
Q922Q8 Q96AG4
Q3V300 Q14807
Q6P9J9 Q4KMQ2
O89110 Q14790
Q3ULD5 Q9HCC0
Q61188 Q15910
Q8CGC6 Q9NW13
Q3TJ91 Q6P1M3
Q61696 P0DMV8
Q61696 P0DMV9
Q7TPE5 Q96CW6
O35638 Q8N3U4
P45952 P11310
O35387 O00165
O70251 P24534
P97315 P21291
Q99JY9 P61158
Q8R0K4 Q6PK04
Q9R0D8 Q9H977
P97765 Q969T9
Q99JX7 Q9UBU9
Q61602 P10071
P35282 Q9UL25
Q8BJY1 Q16401
Q6PIP5 Q96RS6
Q8CI70 Q8TCA0
O70378 O43402
P70279 O75683
Q9D7B7 Q8TED1
Q9WV55 Q9P0L0
O08795 P14314
Q64437 P40394
Q3U1J4 Q16531
Q8CFD4 Q9Y5X2
P15532 P15531
Q6DFV5 P42694
Q9JKR6 Q9Y4L1
Q9DB77 P22695
Q6ZWM4 O95777
Q9CVB6 O15144
Q6P8X1 Q9UNH7
Q8BQM4 Q7Z4Q2
Q60864 P31948
O35887 O43852
P35762 P60033
Q9CXF7 Q86WJ1
Q68FG3 Q68D10
Q8R502 Q8TDW0
Q9QZ06 Q9H0E2
P06745 P06744
Q9EQH2 Q9NZ08
Q9JIK9 P82930
Q9DBJ1 P18669
P08030 P07741
P08228 P00441
Q9CSH3 Q9Y2L1
Q921J2 Q15382
Q60770 O00186
Q8CHY6 Q86YP4
Q9CQG2 Q86W50
Q8CD15 Q8IUF8
Q8CG76 O43488
Q9ET30 Q9HD45
Q6PA06 Q8NHH9
Q8C863 Q96J02
Q8BGB7 Q9UHY7
Q8C8U0 Q86W92
P20060 P07686
Q8R3H9 O95801
Q9D083 Q8NBT2
P48428 O75347
Q9Z0H3 Q12824
P12382 P17858
Q8K2C8 Q86UL3
P54775 P43686
Q69ZN7 Q9NZM1
Q6ZWX6 P05198
Q9CS00 Q8WUQ7
P68510 Q04917
Q8R2L5 Q9Y3D5
P49717 P33991
Q8VCX5 Q9BPX6
Q8BR63 Q8N128
Q91X43 Q5HYK7
Q9JLM8 O15075
Q8R1I1 Q9UDW1
Q91W36 Q9Y6I4
O88544 Q9BT78
Q9CU62 Q14683
O88736 P56937
Q3TC93 Q53T59
Q921Q7 Q13671
P35951 P01130
Q8K297 Q8NBJ5
Q8R4H9 Q8TAD4
Q8CH72 Q13049
Q91VE6 Q9BYG3
Q9QYI3 Q99615
P12815 O75340
Q9ESW4 Q53H12
O70481 Q8IWV7
Q5DTX6 Q9P266
Q2KN98 Q69YQ0
Q9JK48 Q9Y371
A2A4P0 Q14562
O88630 O95249
Q91VH2 Q9Y5X1
P21278 P29992
Q9CWR7 Q9UHE8
P42669 Q00577
Q64310 O15260
Q8VE73 Q14999
P70353 Q13952
Q02257 P14923
Q61699 Q92598
Q9CYG7 Q15785
Q6P5E6 Q9UJY4
Q9D8T2 P57764
Q80VJ3 O43598
Q91YR7 O94906
Q6P7W2 Q8TBC3
Q8R2K4 Q9Y6J9
Q9CQR6 O00743
Q505F1 P13056
P68040 P63244
P35123 Q13107
Q9Z1G3 P21283
Q8BFZ3 Q562R1
Q8R3F5 Q8IVS2
G5E829 P20020
Q7TSZ8 Q96RE7
Q61205 Q15102
Q03145 P29317
Q9CZ57 Q96CB9
Q9ESV0 Q9GZR7
E9Q1P8 Q7Z5L9
Q99KE1 P23368
O55142 P18077
Q9R1J0 Q15738
Q8VCE2 Q9HCN4
P62204 P62158
Q99J64 Q6ZSC3
Q6A0A9 Q9NZB2
Q9DC51 P08754
Q91VH6 Q9Y316
Q80U56 Q8NBF6
Q8R3C6 Q9Y4C8
O88487 Q13409
D3YYU8 O75147
P27659 P39023
Q8BYU6 Q8NFQ8
Q8BYU6 Q9H496
Q9ER81 Q8NFQ8
Q9ER81 Q9H496
Q8C166 Q99829
P70290 Q00013
P17742 P62937
O54825 Q13895
P40124 Q01518
Q80UK0 Q86VW0
Q9ERE7 Q14696
Q01279 P00533
A2AJI0 Q3KQU3
P50544 P49748
Q9CPW4 O15511
Q8K3J1 O00217
Q99LI7 Q12996
P62806 Q99525
Q91VM9 Q9H2U2
O54833 P19784
Q9DB20 P48047
Q7TNP2 P30154
Q99J56 Q9BUN8
Q8K0C9 O60547
E9Q6J5 Q8NFC6
Q5I1X5 Q8WUF5
P13439 P11172
A2ABV5 O60244
Q921X9 Q14554
Q9JKF7 Q9NYK5
Q6GQT9 Q5JPE7
Q3UM18 Q9H089
Q9WVA4 P37802
Q7JJ13 P25440
Q921I6 Q9P0V3
Q8K1J6 Q96Q11
Q6ZPT1 Q9P2J3
Q8BU88 Q9NWU5
Q6ZWN5 P46781
Q08093 Q99439
P70444 P55957
Q9JIA7 Q9NRA0
Q3UN04 Q70CQ3
Q9CPT5 Q9Y3C1
Q9D2D7 Q8N1G0
Q9R060 P53384
Q62086 Q15165
P56960 Q01780
Q7TND5 Q9H9Y2
Q9CQ54 E9PQ53
Q9CQ54 O95298
Q8BG67 Q14156
Q9CQU1 P55081
P63168 P63167
Q8VDD5 P35579
P68254 P27348
P70372 Q15717
Q3UPH7 Q8TER5
P61161 P61160
