proID	geneName	Rep1_t=0	Rep1_t=1	Rep1_t=2	Rep1_t=4	Rep1_t=8	Rep1_t=16	Rep1_t=32	Rep2_t=0	Rep2_t=1	Rep2_t=2	Rep2_t=4	Rep2_t=8	Rep2_t=16	Rep2_t=32	Rep3_t=0	Rep3_t=1	Rep3_t=2	Rep3_t=4	Rep3_t=8	Rep3_t=16	Rep3_t=32	Rep4_t=0	Rep4_t=1	Rep4_t=2	Rep4_t=4	Rep4_t=8	Rep4_t=16	Rep4_t=32	Median_4	Median_8	c1_k10	c2_k10	c2_k20	c2_k12	dataPts	c1_AICp	c1_RSS	c2_AICp	c2_RSS	AIC.recommendation	c1_aveLife	c1_thalf	c2_aveLife	c2_thalf.pulse.	c2_thalf.ss.	X.deg.fr.comp1.2comp.	X.deg.fr.comp2.2comp.	ss..comp1.2comp.	ss..comp2.2comp.	Median_deltascore	def
P55264-2	Adk	1	0.980981841	0.994812314	1.230761915	1.085332083	0.83264172	0.751665468	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.230761915	1.085332083	0.007772455	1.02E-06	0.024332423	0.037994682	7	0.994702302	0.002230686	0.005297698	0.001810921	1	128.659473	185.6163837	67.41508976	55.5	38.8	2.69E-05	0.999973135	0.390398735	0.609601265	-0.166690417	ED
A2AP78	Hmgb3;Gm6104	1	NA	NA	1.017467362	1.077972253	0.815294039	0.78645602	1	0.873795984	1.010272514	NA	NA	0.839984857	0.885466786	1	NA	NA	NA	NA	0.683903617	0.621368134	NA	NA	NA	NA	NA	NA	NA	1.017467362	1.077972253	0.009780122	0.576744661	0.008944591	4.940481971	13	0.95777972	0.002382163	0.04222028	0.002360422	1	102.2482096	147.512985	100.2936789	75.2	77.5	0.104535249	0.895464751	0.001807197	0.998192803	0.020224305	ED
P34022	Ranbp1	1	0.961456262	0.882243966	0.920229713	0.870279561	0.963001471	0.828491158	1	1.027915652	1.105049989	0.98907951	1.014264519	0.866643833	0.82552971	1	1.039441795	1.118031385	1.026301225	1.135007013	1.033616489	1.027465311	1	1.042003443	1.139009025	1.044714039	1.238979053	1.036812332	1.130674241	1.007690368	1.074635766	0.001284353	5.20E-07	0.011439737	0.011458878	28	0.908486927	0.001717142	0.091513073	0.001686082	1	778.6021582	1123.285472	174.6752532	146.1	100.1	4.54E-05	0.999954626	0.49958206	0.50041794	0.028329943	ED
Q62012	Ott;Gm15097;Gm15107;Gm15093;Gm15080;Gm15128;Gm15114	1	1.263581461	1.215330412	1.116198303	1.238019973	1.432928268	1.685213419	1	1.079782955	1.11469703	0.997007036	1.07421293	1.277991239	1.538649731	1	0.822724461	0.709867841	0.75372103	0.755547327	1.063310407	1.169485224	NA	NA	NA	NA	NA	NA	NA	0.997007036	1.07421293	7.67E-06	6.53E-06	2.34E-08	2.99734532	21	0.93069964	0.010453268	0.06930036	0.010447033	1	130387.6465	188109.611	42826427.87	4000	236	2.18E-06	0.99999782	7.79E-09	0.999999992	0.03879157	ED
Q91Z53	Grhpr	1	NA	NA	NA	NA	0.986105204	0.798935725	1	1.356573791	0.913174647	1.10480823	1.22283555	0.934233691	0.874257393	1	0.960949056	0.939727575	0.809703991	0.893057636	0.960420599	0.840244972	1	0.799935302	0.584333231	NA	NA	0.821077191	0.619953709	0.95725611	1.057946593	0.007279593	0.1742894	0.005230034	1.600130007	22	0.918176465	0.00552992	0.081823535	0.005382275	1	137.3703231	198.1834839	172.9862672	123.3	132.5	0.098223339	0.901776661	0.003257858	0.996742142	0.071849232	ED
O35215	Ddt	1	0.861546266	0.995618435	1.039923078	1.213665482	1.1071717	1.088206676	1	0.730661868	0.903543969	1.144129966	0.901914155	0.927048824	0.821352163	1	1.379287579	1.242591789	1.42604252	1.263543135	1.267986066	1.000655479	1	1.072581423	0.600695441	1.097902938	0.635086329	0.786344876	0.446326031	1.121016452	1.057789819	0.005207534	8.60E-06	0.024081179	0.024072204	28	0.905264733	0.011373308	0.094735267	0.011106873	1	192.0294674	277.0399604	83.03822209	69.2	47.6	0.000357207	0.999642793	0.50009319	0.49990681	-0.086144993	ED
Q6P8I4	Pcnp	1	NA	NA	1.181166975	1.068402192	0.992167666	0.867281412	1	1.075035374	1.3097834	0.694558808	1.042527575	0.759886004	0.882789781	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.937862892	1.055464883	0.004544112	4.59E-06	0.005275056	0.297790668	12	0.963688071	0.004711391	0.036311929	0.004677936	1	220.0650177	317.4867096	192.9265327	134.3	131.5	1.54E-05	0.999984585	0.017405651	0.982594349	0.09114217	ED
Q9D1F4	Akt1s1	1	NA	NA	0.938579429	1.05195535	0.595927762	0.417704345	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.938579429	1.05195535	0.026519056	4.09E-06	0.033443712	0.198547814	5	0.999997545	0.003025046	2.45E-06	0.002168813	1	37.70873325	54.40220246	34.93683789	25.7	21.6	2.06E-05	0.999979399	0.144159195	0.855840805	0.088713128	ED
Q9D819	Ppa1	1	0.914099667	1.035181128	0.856410263	1.009946599	0.885207016	0.971883858	1	1.141172114	1.000255025	1.132087445	1.135715078	1.217942898	1.136679172	1	1.063598635	0.974669467	1.048312341	0.960367811	1.084515502	0.98971928	1	0.878076562	1.02343558	0.698407027	1.093660758	0.870035168	1.138137358	0.952361302	1.051803678	9.19E-07	0.037774612	5.11E-05	3.714501016	28	0.920654309	0.002417162	0.079345691	0.002426918	1	1088152.865	1569872.741	19378.76772	4000	188.4	0.010067121	0.989932879	1.38E-05	0.999986248	0.074064037	ED
P47199	Cryz	1	NA	NA	NA	NA	0.761880479	0.827751705	1	1.118930248	1.013572882	1.077687845	1.048783926	1.089726905	1.003091514	1	NA	NA	NA	NA	0.742110747	0.590650441	NA	NA	NA	NA	NA	NA	NA	1.077687845	1.048783926	0.007574202	3.70E-06	0.008802093	0.264048521	13	0.956769262	0.004044898	0.043230738	0.003977628	1	132.0271157	190.4748651	117.3948759	82.1	78.9	1.40E-05	0.999985969	0.032259752	0.967740248	-0.051002198	ED
Q6NZM9	Hdac4	1	1.017565309	1.014356122	1.024389331	1.045483339	0.769652124	1.164161789	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.024389331	1.045483339	9.21E-07	0.026902639	3.22E-06	3.588889864	7	0.996315073	0.002552185	0.003684927	0.002551912	1	1085356.944	1565839.081	307953.4787	4000	195.5	0.007440316	0.992559684	8.98E-07	0.999999102	-0.001857008	ED
Q99LT0	Dpy30	1	NA	NA	0.883208546	1.044157934	0.877051842	0.807267002	1	1.027178983	0.949849046	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.883208546	1.044157934	0.006723524	0.026701817	0.006049363	0.904271556	8	0.990270299	0.000518777	0.009729701	0.000507521	1	148.7315319	214.5742436	161.6395493	112.1	114.6	0.028681612	0.971318388	0.006645308	0.993354692	0.145799305	ED
Q9WUL7	Arl3	1	1.061692417	1.053787818	0.977365426	1.043530658	0.843171714	0.761638376	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.977365426	1.043530658	0.008079571	3.38E-06	0.011299838	0.139150014	7	0.99406071	0.000614374	0.00593929	0.000467051	1	123.7689475	178.5608468	95.68100785	68.4	61.9	2.43E-05	0.999975743	0.07510701	0.92489299	0.044199582	ED
P17742	Ppia	1	1.018013874	0.97029644	1.106816928	1.074048597	1.160689544	1.388549462	1	1.069348115	1.020313924	1.11714619	1.092755257	1.397789964	1.324815619	1	1.00589013	1.039758289	1.055237257	1.012916985	1.110121182	1.100066499	1	0.902116098	0.890949976	1.048201355	0.988005973	1.02152542	0.954756574	1.081027093	1.043482791	1.14E-06	0.000209995	6.41E-07	4.001392457	28	0.918581962	0.002805569	0.081418038	0.002805632	1	880358.6377	1270089.041	1559636.007	4000	176.6	5.25E-05	0.999947522	1.60E-07	0.99999984	-0.056629623	ED
Q8BH93	Mapk1ip1l	1	1.08348796	1.076038061	1.016345077	1.041735348	0.903198629	0.823319612	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.016345077	1.041735348	0.005297939	2.49E-06	0.013909953	0.044234112	7	0.993938482	0.000635519	0.006061518	0.0004775	1	188.7526555	272.31252	94.49263857	74.1	56	5.63E-05	0.999943704	0.239232545	0.760767455	0.004231029	ED
O70251	Eef1b	1	1.015740675	1.038173914	0.924224481	0.989116375	0.975147346	1.232746646	1	0.870242497	0.920071067	0.913535791	1.050669472	0.864037385	0.96516341	1	0.952730508	0.989189788	0.955995105	1.041497002	0.998987084	1.119341736	1	1.178748624	1.12264911	0.987511973	1.040669183	1.011246316	1.077455787	0.940109793	1.041083092	6.26E-07	0.002549957	2.31E-06	4.195377559	28	0.918782356	0.001203179	0.081217644	0.001203668	1	1597977.56	2305394.301	432441.2952	4000	168.3	0.000607432	0.999392568	5.51E-07	0.999999449	0.081889412	ED
P70296	Pebp1	1	0.949383981	0.933664139	0.917103324	0.98615192	0.864264016	0.949355608	1	1.130805977	1.127186632	1.097602774	1.092935789	1.432760854	1.678279896	1	1.181148641	1.176295101	1.058361861	1.189754238	1.090641973	1.002440746	1	0.757820686	0.661656491	0.875897575	0.966777788	1.168007546	1.209288759	0.987732592	1.039543854	1.61E-06	2.11E-05	3.74E-08	3.980857384	28	0.918518148	0.00608954	0.081481852	0.006088935	1	620335.1337	894954.4211	26742933.81	4000	177.6	5.31E-06	0.99999469	9.39E-09	0.999999991	0.031734281	ED
P09411	Pgk1	1	1.017426268	1.115283007	0.93014728	1.020022459	0.955765044	0.974004332	1	0.899694068	0.912798028	0.899462837	0.872532357	0.887207053	0.836401272	1	0.912817879	1.047481004	0.944204583	1.058204231	0.860363016	0.91709842	1	1.02258333	1.147988051	1.008895534	1.159488596	1.069344503	1.057829588	0.937175931	1.039113345	0.002098633	0.094326093	0.001919529	4.808818371	28	0.918057384	0.001268713	0.081942616	0.001267474	1	476.5005699	687.4450092	511.1428179	359.1	144.1	0.019237877	0.980762123	0.000399009	0.999600991	0.084068153	ED
D3Z637	Tpd52	1	0.738226604	0.734074716	NA	NA	NA	NA	1	1.07346962	1.100439352	0.905857302	1.037511757	0.882376893	0.864938173	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.905857302	1.037511757	0.005405765	3.609433579	0.00119261	4.733474056	10	0.963266164	0.003954889	0.036733836	0.003259602	1	184.987688	266.8808201	475.8538853	507.9	84.6	0.432634968	0.567365032	0.000251889	0.999748111	0.117286141	ED
Q9JII6	Akr1a1	1	0.934277286	1.289643692	0.920679478	1.217264537	0.985095125	1.217062847	1	1.009717488	1.208865336	0.994580891	1.136690778	0.978016785	1.018671424	1	0.927632968	0.91115215	0.906130008	0.933550452	0.940637669	0.882558676	1	0.753112233	0.564173838	0.874460801	0.746052446	0.967932357	0.69760061	0.913404743	1.035120615	0.002413663	1.404220404	1.37E-05	4.182236662	28	0.88202123	0.005832511	0.11797877	0.005499632	1	414.3081196	597.7202696	54513.72052	4000	126.4	0.251361532	0.748638468	3.28E-06	0.999996716	0.107835164	ED
Q3UIA2	Arhgap17	1	0.976493363	0.911565867	1.202931852	1.031735062	0.845881731	0.663573262	1	NA	NA	NA	NA	0.599130572	0.363233257	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.202931852	1.031735062	0.021030181	1.63E-06	0.030239105	0.12812836	10	0.969448227	0.006764916	0.030551773	0.006017498	1	47.55070844	68.60117126	40.8739158	31	24.7	1.27E-05	0.999987304	0.190942662	0.809057338	-0.169140831	ED
P59326	Ythdf1	1	NA	NA	0.939083369	0.966618984	NA	NA	1	1.16716373	1.17451394	1.007692824	1.095911877	0.794791361	0.659619205	1	1.007983984	0.589774513	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.973388097	1.031265431	0.011945731	0.003358178	0.021513585	0.062052588	13	0.956379018	0.005239794	0.043620982	0.005137779	1	83.71191144	120.7707595	59.38386905	46.1	36	0.051339829	0.948660171	0.257443708	0.742556292	0.042365721	ED
O35295	Purb	1	0.939081154	1.096937809	0.924304745	1.027824034	0.936673195	1.091357781	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.924304745	1.027824034	3.84E-08	0.011422574	2.32E-06	3.956668982	7	0.996318542	0.000845591	0.003681458	0.000845958	1	26067496.16	37607447.44	428969.7663	4000	178.1	0.002878607	0.997121393	5.87E-07	0.999999413	0.092435441	ED
P45376	Akr1b1	1	1.107987625	1.06475708	1.259525713	1.215373266	1.185673376	1.31686918	1	1.105224315	0.902316078	1.126559849	1.002886429	1.14451536	1.047619773	1	1.180576656	0.992440201	1.187002287	1.004994082	1.175949168	0.992341229	1	1.088603304	1.051983144	1.053451996	1.046218044	1.242110446	1.262095188	1.156781068	1.025606063	1.14E-06	3.80E-05	1.60E-07	4.184083535	28	0.918509158	0.003131142	0.081490842	0.003130777	1	880356.1225	1270085.412	6262906.672	4000	168.9	9.08E-06	0.99999092	3.82E-08	0.999999962	-0.132999347	ED
Q6ZWN5	Rps9	1	1.048584065	1.165826566	1.222062878	1.295405736	1.432884697	2.121627204	1	NA	NA	0.963563045	1.180397953	1.573630257	1.938009713	1	0.749384163	0.797910506	0.801297228	0.869863249	1.284829993	1.95172715	1	0.767168642	0.50784262	0.790806756	0.581437699	1.27812615	1.580464079	0.882430136	1.025130601	1.20E-06	0.008324773	5.39E-08	4.079121806	26	0.921694597	0.024385652	0.078305403	0.024398696	1	836347.523	1206594.424	18513550.36	4000	172.9	0.002036668	0.997963332	1.32E-08	0.999999987	0.137485669	ED
Q9D1P4	Chordc1	1	NA	NA	0.970299096	1.024939749	0.999787743	0.968020207	1	1.008851993	0.943875593	0.946978483	1.073254433	0.759932365	0.777473127	1	1.04713475	0.985305909	1.03135407	0.974246839	0.982209753	0.822257023	1	1.032291751	1.083932865	NA	NA	1.055355372	1.112344552	0.970299096	1.024939749	0.002852076	6.05E-06	0.003648122	0.174356925	24	0.92117668	0.001361881	0.07882332	0.001350433	1	350.6217392	505.8402443	279.8392848	195.3	190.1	3.47E-05	0.999965278	0.020494486	0.979505514	0.042467823	ED
F6ZFU0	Eef1d	1	NA	NA	1.10225435	1.020286911	0.9305018	1.009694019	1	NA	NA	NA	NA	1.105531571	1.066346289	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.10225435	1.020286911	2.20E-08	0.000659147	6.33E-06	2.48282517	8	0.990737519	0.000692098	0.009262481	0.000694112	1	45480714.28	65614800.94	157857.0974	4000	285	0.000265412	0.999734588	2.55E-06	0.999997449	-0.087315555	ED
Q9R059	Fhl3	1	1.034064006	1.063409093	1.041035014	1.153636532	1.340749569	1.837542302	1	0.889128331	0.886651914	1.177564781	1.019815065	1.038093697	1.399712369	1	0.99612083	1.072396734	1.040624921	1.006915047	1.166906994	1.241277693	1	NA	NA	NA	NA	1.132953837	0.975987034	1.041035014	1.019815065	1.44E-05	3.53E-05	1.10E-07	3.620641216	24	0.924007054	0.005875347	0.075992946	0.005864573	1	69561.1955	100355.5918	9054964.238	4000	195.3	9.74E-06	0.999990258	3.05E-08	0.999999969	-0.030404773	ED
Q8BG05-2	Hnrnpa3;Gm9242;Gm8991;Gm6793	1	NA	NA	0.980806099	1.135812572	1.104616843	2.00322241	1	NA	NA	0.750378323	0.902058339	1.043451828	1.253699073	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.865592211	1.018935456	8.89E-06	5.35E-06	3.46E-08	2.361056952	10	0.976976129	0.01236825	0.023023871	0.012358016	1	112523.4491	162337.0219	28893490.78	4000	299.8	2.27E-06	0.999997733	1.47E-08	0.999999985	0.153720575	ED
E9PZF0	Gm20390;Nme2	1	0.930547288	0.931054379	0.888606666	0.925234057	0.937604367	1.100456825	1	0.938023303	1.005937862	0.968717882	1.00053544	1.262546388	1.426746908	1	1.010943726	1.067499486	0.955611716	1.029660817	0.975788828	0.981636999	1	1.03591517	1.025368625	0.892436169	1.0515043	0.981842955	1.105226306	0.924023943	1.015098129	1.49E-08	3.64E-05	6.38E-08	3.739691309	28	0.918576506	0.001787217	0.081423494	0.001787239	1	67145480.81	96870452.18	15675076.03	4000	189	9.72E-06	0.999990279	1.71E-08	0.999999983	0.086509939	ED
Q61553	Fscn1	1	0.976852794	1.077561151	0.939190462	1.120675043	0.945733232	0.887571049	1	0.911860659	0.863306834	0.858698419	0.850654536	0.559787804	0.521170163	1	0.979587066	1.036159635	1.010256203	1.057809606	0.969451309	1.002725353	1	0.987188503	0.859004632	1.271175924	0.969045739	1.157538731	0.863129115	0.974723333	1.013427672	0.006995572	0.001297235	0.008429517	0.190214473	28	0.916548607	0.005017052	0.083451393	0.004997933	1	142.9475614	206.229738	123.048804	86.4	82.4	0.006773657	0.993226343	0.0424353	0.9575647	0.032270769	ED
P97315	Csrp1	1	NA	NA	0.77896072	0.989954819	1.131958431	1.191402861	1	0.840033586	0.829495016	0.921955205	1.012944469	1.047747741	1.411086923	1	0.861668013	1.022469998	0.880786446	1.018681258	0.940460758	0.982287046	NA	NA	NA	NA	NA	NA	NA	0.880786446	1.012944469	1.71E-08	0.428651371	5.44E-08	4.398865355	19	0.930736714	0.003420799	0.069263286	0.00336063	1	58412283.53	84271111.78	16736099.1	4000	146.3	0.088793348	0.911206652	1.24E-08	0.999999988	0.133370785	ED
Q99J83	Atg5	1	NA	NA	1.126069845	1.008677796	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.126069845	1.008677796	1.12E-07	0.011155459	0.000189984	3.670857112	3	1	0.000891029	NA	0.000917168	1	8929946.36	12883189.33	5247.932138	3644.3	192	0.003029718	0.996970282	5.18E-05	0.999948248	-0.114413377	ED
