mouse_uniprot	mouse_entrez	human_entrez
P51859	15191	3068
P17012	22764	7543
Q9JIB4	23894	728340
Q61753	236539	26227
Q8R5J9	65106	10550
P57722	59093	54039
O54784	13144	1613
P17182	433182	2023
Q62470	16400	3675
Q9WUM4	23790	23603
Q8CGC7	107508	2058
Q6P542	224742	23
Q8BWM0	96979	80142
Q9JKX4	56321	26574
Q9R1T2	56459	10055
Q9ERB0	67474	9342
Q99M51	17973	4690
Q3UM45	66385	5510
P97384	11744	311
O35640	11752	653145
Q8CFI7	231329	5431
Q9CZ91	67222	153443
Q9CZ91	102641936	153443
Q8VE70	56426	11235
Q9WV60	56637	2932
Q9D0L7	67211	83787
Q9CQN6	66154	51522
Q9CQN6	66154	81853
Q9CQN6	100043127	51522
Q9CQN6	100043127	81853
Q9CY21	66138	114049
Q7TSG2	67655	9150
P47811	26416	1432
Q69Z99	269639	84450
Q9Z1Z0	56041	8615
Q6A0A2	217980	23185
P55271	12579	1030
Q62176	56190	55544
P27046	17158	4124
P27601	14674	10672
P47199	12972	1429
Q9DB05	108124	8775
Q9D287	68183	10286
Q8BMD8	229731	29957
Q91YR1	19230	5756
Q91YR1	233637	5756
Q76MZ3	51792	5518
P09450	16477	3726
Q8CHE4	98432	23239
Q9CZR8	66399	10102
P97376	14300	2483
P26638	20226	6301
E9Q5G3	71819	9493
O35343	16649	3840
Q9WUM3	23789	57175
Q9QZD8	27376	1468
P48962	11739	291
P43300	13655	1960
Q9JLI8	53890	9733
Q9DCG9	67674	51504
Q8VDJ3	110611	3069
Q8VCT3	215615	6051
Q3UKJ7	74255	55234
P99028	66576	7388
Q9JIX0	223527	56943
Q62426	13014	1476
P51863	11972	9114
Q63844	26417	5595
O55222	16202	3611
P09103	18453	5034
Q9Z0H1	57315	9277
Q9DAU1	72029	10695
Q6PE54	67487	79665
Q9EPE9	170759	57130
Q99PM9	80914	7371
Q9D051	68263	5162
Q91Z53	76238	9380
Q9CWK8	67804	6643
Q9CR62	67863	8402
Q9CPP6	68202	4698
Q63739	19243	7803
Q63739	102643131	7803
Q61191	15161	3054
Q8C5Q4	231413	2926
Q8C156	215387	23397
P70296	23980	5037
Q921H8	113868	30
Q8C569	109229	79607
Q68FD5	67300	1213
Q8R326	66645	55269
Q9CZU3	72198	23517
Q8BLF1	320024	57552
Q9JM14	50773	30833
Q6ZQK5	78618	23527
P33611	18969	23649
Q9D7N3	69527	64965
Q60854	20719	5269
Q9D6J6	72900	4729
Q9CQ10	66700	51652
Q9QZB7	56444	55860
Q3TQI7	227707	51759
Q8VC70	56516	5939
Q9D1R9	68436	6164
Q9D1R9	619547	6164
Q9D1R9	100043876	6164
Q499X9	212679	92935
O70152	13480	8813
P51655	14735	2239
Q99KJ0	217379	165324
Q5XJY5	213827	372
P58252	13629	1938
Q922J3	56430	6249
Q8BP67	68193	6152
Q8BP67	102641064	6152
P56391	110323	1340
Q6P9Z1	66993	6604
P45700	17155	4121
P62880	14693	2783
Q9JK23	56088	8624
Q9D1F4	67605	84335
Q922H2	236900	5165
Q09XV5	67772	57680
O88986	14429	23464
O88986	26912	23464
Q8BU30	105148	3376
Q2TBE6	84095	55361
Q810A7	72047	11325
Q9DBB4	66897	79612
P40630	21780	7019
Q925B0	114774	5074
P97351	20091	6189
Q9JK81	60315	60314
Q9D1L9	68576	10542
P56394	12856	10063
P62806	319155	8360
P62806	102641229	8360
Q9JJG9	56412	84273
Q9JJ28	14248	2314
Q9QWF0	27221	10036
Q8R323	69263	5983
Q8K3X4	238330	64207
O35638	20843	10735
Q3TKT4	20586	6597
P62334	67089	5706
Q8BVF2	68833	79031
Q8BY02	77286	55922
Q60972	19646	5928
Q99K23	192169	55325
Q9Z2I9	20916	8803
Q9WV32	11867	10095
Q8BIQ5	108062	1478
P42932	12469	10694
P84089	13877	2079
Q99J45	192292	29959
Q8VEH6	226043	220869
Q8R3N6	225160	9984
B2RXS4	140570	23654
Q8CHW4	224045	8893
Q9JHJ0	50875	29766
P35550	14113	2091
P35550	102643269	2091
Q8C9B9	23856	11083
O89112	14768	10314
P10107	16952	301
Q8BHC7	76867	84236
Q8BH95	93747	1892
Q3TXS7	70247	5707
Q61712	13418	64215
Q61171	21672	7001
Q8BP71	93686	23543
Q99K85	107272	29968
O35350	12333	823
Q91WN1	108671	23234
P62746	11852	388
Q99JN2	224023	84861
Q3UV16	319622	162073
P70180	18162	4883
Q80WW9	77006	65992
Q9EPU4	94230	29894
Q8BP48	75624	23173
Q5SSZ5	319939	64759
P48755	14283	8061
P62830	65019	9349
P62830	100044627	9349
P62830	100862455	9349
Q9EP71	75646	26064
Q8BXL7	76688	10139
Q3TN34	231830	79778
Q9CQJ2	68845	55011
P49962	27058	6726
P58929	229004	26205
P60521	93739	11345
Q99LC3	67273	4705
Q5SUR0	237823	5198
Q9CS42	110639	5634
Q8R3N1	75416	8602
Q8BHE0	270906	55771
Q9CW46	71766	125950
Q920A5	74617	59342
P53702	15159	3052
Q9JHU4	13424	1778
O35326	20384	6430
Q9DC61	66865	23203
Q9CZX0	74195	55140
O88271	23837	10428
Q7TME2	54141	10615
Q8CCH2	212114	387921
P97390	22365	11311
Q3TCH7	99375	8451
Q91XU0	78903	56897
Q9ES74	59125	140609
Q8BGA5	52705	11103
Q8C6G8	226757	80232
Q8BG48	98267	9262
Q5SFM8	225432	54439
P62717	76808	6142
Q4VBE8	216156	57418
Q9D8W5	66997	5718
Q00519	22436	7498
Q9CPX7	66242	51021
A2AIL4	76947	137682
Q9DBD5	75273	27043
P81269	11908	466
Q8BWT1	52538	10449
P62196	19184	5705
Q69ZK6	108829	221037
Q9CRD0	68095	54940
P60603	67067	140823
O70475	22235	7358
P52293	NA	3838
Q61598	14569	2665
Q9Z255	22209	7319
Q9CYZ6	66462	55049
P02469	16777	3912
Q8BX17	216766	25929
Q3TVI8	229534	57326
P14152	17449	4190
Q9QZL0	56532	11035
O54950	19082	5571
P61750	11843	378
Q60631	14784	2885
Q9R190	23942	9219
Q9D0F3	70361	3998
Q6P9R1	69663	317781
Q6A068	71702	988
P56394	NA	10063
Q9JHW2	52633	56954
Q03963	19106	5610
Q9EST5	67628	10541
Q924W7	76954	6764
P70280	20955	6845
Q3USH5	231769	6433
Q9DB73	72017	51706
Q8CD10	68514	221154
Q9WUN2	56480	29110
Q9D1H6	68493	29078
Q03147	12572	1022
Q8CHT0	212647	8659
P17809	20525	6513
P62267	66475	6228
Q8BHS3	66810	55696
Q91VA6	67811	26073
Q3UFS0	414872	79699
Q569Z5	212880	9879
Q8JZQ9	27979	8662
Q5FWI3	83921	23670
Q9CXT8	73078	9512
Q64701	19650	5933
P46935	17999	4734
P50516	11964	523
Q8VDP6	52858	10423
P26039	21894	7094
Q80TG1	76719	284058
Q9CQD1	271457	5868
Q9D1E6	66411	1155
Q99PT1	192662	396
P62270	20084	6222
Q9JM13	56715	27342
Q99KP6	28000	27339
Q6PB66	72416	10128
Q7TSJ2	17760	4135
Q791V5	56428	23788
Q6PGC1	218629	54505
Q9D7A8	74252	55156
Q3U2P1	77371	10802
Q8BIA4	231672	26259
Q9Z2U0	26444	5688
Q63829	12238	23412
Q8VEE4	68275	6117
Q9JLN9	56717	2475
Q6P4T2	320632	23020
Q9Z1N5	53817	7919
Q9D0R2	110960	6897
Q8BUI3	71735	222229
Q9R1Z8	20410	10174
Q3UHH8	223827	283464
Q6KAR6	211446	11336
Q61599	11857	397
Q9JM96	56699	23580
Q9D1M0	110379	6396
Q8BVQ5	72590	51400
P33610	19076	5558
Q9D0I4	67727	55014
P14069	20200	6277
O70400	54132	9124
Q91VJ4	106504	11329
Q0KL02	223435	7204
Q9D2G2	78920	1743
P17439	14466	2629
Q08639	21781	7027
Q78PY7	56463	27044
Q8R1F1	227737	64855
P06151	16828	3939
Q9DAW6	70052	9128
Q80YR5	224902	9667
Q9WVA3	12237	9184
Q8C3I8	59053	51236
Q8C052	270058	55201
Q8BU03	110816	102724159
Q5SUQ9	68964	80169
P61079	66105	7323
P08752	14678	2771
Q9CR60	66964	51026
O09053	22427	7486
O09053	105242468	7486
P97494	14629	2729
Q3UHX2	231887	11333
P12787	12858	9377
P68369	22142	7846
Q3U3I9	319748	100507290
Q61136	19134	8899
Q8JZK9	208715	3157
Q3UGC7	78655	8669
Q8CII2	98828	8872
Q8BVL3	266781	9784
Q8CHH9	20362	23176
Q8BQ33	77011	90381
Q3V3R1	270685	25902
Q9EQC5	78891	57410
Q8R1B4	56347	8663
Q9QYJ0	56445	10294
Q9CX00	71955	9798
Q5DTM8	109331	56254
Q7TT00	56790	55578
Q9D880	66525	92609
P50096	23917	3614
Q07417	11409	35
Q64337	18412	8878
Q8BFY6	67898	553115
Q8R2Y8	217057	51651
P99024	22154	203068
P63154	66877	51340
Q8VCB1	72787	55706
Q9Z1S0	12236	701
Q9CR67	67878	55161
Q99LE6	27407	10061
Q80UU9	70804	10424
P51410	20005	6133
P28474	11532	128
Q9ER72	27267	833
Q8K310	17184	9782
Q1HFZ0	28114	54888
Q6ZPR5	77626	55627
Q9CQF9	66881	51449
Q61151	26932	5529
Q9ESU6	57261	23476
Q8N7N5	98193	50717
P09671	20656	6648
P09671	20656	100129518
Q91XD6	70160	51028
Q5SSW2	103554	23198
Q6P9P6	16551	3832
P47738	11669	217
Q9DC48	71713	51362
P46664	11566	159
Q811P8	330914	9743
P08775	20020	5430
Q61263	20652	6646
Q99K01	94184	23042
Q99K01	94184	102724985
Q91W50	229663	7812
Q3THW5	77605	94239
P99026	19172	5692
O70252	15369	3163
P62281	27207	6205
P18406	16007	3491
O55143	11938	488
P62313	78651	11157
Q9JJT0	59028	10171
Q99LJ0	80281	55917
Q8BG05	229279	220988
Q8VE22	64656	51649
O88543	26572	8533
P20152	22352	7431
Q9WVK4	13660	10938
Q8BYL4	70120	51067
P32233	13494	4733
Q60598	13043	2017
Q9QXK7	54451	51692
P60843	13681	1973
O08553	12934	1808
Q9Z2Q6	18951	5413
Q9D0B6	67683	51260
E9Q634	71602	4643
Q9ERA6	54723	24144
P61222	24015	6059
Q9D0I8	69902	51154
P54116	13830	2040
P97464	14042	2131
Q6A058	67416	9823
Q9Z127	20539	8140
Q9CPX6	67841	64422
Q61846	17279	9833
Q9ERG2	94186	29966
Q80ZK9	230796	23038
Q9Z0N1	26905	1968
Q8R2N2	21771	84916
Q9JKB3	56449	8531
Q91YH5	109168	25923
Q91XL3	67883	80146
P62751	268449	6147
P62751	666790	6147
Q8BMF4	235339	1737
Q99LC2	67337	1477
P97452	12181	23246
Q8BJM5	210148	55676
Q99JY8	67916	8613
Q9JJA4	57750	55759
Q9CSU0	70470	58490
Q78ZA7	17955	4676
A2AR02	228005	9360
Q9R0N0	14635	2584
Q99K70	54170	64121
Q80TM9	64652	11188
Q921M3	101943	23450
Q9DBR7	17931	4659
Q3U7R1	23943	23344
Q8C6M1	74270	10868
Q3UM18	224092	55341
Q9WVA4	21346	8407
P70362	22230	7353
Q8BVU0	70144	84859
Q8BU88	216767	29093
P46735	17912	4430
Q08093	12798	1265
P70444	12122	637
Q9R0L6	18536	5108
Q9D1L0	14004	51142
Q9D1L0	433806	51142
Q9CPT5	28126	51491
Q3TWW8	67996	6431
Q8BMC4	67842	161424
Q04750	21969	7150
P38647	15526	3313
P56960	50912	5394
Q7TND5	70285	80135
Q99KV1	67838	51726
Q3THG9	69684	80755
Q8VDD5	17886	4627
P68254	22630	10971
P68254	214444	10971
P70372	15568	1994
Q3UPH7	268739	55701
P61161	66713	10097
Q00612	14381	2539
P43277	14957	3007
Q3TJD7	67399	9260
Q9JHU9	71780	51477
Q6DFW4	55989	51602
Q3THK7	229363	8833
Q8BMJ3	66235	1964
P62264	20044	6208
P62264	102634709	6208
O09061	19170	5689
F8VPU2	223254	10160
P63242	276770	143244
P63242	276770	1984
P08249	17448	4191
O35737	59013	3187
Q9WU78	18571	10015
Q61249	18518	3476
Q8R123	319945	80308
P62806	320332	8367
P62806	102641229	8367
P35564	12330	821
P13864	13433	1786
P47955	56040	6176
P62702	20102	6191
P59999	68089	10093
Q921F4	72692	92906
P47713	18783	5321
Q9JKY0	58184	9125
P17427	11772	161
Q922L6	57314	51497
Q8BYA0	108903	6904
Q9DCW4	110826	2109
Q11011	19155	9520
Q9Z247	27055	11328
Q8VCY6	216987	55813
Q5EBP3	233912	79798
P25799	18033	4790
Q91WR3	75452	84164
Q9CQ60	66171	25796
Q9DBN5	66887	83752
O08738	12368	839
Q9Z0S1	23827	10380
Q9CQA3	67680	6390
Q8VI75	75751	79711
P62259	22627	7531
Q9DAS9	14701	55970
P28656	53605	4673
Q6PHZ2	108058	817
P14211	12317	811
Q9DB15	56282	6182
P27612	18786	9373
Q9D0F6	72151	5985
Q61881	17220	4176
Q8CHT3	109077	80789
Q8C9S4	213993	55088
Q9CQJ4	19821	6045
Q8R3F9	70044	64852
O70194	55944	8664
Q99KI0	11429	50
P62983	78294	6233
P62983	100042019	6233
Q924H7	225131	51322
Q9QXK2	58186	56852
Q9CQX8	66128	92259
P07356	12306	302
Q9QUR7	23988	5300
Q14C51	69956	55037
Q7TNV0	110052	7913
Q9CZJ1	67205	51118
Q8K4L0	71990	79039
Q8R2M2	99480	30836
P62915	229906	2959
Q8JZN7	214952	89941
Q6P5F9	103573	7514
P53811	56305	23760
Q9D1Q6	76299	23071
Q61879	77579	4628
Q02053	22201	7317
Q8CDN6	53382	9352
Q8BTI7	237615	283373
Q62018	22083	9646
Q61166	13589	22919
Q8VHE0	140740	11231
O35639	11745	306
Q9DCS9	68342	4716
Q9WUM5	56451	8802
O35874	55963	6509
Q61624	22661	7707
Q99LG0	74112	10600
Q99LN9	102115	83475
Q8VEH6	226043	445571
Q8VEH6	226043	150472
Q8VEH6	226043	644019
Q8VEH6	226043	55871
O08915	11632	9049
Q9D1C9	74778	27341
P57784	68981	6627
P26450	18708	5295
O08810	20624	9343
Q91Z96	140780	55589
Q9Z2B9	56613	8986
Q9DBT5	109674	271
Q80XP8	72826	143684
P70700	20017	84172
P63094	14683	2778
Q8VEJ9	116733	27183
P80316	12465	22948
Q8BHB4	269470	10885
P62814	11966	526
Q9ER00	100226	23673
Q9CWX9	67755	51202
Q9D6Z1	67134	10528
Q9D8S4	104444	25996
Q9Z1M8	24010	3550
Q8R3C0	210711	79892
Q3THJ3	69860	84285
P57746	73834	51382
Q9D6R2	67834	3419
Q08288	17089	55646
O35379	17250	4363
Q9DAM7	103266	90488
B2RY56	67039	58517
Q7TQH0	233871	11273
Q9R0Y5	11636	203
Q8BHG1	230598	4898
Q8K1K4	102920	2491
P97742	12894	1374
P51943	12428	890
Q5F2E7	68564	57532
P62309	68011	6637
Q9Z2N8	56456	86
O08599	20910	6812
Q9CQR2	66481	6227
Q9DC69	66108	4704
Q7TSY8	68549	151246
Q9CQ18	68209	84153
P24860	268697	891
O88685	19182	5702
P62962	18643	5216
P26043	19684	5962
P60766	12540	998
Q6NVE9	320717	160760
Q923B1	83703	51163
Q8VBZ3	56457	1209
Q60855	19766	8737
P70270	19366	8438
Q91V76	70984	28970
P61358	19942	6155
Q60769	21929	7128
Q7TPD2	330050	222234
Q9CQI3	63985	2764
Q07797	19039	3959
Q7TNE3	216873	9552
Q6ZPJ3	217342	63893
Q8K2F8	67070	26065
Q9D7H3	66368	8634
P60229	16341	3646
Q9Z315	20227	9092
Q9WV98	30056	26520
Q9WU28	56612	5204
Q6P5B0	107094	23223
Q6ZQ08	234594	23019
Q8K009	216188	160428
P63158	15289	3146
P63158	100862258	3146
P61588	74194	390
P35486	18597	5160
Q61024	27053	440
Q99KC8	67776	4013
Q91VD9	227197	4719
Q8CI51	56376	10611
Q99JR1	14057	94081
Q8R3Q6	381045	131076
Q6ZQH8	227699	23511
Q8BW10	67619	28987
Q3TUU5	75623	93081
Q4FZF3	234374	54555
P62897	NA	54205
B9EJR8	433956	54919
Q505F5	72946	57470
Q9DBG5	66905	10226
P28352	11792	328
Q8BV13	26895	64708
Q91YJ2	69150	8723
Q8BNU0	76813	93436
Q99LI5	226442	23528
Q9JLB2	56217	64398
P52019	20775	6713
Q9DC33	66867	10363
Q9JJE7	60527	3995
Q9CUX1	72981	5612
Q9CQV6	67443	643246
P24668	17113	4074
Q9CYX7	67223	51018
Q8BGS2	66162	654483
Q8BGS2	66162	552900
P14576	665155	6729
P14576	100101806	6729
O88441	53375	10651
Q8BKX1	108100	10458
Q8BM72	110920	6782
Q8BVE3	108664	51606
P67871	13001	1460
Q8VCI5	19298	5824
Q5SU73	12812	8161
Q921Y2	102462	55272
Q5DTT3	105203	54906
P30558	14062	2149
Q99JZ7	74155	54206
Q61666	15260	7290
Q61081	12539	11140
Q5RJG1	217431	79954
Q99MU3	56417	103
Q61387	20463	9167
P32020	20280	6342
Q3UQN2	218503	115548
P97930	21915	1841
Q60865	53872	4076
Q99LB2	28200	317749
Q8QZT1	110446	38
Q8VCL2	100126824	9997
Q62446	30795	2287
P62331	11845	382
P21126	27643	8266
P21126	100169864	8266
Q8K1J5	208768	163859
P42232	20851	6777
B2RUR8	229603	56957
Q91VR5	104721	1653
Q99ME9	69237	23560
P51807	21648	6993
P55302	16976	4043
Q9Z2L6	17330	9562
Q9D892	16434	3704
Q8CIN4	224105	5062
Q9QZD9	54709	8668
Q8R4R6	NA	129401
Q9D125	64658	64432
Q8BFV2	234069	55795
Q6PFQ7	54153	10156
Q6PFQ7	54153	102724229
Q6PFQ7	54153	100271927
Q3UPL0	69162	22872
Q8CCJ3	67490	23376
Q8BHC4	68087	79877
P63276	20068	6218
P42208	18000	4735
Q9D2N9	77573	65082
P51807	100040563	6993
Q99M31	50497	51182
Q6ZPY2	229512	23381
P39054	13430	1785
Q505D1	105522	23243
Q8R0H9	106039	26088
O55028	12041	10295
Q9D1P0	68537	28998
Q5SSH7	195018	23140
P97363	20773	9517
Q7TSC1	53761	7916
Q8BP47	70223	4677
P47809	26398	6416
Q8C3X8	105847	91289
Q8R322	74412	2733
Q3URQ0	269536	54881
P99027	67186	6181
Q8BGR2	231549	55144
O88796	54364	10556
P47857	18642	5213
P07607	22171	7298
Q9DCC4	66194	65263
Q9D3D9	66043	513
Q9CR26	66201	51534
O55135	16418	3692
Q62093	20382	6427
Q63850	14204	259307
Q63850	18226	259307
Q63850	100328588	259307
P26041	17698	4478
P09411	18655	5230
Q9CPQ8	27425	10632
Q9D1J3	66118	84324
Q91YU8	235036	692312
Q91YU8	235036	56342
Q8CCH7	22762	23414
P42582	18091	1482
Q9R0P3	13885	2098
P97471	17128	4089
P24270	12359	847
P22682	12402	867
P56213	11692	2671
Q9WUQ2	50907	10113
Q61074	14208	5496
P62774	14489	136319
Q569Z6	230753	9967
Q8CFX1	100198	9563
O88811	56324	10254
P70460	22323	7408
Q8BH43	242687	10163
Q62523	22793	7791
Q8VCS6	192191	55090
Q9DB42	68040	51042
Q6NXJ0	52357	80014
P58742	223921	8086
Q62159	11853	389
Q9D1C8	66914	4796
Q9D1C8	72749	4796
Q8C3X2	66365	60492
P63085	26413	5594
Q3V1V3	66580	51575
Q8CE46	78895	83448
Q62241	20630	6631
Q8K339	16588	22944
P53986	20501	6566
Q8R480	445007	79902
Q91V61	94280	81855
Q8K4X7	68262	56895
Q8K3K8	71648	10133
Q9Z2D8	17192	53615
Q9JJI8	67671	6169
Q9R0X4	56360	23597
Q91W67	69459	84993
P43247	17685	4436
Q922D8	108156	4522
Q8C3Y4	208628	9735
Q9CR16	67738	5481
Q8C145	106957	25800
Q8C0N2	231510	84803
Q9D3U0	74467	150962
Q8VEK3	51810	3192
Q60715	18451	5033
Q62167	13205	1654
Q5U4D9	386612	79228
Q9D1M4	66143	9521
P43135	11819	7026
Q9CQH8	67053	11102
Q8R080	29870	51512
P62320	67332	6634
P70122	66711	51119
Q9Z266	20615	23557
P56390	66197	1164
P41241	12988	1445
P60670	217365	55666
Q8BHN0	242083	151742
P51949	17420	4331
Q99LM2	80280	80279
Q8BVE8	107823	7468
Q9JK92	80888	26353
Q3TDN2	76577	23197
Q9Z2U1	26442	5686
Q91WG3	227682	26995
Q9D1J3	NA	84324
Q920L1	76267	3992
Q91VN6	72935	51428
Q6P1G0	217026	63897
Q8VC85	67207	27257
Q9D517	28169	56894
Q91YR5	71449	51603
Q8QZY1	223691	51386
O09106	433759	3065
Q99JT9	104923	55256
P37040	18984	5447
P14115	26451	6157
Q8C761	217935	55112
P43274	50709	3008
P63147	22210	7320
Q8K2J0	72469	113026
Q3UCQ1	68837	3607
P58871	228140	85456
Q8BRF7	76983	23256
P14685	22123	5709
Q9EST3	74203	56478
Q810B6	11736	51479
Q3UGR5	76987	84064
Q80UJ7	226407	22930
Q9CQ22	66508	55004
Q99LT0	66310	84661
Q8VDW0	68278	10212
A2A5R2	99371	10564
Q922Q8	98238	55379
Q3V300	110033	3835
Q6P9J9	105722	196527
P97310	17216	4171
O89110	12370	841
Q3ULD5	78038	64087
Q64511	21974	7155
Q920E5	110196	2224
Q8CGC6	68272	55131
Q3TJ91	217325	3993
Q9WUR9	11639	205
Q8VEL2	97287	64419
P62274	20090	6235
P45952	11364	34
P49722	19166	5683
P63017	15481	3312
Q99JY9	74117	10096
O35387	23897	10456
P36552	12892	1371
Q8R0K4	67291	339230
Q99JX7	53319	10482
Q99JX7	66836	10482
Q61602	14634	2737
P35282	216344	23011
Q8BKE6	77951	57404
Q4VAA2	321022	55573
Q8CI70	216011	55222
Q6PIP5	67429	84955
Q5F2E8	216965	57551
Q6DID3	106583	22828
Q8BVY0	66409	26156
Q8C570	66679	8480
Q9D7B7	69590	493869
Q9WV55	30960	9218
O08795	19089	5589
Q3U1J4	13194	1642
Q9CXW4	67025	6135
Q91WM3	27966	9136
P15532	18102	4830
P47911	19988	6128
Q6DFV5	78455	9931
Q9JKR6	12282	10525
Q9DB77	67003	7385
Q9CVB6	76709	10109
Q6ZWM4	76522	51691
P35762	12520	975
Q8BFR4	75612	2799
Q68FG3	101685	144108
Q8R502	100604	84230
Q9JI10	56274	6788
P06745	14751	2821
Q9EQH2	80898	51752
Q9D1Q4	68563	54344
Q9DBJ1	18648	5223
P08030	11821	353
Q921J2	19744	6009
Q60770	20912	6814
Q9CQG2	67493	79066
A2AHC3	227634	157922
Q8CG76	110198	8574
E9PZM4	244059	1106
Q9ET30	107358	56889
Q3UMB5	237782	140775
Q6ZQ06	382090	22832
Q80X95	68441	10670
Q8C8U0	67533	8496
P16125	16832	3945
Q9D083	67629	147841
P48428	21371	6902
Q9Z0H3	20587	6598
P54775	23996	5704
Q9CS00	70312	58509
Q69ZN7	226101	26509
Q9ES00	63958	10277
Q8R2L5	68735	51023
Q9D706	71919	79657
E9Q735	140630	9354
Q91W36	235441	9960
Q8R1I1	66152	29796
Q9CU62	24061	8243
P48771	12866	1347
Q3TC93	58240	64342
Q8BFW7	210126	4026
Q8K297	234407	79709
P09411	NA	5230
Q8R4H9	69048	64924
Q8CH72	69807	22954
Q8VDM6	232989	11100
P06795	18669	5243
P12815	18570	10016
Q9ESW4	69923	55750
Q5DTX6	240185	57608
Q2KN98	74392	23384
A2A4P0	217207	1659
P21278	14672	2767
Q3UMC0	57815	166378
Q9CWR7	70358	26872
Q64310	20932	6836
B2RWS6	328572	2033
P70353	18046	4802
Q02257	16480	3728
Q61699	15505	10808
Q8R4Y8	246102	25914
Q60973	245688	5931
Q9D8T2	69146	79792
Q6P5E6	74105	23062
Q80VJ3	381101	10591
O35295	19291	5814
P0CG14	214987	54921
Q6P7W2	192192	92799
Q61458	66671	902
Q8R2K4	67706	10629
Q8R2K4	225895	10629
A2A432	72584	8450
Q9CQR6	67857	5537
P35123	22258	7375
Q9Z1G3	66335	528
Q9CQZ5	67130	4700
Q8R3F5	223722	27349
Q9JKV1	56436	11047
G5E829	67972	490
Q7TSZ8	66830	112939
Q61205	18476	5050
P97311	17219	4175
P26516	17463	5713
Q99LC5	110842	2108
Q9CZ57	72181	387338
P26645	17118	4082
Q9ESV0	27225	57062
Q99KE1	107029	4200
Q99P31	66245	23640
Q08509	13860	2059
Q6P073	140499	118424
P52480	18746	5315
O08582	14904	9567
Q6A0A9	218236	23196
Q9CX34	67955	10910
Q91VH6	76890	51072
Q9CPY3	67849	113130
Q62481	21427	6944
Q8BGT5	108682	84706
P51807	100040531	6993
D3YYU8	98733	23363
