From    To
Q5SRX1  216810
Q78YZ6  56367
Q8R422  235505
Q9JJT0  59028
Q91V89  21770
Q63739  102643131
Q63739  19243
P05213  22143
O35387  23897
Q925B0  114774
P62082  20115
Q6PGH2  52009
Q80T06  66656
Q8CFX1  100198
Q9DCE5  68083
Q8BY87  74996
E9PUA0  237400
P46735  17912
Q6DFV5  78455
Q921K2  11545
Q9Z1N2  18392
Q8K1R7  217718
Q8CIH9  231327
O09012  19305
P21995  13723
Q76MZ3  51792
Q99MS7  114601
P56135  57423
P05622  18596
Q9R1X4  21853
O35691  18949
Q80VI1  384309
P15532  18102
F8WGW3  78586
Q8BUI3  71735
P62317  107686
Q8BH43  242687
G3UWD2  12394
Q9D0E1  76936
Q9D4I9  19335
E9Q7L0  239017
O88291  54367
Q61035  15115
Q9CXW2  64655
F8WHY8  116870
P60122  56505
Q8VEM8  18674
Q8C7R4  231380
Q6ZWQ9  67268
Q9DBT5  109674
P70441  26941
Q9CR00  67151
P50580  18813
Q80YD1  338359
Q76KJ5  70333
P49722  19166
P10852  17254
O55135  16418
Q9WTP6  11637
Q61164  13018
Q99MR1  57330
P52482  22194
P49586  13026
O88844  15926
Q8BTZ4  59008
P14576  24067
P14576  665155
Q6A0A9  218236
O08609  21428
P10126  13627
Q8CH18  67500
P53762  11863
Q9D8M4  66229
Q5F2E7  68564
Q8R2L5  68735
P62880  14693
P11440  12534
Q9CZJ2  72630
S4R1P5  13518
P48962  11739
Q9WTX2  23992
Q99ME9  69237
Q9DCS9  68342
P50431  20425
Q8VDD5  17886
Q9Z0W3  59015
O88441  53375
O54833  13000
Q6PIJ4  235134
Q9R0Q7  102641464
Q9R0Q7  56351
P09450  16477
Q8BGD9  75705
Q3UPL0  69162
Q9JI44  66233
Q8BMG7  98732
P61982  22628
Q6P7W2  192192
P84078  11840
Q8CE33  217194
Q3UFB2  229937
Q9D071  72199
Q9Z1A1  21787
P97329  19348
Q80W68  170643
P32921  22375
B9EHJ3  21872
P59999  68089
Q64737  14450
Q61301  12386
Q6P1G0  217026
Q6NZQ6  68744
A3KGB4  245638
Q9Z1Q5  114584
A2ABV5  26896
Q9JLV1  29810
P10605  13030
P53569  12607
G3X960  71709
A2CG63  94246
O88700  12144
P68037  100042355
P68037  22195
O35625  12005
Q64727  22330
Q66JV4  77604
E9QAF9  66860
Q3UHK8  233833
P35282  216344
A2A4P0  217207
Q91YE7  83486
Q91V61  94280
P22518  12747
Q3TZZ7  52635
Q8BH93  218975
Q505F1  22025
Q9WU62  16319
P59997  225876
Q8BH57  67561
Q8CI70  216011
P62488  67710
P55258  17274
Q05D44  226982
P63017  15481
Q64701  19650
Q9D1R1  68472
B2RUJ2  59079
Q8BMQ2  269252
P97377  12566
Q9DCS3  26922
Q9CR26  66201
P97450  11957
Q91YR1  19230
Q0VBL3  229700
O35295  19291
Q8R3H9  72354
P61028  235442
Q8K297  234407
G5E8J0  18129
P10922  14958
Q9DBC3  74157
Q8C1B1  67886
Q9R1P3  26445
Q7TNE3  216873
Q3UHJ0  269774
Q3UCQ1  68837
P70459  13875
Q9WU78  18571
Q69ZK6  108829
Q3V117  104112
E9Q3X0  78388
Q8BMJ2  107045
Q9CQ39  108098
Q9QXK3  54160
Q62425  17992
O88685  19182
P62827  102641332
P62827  19384
Q9WUU9  54387
Q3TIZ5  11787
Q9D7E3  246257
O88428  23972
Q62388  11920
Q8K3X4  238330
Q9D6T0  66394
D3YWT1  432467
Q9D0F3  70361
Q9D0F1  67052
Q9D1C9  74778
Q8BGB7  67870
Q99LN9  102115
Q91YD3  75901
Q8R2U4  66617
Q8BR63  100101807
Q8BR63  73385
Q9CW03  13006
Q8JZM7  214498
Q9JL15  56048
E9QN14  259302
Q7TSZ8  66830
Q99N17  70101
Q9QYC0  11518
B1AW21  17772
Q8R3Q6  381045
H9KV00  20658
Q99LC8  209354
Q68FG3  101685
Q9WUD1  56424
Q921E6  13626
Q60769  21929
P41105  19943
Q9CQV8  54401
Q921X9  72599
Q3UHC2  233328
A2AIL4  76947
A2ABY3  68671
Q8CE46  78895
E9QM38  20496
Q8R409  192231
G5E837  67933
Q99ME2  83669
Q3UHH1  268721
A2AQ19  76246
Q9DB85  101867
P47757  12345
Q9Z2L6  17330
A3KFU5  230721
Q8QZS3  216805
P97310  17216
E9Q7C4  215476
Q3TIV5  69082
P61588  74194
P70122  66711
Q60715  18451
Q3V1V3  66580
Q8K2T8  54624
Q91YH5  109168
Q80WE4  240641
Q9WV32  11867
Q8K0C1  230673
Q9CXF4  66687
Q6PFQ7  54153
Q91X43  27059
Q8K4X7  68262
Q80TG1  76719
P15092  15951
A2AJI0  245877
Q8BYU6  240832
Q9D819  67895
Q8BLG0  228829
Q8BGH2  68653
Q8BKE6  77951
Q921T2  208263
P46467  20479
Q61510  217069
O08915  11632
P43276  56702
Q9DC61  66865
O35127  14790
Q91Z53  76238
O89079  59042
Q9DAM7  103266
Q8VH51  170791
Q8R0A0  68705
Q8JZN7  214952
Q64310  20932
Q9R1C7  56194
Q8VDM6  232989
Q03963  19106
Q642K5  14109
E9Q735  140630
Q5SNZ0  108686
E9Q6U4  109054
Q07076  11750
Q9ESP1  64136
P26638  20226
O55222  16202
E9QAD4  70829
Q8BGW1  26383
Q9DB15  56282
Q8BU88  216767
Q8BGS0  67920
A2AVJ7  81910
Q99JT9  104923
Q8R146  235606
Q91WE1  69024
P11688  16402
Q8VBT0  72736
Q62433  17988
P70353  18046
P70372  15568
Q62417  20411
P52633  20852
P63101  22631
Q8BW10  67619
Q91YQ5  103963
O35593  59029
Q9JKX4  56321
P50543  20195
Q8VDN2  11928
Q9CZA6  67203
Q9ESW4  69923
Q9D1F4  67605
P47963  270106
D3YYK0  68758
A2AG58  382252
Q9ERG0  65970
Q8K2B3  66945
P70699  14387
Q6ZQ88  99982
Q60770  20912
P49452  12617
Q6KCD5  71175
Q8CEC0  19069
O35379  17250
Q922M5  217946
P52293  16647
Q9D7X3  72349
Q8R0H9  106039
Q80WW9  77006
P53995  17222
Q8N7N5  98193
Q7TNL7  75590
P43300  13655
Q9D2E2  68276
P53811  56305
E9QLA5  70435
P49135  13872
P43275  80838
Q6PAR5  66691
Q9D958  69019
Q8CIE4  671535
Q8VI84  57753
Q61598  14569
Q9JI10  56274
P13864  13433
Q6NV52  21335
Q9EP69  83493
Q61103  19708
Q9CR39  66840
Q6PGB6  72117
Q9EPE9  170759
Q7TPQ3  268281
P62270  20084
Q8CGC7  107508
Q52KE7  56706
Q8VHR5  229542
Q62383  20926
E9PWG6  54392
Q8C8U0  67533
P62311  67678
P60843  13681
Q8BVU5  74167
P62748  53602
P55096  19299
Q60973  245688
Q9CXT8  73078
Q01279  13649
Q8K298  68743
Q9DCW4  110826
Q3UIA2  70497
Q80TE0  68925
Q9CWX9  67755
Q62348  22099
O35245  18764
Q9CQ40  18120
Q9Z1Y4  22051
Q62130  19250
F7BJB9  338467
Q9CQT1  67873
E9Q6K3  52023
Q9CWJ9  108147
Q8VCW8  264895
Q61699  15505
Q9D0R8  268490
Q8K183  216134
S4R1W5  19654
P58468  108707
Q8VC85  67207
P62746  11852
Q9CQ92  66437
Q9CWK8  67804
P16254  102642637
P16254  20813
Q8K009  216188
Q99KP6  28000
P56183  18114
P01899  14964
P14901  15368
F8WHU7  20842
Q8R332  71844
Q8CAS9  80285
P62196  19184
Q9DB40  68975
P05202  14719
P62331  11845
P32233  13494
Q8K019  72567
Q6PB93  108148
Q9CXY6  67781
Q9DCC4  66194
O55125  18082
P21278  14672
Q9QWH1  54383
Q9QUR6  19072
Q09XV5  67772
Q9EPB5  68607
Q60790  19414
Q9CR02  66282
Q9D1C8  66914
P35486  18597
Q80U44  218441
Q9CWU9  69736
Q8R0F8  68636
Q9D1B9  68611
P61025  54124
Q91YS7  26396
Q9D7A8  74252
Q9QYB1  29876
P27659  27367
Q8BQ33  77011
A2A468  17979
Q9JJ78  52033
P63037  15502
Q8C3I8  59053
Q8BML9  97541
Q9CR51  66290
O70378  18117
E9PYG6  218397
Q3UUQ7  241062
E9QQ14  69085
Q8BSF4  320951
Q8BS90  77744
P80317  12466
O70274  19244
Q8BRH0  237500
Q8BWZ3  231713
Q9D7Z3  70078
Q501J7  100169
Q8BHE0  270906
Q5SSW2  103554
Q8BX70  320528
Q91XH5  20751
A6H8H2  329877
F8VQB6  17909
Q07832  18817
P23475  14375
A2A4A1  99349
P24369  19035
Q6P2B1  320938
Q5RL20  94067
Q8C5X1  233103
Q9CT10  71810
Q9D710  66958
B2RWS6  328572
E9QLH9  244418
P35456  18793
Q8VHZ7  27993
Q7TQI3  107260
Q9CQG2  67493
Q60954  17268
Q8CC88  219189
Q8R4X3  75710
G3X926  67239
Q9EQ80  65102
P62751  268449
O35900  27756
Q91XD6  70160
Q9CR16  67738
Q8BWM0  96979
Q99LP6  17713
Q920B9  114741
P58044  102635781
P58044  319554
D5MCW4  67675
Q64430  11977
Q9JI13  65961
Q8BJS4  223697
O35621  29858
Q61142  20729
P26369  22185
Q6ZQL4  72515
Q923X4  69367
Q04750  21969
Q9QXK2  58186
Q8K4E0  236266
Q9Z204  15381
Q9R190  23942
E9PX48  67299
Q3UE92  170750
Q5EBP3  233912
Q9D1A2  66054
Q60520  20466
Q91Z50  14156
Q9D3U0  74467
Q4KML4  73112
P04627  11836
Q91WR3  75452
Q9D4H9  75725
Q9QXX4  50799
Q9D4G5  67724
Q9CZW4  74205
P17426  11771
P61202  12848
O70400  54132
F8WJG3  20462
Q7TN98  67579
Q9DC40  71718
Q6PDM1  74026
Q80WJ7  67154
Q8CJF7  226747
Q3TUF7  208146
P27046  17158
Q3UYU2  15547
Q6ZWY9  319179
Q6ZWY9  319181
Q6ZWY9  68024
Q9D666  77053
Q6IRU2  326618
Q99JZ7  74155
Q61464  18139
H7BX26  545389
Q9D5T0  67979
Q8BFU3  235315
Q91V41  68365
Q9CZU3  72198
Q8CB77  27224
Q6P6L6  276919
Q8R016  104184
Q99JX4  98221
Q9CXW4  67025
P70404  15929
P70302  20866
Q61001  16776
Q80XC2  328162
A8Y5G5  230597
Q91WM3  27966
Q8BJS8  105837
P97477  20878
O88986  26912
Q9CQJ6  68184
Q9EPU4  94230
P99024  22154
Q8QZY9  107701
Q9D1G1  76308
Q8CHY6  234366
P51150  19349
Q99LI7  228410
Q8CG48  14211
P58021  68059
Q60989  11798
B1AVZ0  331487
Q99L48  97112
Q8BK64  217737
Q3UM29  233824
E9QB02  216443
P45591  12632
Q6A070  328108
Q99LS3  100678
Q8K3A9  231803
H3BK44  217615
P97300  20320
O35129  12034
E9Q9T6  67848
P80316  12465
Q60932  22333
Q9JHJ0  50875
Q9D1Q4  68563
O08807  53381
Q9CRD2  66736
G3UW40  328949
Q8C7V3  105372
Q8CH25  66660
Q9CR68  66694
Q3UKC1  52440
E9Q5K9  231386
Q91VM9  74776
Q6ZWZ4  54217
Q6P5E6  74105
Q6NWW9  72007
Q99JZ4  20224
Q9D786  71909
Q9CRD0  68095
Q5SSI6  217109
Q64152  218490
Q8BRT1  76499
Q60817  17938
Q8C7X2  230866
Q5RJH6  226517
Q8BH69  109079
P35279  19346
Q3UK78  76073
Q9D0T1  100862468
Q9D0T1  20826
P18406  16007
Q9DB34  68953
P07356  12306
P62874  14688
Q9JKP5  56758
Q80U87  84092
Q4U221  17146
P97376  14300
P62320  67332
Q52KR3  353211
E9QMR2  105445
Q8K284  233863
Q99KC8  67776
P22437  19224
Q922Y1  225896
Q9Z110  56454
O88413  22158
A2AT37  326622
Q03173  13800
Q9QWT9  100502766
Q9QWT9  16580
Q8BJY1  66998
P10630  13682
P40201  12648
Q921F4  72692
O70318  13822
E9QK04  18007
Q9Z2M6  24109
Q8BX02  235041
G3X8X0  69192
P07091  20198
O08580  26379
Q6ZQB6  227399
Q3KNM2  69104
O08810  20624
Q9D6J3  72886
Q99LB6  108645
A2A432  72584
Q8BG30  24116
Q80X95  68441
P14733  16906
P37040  18984
O70435  19167
P62915  229906
Q924H7  225131
P53702  15159
Q3U8S1  12505
Q9CQD1  271457
O70481  22222
Q61235  20650
P18242  13033
Q9CY64  109778
Q8VHI3  80294
Q8BK63  93687
Q5RKN9  12340
Q91YX5  226856
P53798  14137
Q5F258  216963
Q58A65  70834
Q8R1I1  66152
Q8BH15  78893
G5E8R8  224111
D3YZ62  17918
P41241  12988
Q9CR62  67863
P13020  227753
Q0VGB7  232314
Q8CDA1  101490
Q6P6J9  69672
P99026  19172
Q9D2R0  78894
Q3TE80  668661
Q9CPN8  140488
Q8C0P0  67121
Q6PDL0  234663
Q8K5B2  193813
P05064  11674
O54962  23825
Q9Z315  20227
P35831  19248
Q99LI5  226442
Q8BK35  68077
P18654  110651
P21107  59069
E9Q6J5  665775
Q9DBY8  67459
Q8C6E0  216618
Q8BLH7  233876
Q9WVG6  59035
Q8CDM8  226252
Q80V62  211651
Q8CIE2  52915
P30681  97165
Q80VJ3  381101
Q62245  20662
Q9Z1N5  53817
Q8K0C4  13121
Q5SUQ9  68964
Q8BTV2  269061
Q8BG32  69077
Q64092  209446
Q64127  21848
Q9JK30  50793
D3Z6H3  22428
Q9ESJ0  57258
P62274  20090
Q99JI6  215449
B9EI21  22401
G5E8V9  99889
P09405  17975
Q9CZX0  74195
P17427  11772
Q9CXY9  329777
Q9D2G5  20975
Q64337  18412
Q8BG67  76740
Q8CI08  75991
Q8R2N2  21771
P09671  20656
Q8BTW9  70584
Q8R060  68014
Q80UM7  57377
E9PU87  70661
Q8BHY2  100608
Q3UFM5  433864
Q8BYK6  229096
Q8BVQ5  72590
P15535  14595
Q8VE37  100088
P20060  15212
Q8C3X8  105847
B1AUR6  212377
P19182  15982
P43135  11819
S4R2K9  11735
Q3U155  232236
Q9DC51  14679
Q99020  15384
Q9EQH3  65114
Q99LF4  28088
O88630  53334
O08648  26407
Q62481  21427
P97379  23881
Q5SW75  237860
Q9CS42  110639
Q924C1  72322
Q0KL02  223435
Q1HFZ0  28114
Q62470  16400
Q61508  13601
Q7TT00  56790
Q3UZ39  16978
Q9QWV9  12455
Q7TMM9  22151
Q91W67  69459
Q62189  53607
Q9CZU4  57837
Q9ERK4  110750
Q9JKV1  56436
P63085  26413
O70152  13480
Q91XX1  93706
Q922J3  56430
P80314  12461
E9PX53  70351
O35955  19171
Q9EST4  107047
Q9QXS1  18810
P57724  59092
P58742  223921
G3X920  74125
P07742  20133
Q8CIC2  231042
O08738  12368
Q8QZY1  223691
Q8BWT5  64451
P55302  16976
Q8K3D3  72931
Q3U7R1  23943
P14869  11837
Q9Z277  22385
Q60738  22782
P40142  21881
Q6P4T2  320632
Q3TCH7  99375
Q8CGC6  68272
Q8BG48  98267
Q9Z1G3  66335
Q9CQU5  52696
Q9Z266  20615
Q9D6L8  70225
Q9CQI6  72042
Q7TSC1  53761
P14206  102642689
P14206  16785
Q8C052  270058
Q9WVM1  26934
P62830  100044627
P62830  100862455
P62830  65019
Q9DB73  72017
E9PZ00  19156
Q8BFY6  67898
Q8R1Q8  235661
Q3TMP1  98488
P67984  102642602
P67984  19934
O55098  20868
O35326  20384
O35130  14791
Q07417  11409
Q61686  12419
Q3TC93  58240
Q9QZQ8  26914
Q61107  55932
Q8R2R3  66939
Q9QZ06  54473
Q80W00  52040
O08739  11717
E9Q634  71602
Q61033  21917
Q9Z1T1  11774
Q8C2Q8  11949
Q3U1J4  13194
Q8BKZ9  27402
Q9D8B3  75608
Q80SY5  66921
E9PYF4  380928
Q91Z67  14270
Q9CWK3  70233
Q8R317  56085
Q9D824  66899
G3UYG6  227331
Q78PY7  56463
Q9DB96  68966
Q99LH1  230737
Q8C156  215387
Q99LF7  73828
Q922L6  57314
P98078  13132
Q9CS00  70312
P37913  16881
Q99PM9  80914
Q9CZ57  72181
Q60692  19175
Q8BY46  232976
Q2YDW2  229524
Q924K8  116871
O09131  14873
Q91YI0  109900
Q810V0  67973
Q9ET30  107358
Q9WV92  13823
Q8K0D0  237459
Q8BWW3  109785
Q8CDN6  53382
Q9QXT0  56530
Q923F1  12729
Q8VCI5  19298
Q8VDG3  74108
Q3UN04  100756
Q64282  15957
Q62093  20382
P06151  16828
Q8K2C8  102247
Q3THW5  77605
Q9WUN2  56480
Q7TMF2  67276
Q9Z255  22209
Q9DC16  67458
Q3U4W8  22225
O35343  16649
Q8BVE8  107823
E9QA19  53621
O55106  268980
Q9DBH5  66890
Q9JJG0  57752
Q03265  11946
Q8K2Q7  71678
Q8VCT3  215615
P49717  17217
Q61286  21406
O54984  56495
P61514  19981
E9QN31  110109
P23949  12193
Q3UM18  224092
D3Z3Z3  12297
Q9EPQ8  21411
Q9CRA5  66629
P43274  50709
Q6GQV2  277854
Q6A068  71702
P70700  20017
Q8BFV2  234069
G3UWZ0  217578
Q62018  22083
Q9QXL2  16564
P56394  12856
O88374  12036
Q9CPV5  67037
B2RQC6  69719
Q80UU9  70804
Q99M28  19826
P50516  11964
Q6PHZ5  109095
Q60865  53872
Q7TPE5  66432
Q8BHJ5  81004
Q9CR50  68098
A6X8Z5  12549
O88544  26891
E9Q7E2  77044
Q91XL3  67883
P47758  20818
Q99L45  67204
E9Q3R9  114565
Q9R0X4  56360
Q5U3K5  227624
Q99JX7  53319
Q6P073  140499
P62900  114641
Q9WTM5  20174
Q9D7J9  67856
Q9DBE9  56095
Q91W36  235441
Q9DBP5  66588
Q8CHP8  67078
Q8BU31  72065
E9Q9Q2  226412
Q499E4  72507
Q811U4  67414
Q99J83  11793
O08579  13726
P26645  17118
Q9CQ19  98932
Q8BL97  225027
Q9D906  74244
Q9CZU6  12974
O89050  27418
Q8VCY6  216987
Q9CZN7  108037
P52432  20016
Q9DC69  66108
Q8C3Y4  208628
A2AWA9  227800
Q9R078  19079
Q64012  19383
Q8BHG9  106143
Q8K021  107767
Q4VA93  18750
Q5H8C4  271564
Q3UVG3  210998
Q9CWZ3  60365
Q8K2H2  72201
P0C7N9  69666
Q6ZPE2  77980
Q9CQR2  66481
Q9JK23  56088
Q9Z247  27055
Q8QZT1  110446
P19783  12857
Q9DBH0  66894
Q8VEJ9  116733
P54728  19359
P56212  59046
Q9D104  66384
Q9CXF7  68058
O88983  55943
Q8K1N2  208177
P23780  12091
Q99KJ0  217379
Q8BZA9  319801
E9Q7M2  72033
Q61550  19357
Q9EQM6  94223
Q8BH59  78830
Q9JLM8  13175
Q3THJ3  69860
P54775  23996
Q3UFY7  68106
Q9D051  68263
G5E897  68304
E9QM77  20239
Q9D5V6  67043
Q3UMB9  319277
Q7M6Y3  233489
Q8C1A5  50492
Q9WV60  56637
Q9QYR6  17754
Q9CYZ6  66462
Q60902  13859
Q6P4S8  68510
Q8BYL4  70120
O88958  26384
P83887  103733
Q8C0D5  101592
P62073  30059
Q8K1K4  102920
Q5SX39  17884
P22682  12402
O35737  59013
Q61102  11306
A2AQA7  11834
Q91YN5  107652
P97825  15374
Q9JMD0  22680
Q8BJL1  71865
Q9D1N9  353242
Q3UKJ7  74255
Q5SWW4  327987
P70303  55936
Q9JII6  58810
P33215  17997
Q925J9  19014
Q8CCJ3  67490
Q6P9Q4  234686
Q8BT60  70568
Q3TIU4  211948
Q6P8N8  270166
O54941  57376
Q9QZD9  54709
Q11011  19155
Q9D1K2  66144
Q8R4Y8  246102
Q6NVF9  432508
Q9EPK7  65246
P97930  21915
Q3UIX4  69207
A2A5K6  329559
Q6A009  78913
Q8C145  106957
Q8BML1  320878
Q8K4Z3  246703
Q6ZPZ3  330474
Q6PHZ2  108058
O08795  19089
Q9DCA5  67832
F8VPL5  26921
Q02614  57230
Q9R1P4  26440
Q9CYI0  70591
Q8R123  319945
Q9CZM2  66480
P62911  19951
P29341  18458
Q8BJ05  75553
P46935  17999
O88708  26428
Q8CBY8  67665
Q8BU03  110816
Q6P5H2  18008
Q3U1V6  54122
P48774  14866
Q8K363  66942
Q8VBZ3  56457
Q8CBY1  74480
P26043  19684
P67871  13001
Q8C5N3  80744
Q8VCH8  67812
Q9WTX6  26965
P63028  22070
Q5U4D9  386612
P62702  20102
Q6ZPY2  229512
D3Z3J6  218693
Q03147  12572
P20664  19075
Q5SSH7  195018
Q9WU28  56612
Q9Z2X1  98758
Q9Z104  15353
P23116  13669
P42208  18000
P62242  20116
G5E8A7  233033
Q8VCN9  72726
O08848  20822
Q76N33  76630
E9QP59  380664
Q8CGA0  68606
P70428  14043
Q9D8T2  69146
E9Q983  225115
P61211  104303
P68369  22142
Q80Y98  72108
Q3UH60  239667
Q8VHM5  74326
O35640  11752
P28352  11792
P28658  54138
E9Q7L1  382038
Q8BMI4  209334
Q8C6G8  226757
Q0PD20  19376
Q3TAI4  66314
Q91WE6  68916
Q8BJM7  100929
P60710  11461
P61327  17149
Q8CH77  215690
Q3USH5  231769
Q6P2B2  214897
O88532  22763
Q7TMY8  59026
P49312  15382
O08663  56307
Q9JIX0  223527
B1AY10  74164
Q91VS8  227377
P70255  18029
Q9R0L6  18536
Q8CGY8  108155
Q9CVB6  76709
Q91V12  70025
Q8VCG9  170767
Q8BY71  107435
Q8BGJ5  19205
Q91XI1  224907
Q8K2F8  67070
Q9CQZ6  66495
Q9Z1Z2  20901
Q9R099  27368
Q61205  18476
E9Q3U1  22214
P50096  23917
Q9WUA2  23874
Q9D883  108121
Q9CPV4  67201
Q8K3K8  71648
P52431  18971
Q6ZWQ5  55988
Q3U3I9  319748
Q8CIE6  12847
Q64520  14923
Q4VA53  100710
Q8BVF2  68833
Q5RKZ7  56738
P28867  18753
B1ASU9  24086
Q8BZM1  170823
F8VPU2  223254
Q3UQ14  27081
Q6PEV3  68524
Q9ER81  240832
E9Q309  74081
Q920E5  110196
Q8C5Q4  231413
O54743  14238
Q6ZQA6  78908
Q61599  11857
P51410  20005
Q91W69  71889
B9EJR8  433956
E9QKT1  22215
Q99K85  107272
P24270  12359
Q7JJ13  14312
P70180  18162
Q8BP00  320299
E0CZE0  234664
Q9JKN1  66500
P00375  13361
P46664  11566
P97807  14194
Q8C0I1  228061
P32507  19294
Q9D287  68183
Q8R1F1  227737
B2RRI2  243272
Q9WVF7  18973
Q9WTI7  17913
Q9CYH6  59014
Q8VCQ8  109624
Q80UZ2  231452
P24788  12537
Q6PE01  66585
Q9QZQ1  17356
A6H5Y3  238505
P62855  27370
Q5SSZ5  319939
Q6PE54  67487
Q9D0L8  67897
Q3TJ22  227290
Q62176  56190
Q9D6Z1  67134
Q8K0D5  28030
Q9WV96  14356
Q64133  17161
Q922H1  71974
E9Q5C9  70769
Q8C761  217935
P51125  12380
O54774  11776
P28474  11532
P43277  14957
Q922S8  73804
Q8JZQ2  69597
Q6NSQ7  353258
K3W4P9  217864
E9Q066  207214
F8VPN4  77559
P45700  17155
Q8VHX6  68794
Q9Z2I8  20917
Q569Z6  230753
Q6ZWU9  100043813
Q6ZWU9  57294
Q9ERE7  67943
Q61206  18475
Q9CYX7  67223
Q8VDH1  231670
Q8C3X2  66365
G3X928  207352
P82343  19703
P61255  19941
P56960  50912
Q9CQA1  66682
Q922J9  67420
O35551  54189
Q8BG51  59040
Q61559  14132
Q9DBF1  110695
Q3UM45  66385
Q7TMV3  380601
P62814  11966
Q91ZX7  16971
Q60716  18452
O70404  22320
Q62165  13138
Q8K4Z5  67465
Q91VJ5  54633
Q9Z2B9  56613
P08207  20194
Q921J2  19744
Q9DBZ5  73830
P22907  15288
Q3TJZ6  72722
O88746  21968
Q8VDL4  72141
Q8BMK4  216197
P97770  14911
Q99L04  52585
