A0A067XG53	ENSMUSP00000111098
D3YX57	ENSMUSP00000044931
D3YXJ0	ENSMUSP00000074290
D3YXK2	ENSMUSP00000138277
D3YXW1	ENSMUSP00000020444
D3YXW1	ENSMUSP00000118254
D3YXZ3	ENSMUSP00000112262
D3YY34	ENSMUSP00000114916
D3YY41	ENSMUSP00000029201
D3YYC2	ENSMUSP00000109304
D3YYD2	ENSMUSP00000025595
D3YYD2	ENSMUSP00000123598
D3YYK0	ENSMUSP00000043041
D3YYM6	ENSMUSP00000004554
D3YYP5	ENSMUSP00000031845
D3YYT1	ENSMUSP00000111510
D3YYU8	ENSMUSP00000109197
D3YZ09	ENSMUSP00000029643
D3YZ20	ENSMUSP00000038505
D3YZ20	ENSMUSP00000106757
D3YZ62	ENSMUSP00000117493
D3YZ89	ENSMUSP00000112752
D3YZ89	ENSMUSP00000123464
D3YZC9	ENSMUSP00000144378
D3YZE7	ENSMUSP00000059166
D3YZH4	ENSMUSP00000114843
D3YZP9	ENSMUSP00000123374
D3Z030	ENSMUSP00000072662
D3Z0B9	ENSMUSP00000007977
D3Z0B9	ENSMUSP00000103445
D3Z0F5	ENSMUSP00000019638
D3Z0M9	ENSMUSP00000003450
D3Z0Q6	ENSMUSP00000003964
D3Z0T0	ENSMUSP00000048016
D3Z0T0	ENSMUSP00000106562
D3Z0V2	ENSMUSP00000106534
D3Z1X8	ENSMUSP00000086094
D3Z1Z0	ENSMUSP00000079883
D3Z1Z8	ENSMUSP00000030636
D3Z2E3	ENSMUSP00000123238
D3Z2J3	ENSMUSP00000062622
D3Z375	ENSMUSP00000117735
D3Z3A0	ENSMUSP00000060118
D3Z3A9	ENSMUSP00000019683
D3Z3D0	ENSMUSP00000079627
D3Z3H0	ENSMUSP00000101950
D3Z3J6	ENSMUSP00000117256
D3Z456	ENSMUSP00000035177
D3Z481	ENSMUSP00000030849
D3Z4S6	ENSMUSP00000025645
D3Z4S6	ENSMUSP00000113696
D3Z4T4	ENSMUSP00000072636
D3Z5I1	ENSMUSP00000110550
D3Z637	ENSMUSP00000091943
D3Z645	ENSMUSP00000113525
D3Z6H3	ENSMUSP00000113716
D3Z6I3	ENSMUSP00000113228
D3Z6Q3	ENSMUSP00000108950
D3Z6S3	ENSMUSP00000056582
D3Z726	ENSMUSP00000094916
D3Z7C0	ENSMUSP00000023391
D3Z7C0	ENSMUSP00000113065
D3Z7E5	ENSMUSP00000071654
D3Z7E5	ENSMUSP00000104049
D3Z7I0	ENSMUSP00000144489
D3Z7P2	ENSMUSP00000039529
D3Z7P2	ENSMUSP00000122130
D3Z7P3	ENSMUSP00000110158
D3Z7P3-2	ENSMUSP00000110158
D3Z7Q3	ENSMUSP00000087485
D5MCW4	ENSMUSP00000025027
E0CX20	ENSMUSP00000124999
E0CX79	ENSMUSP00000025707
E0CXA9	ENSMUSP00000124790
E0CXA9	ENSMUSP00000125415
E0CXS2	ENSMUSP00000136010
E0CY18	ENSMUSP00000027394
E0CY81	ENSMUSP00000037971
E0CZE0	ENSMUSP00000034349
E0CZE8	ENSMUSP00000023749
E0CZE8	ENSMUSP00000125437
E1U8D0	ENSMUSP00000066556
E9PU87	ENSMUSP00000121032
E9PU93	ENSMUSP00000070957
E9PUN5	ENSMUSP00000021918
E9PUN5	ENSMUSP00000123362
E9PVA8	ENSMUSP00000069432
E9PVB5-2	ENSMUSP00000106869
E9PVP1	ENSMUSP00000143429
E9PVX6	ENSMUSP00000033310
E9PW15	ENSMUSP00000017692
E9PWB1	ENSMUSP00000120208
E9PWC8	ENSMUSP00000021535
E9PWE8	ENSMUSP00000112928
E9PWG2	ENSMUSP00000025177
E9PWG6	ENSMUSP00000112871
E9PWI6	ENSMUSP00000144057
E9PWK1	ENSMUSP00000047551
E9PWK7	ENSMUSP00000106684
E9PWV3	ENSMUSP00000119328
E9PWW6	ENSMUSP00000041308
E9PWX8	ENSMUSP00000128464
E9PWY7	ENSMUSP00000063096
E9PWY9	ENSMUSP00000003906
E9PX48	ENSMUSP00000030286
E9PX53	ENSMUSP00000072848
E9PX68	ENSMUSP00000144257
E9PXW8	ENSMUSP00000112110
E9PXX7	ENSMUSP00000041839
E9PY55	ENSMUSP00000107033
E9PYB0	ENSMUSP00000114522
E9PYF4	ENSMUSP00000097910
E9PYG6	ENSMUSP00000105179
E9PYI8	ENSMUSP00000089728
E9PYJ6	ENSMUSP00000095602
E9PYK3	ENSMUSP00000124258
E9PZ00	ENSMUSP00000137286
E9PZ16	ENSMUSP00000131316
E9PZ21	ENSMUSP00000131306
E9PZ26	ENSMUSP00000105007
E9PZ73	ENSMUSP00000060671
E9PZA7	ENSMUSP00000091668
E9PZJ8	ENSMUSP00000036726
E9PZM4	ENSMUSP00000126352
E9PZM7	ENSMUSP00000044898
E9PZP8	ENSMUSP00000044801
E9Q066	ENSMUSP00000097780
E9Q088	ENSMUSP00000022470
E9Q0A7	ENSMUSP00000105926
E9Q0D4	ENSMUSP00000033058
E9Q175	ENSMUSP00000139019
E9Q1M6	ENSMUSP00000123270
E9Q1P8	ENSMUSP00000062753
E9Q1S3	ENSMUSP00000021375
E9Q1Y1	ENSMUSP00000131500
E9Q236	ENSMUSP00000042186
E9Q2B2	ENSMUSP00000018645
E9Q2E4	ENSMUSP00000048345
E9Q2H1	ENSMUSP00000105965
E9Q2I4	ENSMUSP00000048120
E9Q2X6	ENSMUSP00000047872
E9Q394	ENSMUSP00000117686
E9Q3G8	ENSMUSP00000021803
E9Q3I8	ENSMUSP00000066361
E9Q3N1	ENSMUSP00000046714
E9Q3P4	ENSMUSP00000129738
E9Q3R9	ENSMUSP00000109363
E9Q3U1	ENSMUSP00000100058
E9Q3X0	ENSMUSP00000127250
E9Q411	ENSMUSP00000036082
E9Q446	ENSMUSP00000027357
E9Q456	ENSMUSP00000034928
E9Q4G8	ENSMUSP00000023312
E9Q4M4	ENSMUSP00000032172
E9Q4M4	ENSMUSP00000109179
E9Q4P1	ENSMUSP00000109140
E9Q4P1	ENSMUSP00000109141
E9Q4P1	ENSMUSP00000109142
E9Q4P1	ENSMUSP00000109143
E9Q4X2	ENSMUSP00000121249
E9Q4Y4	ENSMUSP00000025425
E9Q512	ENSMUSP00000021605
E9Q555	ENSMUSP00000091429
E9Q586	ENSMUSP00000109552
E9Q5B5	ENSMUSP00000000642
E9Q5B5	ENSMUSP00000125986
E9Q5C9	ENSMUSP00000128331
E9Q5E0	ENSMUSP00000103184
E9Q5E1	ENSMUSP00000116886
E9Q5E1	ENSMUSP00000128313
E9Q5F9-2	ENSMUSP00000116313
E9Q5G3	ENSMUSP00000034815
E9Q5H2	ENSMUSP00000128483
E9Q5K9	ENSMUSP00000039133
E9Q616	ENSMUSP00000090633
E9Q624	ENSMUSP00000108316
E9Q634	ENSMUSP00000034745
E9Q668	ENSMUSP00000030714
E9Q6A7	ENSMUSP00000102374
E9Q6J5	ENSMUSP00000058618
E9Q6K3	ENSMUSP00000022650
E9Q6P4	ENSMUSP00000104977
E9Q6R4	ENSMUSP00000090398
E9Q6R4	ENSMUSP00000111463
E9Q6R7	ENSMUSP00000076093
E9Q6U4	ENSMUSP00000070596
E9Q735	ENSMUSP00000112632
E9Q784	ENSMUSP00000022577
E9Q7A5	ENSMUSP00000080403
E9Q7C1	ENSMUSP00000012259
E9Q7C4	ENSMUSP00000113259
E9Q7E2	ENSMUSP00000093969
E9Q7G0	ENSMUSP00000081912
E9Q7G1	ENSMUSP00000043660
E9Q7G1	ENSMUSP00000120904
E9Q7L0	ENSMUSP00000022480
E9Q7L1	ENSMUSP00000034457
E9Q7L3	ENSMUSP00000107727
E9Q7M2	ENSMUSP00000096688
E9Q7N5	ENSMUSP00000125656
E9Q7W0	ENSMUSP00000040694
E9Q855	ENSMUSP00000096540
E9Q855	ENSMUSP00000112846
E9Q8B7	ENSMUSP00000041374
E9Q8L9	ENSMUSP00000058042
E9Q8V6	ENSMUSP00000037915
E9Q912	ENSMUSP00000096173
E9Q983	ENSMUSP00000025079
E9Q9B3	ENSMUSP00000121493
E9Q9B7	ENSMUSP00000063999
E9Q9C7	ENSMUSP00000078336
E9Q9D5	ENSMUSP00000023294
E9Q9E1	ENSMUSP00000047678
E9Q9S2	ENSMUSP00000078383
E9Q9T6	ENSMUSP00000070279
E9QA15	ENSMUSP00000110679
E9QA19	ENSMUSP00000110645
E9QA63	ENSMUSP00000095507
E9QAD4	ENSMUSP00000043442
E9QAE3	ENSMUSP00000097093
E9QAF9	ENSMUSP00000036003
E9QAG2	ENSMUSP00000077971
E9QAH1	ENSMUSP00000045239
E9QAR6	ENSMUSP00000081296
E9QAS4	ENSMUSP00000108009
E9QAT4	ENSMUSP00000109716
E9QB02	ENSMUSP00000130666
E9QJV4	ENSMUSP00000112953
E9QK04	ENSMUSP00000063656
E9QK83	ENSMUSP00000004470
E9QKD1	ENSMUSP00000021824
E9QKK1	ENSMUSP00000057938
E9QKT1	ENSMUSP00000143859
E9QKZ2	ENSMUSP00000036093
E9QL65	ENSMUSP00000045016
E9QLA5	ENSMUSP00000098591
E9QLQ9	ENSMUSP00000078337
E9QM38	ENSMUSP00000111023
E9QM77	ENSMUSP00000056715
E9QMH7	ENSMUSP00000020149
E9QMR2	ENSMUSP00000047881
E9QN14	ENSMUSP00000085712
E9QN31	ENSMUSP00000047123
E9QNG1	ENSMUSP00000052758
E9QNN1	ENSMUSP00000038135
E9QNX9	ENSMUSP00000005671
E9QP19	ENSMUSP00000029444
E9QP46	ENSMUSP00000047697
E9QP59	ENSMUSP00000112661
E9QQ10	ENSMUSP00000046129
E9QQ14	ENSMUSP00000022121
F2Z3U3	ENSMUSP00000121023
F2Z4A3	ENSMUSP00000096394
F6QCI0	ENSMUSP00000021018
F6QX82	ENSMUSP00000087762
F6QX82	ENSMUSP00000121499
F6R782	ENSMUSP00000045913
F6RJ39	ENSMUSP00000022793
F6RJV6	ENSMUSP00000052146
F6RPJ9	ENSMUSP00000121358
F6SPK0	ENSMUSP00000118333
F6UK66	ENSMUSP00000097604
F6UK66	ENSMUSP00000118633
F6V3Y9	ENSMUSP00000144551
F6V6T4	ENSMUSP00000054834
F6XC25	ENSMUSP00000030320
F6XYC5	ENSMUSP00000031739
F6Z1E7	ENSMUSP00000040220
F6Z1E7	ENSMUSP00000117683
F6ZBR8	ENSMUSP00000126253
F6ZFT1	ENSMUSP00000033157
F6ZFU0	ENSMUSP00000087110
F7ACR9	ENSMUSP00000095507
F7BE84	ENSMUSP00000122842
F7BJB9	ENSMUSP00000040152
F7C279	ENSMUSP00000015725
F7C279	ENSMUSP00000122734
F7CC56	ENSMUSP00000027040
F7CTF8	ENSMUSP00000124334
F7DBB3	ENSMUSP00000114522
F7DE82	ENSMUSP00000125341
F8VPK0	ENSMUSP00000089045
F8VPL5	ENSMUSP00000126961
F8VPN4	ENSMUSP00000044012
F8VPP8	ENSMUSP00000105181
F8VPT3	ENSMUSP00000073190
F8VPU2	ENSMUSP00000026635
F8VPX1	ENSMUSP00000124382
F8VPZ9	ENSMUSP00000092416
F8VQ05	ENSMUSP00000092289
F8VQ11	ENSMUSP00000112999
F8VQ29	ENSMUSP00000071715
F8VQB6	ENSMUSP00000106087
F8VQB8	ENSMUSP00000023057
F8VQB8	ENSMUSP00000086714
F8VQC1	ENSMUSP00000098648
F8VQJ3	ENSMUSP00000027752
F8WGM8	ENSMUSP00000071486
F8WGW3	ENSMUSP00000092810
F8WH20	ENSMUSP00000087473
F8WHM5	ENSMUSP00000131355
F8WHT3	ENSMUSP00000064892
F8WHU7	ENSMUSP00000116205
F8WHW3	ENSMUSP00000124782
F8WHY8	ENSMUSP00000009099
F8WID5	ENSMUSP00000034928
F8WIE5	ENSMUSP00000136449
F8WJG3	ENSMUSP00000124846
F8WJK8	ENSMUSP00000130195
G3UVU2	ENSMUSP00000117160
G3UVU9	ENSMUSP00000047570
G3UW40	ENSMUSP00000087318
G3UWD2	ENSMUSP00000023673
G3UWQ7	ENSMUSP00000133387
G3UWZ0	ENSMUSP00000039757
G3UX26	ENSMUSP00000022293
G3UXW9	ENSMUSP00000133855
G3UXZ5	ENSMUSP00000134735
G3UYG6	ENSMUSP00000027475
G3UYU0	ENSMUSP00000134222
G3UYV7	ENSMUSP00000110013
G3UZ44	ENSMUSP00000027878
G3UZ44	ENSMUSP00000134338
G3UZ60	ENSMUSP00000134416
G3UZY2	ENSMUSP00000005487
G3X8R0	ENSMUSP00000006027
G3X8R5	ENSMUSP00000006851
G3X8X0	ENSMUSP00000025292
G3X8Y3	ENSMUSP00000029303
G3X920	ENSMUSP00000035043
G3X922	ENSMUSP00000139804
G3X926	ENSMUSP00000138581
G3X928	ENSMUSP00000035610
G3X960	ENSMUSP00000043085
G3X963	ENSMUSP00000043691
G3X972	ENSMUSP00000045955
G3X9B1	ENSMUSP00000054084
G3X9I1	ENSMUSP00000127559
G3X9J0	ENSMUSP00000082965
G3X9K3	ENSMUSP00000085986
G3X9L6	ENSMUSP00000087974
G3X9N6	ENSMUSP00000100911
G3X9T8	ENSMUSP00000103965
G3X9V0	ENSMUSP00000123798
G3X9V2	ENSMUSP00000107323
G3X9Z4	ENSMUSP00000113717
G3XA17	ENSMUSP00000124551
G3XA21	ENSMUSP00000094115
G5E829	ENSMUSP00000020107
G5E884	ENSMUSP00000033040
G5E896	ENSMUSP00000039134
G5E897	ENSMUSP00000039313
G5E8A7	ENSMUSP00000040486
G5E8J0	ENSMUSP00000078741
G5E8J9	ENSMUSP00000133992
G5E8L2	ENSMUSP00000093425
G5E8R8	ENSMUSP00000110804
G5E8S8	ENSMUSP00000111535
G5E8V8	ENSMUSP00000008445
G5E8V9	ENSMUSP00000122964
G5E924	ENSMUSP00000134734
G8JL74	ENSMUSP00000133612
H3BIX9	ENSMUSP00000031734
H3BJ51	ENSMUSP00000068568
H3BJ97	ENSMUSP00000030560
H3BJ97	ENSMUSP00000134900
H3BJY1	ENSMUSP00000135171
H3BK44	ENSMUSP00000135100
H3BKH9	ENSMUSP00000029694
H3BL41	ENSMUSP00000023008
H7BWY4	ENSMUSP00000064280
H7BX02	ENSMUSP00000124871
H7BX14	ENSMUSP00000046911
H7BX14	ENSMUSP00000104267
H7BX26	ENSMUSP00000141793
H7BX32	ENSMUSP00000106801
H7BX50	ENSMUSP00000078853
H7BX50	ENSMUSP00000106401
H7BX88	ENSMUSP00000028207
H7BX88	ENSMUSP00000099918
H7BXB9	ENSMUSP00000028800
H7BXB9	ENSMUSP00000115000
H9H9S3	ENSMUSP00000028229
H9KV00	ENSMUSP00000112453
J3QK48	ENSMUSP00000027036
J3QMC5	ENSMUSP00000071569
J3QQ22	ENSMUSP00000032891
K3W4P9	ENSMUSP00000082034
K3W4Q8	ENSMUSP00000070751
K3W4R5	ENSMUSP00000097303
L7N236	ENSMUSP00000098751
M0QWZ1	ENSMUSP00000138082
O08529	ENSMUSP00000068895
O08539-2	ENSMUSP00000025239
O08547	ENSMUSP00000029476
O08553	ENSMUSP00000022629
O08573-2	ENSMUSP00000103904
O08579	ENSMUSP00000002029
O08580	ENSMUSP00000025906
O08582	ENSMUSP00000043575
O08583	ENSMUSP00000026125
O08599	ENSMUSP00000089051
O08648-2	ENSMUSP00000086459
O08663	ENSMUSP00000138083
O08715	ENSMUSP00000103537
O08734	ENSMUSP00000077757
O08738	ENSMUSP00000029626
O08739	ENSMUSP00000005829
O08749	ENSMUSP00000106481
O08750	ENSMUSP00000065363
O08784	ENSMUSP00000135639
O08795	ENSMUSP00000110987
O08797	ENSMUSP00000006391
O08807	ENSMUSP00000026328
O08810	ENSMUSP00000021306
O08848	ENSMUSP00000125623
O08912	ENSMUSP00000000430
O08915	ENSMUSP00000137722
O08917	ENSMUSP00000001569
O08997	ENSMUSP00000104485
O09005	ENSMUSP00000048519
O09012-2	ENSMUSP00000049132
O09053	ENSMUSP00000033990
O09061	ENSMUSP00000014913
O09106	ENSMUSP00000099657
O09110	ENSMUSP00000019076
O09131	ENSMUSP00000026050
O09172	ENSMUSP00000029769
O35074	ENSMUSP00000018113
O35074	ENSMUSP00000085357
O35114	ENSMUSP00000031377
O35127	ENSMUSP00000004389
O35129	ENSMUSP00000004375
O35130	ENSMUSP00000004379
O35134	ENSMUSP00000060858
O35215	ENSMUSP00000001716
O35226	ENSMUSP00000071589
O35226-2	ENSMUSP00000071589
O35239	ENSMUSP00000034832
O35245-3	ENSMUSP00000084041
O35250-2	ENSMUSP00000021147
O35286	ENSMUSP00000031061
O35295	ENSMUSP00000136957
O35309	ENSMUSP00000028314
O35309	ENSMUSP00000108325
O35309	ENSMUSP00000120647
O35316	ENSMUSP00000032185
O35326	ENSMUSP00000105980
O35343	ENSMUSP00000029353
O35344	ENSMUSP00000022496
O35350	ENSMUSP00000025891
O35375-2	ENSMUSP00000099886
O35375-2	ENSMUSP00000109794
O35379	ENSMUSP00000097743
O35381	ENSMUSP00000082652
O35382	ENSMUSP00000051965
O35385	ENSMUSP00000031359
O35385	ENSMUSP00000144157
O35387	ENSMUSP00000078661
O35405	ENSMUSP00000112942
O35405	ENSMUSP00000113820
O35427	ENSMUSP00000026608
O35465	ENSMUSP00000074935
O35465	ENSMUSP00000112527
O35465	ENSMUSP00000114069
O35495-2	ENSMUSP00000030763
O35551-3	ENSMUSP00000104173
O35566	ENSMUSP00000061636
O35566	ENSMUSP00000101622
O35566	ENSMUSP00000136331
O35593	ENSMUSP00000028278
O35598	ENSMUSP00000063839
O35604	ENSMUSP00000025279
O35621	ENSMUSP00000023112
O35625-2	ENSMUSP00000073974
O35638	ENSMUSP00000110725
O35639	ENSMUSP00000031447
O35640	ENSMUSP00000022519
O35654	ENSMUSP00000099986
O35685	ENSMUSP00000030665
O35691	ENSMUSP00000021381
O35737	ENSMUSP00000076989
O35841	ENSMUSP00000028617
O35857	ENSMUSP00000003029
O35864	ENSMUSP00000027050
O35874	ENSMUSP00000105223
O35887	ENSMUSP00000031779
O35900	ENSMUSP00000007266
O35955	ENSMUSP00000034369
O35963	ENSMUSP00000063054
O35972	ENSMUSP00000039784
O54692	ENSMUSP00000034803
O54724	ENSMUSP00000058321
O54734	ENSMUSP00000030538
O54743	ENSMUSP00000046789
O54774	ENSMUSP00000020420
O54782	ENSMUSP00000031002
O54784	ENSMUSP00000035962
O54790	ENSMUSP00000053899
O54791	ENSMUSP00000094076
O54804-2	ENSMUSP00000025760
O54825	ENSMUSP00000024783
O54833	ENSMUSP00000055919
O54941	ENSMUSP00000099422
O54950	ENSMUSP00000132499
O54962	ENSMUSP00000025762
O54967-3	ENSMUSP00000110777
O54984	ENSMUSP00000065337
O54988-2	ENSMUSP00000049977
O54998	ENSMUSP00000002809
O55022	ENSMUSP00000073061
O55028	ENSMUSP00000070345
O55029	ENSMUSP00000035033
O55091	ENSMUSP00000025290
O55106	ENSMUSP00000120830
O55125	ENSMUSP00000049338
O55135	ENSMUSP00000029142
O55142	ENSMUSP00000077857
O55143	ENSMUSP00000031423
O55201	ENSMUSP00000003527
O55222	ENSMUSP00000033182
O55229	ENSMUSP00000023289
O55234	ENSMUSP00000022803
O70126	ENSMUSP00000021277
O70152	ENSMUSP00000118776
O70161-2	ENSMUSP00000038225
O70194	ENSMUSP00000098053
O70251	ENSMUSP00000116492
O70252	ENSMUSP00000004172
O70274	ENSMUSP00000030578
O70306	ENSMUSP00000029462
O70309	ENSMUSP00000069416
O70310	ENSMUSP00000021314
O70318	ENSMUSP00000055122
O70326	ENSMUSP00000097170
O70378	ENSMUSP00000034277
O70400	ENSMUSP00000064545
O70404	ENSMUSP00000141800
O70433	ENSMUSP00000008280
O70435	ENSMUSP00000125548
O70472	ENSMUSP00000027290
O70475	ENSMUSP00000031103
O70481	ENSMUSP00000028728
O70503	ENSMUSP00000028619
O70551	ENSMUSP00000116259
O70571	ENSMUSP00000019721
O70572	ENSMUSP00000019965
O70579	ENSMUSP00000023040
O70591	ENSMUSP00000120106
O88207	ENSMUSP00000028280
O88271	ENSMUSP00000034432
O88342	ENSMUSP00000005234
O88374	ENSMUSP00000033098
O88396	ENSMUSP00000053440
O88413	ENSMUSP00000001562
O88428	ENSMUSP00000025833
O88441	ENSMUSP00000028511
O88477	ENSMUSP00000013559
O88487	ENSMUSP00000107768
O88531	ENSMUSP00000030412
O88532	ENSMUSP00000118911
O88543	ENSMUSP00000019517
O88544	ENSMUSP00000048416
O88569	ENSMUSP00000087453
O88587-2	ENSMUSP00000138930
O88630	ENSMUSP00000010536
O88668	ENSMUSP00000107060
O88685	ENSMUSP00000002171
O88700	ENSMUSP00000127995
O88708	ENSMUSP00000028098
O88712-2	ENSMUSP00000078682
O88736	ENSMUSP00000106985
O88738	ENSMUSP00000138333
O88746	ENSMUSP00000077891
O88796	ENSMUSP00000025714
O88811	ENSMUSP00000099820
O88829-2	ENSMUSP00000070414
