gene	struc	chn	decay.class	qtype	unq	tot	species	
ARPC5	1k8k	G	N	het	7	7	human
JAK3	3pjc	A	X	mon	1	1	human
CLPS	1pcn	A	X	mon	1	1	human
UPP2	3p0f	A	X	hom	1	2	human
ADGRE2	2bou	A	X	mon	1	1	human
ARG1	3gn0	A	X	hom	1	3	human
CRADD	3crd	A	E	mon	1	1	human
IL6R	1n26	A	X	hom	1	2	human
SOD2	1xdc	A	U	hom	1	4	human
SOCS5	2n34	A	X	mon	1	1	human
LGALS2	1hlc	A	X	hom	1	2	human
PPP1R14A	2rlt	A	X	mon	1	1	human
TNFAIP3	3zjf	A	X	hom	1	2	human
TNFRSF10B	4i9x	C	U	het	2	4	human
TINF2	3bqo	B	X	het	2	4	human
NUMBL	3f0w	A	X	mon	1	1	human
FGD5	3mpx	A	X	mon	1	1	human
SFTPB	1ssz	A	X	mon	1	1	human
ISY1	1x4t	A	X	mon	1	1	human
PSMB7	4r3o	I	U	het	14	28	human
PFKP	4rh3	A	U	hom	1	4	human
IRS1	1qqg	A	X	hom	1	2	human
SNRPD3	3cw1	D	N	het	9	9	human
CACNA1C	1vyt	E	X	het	2	2	human
RBMXL1	2mks	A	X	mon	1	1	human
RND1	2cls	A	X	mon	1	1	human
TUBB4B	3j1t	C	U	het	3	3	human
IKBKB	3brv	A	E	het	2	4	human
PTPN6	2b3o	A	X	mon	1	1	human
KSR1	1kbe	A	X	mon	1	1	human
CEACAM3	4y8a	A	X	hom	1	2	human
TNFSF11	5bnq	A	X	het	2	6	human
FBXW11	1p22	A	X	het	3	3	human
CSRP3	2o10	A	X	mon	1	1	human
TLE4	2ce9	A	X	het	2	3	human
AGR2	2lnt	A	X	mon	1	1	human
HIST3H3	2ktb	A	X	het	2	2	human
RB1	2qdj	A	U	mon	1	1	human
MTF2	2yt5	A	X	mon	1	1	human
GRIN2A	3nfl	E	X	het	2	2	human
ANAPC13	4ui9	M	X	het	18	23	human
HOMER1	1ddw	A	X	mon	1	1	human
LGALS4	1x50	A	X	mon	1	1	human
CD74	1l3h	A	X	mon	1	1	human
TCN1	4kki	A	X	mon	1	1	human
SSRP1	4ifs	A	U	mon	1	1	human
AGAP2	2iwr	A	X	mon	1	1	human
NAB1	2yuf	A	X	mon	1	1	human
POLRMT	4boc	A	E	hom	1	2	human
AKR1B10	1zua	X	X	mon	1	1	human
ISPD	4cvh	A	X	hom	1	2	human
GABBR2	4f11	A	X	mon	1	1	human
HOXD1	1kz0	A	X	mon	1	1	human
NOB1	2con	A	U	mon	1	1	human
IL16	1i16	A	X	mon	1	1	human
BPHL	2ocg	A	X	mon	1	1	human
VAV1	3bji	A	X	het	2	2	human
PHACTR3	4b1y	M	X	het	2	2	human
RAP2B	1kao	A	E	mon	1	1	human
MSMB	2iz3	A	X	mon	1	1	human
CACNG2	4x3h	B	X	het	2	2	human
OXCT2	1ooy	A	X	hom	1	4	human
GMFG	3l50	A	X	mon	1	1	human
USP33	2uzg	A	E	mon	1	1	human
HCN3	4hbn	A	X	hom	1	4	human
RNF126	2ect	A	X	mon	1	1	human
LILRB3	2d3v	A	X	mon	1	1	human
STAT1	1yvl	A	U	het	2	2	human
CALML3	1ggz	A	X	mon	1	1	human
EPHA2	4trl	A	U	mon	1	1	human
SART3	2do4	A	U	mon	1	1	human
IL1R1	1g0y	R	X	het	2	2	human
CYP51A1	3juv	A	U	hom	1	2	human
C1R	1md8	A	X	mon	1	1	human
PDE4B	3o0j	A	X	mon	1	1	human
CTD-2132N18.3	1huq	A	X	mon	1	1	human
PITX2	2l7f	P	X	mon	1	1	human
TNFSF9	2x29	A	X	hom	1	3	human
EPB41L3	2he7	A	U	mon	1	1	human
DLX5	4rdu	A	X	mon	1	1	human
SLC2A14	5c65	A	X	mon	1	1	human
ADCY7	1cul	B	X	het	3	3	human
GNAI1	4g5q	A	E	het	2	2	human
KDR	3vhe	A	X	mon	1	1	human
PRPF19	4lg8	A	U	mon	1	1	human
PBRM1	3ljw	A	U	mon	1	1	human
PCYT1A	3hl4	A	U	hom	1	2	human
MYL9	3j04	B	N	het	3	6	human
GC	1lot	A	X	het	2	2	human
CLEC1B	2c6u	A	X	mon	1	1	human
RAB11FIP3	2hv8	D	X	het	2	4	human
TKT	3mos	A	U	hom	1	2	human
GRIA3	4u1y	A	X	hom	1	4	human
CCT6A	3iyg	Z	N	het	8	8	human
BST2	2xg7	A	X	hom	1	2	human
MGST1	2h8a	A	N	hom	1	3	human
RAB14	4d0g	A	E	het	2	2	human
PRIM1	4rr2	A	X	het	2	2	human
THG1L	3otd	A	X	hom	1	4	human
ALDH7A1	4zul	A	U	hom	1	4	human
ALDH1B1	3n80	A	N	hom	1	4	human
NR3C2	2a3i	A	X	het	2	2	human
SMYD3	5ccm	A	X	mon	1	1	human
NECAB3	1rsw	A	X	mon	1	1	human
BACE1	3kmx	A	X	hom	1	2	human
HIST1H2BF	2xql	B	X	het	2	10	human
LRBA	1t77	A	X	mon	1	1	human
C12orf66	2gnx	A	X	mon	1	1	human
NME1	2hvd	A	E	hom	1	6	human
IL10RA	1j7v	R	X	het	2	4	human
CD38	2ef1	A	X	mon	1	1	human
ISY1-RAB43	1x4t	A	X	mon	1	1	human
HIST1H3G	3x1t	A	X	het	4	8	human
FES	4dyl	A	X	hom	1	2	human
SAE1	1y8r	A	N	het	3	3	human
KIR2DL3	1m4k	A	X	mon	1	1	human
ASMT	4a6d	A	X	hom	1	2	human
ZC3H12B	3v34	A	X	mon	1	1	human
MAP3K4	1awi	P	X	het	2	3	human
JAG2	2kb9	A	X	mon	1	1	human
FLT1	1qsv	A	X	mon	1	1	human
ALB	1n5u	A	X	mon	1	1	human
PCLO	1rh8	A	X	mon	1	1	human
SRI	4u8d	A	U	hom	1	2	human
HPGD	2gdz	A	X	hom	1	2	human
BTN3A1	4v1p	A	X	hom	1	2	human
PIK3C2A	2iwl	X	X	hom	1	4	human
CDH9	1zvn	A	X	hom	1	2	human
C11orf30	2fmm	E	X	het	2	10	human
FAHD1	1saw	A	N	hom	1	2	human
CH507-152C13.3	3l1e	A	X	hom	1	2	human
NAGA	3h53	A	X	hom	1	2	human
LIN7B	2dkr	A	X	mon	1	1	human
GIP	2b4n	A	X	mon	1	1	human
CNTN3	1wj3	A	X	mon	1	1	human
UCN2	2rmg	A	X	mon	1	1	human
EYA4	4egc	B	X	het	2	2	human
TBCB	1v6e	A	U	mon	1	1	human
HBE1	1a9w	E	X	het	2	4	human
SOS2	1gbr	B	X	het	2	2	human
TGM3	1l9m	A	X	hom	1	2	human
HIST1H2AA	1hio	A	X	het	4	8	human
UBTF	1k99	A	U	mon	1	1	human
NPPB	1yk1	E	X	het	2	3	human
AGRN	3i70	A	X	mon	1	1	human
ALX4	2m0c	A	X	mon	1	1	human
NAMPT	3dhd	A	E	hom	1	2	human
FBXO30	2yre	A	X	mon	1	1	human
PDCD10	3rqf	A	U	het	2	5	human
OAZ1	4zgy	B	X	het	2	2	human
BPNT1	2wef	A	E	mon	1	1	human
RFX3	1dp7	P	X	hom	1	2	human
HSPG2	3sh4	A	X	mon	1	1	human
RNF146	4qpl	A	X	het	2	2	human
SMC3	2wd5	B	U	het	2	2	human
EIF4B	2j76	E	U	mon	1	1	human
PRND	1lg4	A	X	mon	1	1	human
FBXW7	2ovq	B	X	het	3	3	human
GABBR1	4pas	A	X	het	2	2	human
OSBPL11	2d9x	A	E	mon	1	1	human
RHOD	2j1l	A	X	mon	1	1	human
KCNJ18	3spi	A	X	hom	1	4	human
UBE2D2	1ur6	A	X	het	2	2	human
DDX39A	1t5i	A	U	mon	1	1	human
C1QB	1pk6	B	X	het	3	3	human
SCOC	4bwd	A	N	hom	1	2	human
PARG	4b1h	A	U	mon	1	1	human
HIST1H2BN	2xql	B	X	het	2	10	human
ATP7A	1kvi	A	X	mon	1	1	human
VASP	1egx	A	N	mon	1	1	human
STAU2	1uhz	A	U	mon	1	1	human
CTSC	4cdf	A	U	het	3	3	human
POU5F1B	1ocp	A	X	mon	1	1	human
CDH7	1zvn	A	X	hom	1	2	human
UBN1	4zbj	D	X	het	4	4	human
BMP3	2qcq	A	X	hom	1	2	human
CELA3A	1fon	A	X	hom	1	2	human
MYH4	2w4g	M	X	het	3	3	human
ESRRA	3d24	A	X	het	2	4	human
ARPC4	4xei	F	U	het	7	7	human
RET	4ckj	A	X	hom	1	2	human
DDR1	4ckr	A	X	mon	1	1	human
CYB5B	1b5m	A	N	mon	1	1	human
TNRC6A	3ktp	B	X	het	2	2	human
IMPDH1	1nfb	A	U	hom	1	4	human
KCNJ4	3spi	A	X	hom	1	4	human
RAD23A	1p9d	U	E	het	2	2	human
NFATC4	2yrp	A	X	mon	1	1	human
SPTAN1	1aey	A	U	mon	1	1	human
TUBB2A	3j8x	B	X	het	3	3	human
GTF2IRD2B	2e3l	A	X	mon	1	1	human
IL3	1jli	A	X	mon	1	1	human
ATXN1	4j2l	A	X	het	2	2	human
CORO1C	2aq5	A	N	mon	1	1	human
TYMP	1uou	A	X	hom	1	2	human
MCF2L	1kzg	A	X	het	2	2	human
PPIF	2bit	X	U	mon	1	1	human
RAB22A	1yvd	A	X	mon	1	1	human
LIG4	4htp	A	X	het	2	2	human
TMPRSS15	4dgj	A	X	mon	1	1	human
TOX	2co9	A	X	mon	1	1	human
ESR1	1qku	A	X	hom	1	2	human
HMGCR	1dq8	A	X	hom	1	4	human
RALA	1uad	A	E	het	2	2	human
KPNA1	4b18	A	N	het	2	2	human
STK4	3com	A	E	mon	1	1	human
ADGRE5	2bou	A	X	mon	1	1	human
GPSM1	4g5r	E	X	het	2	2	human
GNAI3	2ihb	A	U	het	2	2	human
DNAJC1	2cqr	A	X	mon	1	1	human
FZR1	4ui9	R	X	het	18	23	human
GSR	1grg	A	N	hom	1	2	human
PAXIP1	3sqd	A	X	het	2	2	human
SAP18	4a90	A	N	mon	1	1	human
F2	4o03	A	X	mon	1	1	human
ARF6	1e0s	A	U	mon	1	1	human
PROX1	2lmd	A	X	mon	1	1	human
PPP2R2B	3dw8	B	X	het	4	4	human
EHD1	2jq6	A	U	mon	1	1	human
RARG	1exa	A	X	mon	1	1	human
HOXB8	1kz0	A	X	mon	1	1	human
STX1A	1ez3	A	X	mon	1	1	human
CHMP1A	2jq9	B	E	het	2	2	human
MAP3K8	4y83	A	X	mon	1	1	human
CSF1	4wrm	B	X	het	2	2	human
SCNN1B	1i5h	B	X	het	2	2	human
WWOX	1wmv	A	X	mon	1	1	human
TERF1	3bqo	A	X	het	2	4	human
TUBA3D	4x1i	A	X	het	3	5	human
RUNX1T1	2pp4	A	X	mon	1	1	human
MXD1	1pd7	B	X	het	2	2	human
HTRA3	4ri0	A	X	hom	1	3	human
PARP14	4py4	A	X	hom	1	2	human
SHC3	4xwx	A	X	mon	1	1	human
SGTA	4goe	A	E	hom	1	2	human
FOXO1	3co7	C	X	mon	1	1	human
TCF12	2knh	B	U	het	2	2	human
NCR3	3pv6	B	X	het	2	2	human
THYN1	3eop	A	U	mon	1	1	human
ACTG1	3byh	A	U	het	2	20	human
SULT1C4	2gwh	A	X	hom	1	2	human
CTD-2192J16.22	1o7d	E	X	het	5	5	human
PLEKHA6	2yry	A	X	mon	1	1	human
HOXA9	1puf	A	X	het	2	2	human
LIMK2	4tpt	A	X	hom	1	2	human
PPT2	1pja	A	X	mon	1	1	human
SWAP70	2dn6	A	U	mon	1	1	human
FGF2	1bff	A	U	mon	1	1	human
DDT	3kan	A	E	hom	1	3	human
FBXO43	2rt9	A	X	mon	1	1	human
GSKIP	1sgo	A	X	mon	1	1	human
RELN	2e26	A	X	mon	1	1	human
PITX1	2l7f	P	X	mon	1	1	human
PCGF6	2djb	A	X	mon	1	1	human
HNF4G	1lv2	A	X	mon	1	1	human
FURIN	1p8j	A	X	het	2	8	human
STRBP	2dmy	A	X	mon	1	1	human
DIAPH1	2f31	B	U	het	2	2	human
FCRLA	4hwn	A	X	mon	1	1	human
DEFB1	1e4s	A	X	mon	1	1	human
ANKRD2	2xum	S	X	het	2	4	human
RPH3A	3rpb	A	X	mon	1	1	human
AIF1	2d58	A	X	mon	1	1	human
SRY	1hry	A	X	mon	1	1	human
PANK2	3sms	A	X	hom	1	2	human
KCNA2	2a79	B	X	het	4	16	human
MYO10	2lw9	A	X	hom	1	2	human
BRD3	2nxb	A	X	mon	1	1	human
COPS5	4f7o	A	U	hom	1	2	human
DXO	4j7l	A	X	mon	1	1	human
GPX8	3kij	A	N	mon	1	1	human
SLC2A5	4yb9	D	X	mon	1	1	human
BAD	1g5j	B	E	het	2	2	human
MAZ	2yt9	A	U	mon	1	1	human
KLF13	1sp2	A	X	mon	1	1	human
CRTC1	4htm	A	X	mon	1	1	human
CTBP1	1hku	A	U	hom	1	2	human
TCF4	2knh	B	X	het	2	2	human
ZMYND11	4ns5	A	E	mon	1	1	human
KHK	3b3l	A	X	hom	1	2	human
JTB	2kjx	A	X	mon	1	1	human
FER	2kk6	A	X	mon	1	1	human
RGS5	2crp	A	X	mon	1	1	human
PARVA	2k2r	A	U	het	2	2	human
EVPL	4qmd	A	X	mon	1	1	human
CSTF2	1p1t	A	U	mon	1	1	human
COPS7A	4d18	G	E	het	8	8	human
UBLCP1	2m17	A	E	mon	1	1	human
COMT	3bwm	A	U	mon	1	1	human
SCARB2	4tw2	A	N	mon	1	1	human
TMX2	2dj0	A	N	mon	1	1	human
PDHA1	2ozl	A	N	het	2	4	human
SNCA	1xq8	A	E	mon	1	1	human
SULT1A2	1z29	A	X	hom	1	2	human
FOXD3	2hdc	A	X	mon	1	1	human
VAPB	2mdk	A	U	mon	1	1	human
AXL	4ra0	C	X	het	2	4	human
SPINK6	1bus	A	X	mon	1	1	human
SPSB2	3ek9	A	X	mon	1	1	human
PLIN3	1szi	A	U	mon	1	1	human
FXYD1	2jo1	A	X	mon	1	1	human
PDIA6	4ef0	A	U	mon	1	1	human
EIF4G1	2w97	E	U	het	2	4	human
PAK2	3pcs	E	U	het	2	2	human
KIR3DL3	1m4k	A	X	mon	1	1	human
FBLIM1	2k9u	B	E	het	2	2	human
RAP2C	1kao	A	E	mon	1	1	human
HNRNPAB	1iqt	A	U	mon	1	1	human
MCMBP	4kg9	B	U	het	2	2	human
CTRL	1oxg	B	X	het	2	2	human
TDGF1	2j5h	A	X	mon	1	1	human
SPAG7	2cpm	A	E	mon	1	1	human
DUSP7	1mkp	A	X	mon	1	1	human
WWP1	2op7	A	X	mon	1	1	human
STX8	1gl2	D	X	het	4	4	human
MSN	1e5w	A	U	mon	1	1	human
TARSL2	4ttv	A	X	hom	1	2	human
APBA1	1u39	A	X	mon	1	1	human
ATP6V0A4	2nvj	A	X	mon	1	1	human
GABARAP	1gnu	A	U	mon	1	1	human
TNNI3	1ozs	B	X	het	2	2	human
ZNF423	2mdg	A	X	mon	1	1	human
MB	3rgk	A	X	mon	1	1	human
CLEC4M	1xph	A	X	mon	1	1	human
PI3	2rel	A	X	mon	1	1	human
CANX	1jhn	A	N	mon	1	1	human
ERP44	2r2j	A	U	mon	1	1	human
SCML2	4edu	A	X	het	2	4	human
JARID2	2rq5	A	X	mon	1	1	human
RNPS1	4a8x	A	U	het	3	3	human
EIF2S1	1kl9	A	E	mon	1	1	human
NKX2-2	1nk2	P	X	mon	1	1	human
DLG4	2ka9	A	X	het	2	3	human
PECR	1yxm	A	X	hom	1	4	human
BIRC2	3t6p	A	E	mon	1	1	human
NAPB	3j99	G	X	het	5	13	human
HMX3	1kz0	A	X	mon	1	1	human
POLR3F	2yu3	A	X	mon	1	1	human
RAB7A	1vg1	A	U	mon	1	1	human
RBSN	1z0j	B	X	het	2	2	human
TMEM14A	2loo	A	X	mon	1	1	human
ARF4	1z6x	A	U	mon	1	1	human
TNK2	4id7	A	X	hom	1	2	human
SGOL1	3fga	D	X	het	5	5	human
SF3B1	3lqv	P	U	het	2	2	human
SCNN1A	2m3o	P	X	het	2	2	human
IL34	4dkd	A	X	het	2	3	human
MSTN	3sek	B	X	het	2	4	human
MCU	4xtb	A	X	mon	1	1	human
VLDLR	1ntv	B	X	het	2	2	human
ZNF268	2em1	A	X	mon	1	1	human
CWC27	4r3e	A	X	mon	1	1	human
SPINT2	4u32	X	X	het	2	2	human
DCAF4L1	3i8c	B	X	het	2	2	human
CCNK	2i53	A	N	mon	1	1	human
PNRC2	4b6h	C	X	het	2	2	human
HS3ST1	1zrh	A	X	mon	1	1	human
DAAM1	2j1d	G	X	hom	1	2	human
CABP7	2lv7	A	X	mon	1	1	human
COX7A1	2occ	J	X	het	13	13	human
CMA1	4afs	A	X	het	2	2	human
RAB23	1z2a	A	U	mon	1	1	human
MLF1	3ual	P	X	het	2	4	human
SHC1	1n3h	A	U	mon	1	1	human
JUNB	1s9k	E	U	het	3	3	human
MITD1	4a5x	A	X	het	2	2	human
AMY2B	3old	A	X	mon	1	1	human
HAT1	2p0w	A	E	het	2	2	human
MAFK	1k1v	A	X	mon	1	1	human
BMI1	2ckl	A	X	het	2	2	human
CTCF	1x6h	A	E	mon	1	1	human
SH3GL2	2c08	A	X	hom	1	2	human
CDC20	4gga	A	E	mon	1	1	human
GAD1	2okj	A	X	hom	1	2	human
FGF19	2p23	A	X	hom	1	2	human
DLG1	2i0i	A	N	het	2	2	human
CTSL	3of8	A	U	mon	1	1	human
JMY	1awi	P	X	het	2	3	human
CNNM3	4iys	A	X	hom	1	2	human
CAB39L	4o27	A	X	het	3	3	human
HINT1	3tw2	A	U	hom	1	2	human
AIDA	2qz5	A	X	mon	1	1	human
MTMR2	1zvr	A	X	mon	1	1	human
GTF2A1	1nvp	B	X	het	4	4	human
GPX5	2i3y	A	X	hom	1	4	human
CARD18	1dgn	A	X	mon	1	1	human
ADCYAP1	2jod	B	X	het	2	2	human
MAPKAPK2	4tyh	A	U	het	2	2	human
PMM1	2fue	A	X	hom	1	2	human
ACO1	2b3x	A	U	mon	1	1	human
KDELC1	2di7	A	X	mon	1	1	human
PAPOLA	1q79	A	E	mon	1	1	human
EIF4A3	2j0s	A	U	het	4	4	human
HOXC9	2msy	A	X	mon	1	1	human
PRMT6	4hc4	A	X	hom	1	2	human
TXNDC17	1wou	A	E	mon	1	1	human
WNT8A	4f0a	B	X	het	2	2	human
PKN2	4rrv	B	E	het	2	2	human
COPS2	4d18	B	U	het	8	8	human
FBN2	2m74	A	X	mon	1	1	human
KIF11	3hqd	A	E	mon	1	1	human
SLC4A2	1bnx	A	X	mon	1	1	human
IAPP	2kb8	A	X	mon	1	1	human
BCHE	4tpk	A	X	mon	1	1	human
KDM6A	3avs	A	X	mon	1	1	human
TGS1	3gdh	A	X	mon	1	1	human
MAPK10	2waj	A	X	mon	1	1	human
CSF3R	2d9q	B	X	het	2	4	human
HHEX	2e1o	A	X	mon	1	1	human
HMGB1	2ly4	A	U	het	2	2	human
RMI1	4cht	B	X	het	2	2	human
UQCRB	1bcc	F	X	het	10	20	human
TCAP	1ya5	T	X	het	2	3	human
PPOX	3nks	A	X	mon	1	1	human
KCNMA1	2k44	A	X	mon	1	1	human
PCDHA9	1wuz	A	X	mon	1	1	human
KPNA4	4uae	A	E	het	2	2	human
MAN1A2	1nxc	A	X	mon	1	1	human
FANCM	4bxo	A	X	het	2	2	human
KANSL2	4cy2	C	X	het	3	3	human
MAGEA2B	4v0p	A	X	hom	1	2	human
OTUB2	1tff	A	X	mon	1	1	human
EMILIN1	2ka3	A	X	hom	1	3	human
ZFAND4	1wff	A	X	mon	1	1	human
TAC1	2b19	A	X	mon	1	1	human
KRT6A	3tnu	B	X	het	2	4	human
TIAL1	1x4g	A	U	mon	1	1	human
KIF5A	4uy0	C	X	het	3	3	human
HIST3H2A	3x1v	C	X	het	4	8	human
KCNN1	1g4y	B	X	het	2	4	human
NKX1-2	1kz0	A	X	mon	1	1	human
ELAVL3	1d8z	A	X	mon	1	1	human
RNF17	2eqk	A	X	mon	1	1	human
PTP4A1	1x24	A	X	hom	1	2	human
PTPRD	4yfd	A	X	het	2	2	human
RBM22	2ytc	A	U	mon	1	1	human
CIDEC	4ikg	A	X	mon	1	1	human
NPC2	1nep	A	N	mon	1	1	human
TBRG1	2wzo	A	X	hom	1	2	human
TBCC	2l3l	A	X	mon	1	1	human
GLRA3	1mot	A	X	mon	1	1	human
FAAH	2wap	A	X	hom	1	2	human
TRPA1	3j9p	A	X	hom	1	4	human
SNRPD2	3s6n	B	U	het	7	7	human
JUP	3sla	A	U	mon	1	1	human
FBXO11	1awi	P	X	het	2	3	human
PPY	1bba	A	X	mon	1	1	human
HS3ST3B1	1t8t	A	X	hom	1	2	human
FSHR	1xwd	C	X	het	3	3	human
ICAM1	1mq8	A	X	het	2	2	human
IL6ST	3l5h	A	X	mon	1	1	human
UCK2	1ufq	A	U	hom	1	4	human
EIF3J	2krb	B	U	het	2	2	human
DDX3Y	2i4i	A	X	mon	1	1	human
NCBP2	1h2u	X	X	het	2	2	human
CAP1	1k8f	A	N	hom	1	2	human
UBQLN4	2knz	A	E	mon	1	1	human
AKR1A1	2alr	A	U	mon	1	1	human
CECR1	3lgd	A	X	hom	1	2	human
ADCY4	1cul	B	X	het	3	3	human
KRT7	3tnu	B	X	het	2	4	human
ITGB2	2p28	A	X	het	2	2	human
CEACAM6	4y8a	A	X	hom	1	2	human
NLRP12	2l6a	A	X	mon	1	1	human
KIR3DS1	1m4k	A	X	mon	1	1	human
F8	2r7e	A	X	het	2	2	human
AIFM1	4bv6	A	U	mon	1	1	human
POU2F3	1pou	A	X	mon	1	1	human
PABPC4L	2k8g	A	X	mon	1	1	human
ACVR1C	1py5	A	X	mon	1	1	human
KLK14	1uhb	P	X	het	3	3	human
CD180	3t6q	A	X	het	2	4	human
RASSF8	2cs4	A	X	mon	1	1	human
AP3M2	4ikn	A	X	het	2	2	human
ALDH1L1	2cfi	A	X	mon	1	1	human
AAMDC	2ab1	A	X	mon	1	1	human
NR5A1	2ff0	A	X	mon	1	1	human
EPCAM	4mzv	A	X	hom	1	2	human
PCCA	2cqy	A	X	mon	1	1	human
TOMM20	1om2	A	U	het	2	2	human
CBFB	1h9d	B	E	het	2	2	human
HOXD3	1kz0	A	X	mon	1	1	human
CLIP4	2z0w	A	X	hom	1	2	human
PTGIS	2iag	A	X	mon	1	1	human
ZIC4	2rpc	A	X	mon	1	1	human
PPP1R2	2o8g	I	U	het	2	2	human
ZSCAN10	4e6s	A	X	hom	1	2	human
EIF4ENIF1	5anr	C	X	het	3	3	human
TOB2	2d5r	B	X	het	2	2	human
PDE4D	1zkn	A	X	hom	1	4	human
COL4A3BP	2rsg	A	X	mon	1	1	human
PDCD5	1yyb	A	N	mon	1	1	human
CCL1	1el0	A	X	mon	1	1	human
PKNOX1	1x2n	A	X	mon	1	1	human
TACR1	2ks9	A	X	het	2	2	human
ARID1B	2v5f	X	X	het	2	2	human
LGALS8	4bmb	A	X	mon	1	1	human
ABI2	4n78	F	X	het	6	6	human
MAP3K12	5cen	A	X	mon	1	1	human
NR1I2	4ny9	A	X	mon	1	1	human
UNCX	3lnq	A	X	mon	1	1	human
CAMK4	2w4o	A	U	mon	1	1	human
FBXL5	3u9j	A	X	mon	1	1	human
BCOR	4hpl	A	X	het	2	2	human
USF2	1an4	A	X	hom	1	2	human
RHOG	1foe	B	X	het	2	2	human
TRIP6	2dlo	A	U	mon	1	1	human
ALDH1A1	5ac2	A	X	hom	1	4	human
PELI1	3ega	A	X	mon	1	1	human
IFNL3	3hhc	A	X	hom	1	2	human
GLIPR1	3q2u	A	X	mon	1	1	human
TXNL1	1gh2	A	U	mon	1	1	human
RNASE8	2hky	A	X	mon	1	1	human
ZHX2	3nau	A	X	hom	1	2	human
UBAP1	1wgn	A	E	mon	1	1	human
GAB2	2vwf	B	X	het	2	2	human
COPE	3mkr	A	N	het	2	2	human
SCMH1	2p0k	A	X	mon	1	1	human
POLK	3in5	A	X	mon	1	1	human
POLR2H	2f3i	A	X	mon	1	1	human
PARP3	4gv4	A	X	mon	1	1	human
ZNF609	2v5f	X	X	het	2	2	human
SERPINB5	1wz9	A	X	mon	1	1	human
HRASLS2	4dpz	X	X	mon	1	1	human
