Gene	Class	PDB chain	Interface size	Seqid	Unique subunits
Plec	U	4q58_A	695.3	99.12	2
Cops2	U	4d18_B	3367.5	99.11	8
Ctbp2	U	2ome_A	3495.6	99.11	1
Tead1	U	3kys_A	1776.3	99.09	2
2210018M11Rik	U	1utu_A	1228	99.07	1
Vps25	U	2zme_C	1126.3	99.02	3
Srp68	U	4ue5_C	884.5	98.97	6
Chp1	U	2e30_A	1400.1	98.97	2
Pdpk1	U	1h1w_A	2270.6	98.96	1
Dctn1	U	1txq_A	1198.8	98.92	2
Tnk2	U	4ewh_A	596.5	98.91	1
Papss1	U	2pey_A	1286.9	98.88	1
Rab5b	U	2hei_A	1021.8	98.88	1
Sfpq	U	4wii_A	5035.5	98.86	1
Ahcy	U	1k0u_A	5737.6	98.84	1
Vim	U	3swk_A	2201.8	98.84	1
Atp5a1	U	2f43_A	5851.5	98.82	3
Sf3a1	U	2dt7_B	619.3	98.82	2
Ap1b1	U	4hmy_B	5574.5	98.81	5
Myo1c	U	4r8g_E	5591.9	98.81	2
Psmc4	U	2dvw_B	1253.2	98.80	2
Scoc	U	4bwd_A	1359.9	98.78	1
Capzb	U	3aa0_B	4667.5	98.77	3
Nr2f2	U	3cjw_A	934.7	98.77	1
Ube2s	U	5bnb_A	5.40000000000002	98.72	2
Ints3	U	4owt_A	2064.4	98.71	3
Napa	U	3j96_G	3032	98.65	5
Pcbp2	U	2axy_A	1526.8	98.63	1
Cops3	U	4d18_C	4718.1	98.59	8
Ehmt2	U	3rjw_A	1881.6	98.59	1
Rplp1	U	2lbf_A	1020.9	98.55	2
Cops4	U	4d18_D	4041	98.54	8
Cisd2	U	4oo7_A	1769.9	98.53	1
Cfap36	U	4zi2_C	1186	98.52	2
Acly	U	3mwe_B	1787.1	98.51	2
Phf20	U	3q1j_A	397	98.48	1
Wasl	U	2lnh_A	740.1	98.46	3
Acads	U	1jqi_A	5052.5	98.45	1
Fzr1	U	4ui9_R	4452.1	98.38	18
Snrnp70	U	4pjo_K	3218.3	98.33	9
Rplp2	U	4beh_B	1362	98.28	2
Prkaa1	U	4qfg_A	3910.5	98.21	3
Gnai3	U	4g5r_A	1462	98.18	2
Cdc16	U	3hym_B	1409.8	98.18	2
Egfr	U	4r3r_A	416.7	98.14	2
Nkx2-5	U	4s0h_B	882.7	98.11	2
Bag6	U	4wwr_A	1222.6	98.11	2
Sptan1	U	3f31_A	1521.8	97.99	1
Shc1	U	1shc_A	796.2	97.95	2
Snx17	U	4tkn_A	485.8	97.90	2
Gfpt1	U	2zj3_A	2723.8	97.87	1
Capn2	U	1df0_A	2774.5	97.86	2
Per1	U	4dj2_A	865.6	97.81	1
Pank3	U	2i7p_A	2288.1	97.79	1
Arpc3	U	3rse_E	920.5	97.75	8
Gatad2a	U	2l2l_A	660.2	97.67	2
Vps4a	U	2k3w_A	571.5	97.62	2
Vps26a	U	4p2a_A	497.6	97.55	2
Prps1	U	2h06_A	4121.6	97.55	1
Mcl1	U	2jm6_B	1019.5	97.53	2
Bin1	U	1mv0_B	574.3	97.53	2
Clic1	U	1rk4_A	1100.9	97.53	1
Ptpn23	U	5crv_A	702.6	97.51	2
Dpysl3	U	4cns_A	2353.6	97.50	1
Caprin1	U	4wbe_A	1695.2	97.50	1
Pik3cb	U	2y3a_A	3263.3	97.44	2
Iqgap1	U	3i6x_A	674.9	97.41	1
Sf3a3	U	2dt7_A	664.7	97.37	2
Csnk1a1	U	5fqd_C	641.4	97.36	3
Pvrl2	U	4fmk_A	1279.1	97.33	1
Atp1a1	U	3wgu_A	5378.8	97.24	3
Sbds	U	5anb_J	4612.2	97.20	11
Copa	U	3mkr_B	2721.2	97.19	2
Fabp5	U	4azq_A	894.1	97.10	1
Gps1	U	4d18_A	4203.2	97.08	8
Snd1	U	3omc_A	418	96.93	2
Ccnt1	U	3tni_B	883.1	96.91	2
Pkd2	U	3hrn_A	1510.9	96.88	1
Micu1	U	4nsd_A	488	96.87	1
Nfrkb	U	3u21_A	662.6	96.85	1
Cdc27	U	5a31_F	7884.2	96.84	18
Dimt1	U	1zq9_A	637.8	96.84	1
Gfer	U	1oqc_A	1994.6	96.80	1
Plrg1	U	4yvd_A	862	96.79	1
Stk3	U	5brm_G	1250.1	96.77	2
Top2a	U	4r1f_A	2637.9	96.75	1
Aurka	U	3dj5_A	2632.8	96.69	1
Pom121	U	4yi0_A	1742.8	96.67	2
Cbx5	U	3fdt_A	479.4	96.61	2
Smc1a	U	2wd5_A	1519.9	96.57	2
Lmna	U	1x8y_A	1788.6	96.51	1
Nt5c3	U	2bdu_A	572.3	96.30	1
Mafg	U	3a5t_A	1605.9	96.26	1
Myo1b	U	4l79_A	1769.3	96.24	2
Vps33a	U	4bx9_A	1049	96.20	2
Gnpda1	U	1ne7_A	2542	96.19	1
Ppme1	U	3c5w_P	1383.5	96.13	3
Ube2c	U	4yii_U	677.7	96.13	2
Ppib	U	1cyn_A	454.9	96.07	2
Acox1	U	1is2_A	5494.3	96.07	1
Vapb	U	3ikk_A	453.9	96.06	1
Snx27	U	4p2a_B	490.6	96.04	2
Srp14	U	4ue5_B	928.3	96.00	6
Cenpc1	U	4x23_U	306.5	96.00	5
Sun2	U	4fi9_A	2578.4	95.90	2
Pbrm1	U	2ktb_B	344.3	95.87	2
Dynlrb1	U	1z09_A	1053.5	95.83	1
Prep	U	2xdw_A	1095.1	95.77	2
Tax1bp1	U	4nlh_A	460.2	95.65	1
Cct8	U	4b2t_Q	2708.5	95.62	8
Tcp1	U	4b2t_A	3031	95.50	8
Dld	U	1zy8_A	4655.1	95.36	2
Xpnpep1	U	3ctz_A	1865.8	95.35	1
Fcho2	U	2v0o_A	4673.3	95.29	1
Atp5c1	U	2f43_G	3043.3	95.24	3
Ehd1	U	2kff_A	247.4	95.24	2
Smc4	U	3l51_B	879.7	95.18	2
Cul4a	U	2hye_C	4354.5	95.13	4
Atrx	U	2lbm_A	557.4	95.07	2
Shmt2	U	4pvf_A	5377.9	95.03	1
Atp2b1	U	1cff_B	717.1	95.00	2
Pex19	U	3mk4_B	639.1	95.00	2
P4ha1	U	4bt9_A	4424.5	94.98	2
Serpinh1	U	3zha_A	1178.7	94.90	2
Cpsf6	U	3q2s_C	753.6	94.76	2
Hspbp1	U	1xqs_A	1145.6	94.64	2
Kctd10	U	5fta_A	1269.7	94.64	1
Xdh	U	4yrw_A	3424	94.60	1
Psmd4	U	2kde_A	1196.1	94.59	2
Tnfaip3	U	3zje_A	847.5	94.54	1
Hint1	U	3tw2_A	2191.7	94.44	1
Zmynd11	U	5hda_A	2779.7	94.35	2
Pcdhgc3	U	4zi8_A	1426.1	94.31	1
Tars	U	4hwt_A	2622.3	94.19	1
Mcts1	U	3r90_A	2408.7	94.15	1
Snrpa	U	4c4w_A	1392.5	94.12	2
Hspa5	U	3iuc_A	927.1	94.12	1
Pcid2	U	3t5x_A	1179.8	94.09	2
Trim24	U	3o36_A	235.9	94.02	2
Dpysl2	U	2vm8_A	2356.2	94.01	1
Rcc1	U	1a12_A	1522.8	93.95	1
Anapc2	U	4ui9_N	4160.2	93.92	18
Mad2l1	U	1klq_A	507.2	93.91	2
Pofut2	U	4ap5_A	1922	93.87	1
Polr3c	U	5afq_A	1333.5	93.82	2
Scaf8	U	3d9l_A	757.9	93.79	2
Anxa4	U	2zhj_A	179.1	93.79	1
Rabep1	U	1x79_B	1602.3	93.75	2
Casp3	U	2xyh_B	3691.5	93.55	2
S100a4	U	4eto_A	1857.9	93.55	2
Asl	U	1k62_A	7835.2	93.53	1
Tubg1	U	3cb2_A	1742.4	93.47	1
G6pdx	U	2bh9_A	4177.9	93.46	1
Prpf40a	U	2dyf_A	259	93.33	2
Hnrnpm	U	2ot8_C	1326	93.33	2
Rnf25	U	5d1k_B	1732.1	93.23	2
Dck	U	2a2z_A	1656.1	93.15	1
Tpm2	U	3u59_A	2305.9	93.07	1
Adh5	U	1mc5_A	2399.6	93.05	1
Adss	U	2v40_A	2713.7	93.03	1
Srpr	U	2go5_1	1220.2	92.97	7
Blmh	U	1cb5_A	5513.7	92.94	1
Vps16	U	4bx9_C	926.3	92.93	2
Cad	U	4c6i_A	1192.8	92.88	1
Aldh18a1	U	2h5g_A	3179.3	92.87	1
Hnrnpc	U	1txp_A	1272	92.86	1
Hsd17b4	U	1gz6_A	5180.8	92.79	1
Itgav	U	3ije_A	4930	92.76	2
Glyr1	U	2uyy_A	3812.7	92.72	1
Esrra	U	1xb7_A	1625.3	92.71	2
Hspd1	U	4pj1_A	5277	92.65	2
Itgb1	U	4wk4_B	2148.8	92.58	3
Trnt1	U	4x4w_A	1077	92.55	1
Farsa	U	3l4g_A	6221.1	92.52	2
Msh2	U	3thw_A	4921.8	92.51	2
Nfkbia	U	1ikn_D	1752.2	92.37	3
Myh9	U	2lnk_C	2187.9	92.31	2
Nacc1	U	3ga1_A	2112.3	92.25	1
Mrpl11	U	4v19_K	1700.7	92.19	28
Pgm2	U	1c47_A	796.8	92.16	1
Pgd	U	1pgn_A	6204.4	92.12	1
Mcm6	U	2le8_A	603.8	92.11	2
Anapc1	U	4ui9_A	11825	92.08	18
Anapc5	U	4ui9_O	11334.4	92.06	18
Oat	U	1gbn_A	5775.8	92.04	1
P4hb	U	4ju5_A	1800.2	92.02	1
Ube4b	U	3l1z_B	659.2	92.00	2
Gmds	U	1t2a_A	3405.9	92.00	1
Phgdh	U	2g76_A	3066.7	91.94	1
Smarca5	U	2nog_A	688.2	91.91	1
Xiap	U	4ic2_A	928.1	91.89	1
Blm	U	4cdg_A	1108.4	91.83	2
Chd4	U	2l75_A	506.4	91.80	2
Prim2	U	3l9q_A	2282.1	91.79	1
Lta4h	U	3b7s_A	467.7	91.72	2
Uba1	U	4p22_A	2495	91.70	1
Adk	U	4o1l_A	1180.9	91.62	1
Pnpt1	U	3u1k_A	4413.7	91.43	1
Lars	U	2wfd_A	1362.5	91.27	1
Hmgcs1	U	2p8u_A	3568.3	91.21	1
Lap3	U	2ewb_A	4679.3	91.15	1
Eif2b1	U	3ecs_A	2959.5	91.11	1
Uqcr11	U	1sqp_K	1565.4	91.07	11
Lamtor5	U	3ms6_A	1213.6	90.91	1
Stx7	U	1gl2_B	2777.9	90.77	4
Ethe1	U	4chl_A	811.2	90.76	1
Gemin2	U	3s6n_2	3512.6	90.71	7
Trip10	U	2efk_A	3972.3	90.70	1
Mthfd1	U	1a4i_A	1766.6	90.70	1
Lman1	U	3lcp_A	846.7	90.69	2
Suclg2	U	4xx0_B	2409.6	90.63	2
Me2	U	1gz4_A	4424.6	90.56	1
Apbb2	U	2roz_B	780.5	90.44	2
Mpp7	U	3o46_A	1182.9	90.32	1
Ephb4	U	2bba_A	802.5	90.27	2
Bcor	U	4hpl_A	1535.3	89.92	2
Chid1	U	3bxw_A	862.1	89.82	1
Dhfr	U	1dhf_A	888.2	89.78	1
Obsl1	U	3knb_B	696.2	89.72	2
Stat6	U	4y5w_A	1707.7	89.62	1
Rars	U	4r3z_B	2013.1	89.48	3
Hadh	U	2hdh_A	2060.5	89.42	1
Ubl4a	U	4wwr_B	1312.8	89.36	2
Exosc2	U	2nn6_H	2257.3	89.29	9
Itpa	U	2car_A	1108.9	89.29	1
Ap1s1	U	4p6z_S	3543.4	89.24	6
Umps	U	3ewz_A	2132.8	89.23	1
Adh7	U	1agn_A	2254.8	89.01	1
Arhgdib	U	1ds6_B	1168.3	88.89	2
Arhgef1	U	1shz_C	1435.6	88.84	2
Exosc5	U	2nn6_D	4022	88.61	9
Ubqln1	U	2jy6_B	578.9	88.46	2
Cisd1	U	2qh7_A	1905.9	88.16	1
Gsr	U	1k4q_A	3823.2	88.07	1
Pi4k2a	U	4hnd_A	3640.2	88.02	1
Gstm5	U	3gtu_B	1309.2	87.95	2
Eprs	U	4hvc_A	2861.8	87.86	1
Fdft1	U	3vjc_A	2445.2	87.76	1
Acat2	U	1wl4_A	4211.2	87.66	1
Mrpl14	U	4ce4_O	2310.3	87.59	35
Mrpl24	U	4ce4_Y	867.5	87.50	35
Pfkp	U	4u1r_A	3610.6	87.48	1
Unc5b	U	1wmg_A	1287.7	87.38	1
Cpox	U	2aex_A	1430.8	87.28	1
Lonp1	U	2x36_A	1517.1	86.96	1
Lnpep	U	4pj6_A	1978.4	86.93	1
Hint2	U	4ini_A	2453	86.92	1
B4galt1	U	4l41_C	1263.7	86.76	2
Rngtt	U	2c46_A	1276.4	86.72	1
Dhx8	U	3i4u_A	1575.5	86.67	1
Atp7a	U	2k1r_A	517.1	86.30	2
Mrpl27	U	4ce4_0	1877.9	85.81	35
Ak1	U	1z83_A	1257.8	85.71	1
Aldh3a2	U	4qgk_A	4465	85.68	1
Yars2	U	2pid_A	1744.5	85.67	1
Npc1	U	5f1b_C	725.8	85.55	3
Akr1b3	U	1ef3_A	855.5	85.40	1
Commd9	U	4nkn_A	3241.2	85.34	1
Lrpap1	U	2fyl_A	951.3	85.19	2
Pnp	U	1vfn_A	2474.5	85.05	1
Fdps	U	4p0v_A	2538.3	84.73	1
Bcat1	U	2abj_A	2773.6	84.70	1
Hexa	U	2gjx_A	1926.4	84.62	2
Nmral1	U	2wmd_A	1512.1	84.62	1
Mad1l1	U	4dzo_A	2155.2	84.55	1
Gcc2	U	3bbp_D	1550.2	84.51	2
Decr1	U	1w73_A	5642.8	84.44	1
Cul2	U	4wqo_D	1270.7	84.41	4
Aimp2	U	5a34_B	1291.9	84.17	2
Acaa2	U	4c2k_A	3403.3	83.69	1
Pola2	U	4y97_A	1653.9	83.28	2
Nudt5	U	3aca_A	3420.7	83.16	1
Incenp	U	4af3_D	1602.8	83.10	2
Exosc3	U	2nn6_G	2130.4	83.04	9
Blvra	U	2h63_A	1390.9	82.53	1
Kif23	U	3vhx_B	2256.6	82.50	2
Ikbkap	U	5cqr_A	1741	81.99	1
Dhrs4	U	3o4r_A	3888.1	81.23	1
Bcap31	U	4jzl_A	1550.9	80.88	1
Emd	U	2odg_C	501.9	80.85	2
Mrpl49	U	4ce4_l	1245.6	80.72	35
