Gene	Class	PDB chain	Interface size	Seqid	Unique subunits
HSPA8	U	3c7n_B	3389.9	100.00	2
JUP	U	3ifq_A	4684.1	100.00	2
DLD	U	1zy8_A	4655.1	100.00	2
POLR3C	U	5afq_A	1333.5	100.00	2
KPNA1	U	4b18_A	1108.8	100.00	2
EPHA2	U	3mx0_A	864.9	100.00	2
EED	U	3k26_A	215.6	100.00	2
SERPINB2	U	1jrr_A	1018.6	100.00	2
CAB39	U	3gni_A	1987.1	100.00	2
MAPKAPK2	U	4tyh_A	3021.4	100.00	2
GNAI3	U	2ihb_A	1091.9	100.00	2
OCRL	U	3qis_A	546.4	100.00	2
UCHL5	U	4wlp_A	2325.5	100.00	2
SEC13	U	3bg1_A	3253.6	100.00	2
PDCD4	U	2zu6_B	3178.8	100.00	2
CWC22	U	4c9b_B	1832	100.00	2
CCNB1	U	2jgz_B	1488.6	100.00	2
CTSB	U	3k9m_A	1209.7	100.00	2
ZWILCH	U	3if8_B	4902.5	100.00	2
SENP1	U	2iyd_A	916.9	100.00	2
TP53BP1	U	1kzy_C	988.7	100.00	2
PLEC	U	4q58_A	695.3	100.00	2
LMAN1	U	3a4u_A	978.2	100.00	2
TSNAX	U	3qb5_K	4424.2	100.00	2
CASC5	U	4nf9_A	519.6	100.00	2
DDX19B	U	3fhc_B	1090.7	100.00	2
PRIM2	U	4rr2_B	804.6	100.00	2
SND1	U	3omc_A	418	100.00	2
ANLN	U	4xoi_B	698.1	100.00	2
CHP1	U	2e30_A	1400.1	100.00	2
SMAD2	U	1u7v_A	2446.1	100.00	2
SUN2	U	4fi9_A	2578.4	100.00	2
DNAJB1	U	3agz_A	2280.5	100.00	2
IST1	U	3jc1_Aa	2193.1	100.00	2
POLA1	U	4y97_B	1801	100.00	2
PPIB	U	1cyn_A	454.9	100.00	2
EPHA4	U	3gxu_A	1098.5	100.00	2
RND3	U	2v55_B	1059.2	100.00	2
NAA50	U	3tfy_A	856.9	100.00	2
NUP98	U	2q5y_A	241.4	100.00	2
GTF2F1	U	1f3u_B	2254.3	100.00	2
RANBP2	U	5cll_B	1872.1	100.00	2
TXNL4A	U	1syx_A	610.7	100.00	2
PTK2	U	1ow6_A	1150.8	100.00	2
BRD4	U	2lsp_B	556.6	100.00	2
TAX1BP3	U	2l4t_A	524.4	100.00	2
SF3B6	U	2f9d_A	1244.7	100.00	2
PVR	U	3udw_C	924.5	100.00	2
U2AF2	U	1o0p_A	681.8	100.00	2
PTBP1	U	3zzz_A	490.3	100.00	2
HGS	U	3f1i_H	1840.6	100.00	2
MKI67	U	2aff_A	1351.5	100.00	2
SRSF1	U	4c0o_C	2159.6	100.00	2
SNRPA	U	4c4w_A	1392.5	100.00	2
APAF1	U	3ygs_C	474.4	100.00	2
SNRPB2	U	1a9n_B	2031.2	100.00	2
DLAT	U	3crk_C	1273	100.00	2
RAD21	U	4pjw_B	3837	100.00	2
DCTN1	U	1txq_A	1198.8	100.00	2
CBX1	U	3q6s_A	1290.4	100.00	2
TIMM10	U	2bsk_B	2365.8	100.00	2
RABGEF1	U	2c7m_A	741.4	100.00	2
MPP5	U	1y76_B	1660.9	100.00	2
BTF3	U	3lkx_A	1153.1	100.00	2
CASK	U	1zl8_B	1049.3	100.00	2
CBX3	U	3dm1_A	525.8	100.00	2
NACA	U	3mcb_A	1145.2	100.00	2
SF3B1	U	2f9d_P	1404.6	100.00	2
NIFK	U	2aff_B	1459.1	100.00	2
ATP2B4	U	2kne_B	1252.6	100.00	2
BID	U	4bd2_C	1095.5	100.00	2
ACTN1	U	1ydi_B	1306.9	100.00	2
NUMA1	U	3ro2_B	1707.9	100.00	2
PAIP1	U	1jh4_B	1009.4	100.00	2
TLN1	U	1syq_B	1239.9	100.00	2
FUS	U	4fdd_B	1452.6	100.00	2
HNRNPA1	U	2h4m_C	1963.8	100.00	2
HEBP2	U	3r85_E	993.6	100.00	2
SART1	U	4pyu_C	540.8	100.00	2
TCF12	U	2knh_B	553.7	100.00	2
HNRNPM	U	2ot8_C	1326	100.00	2
TPX2	U	4c3p_B	1311.1	100.00	2
ATXN2	U	3ktr_B	792.2	100.00	2
POGZ	U	2n3a_A	444.2	100.00	2
EIF4G3	U	1ejh_E	674.1	100.00	2
TPT1	U	4z9v_C	1349	100.00	2
VPS51	U	4j2c_B	636.9	100.00	2
DST	U	3gjo_E	689	100.00	2
KHDRBS1	U	3qhe_B	986.8	100.00	2
RBM39	U	4oo6_B	682.8	100.00	2
UFD1L	U	5c1b_U	680.5	100.00	2
MAVS	U	4z8m_C	591.3	100.00	2
BUB1B	U	4ggd_C	382.6	100.00	2
TOP2A	U	4fm9_A	4395.6	100.00	1
RRM1	U	3hnd_A	2167.1	100.00	1
MME	U	2yb9_A	1300.3	100.00	1
UAP1	U	1jv1_A	2975.1	100.00	1
GLUD1	U	1l1f_A	5037.8	100.00	1
ALDH2	U	3n80_A	5477.4	100.00	1
SHMT2	U	4pvf_A	5377.9	100.00	1
PAPSS1	U	2qjf_A	1733	100.00	1
RCC1	U	1a12_A	1522.8	100.00	1
TRAP1	U	4z1i_A	3669.8	100.00	1
UROD	U	1r3q_A	961.9	100.00	1
TALDO1	U	1f05_A	891.1	100.00	1
TSTA3	U	4e5y_A	1751.6	100.00	1
FASN	U	4w9n_A	1388.6	100.00	1
PACSIN2	U	3q0k_A	4290.1	100.00	1
PLRG1	U	4yvd_A	862	100.00	1
NFKB2	U	1a3q_A	1524.4	100.00	1
PICALM	U	1hf8_A	1009.9	100.00	1
IMPA1	U	4as4_A	1961.5	100.00	1
UMPS	U	2p1f_A	2301.4	100.00	1
ECI1	U	1sg4_A	2308.7	100.00	1
DHX9	U	3llm_A	972	100.00	1
GSTM1	U	2f3m_A	1674.9	100.00	1
HPRT1	U	1bzy_A	2897.7	100.00	1
RPE	U	3ovp_A	1530.9	100.00	1
SOD2	U	1xdc_A	2135.2	100.00	1
HSD17B10	U	1so8_A	1471.8	100.00	1
LONP1	U	2x36_A	1517.1	100.00	1
PARP14	U	4py4_A	864.1	100.00	1
NNT	U	1djl_A	600.3	100.00	1
STEAP3	U	2vq3_A	1270.1	100.00	1
PRPF8	U	3lru_A	3298.5	100.00	1
CAP1	U	1k8f_A	1219	100.00	1
LGALS1	U	3t2t_A	847.6	100.00	1
CAPRIN1	U	4wbe_A	1695.2	100.00	1
ZBTB7A	U	2if5_A	1542.9	100.00	1
S100A16	U	2l50_A	1889.1	100.00	1
ERH	U	2nml_A	718.3	100.00	1
SQSTM1	U	4uf8_A	593.3	100.00	1
ERCC4	U	2kn7_A	1837.8	100.00	1
TRIM28	U	2yvr_A	574.6	100.00	1
LNPEP	U	4pj6_A	1978.4	99.89	1
ITGB6	U	4um8_B	2087.7	99.87	2
GLB1	U	3thc_A	1704.6	99.85	1
TFRC	U	1de4_C	4108.4	99.84	3
GALNT2	U	5ajn_A	2489	99.82	2
HEXA	U	2gjx_A	1926.4	99.80	2
CLTC	U	1bpo_A	1752.9	99.80	1
PDIA3	U	3f8u_A	1036.1	99.79	2
KPNA6	U	4uad_A	1597.5	99.79	2
ITGB1	U	4wk4_B	2148.8	99.78	3
SEC61A1	U	5a6u_A	2172.1	99.78	3
CTSA	U	1ivy_A	1862.1	99.78	1
SNRNP200	U	4kit_B	3040.5	99.77	2
EIF4A1	U	2zu6_A	1968.4	99.74	2
PRMT1	U	1or8_A	1449.7	99.71	2
STK39	U	5dbx_A	2241.1	99.70	1
ANXA2	U	1xjl_A	459	99.69	1
ARPC2	U	4jd2_D	3800.6	99.67	8
MSH3	U	3thw_B	5482.2	99.67	2
JAK1	U	4e5w_A	1353.4	99.67	1
DECR1	U	1w73_A	5642.8	99.67	1
GLMN	U	4f52_E	2151.7	99.66	3
CDK5	U	1unl_A	1811.6	99.66	2
LGMN	U	4aw9_A	883.1	99.65	2
PNP	U	1ula_A	2486.3	99.65	1
ANAPC1	U	4ui9_A	11825	99.64	18
CCNK	U	5efq_B	1015.1	99.63	2
PSPC1	U	3sde_A	4814.8	99.62	2
NONO	U	3sde_B	4786.8	99.62	2
SAMHD1	U	4tnr_A	5017.9	99.61	1
IMPDH1	U	1jcn_A	3077.5	99.61	1
PSMA6	U	4r3o_A	3685.3	99.59	14
P4HA1	U	4bt9_A	4424.5	99.58	2
ESYT2	U	4p42_A	3967.2	99.58	1
SMC2	U	4u4p_A	1972.1	99.57	2
CDC20	U	4ggd_A	263.3	99.54	2
TBK1	U	4iw0_A	1915.3	99.54	1
SMC3	U	2wd5_B	1580.6	99.53	2
ACAD11	U	2wbi_A	4068.3	99.53	1
IKBKAP	U	5cqr_A	1741	99.52	1
C1QBP	U	1p32_A	2433.4	99.52	1
CAD	U	4c6i_A	1192.8	99.49	1
ILF2	U	4at7_A	2260.5	99.45	2
RHEB	U	3t5g_A	1079.6	99.45	2
CSTF3	U	2ooe_A	2685	99.43	1
CPOX	U	2aex_A	1430.8	99.42	1
ARPC4	U	3rse_F	5380.3	99.40	8
PEPD	U	2iw2_A	2996.1	99.39	1
GLS	U	3voy_A	1958.1	99.37	1
UBE2S	U	5bnb_A	5.40000000000002	99.36	2
COPZ1	U	3tjz_C	2021.4	99.35	3
PPP2R2A	U	3dw8_B	2045.8	99.33	4
RPS15	U	4d5l_P	2388.9	99.31	33
SACS	U	3o10_A	1571.5	99.29	1
G3BP1	U	3q90_A	1355.7	99.29	1
RTF1	U	3u1u_A	703.5	99.27	1
NUP107	U	3cqc_A	1173.1	99.26	2
POLRMT	U	4boc_A	3803.4	99.26	1
SGPL1	U	4q6r_A	7212.9	99.22	1
DDX6	U	5anr_B	1959.7	99.21	3
PLCB3	U	3ohm_B	1807.9	99.21	2
LARS	U	2wfd_A	1362.5	99.21	1
POLR2I	U	5flm_I	2763.4	99.20	12
CTNNA2	U	4ons_A	2128.6	99.19	2
PFKP	U	4u1r_A	3610.6	99.19	1
ANAPC7	U	5a31_X	4602.3	99.17	18
GPS1	U	4d18_A	4203.2	99.17	8
H2AFY	U	2f8n_G	4569	99.17	6
PBRM1	U	2ktb_B	344.3	99.17	2
SPIN1	U	4h75_A	838.7	99.16	2
CTNNA1	U	4igg_A	4717.7	99.16	1
AP1B1	U	4hmy_B	5574.5	99.15	5
DPP7	U	3n0t_A	2286.7	99.15	1
NUP35	U	4lir_A	610	99.15	1
CTNND1	U	3l6x_A	1338.8	99.14	2
RPLP2	U	4beh_B	1362	99.14	2
MCM6	U	2le8_A	603.8	99.12	2
COPS2	U	4d18_B	3367.5	99.11	8
EIF3L	U	5a5t_L	4071.6	99.11	8
PITRM1	U	4nge_A	1245.6	99.11	3
EIF3K	U	5a5t_K	2591.5	99.08	8
SFPQ	U	4wij_A	4432.8	99.08	1
PRKAA1	U	4rer_A	5821.6	99.07	3
PDCD10	U	3rqf_A	3076.2	99.07	2
COPS3	U	4d18_C	4718.1	99.06	8
TRIO	U	2nz8_B	1255.7	99.04	2
U2AF1	U	1jmt_A	873.5	99.04	2
DCUN1D1	U	4p5o_E	568	99.00	4
PRKAR1A	U	4x6r_B	2441.6	98.97	2
IQGAP1	U	3i6x_A	674.9	98.96	1
DYNLRB1	U	1z09_A	1053.5	98.96	1
HDGFRP2	U	3qby_A	857.3	98.94	2
PDHA1	U	1ni4_A	4326.5	98.90	2
VPS4B	U	4u7y_A	494.3	98.89	2
FUBP1	U	4lij_A	938.7	98.89	1
RAB5B	U	2hei_A	1021.8	98.88	1
TPRKB	U	3enp_A	733	98.87	1
SNRPA1	U	1a9n_A	963.9	98.86	2
CSNK1A1	U	5fqd_C	641.4	98.83	3
ATP1A1	U	3wgu_A	5378.8	98.82	3
PSMC4	U	2dvw_B	1253.2	98.80	2
IDH2	U	4ja8_A	3715.9	98.80	1
ATP5A1	U	2xnd_A	5571.3	98.78	6
SCOC	U	4bwd_A	1359.9	98.78	1
TOR1AIP1	U	4tvs_A	551.5	98.70	2
BLM	U	4cdg_A	1108.4	98.66	2
HSD17B4	U	1s9c_A	1034.6	98.66	1
SPTAN1	U	3f31_A	1521.8	98.66	1
MTMR6	U	2yf0_A	2653	98.63	1
MPG	U	3uby_A	944.5	98.63	1
PTGES2	U	1z9h_A	1822.8	98.62	1
TPP1	U	3ee6_A	1089.9	98.60	1
AGFG1	U	2olm_A	1058.3	98.57	1
MET	U	4o3u_B	917	98.55	3
FCHO2	U	2v0o_A	4673.3	98.55	1
FMNL3	U	4eah_A	5810	98.51	2
ATOX1	U	4yea_A	572.7	98.51	1
AK5	U	2bwj_A	1520.8	98.49	1
SAP18	U	4a8x_C	917.9	98.46	3
SPTBN1	U	3edv_A	1111.9	98.45	1
COPA	U	3mkr_B	2721.2	98.44	2
VAPB	U	3ikk_A	453.9	98.43	1
CDK4	U	3g33_A	1108	98.38	2
RAD23B	U	2f4o_B	853.8	98.36	3
OXCT1	U	3dlx_A	2293.3	98.36	1
VPS33A	U	4bx9_A	1049	98.35	2
CBX5	U	3fdt_A	479.4	98.31	2
RAB14	U	4d0g_A	846.6	98.29	2
AKT1	U	3qkk_A	955	98.24	2
EIF2AK2	U	2a1a_B	1333.3	98.24	2
HSPBP1	U	1xqs_A	1145.6	98.21	2
COPS7A	U	4d18_G	3199.9	98.20	8
DTYMK	U	1nmx_A	1275.9	98.14	1
CDH2	U	4nuq_A	826.7	98.14	1
CCT2	U	4b2t_B	2678.6	98.13	8
OBSL1	U	3knb_B	696.2	98.13	2
GFPT1	U	2zj3_A	2723.8	98.13	1
COPS8	U	4d18_H	2561.8	98.12	8
DARS2	U	4ah6_A	5510.1	98.06	1
IFI16	U	4qgu_A	722.7	98.06	1
COPG1	U	3tjz_B	2852.9	98.03	3
EIF3H	U	5a5t_H	6403.2	98.01	8
HSBP1	U	3ci9_A	1974.4	97.92	1
P4HB	U	4ju5_A	1800.2	97.90	1
G3BP2	U	5drv_A	1936.7	97.89	2
TOMM20	U	1om2_A	510.5	97.89	2
PCYT1A	U	3hl4_A	2434.7	97.88	1
UBASH3B	U	2ikq_A	1649.1	97.78	1
H2AFV	U	3waa_C	4483.5	97.71	4
HK1	U	4foe_A	2387	97.71	1
GATAD2A	U	2l2l_A	660.2	97.67	2
TRIP10	U	2efk_A	3972.3	97.67	1
PDGFRB	U	3mjg_X	2063.1	97.58	2
CYP51A1	U	3juv_A	1015.6	97.40	1
SF3A3	U	2dt7_A	664.7	97.37	2
PCBP1	U	1ztg_A	516.7	97.30	1
ASH2L	U	4x8n_A	399.2	97.24	2
FKBP5	U	4drh_A	1122.1	97.22	2
YARS2	U	2pid_A	1744.5	97.19	1
SEMA3A	U	1q47_A	1613.5	97.17	1
BCAP31	U	4jzl_A	1550.9	97.06	1
DNMBP	U	4cc2_A	736.8	97.01	2
SDCBP	U	1v1t_A	1465.4	96.99	2
PI4K2A	U	4hnd_A	3640.2	96.88	1
BCAP29	U	4w7y_A	1595.3	96.88	1
CCT4	U	4b2t_D	2993.3	96.86	8
ERBB2IP	U	1mfg_A	424.1	96.84	2
MUT	U	2xij_A	5378	96.72	1
SUPT4H1	U	3h7h_A	1570.1	96.67	2
CBX4	U	5epl_A	574.7	96.67	2
GBP1	U	2bc9_A	2292.8	96.65	1
ILF3	U	4at7_B	1948.2	96.61	2
STAU1	U	4dkk_A	1470.1	96.52	1
GSTK1	U	1yzx_A	1619.4	96.46	1
SERPINH1	U	3zha_A	1178.7	96.43	2
CS	U	1cts_A	4415.8	96.34	1
PPP3CB	U	4or9_A	2705.6	96.32	2
PSMF1	U	4ouh_A	882.4	96.32	1
HSP90B1	U	3o2f_A	1722.4	96.19	1
VAPA	U	2rr3_A	697.7	96.15	2
STK4	U	4oh8_A	1166.4	96.08	2
SUCLG1	U	2fp4_A	2045	96.07	2
PDHX	U	1zy8_K	832.9	96.07	2
UBL5	U	4pyu_A	500.2	96.05	2
TUFM	U	1d2e_A	1437.8	95.97	1
BIRC2	U	3d9u_A	283.9	95.88	2
MCFD2	U	3lcp_C	859.8	95.70	2
CPSF6	U	3q2s_C	753.6	95.63	2
EIF3A	U	5a5t_A	6522	95.52	8
PPFIBP1	U	3tad_C	538.9	95.47	2
ADAR	U	2gxb_A	379.6	95.45	1
FH	U	3e04_A	7143.2	95.31	1
GLUL	U	2uu7_A	4466.4	95.28	1
EHD2	U	2qpt_A	2959.2	95.27	1
USP4	U	3jyu_A	1225.8	95.24	1
EXOSC2	U	2nn6_H	2257.3	95.13	9
MYLK	U	1cdl_E	1499.2	95.00	2
ERP29	U	2qc7_A	878.4	95.00	1
SPR	U	4xwy_A	2797.6	94.91	1
HSPD1	U	4pj1_A	5277	94.80	2
GOT2	U	3hlm_A	3393.4	94.76	1
MYO1C	U	4r8g_E	5591.9	94.63	2
HSPA5	U	3iuc_A	927.1	94.36	1
GLYR1	U	4gur_B	1064.8	94.35	3
