gene	struc	chn	decay.class	qtype	unq	tot	species	
OTULIN	4oyk	C	X	het	2	2	human
VCAM1	1vsc	A	X	hom	1	2	human
CTRC	4h4f	A	X	het	3	3	human
BARX2	2dmt	A	X	mon	1	1	human
CRABP1	1cbi	A	X	hom	1	2	human
KPNA5	4u2x	D	X	het	2	2	human
ICAM2	1zxq	A	X	hom	1	2	human
RAB32	4cym	A	X	het	2	4	human
IGKV3D-15	4udf	10	X	het	4	240	human
HGF	1bht	A	X	hom	1	2	human
IGKV1D-13	2uzi	L	X	het	3	3	human
SPINK5	1uuc	A	X	mon	1	1	human
MAST4	2w7r	A	X	hom	1	2	human
HPRT1	1bzy	A	U	hom	1	4	human
TROVE2	2i91	A	U	mon	1	1	human
BIRC7	4auq	B	X	het	3	6	human
ZBTB43	2csh	A	X	mon	1	1	human
ACPP	1cvi	A	X	hom	1	4	human
PAPOLA	4lt6	A	U	mon	1	1	human
SPEN	2rt5	A	X	het	2	2	human
GADD45A	2kg4	A	X	mon	1	1	human
ALDH1A1	5ac2	A	X	hom	1	4	human
RET	4ux8	A	X	het	3	6	human
HNRNPA3	4yoe	A	N	mon	1	1	human
MTA3	4bkx	A	X	het	2	4	human
PIM2	2iwi	A	X	mon	1	1	human
SHC4	4xwx	A	X	mon	1	1	human
TBC1D2	2dhk	A	U	mon	1	1	human
S100A8	1mr8	A	X	hom	1	2	human
CD14	4glp	A	X	mon	1	1	human
LIMK1	3s95	A	X	mon	1	1	human
GINS2	2e9x	B	E	het	4	4	human
RP4-613B23.5	2lom	A	X	mon	1	1	human
USP38	4rxx	A	X	mon	1	1	human
TFPI2	1zr0	B	X	het	2	2	human
TRADD	1f3v	A	X	het	2	2	human
CTD-2501B8.1	4aph	A	X	het	2	2	human
ERBB4	2l2t	A	X	hom	1	2	human
HIST2H3C	2f8n	A	X	het	6	8	human
C11orf30	1utu	A	X	hom	1	2	human
PRDX3	4mh3	A	E	hom	1	12	human
CHRNB4	2k58	B	X	mon	1	1	human
CNP	4wbi	A	U	mon	1	1	human
P2RX4	2rup	A	X	mon	1	1	human
IL2RA	2b5i	D	X	het	4	4	human
SHROOM4	2edp	A	X	mon	1	1	human
EIF4G3	1ejh	E	U	het	2	2	human
CYP1A2	4i8v	A	X	mon	1	1	human
KDM4A	2pxj	A	X	het	2	2	human
ANXA8	1w45	A	X	mon	1	1	human
QKI	4jvh	A	E	hom	1	2	human
PRPF40B	2l9v	A	X	mon	1	1	human
EPAS1	2a24	A	X	het	2	2	human
RP11-574F21.3	2wl8	A	X	mon	1	1	human
SH3YL1	2d8h	A	X	mon	1	1	human
GAD1	2okj	A	X	hom	1	2	human
BAG5	3a8y	C	U	het	2	2	human
SAP30L	2kdp	A	X	mon	1	1	human
CHRNB2	2k59	B	X	mon	1	1	human
C1R	2qy0	B	X	het	2	4	human
MASP1	4iw4	E	X	het	2	4	human
ACO1	3sn2	A	U	mon	1	1	human
NR4A3	1cit	A	X	mon	1	1	human
DBF4	4f9b	B	X	het	2	2	human
DIAPH3	2f31	B	U	het	2	2	human
VNN1	4cyy	A	X	mon	1	1	human
DSG2	2yqg	A	X	mon	1	1	human
GIT2	2jx0	A	E	mon	1	1	human
L3MBTL1	2pqw	A	X	het	2	2	human
ENO1	2psn	A	E	hom	1	2	human
RORB	1k4w	A	X	het	2	2	human
DCUN1D1	4p5o	E	U	het	4	6	human
HOXC8	2lp0	A	X	het	2	2	human
CDK6	1g3n	A	X	het	3	3	human
GRB10	3m7f	A	X	het	2	2	human
DAPP1	1fao	A	X	mon	1	1	human
CXCR4	2k05	B	X	het	2	4	human
IGKV3D-7	4lrn	L	X	het	2	2	human
SHOX2	3cmy	A	X	hom	1	2	human
ASMT	4a6d	A	X	hom	1	2	human
HEY1	2db7	A	X	hom	1	2	human
ARFGAP3	2p57	A	E	mon	1	1	human
RAP2B	3rap	R	U	hom	1	2	human
ABI2	4n78	F	X	het	6	6	human
NFU1	1veh	A	E	mon	1	1	human
SLC4A1AP	4h87	A	X	hom	1	2	human
JTB	2kjx	A	X	mon	1	1	human
PPP1R15B	4v0x	B	X	het	2	2	human
CCT5	4b2t	E	N	het	8	16	human
LIN7C	1y74	A	X	het	2	4	human
LMNA	1x8y	A	E	hom	1	2	human
TRAF3IP1	2eqo	A	X	mon	1	1	human
ARPP21	1whr	A	X	mon	1	1	human
PLAA	2k8b	B	E	het	2	2	human
HOXB6	1b8i	A	X	het	2	2	human
IL13RA1	5e4e	C	X	het	3	3	human
OXCT1	3dlx	A	U	hom	1	2	human
CALM1	1cff	A	E	het	2	2	human
STRN4	4n6j	A	E	hom	1	2	human
MORF4L1	2aql	A	X	hom	1	2	human
HRK	2l5b	A	X	mon	1	1	human
SPSB1	2jk9	A	X	het	2	2	human
PKM	1pkm	A	E	hom	1	4	human
DPF3	3iuf	A	X	mon	1	1	human
CCNE1	1w98	B	X	het	2	2	human
ZAP70	2oq1	A	X	het	2	2	human
TNXB	2cuh	A	X	mon	1	1	human
RARS	4r3z	B	E	het	3	3	human
IRF2BP1	2cs3	A	X	mon	1	1	human
TRAFD1	2d9k	A	X	mon	1	1	human
GFER	3o55	A	X	hom	1	2	human
ATP6V1B1	3j9t	B	X	het	11	28	human
PSMA1	4r3o	F	N	het	14	28	human
MYOC	4wxu	A	X	mon	1	1	human
DNAJB2	2lgw	A	X	mon	1	1	human
VPS26B	3lha	A	X	mon	1	1	human
PILRA	3wv0	A	X	het	2	2	human
MTR	2o2k	A	X	hom	1	2	human
AGO2	1si2	A	E	hom	1	2	human
BACE2	3zkm	A	X	het	3	3	human
SIN3A	1g1e	B	E	het	2	2	human
PCYT1B	1pei	A	X	mon	1	1	human
PDPK1	1h1w	A	E	hom	1	2	human
GALNT13	1xhb	A	X	mon	1	1	human
MMP13	2e2d	A	X	het	2	2	human
COPZ2	5a1v	F	X	het	8	26	human
RAX	3lnq	A	X	mon	1	1	human
TBC1D4	3qye	A	X	mon	1	1	human
AXL	2c5d	C	X	het	2	4	human
STON1-GTF2A1L	1nvp	C	X	het	4	4	human
KCNIP4	1s6c	A	X	het	2	4	human
ADH1A	1hso	A	X	hom	1	2	human
OTUD3	4bou	A	X	hom	1	2	human
RBMY1J	2mks	A	X	mon	1	1	human
GMDS	1t2a	A	X	hom	1	4	human
HRAS	1nvv	R	X	het	2	3	human
SMARCC1	2yus	A	N	mon	1	1	human
PLK1	4lkm	A	X	het	2	2	human
IFNAR1	3se4	A	X	het	3	3	human
ST20-MTHFS	3hy3	A	X	mon	1	1	human
CPSF3	2i7t	A	U	mon	1	1	human
HS3ST1	1vkj	A	X	hom	1	3	human
GPSM1	4g5r	E	X	het	2	2	human
DAZ1	2xs2	A	X	mon	1	1	human
LSM14B	2fb7	A	X	mon	1	1	human
CRKL	2bzy	A	E	hom	1	2	human
EEA1	3mjh	B	E	het	2	2	human
THRSP	3ont	A	X	hom	1	2	human
CD28	1yjd	C	X	het	3	6	human
IGHA2	1ow0	A	X	hom	1	2	human
WDR77	4gqb	B	E	het	3	12	human
IMPA1	4as4	A	U	hom	1	2	human
CCL1	4oik	A	X	hom	1	2	human
CAP2	1k8f	A	E	hom	1	2	human
CDC6	2cci	F	X	het	3	3	human
CDY1	2fw2	A	X	hom	1	6	human
EIF5A	3cpf	A	E	mon	1	1	human
UGT2B15	2o6l	A	X	hom	1	2	human
MOSPD2	1wic	A	X	mon	1	1	human
CRBN	4tz4	C	X	het	2	2	human
PYGB	2gj4	A	U	hom	1	2	human
MST1	2asu	A	X	het	2	2	human
TAF15	2la6	A	U	mon	1	1	human
RBM10	2mxv	A	U	mon	1	1	human
NSUN5	2b9e	A	U	mon	1	1	human
IL22RA1	3dlq	R	X	het	2	2	human
DLX3	4xrs	G	X	het	2	2	human
SBDS	5anb	J	N	het	11	11	human
NT5M	1mh9	A	X	hom	1	2	human
NOD1	2nz7	A	X	hom	1	2	human
PTS	3i2b	A	X	hom	1	3	human
PCDHGC5	4zpp	A	X	mon	1	1	human
MAPK6	2i6l	A	X	hom	1	2	human
TBC1D20	4hlq	A	X	het	2	2	human
MAST2	2kqf	A	X	het	2	2	human
PAK7	2q0n	A	X	het	2	2	human
HDHD1	3l5k	A	X	mon	1	1	human
NLRP1	3kat	A	X	mon	1	1	human
MAP3K15	3vw6	A	X	hom	1	2	human
PPP2R4	4ny3	A	E	het	2	2	human
CCL3	3h44	C	X	het	2	4	human
CDK7	1ua2	A	X	mon	1	1	human
DICER1	4wyq	A	X	het	3	3	human
ARHGAP32	3iug	A	X	mon	1	1	human
HIST1H4D	4zux	B	X	het	9	36	human
FERMT3	2ys3	A	X	mon	1	1	human
PTPRD	4yfd	A	X	het	2	2	human
MGST1	2h8a	A	U	hom	1	3	human
FLCN	3v42	A	X	mon	1	1	human
DAZ3	2xs2	A	X	mon	1	1	human
RFX3	1dp7	P	X	hom	1	2	human
RHOD	2j1l	A	X	mon	1	1	human
THAP2	2d8r	A	X	mon	1	1	human
ADPGK	5ccf	A	E	mon	1	1	human
PIM3	3umx	A	X	mon	1	1	human
MAP1LC3B	2k6q	A	E	het	2	2	human
NCBP1	3fey	A	U	het	3	3	human
LILRB3	2d3v	A	X	mon	1	1	human
PAG1	2rsy	B	X	het	2	2	human
TERT	4b18	B	X	het	2	2	human
ANAPC1	4ui9	A	U	het	18	23	human
PTGES2	1z9h	A	U	hom	1	2	human
ACP5	1ute	A	X	mon	1	1	human
SERPINB2	1jrr	A	U	het	2	2	human
XDH	2ckj	A	X	hom	1	2	human
PIAS2	2asq	B	X	het	2	2	human
PYGM	1z8d	A	X	hom	1	2	human
RAPGEFL1	2dhz	A	X	mon	1	1	human
TRIM6-TRIM34	2egp	A	X	mon	1	1	human
BRD4	2lsp	B	U	het	2	2	human
DNAJC17	2d9o	A	E	mon	1	1	human
DEFA4	1zmm	A	X	mon	1	1	human
FAH	1qqj	A	U	hom	1	2	human
KRT75	3tnu	B	X	het	2	4	human
TRIM55	3q1d	A	X	hom	1	2	human
CFB	3hrz	D	X	het	4	4	human
OBSL1	3knb	B	U	het	2	2	human
BSG	4u0q	B	X	het	2	2	human
STK25	4nzw	B	X	het	2	2	human
GPD1	1wpq	A	X	hom	1	2	human
HS3ST5	3bd9	A	X	mon	1	1	human
DLX5	4xrs	G	X	het	2	2	human
RRM2B	4djn	A	X	hom	1	2	human
GBP2	2bc9	A	X	hom	1	2	human
PCDHAC2	4zpm	A	X	mon	1	1	human
MIOX	2huo	A	X	mon	1	1	human
MPP1	2ejy	A	U	het	2	2	human
TXNL4A	1syx	A	U	het	2	2	human
PPIAL4D	1m9e	A	X	het	2	2	human
LGALS9C	3nv2	A	X	hom	1	3	human
COL20A1	2ee3	A	X	mon	1	1	human
NUP214	3fmo	A	X	het	2	2	human
MCM2	5bnx	C	U	het	4	4	human
EDN2	1edn	A	X	hom	1	2	human
KCNH6	2l1m	A	X	mon	1	1	human
KCNA7	1ho7	A	X	mon	1	1	human
HTATSF1	2dit	A	E	mon	1	1	human
CHD4	2l75	A	U	het	2	2	human
HNF1A	1f93	E	X	het	2	4	human
VAPB	3ikk	A	U	hom	1	2	human
SOX11	3u2b	C	X	mon	1	1	human
IGKV1D-39	2uzi	L	X	het	3	3	human
CYP3A7	4d6z	A	X	mon	1	1	human
EIF4EBP3	1wkw	B	X	het	2	2	human
HSF1	5d5u	B	X	hom	1	2	human
MAP3K2	2cu1	A	X	mon	1	1	human
FCGR1A	4zne	A	X	het	2	3	human
MLYCD	4f0x	A	X	hom	1	4	human
F11	1xx9	A	X	het	2	4	human
VPS29	2r17	A	E	het	2	2	human
IL12A	3hmx	B	X	het	4	4	human
SIRPB1	4cmm	A	X	het	2	2	human
VTI1B	2v8s	V	X	het	2	2	human
CKS1B	2ast	C	U	het	4	4	human
CALCRL	3n7p	A	X	het	2	2	human
IL10RB	3lqm	A	X	mon	1	1	human
RAB6B	3cwz	A	X	het	2	2	human
HAVCR1	5dzo	A	X	mon	1	1	human
INADL	4q2n	A	X	hom	1	2	human
IFNB1	1au1	A	X	hom	1	2	human
ACR	1fiw	L	X	het	2	2	human
TCF7L1	1jdh	B	X	het	2	2	human
FOXD4	2hfh	A	X	mon	1	1	human
HOMER3	3cvf	A	X	hom	1	4	human
TGIF2LY	2dmn	A	X	mon	1	1	human
ASIC1	4ntx	A	X	het	3	3	human
TRIM69	4nqj	A	X	hom	1	6	human
ECI2	2f6q	A	U	hom	1	3	human
CYP11B2	4dvq	A	X	hom	1	6	human
IGFBP4	2dsr	G	X	het	3	3	human
DHX58	3eqt	A	X	hom	1	2	human
ACADSB	2jif	A	U	hom	1	4	human
DHRS4	3o4r	A	X	hom	1	4	human
PRKCQ	4ra5	A	X	hom	1	2	human
MAFF	3a5t	A	E	hom	1	2	human
RARRES3	2my9	A	X	mon	1	1	human
MARK3	3fe3	A	X	hom	1	2	human
HNRNPH2	1wg5	A	E	mon	1	1	human
SF3A1	2dt7	B	E	het	2	2	human
AMY2B	1xv8	A	X	hom	1	2	human
ANAPC7	5a31	X	U	het	18	23	human
IKZF2	2ma7	A	X	mon	1	1	human
SNUPN	2p8q	B	X	het	2	2	human
PPP1R14A	1k5o	A	X	mon	1	1	human
TNRC6C	3ktp	B	X	het	2	2	human
ITPKB	2aqx	A	X	hom	1	2	human
CWC27	2hq6	A	X	mon	1	1	human
TRIM21	2iwg	B	X	het	2	4	human
CPEB1	2m13	A	X	mon	1	1	human
USP2	3nhe	A	X	het	2	2	human
ARAP2	1x40	A	X	mon	1	1	human
AMPH	4atm	A	X	hom	1	2	human
TDGF1	2j5h	A	X	mon	1	1	human
CSNK1A1L	5fqd	C	X	het	3	3	human
SIRT1	4kxq	A	X	het	2	2	human
ESRP2	2rvj	A	X	mon	1	1	human
HZGJ	1m63	B	X	het	4	8	human
DAZAP1	2dh8	A	U	mon	1	1	human
CXCL5	2mgs	A	X	hom	1	2	human
STMN4	3hkc	E	X	het	3	5	human
ZNF347	2eq3	A	X	mon	1	1	human
DNTTIP1	4d6k	A	X	hom	1	2	human
ARHGEF16	1x6b	A	X	mon	1	1	human
NPPA	1yk0	E	X	het	2	3	human
RAD51	1n0w	A	X	het	4	4	human
KCTD5	3drz	A	X	hom	1	5	human
TGFBR3	3qw9	A	X	hom	1	2	human
TEAD3	3kys	A	X	het	2	2	human
NEDD9	2l81	A	X	mon	1	1	human
BMP7	1m4u	L	X	het	2	4	human
OTUD1	4bop	A	X	hom	1	8	human
C1QL1	4qq2	A	X	hom	1	3	human
BAG1	3fzk	B	X	het	2	2	human
HIST1H4E	4zux	B	X	het	9	36	human
HDGF	2nlu	A	E	hom	1	2	human
GBP3	2bc9	A	X	hom	1	2	human
KANK2	4hbd	A	U	mon	1	1	human
MAPK1	4fmq	A	E	het	2	2	human
HPN	3t2n	A	X	het	3	3	human
ATP5EP2	2w6h	I	X	het	5	9	human
DNAJB4	2qld	A	E	hom	1	2	human
RAC3	2qme	A	X	het	2	2	human
ADIPOR2	3wxw	A	X	het	3	3	human
UCP2	2lck	A	X	mon	1	1	human
CA6	3fe4	A	X	mon	1	1	human
RNF141	2ecn	A	X	mon	1	1	human
SH3BP2	2cr4	A	X	mon	1	1	human
CCNB1	2jgz	B	U	het	2	2	human
MAPK14	3gcu	A	E	hom	1	2	human
TNFRSF21	3u3p	A	X	hom	1	2	human
MED25	2l6u	A	X	mon	1	1	human
TPK1	3s4y	A	X	hom	1	4	human
NR1H2	4nqa	B	X	het	3	4	human
ARG1	3gmz	A	X	hom	1	3	human
STX12	2nps	B	E	het	4	4	human
SERPINB1	1hle	B	X	het	2	4	human
UBE2NL	3von	C	X	het	3	3	human
CTSV	3kfq	A	X	het	2	2	human
PDIA5	4i6x	A	X	mon	1	1	human
LDB2	2xjy	B	X	het	2	2	human
RFX2	1dp7	P	X	hom	1	2	human
PHPT1	2hw4	A	X	mon	1	1	human
ATP2B3	1cff	B	X	het	2	2	human
MDK	1mkc	A	X	mon	1	1	human
PSME1	1avo	A	E	het	2	14	human
DTNA	2e5r	A	X	mon	1	1	human
ZSCAN23	3lhr	A	X	hom	1	2	human
TIGAR	3dcy	A	E	mon	1	1	human
KCND2	1s6c	B	X	het	2	4	human
PRSS3	4u30	A	X	het	2	2	human
YWHAG	2b05	A	E	het	2	4	human
HTR2B	4nc3	A	X	mon	1	1	human
PDHB	3exe	B	N	het	2	4	human
RLN3	2fhw	B	X	het	2	2	human
BRMS1	2xus	A	X	hom	1	6	human
ARF1	1r8q	A	E	het	2	2	human
PSMA6	4r3o	A	U	het	14	28	human
PLK2	4xb0	A	X	hom	1	2	human
PPIAL4C	1m9e	A	X	het	2	2	human
EXOSC6	2nn6	F	X	het	9	9	human
ERI3	2xri	A	X	mon	1	1	human
TMEM141	2lor	A	X	mon	1	1	human
KCNQ5	4gow	A	X	het	2	2	human
ZBED2	2djr	A	X	mon	1	1	human
TRIM39-RPP21	2dif	A	X	mon	1	1	human
CYP21A2	3qz1	A	X	mon	1	1	human
MMADHC	5cv0	A	X	hom	1	2	human
GMFB	4jd2	H	E	het	8	8	human
LTC4S	2pno	A	X	hom	1	3	human
WWP2	2jo9	A	X	het	2	2	human
ACP1	2p4u	A	X	mon	1	1	human
ARL2	3doe	A	E	het	2	2	human
PCDH15	4apx	B	X	het	2	2	human
NFYB	1n1j	A	X	het	2	2	human
ANAPC13	4ui9	M	X	het	18	23	human
IGHV3-35	2uzi	H	X	het	3	3	human
HIST1H2AG	4edu	T	X	het	2	4	human
RAF1	1c1y	B	X	het	2	2	human
TAC1	2mce	A	X	mon	1	1	human
GMNN	2wvr	A	E	het	2	6	human
CYB5B	3ner	A	X	hom	1	2	human
VPREB1	2h32	A	X	het	3	3	human
UBE2L3	1fbv	C	E	het	3	3	human
ROCK2	4wot	A	N	hom	1	2	human
TAF12	1h3o	B	X	het	2	2	human
PVRL1	3sku	D	X	het	2	2	human
BLK	2ofv	A	X	hom	1	2	human
IMPDH2	1nf7	A	E	hom	1	4	human
PUS1	4its	A	U	mon	1	1	human
NLRP4	4ewi	A	X	mon	1	1	human
NUP153	3gj6	B	E	het	2	2	human
SMN1	3s6n	M	X	het	7	7	human
ITCH	2p4r	T	E	het	2	2	human
SFRP4	1ijx	A	X	mon	1	1	human
GZMA	1op8	A	X	hom	1	2	human
UROD	1r3q	A	U	hom	1	2	human
UNC5D	4v2c	B	X	het	2	2	human
KDR	3kvq	A	X	hom	1	2	human
PADI2	4n28	A	X	hom	1	2	human
MTHFS	3hy3	A	X	mon	1	1	human
UQCRHL	1bcc	H	X	het	10	20	human
CAPN1	1tl9	A	U	het	2	2	human
LRRK2	2zej	A	X	hom	1	2	human
STAU1	4dkk	A	U	hom	1	2	human
APCS	3d5o	A	X	het	2	6	human
TLR1	2z7x	B	X	het	3	3	human
MBP	1fv1	C	X	het	3	3	human
HSPB11	1tvg	A	U	mon	1	1	human
DXO	3fqi	A	X	mon	1	1	human
CCL11	2mpm	A	X	het	2	2	human
TMSB10	1hj0	A	X	mon	1	1	human
STAG1	4pjw	A	E	het	2	2	human
CTBP2	2ome	A	E	hom	1	2	human
BRCA1	4u4a	A	X	het	2	2	human
NAT1	2pfr	A	X	mon	1	1	human
NAT2	2pqt	A	X	mon	1	1	human
ZIC3	2ej4	A	X	mon	1	1	human
TUBAL3	4drx	A	X	het	3	3	human
IGKV1D-33	2q20	A	X	hom	1	2	human
QSOX1	4ij3	A	X	het	3	3	human
DHPS	1rlz	A	X	hom	1	4	human
SEC24D	3efo	B	E	het	3	3	human
FGF16	1g82	A	X	hom	1	2	human
ABAT	1ohw	A	X	hom	1	2	human
ANKRA2	4lg6	A	X	het	2	2	human
GCM1	1odh	A	X	mon	1	1	human
CTNNBL1	4mfv	A	N	hom	1	2	human
RP11-277P12.6	3cii	H	X	het	5	5	human
CCL4	4ral	D	X	het	2	2	human
EPHX2	4ocz	A	X	hom	1	2	human
AFAP1L2	2cof	A	X	mon	1	1	human
ZNF112	1mey	C	X	mon	1	1	human
ATXN3	2jri	A	X	het	2	3	human
EZH1	4mi0	A	X	mon	1	1	human
GOLGA2	4rey	B	U	het	2	2	human
IL21R	3tgx	A	X	het	2	2	human
ACHE	4ey8	A	X	het	2	2	human
PARP9	5ail	A	X	mon	1	1	human
SART1	4pyu	C	U	het	2	2	human
TRAPPC5	2j3r	B	X	het	2	2	human
RAB21	2ot3	B	E	het	2	2	human
SORT1	3f6k	A	X	het	2	2	human
NEIL1	4nrv	A	X	mon	1	1	human
SNRNP25	1v2y	A	X	mon	1	1	human
SLITRK2	4y61	B	X	het	2	2	human
PTP4A3	1zck	A	X	hom	1	3	human
FANCE	2ilr	A	X	mon	1	1	human
ZFHX3	2da1	A	X	mon	1	1	human
SGK2	3hdn	A	X	mon	1	1	human
SPDEF	2dkx	A	X	mon	1	1	human
NVL	2rre	A	E	mon	1	1	human
VEGFA	2fjh	V	X	het	3	6	human
EXOSC8	2nn6	C	X	het	9	9	human
ESCO1	4mxe	A	X	hom	1	2	human
CPSF4	2rhk	C	X	het	2	4	human
MIEN1	2ljk	A	X	mon	1	1	human
SCN3B	4l1d	A	X	mon	1	1	human
POLG2	3ikm	B	X	het	2	3	human
HIST1H2BM	2xql	B	U	het	2	10	human
