gene	struc	chn	decay.class	qtype	unq	tot	species	
Macrod2	4iqy	A	X	mon	1	1	mouse
Bid	2voi	B	E	het	2	2	mouse
Syt4	1w15	A	X	hom	1	3	mouse
Ap4b1	2mj7	A	X	mon	1	1	mouse
Mib1	4xi7	A	E	het	2	2	mouse
Rnase1	3tsr	A	X	het	2	2	mouse
Tsta3	4e5y	A	E	hom	1	2	mouse
Ephb3	4pdo	A	X	hom	1	2	mouse
Arf4	1re0	A	X	het	2	2	mouse
Ppp1r9b	3egh	C	X	het	3	6	mouse
Ddc	3rch	A	X	hom	1	2	mouse
Ryr3	2bcx	B	X	het	2	2	mouse
Larp1	4zc4	A	E	hom	1	2	mouse
Adarb2	2b7t	A	X	mon	1	1	mouse
Tuba3b	4drx	A	X	het	3	3	mouse
Hnrnpr	2dgu	A	U	mon	1	1	mouse
Psmb8	3unf	K	E	het	14	28	mouse
Nup62	3t97	A	E	het	2	3	mouse
Aspscr1	2al3	A	E	mon	1	1	mouse
Glra1	3jaf	A	X	hom	1	5	mouse
Hoxd8	2lp0	A	X	het	2	2	mouse
Enah	1evh	A	U	het	2	2	mouse
Lasp1	4f14	A	X	het	2	2	mouse
Smyd3	3oxg	A	X	mon	1	1	mouse
Pkp1	1xm9	A	X	mon	1	1	mouse
Trpv1	3j9j	A	X	hom	1	4	mouse
Ptgs1	1q4g	A	N	hom	1	2	mouse
Prpf4b	4ian	A	E	hom	1	2	mouse
Cad	4c6i	A	U	hom	1	2	mouse
Hist3h2ba	2f8n	D	X	het	6	8	mouse
Zfy1	7znf	A	X	mon	1	1	mouse
Boc	3n1g	C	X	het	2	2	mouse
Prc1	4l6y	A	X	hom	1	2	mouse
Srprb	2go5	2	U	het	7	7	mouse
Clic1	1rk4	A	U	hom	1	2	mouse
Sell	3cfw	A	X	mon	1	1	mouse
Apitd1	4ne5	A	X	het	2	4	mouse
Strada	3gni	B	X	het	2	2	mouse
Folh1	1z8l	A	X	hom	1	2	mouse
Dnajc17	2d9o	A	X	mon	1	1	mouse
Gm16519	4v6x	CK	X	het	82	84	mouse
Cbfa2t3	2knh	A	X	het	2	2	mouse
Prdm9	4c1q	A	X	het	2	2	mouse
Wars	1o5t	A	E	hom	1	2	mouse
Phf2	3kqi	A	X	het	2	3	mouse
Dusp28	2hcm	A	X	hom	1	2	mouse
Runx2	1io4	C	X	het	3	4	mouse
Chkb	3feg	A	X	hom	1	2	mouse
Crygf	1a45	A	X	hom	1	2	mouse
Kcnh2	4l11	A	X	mon	1	1	mouse
Abcc1	4c3z	A	N	mon	1	1	mouse
R3hdm2	1whr	A	X	mon	1	1	mouse
Alkbh7	4qkb	A	X	mon	1	1	mouse
Papolg	1q78	A	X	mon	1	1	mouse
Btrc	1p22	A	X	het	3	3	mouse
Car5a	1dmx	A	X	hom	1	2	mouse
Capza1	5afu	K	E	het	22	33	mouse
Rpl21	4v6x	CT	X	het	82	84	mouse
Klf8	2ebt	A	X	mon	1	1	mouse
Ppp1r10	4moy	B	X	het	2	2	mouse
Bach1	2z8h	A	X	hom	1	2	mouse
Nos2	4ux6	B	X	het	2	4	mouse
Pycard	2n1f	A	X	hom	1	15	mouse
Zfp451	5d2m	G	X	het	4	5	mouse
Zfp423	2mdg	A	X	mon	1	1	mouse
Zbtb16	1buo	A	X	hom	1	2	mouse
Tsen15	2gw6	A	X	hom	1	2	mouse
Sos1	1xd2	C	E	het	2	3	mouse
Aurkaip1	5aj4	An	X	het	83	83	mouse
Sult1d1	2zvq	X	X	mon	1	1	mouse
Ppp1r15b	4v0x	B	X	het	2	2	mouse
Cdc23	4ui9	C	X	het	18	23	mouse
Fech	2qd3	A	X	hom	1	2	mouse
Ceacam15	4jgj	A	X	hom	1	2	mouse
Smek1	4wsf	A	X	het	2	2	mouse
Btk	4xi2	A	X	hom	1	2	mouse
Msl3	3oa6	A	X	het	2	3	mouse
Flcn	3v42	A	E	mon	1	1	mouse
Pdcd5	2cru	A	X	mon	1	1	mouse
Hist1h2bg	2cv5	D	X	het	4	8	mouse
Anxa8	1w45	A	E	mon	1	1	mouse
Dmtf1	2llk	A	X	mon	1	1	mouse
Gfi1	2kmk	A	X	mon	1	1	mouse
Vasp	1use	A	E	hom	1	4	mouse
Plekhm2	3hw2	B	X	het	2	2	mouse
Phf1	4hcz	A	X	het	2	2	mouse
Pank1	2i7n	A	X	hom	1	2	mouse
Gatad2a	2l2l	A	U	het	2	2	mouse
Ppia	1m9e	A	E	het	2	2	mouse
Dclk1	2xrp	I	U	het	3	9	mouse
Eps8l1	2cy5	A	X	hom	1	2	mouse
Dynll1	1f95	A	U	het	2	4	mouse
Kif13a	5djo	A	X	hom	1	2	mouse
Anapc5	4ui9	O	U	het	18	23	mouse
Nucb1	1snl	A	X	mon	1	1	mouse
Atp6v1a	1um2	C	N	het	2	2	mouse
Jak2	4gl9	A	X	het	3	3	mouse
Nup107	3cqg	A	N	het	2	2	mouse
2210018M11Rik	1utu	A	U	hom	1	2	mouse
Cdkn2c	1ihb	A	X	hom	1	2	mouse
Celf2	3nnh	A	U	hom	1	2	mouse
Osr2	2ee8	A	X	mon	1	1	mouse
Prx	4cmz	A	X	hom	1	2	mouse
Krt4	3tnu	B	X	het	2	4	mouse
F12	4xde	A	X	mon	1	1	mouse
Padi4	3apm	A	X	hom	1	2	mouse
Ighv1-59	1jhl	H	X	het	3	3	mouse
Artn	2gh0	C	X	het	2	4	mouse
Ehf	3jtg	A	X	mon	1	1	mouse
Tbc1d1	3qyb	A	X	mon	1	1	mouse
Ftcd	2pfd	A	X	hom	1	8	mouse
Mrpl40	3j9m	8	X	het	81	81	mouse
Smek2	4wsf	A	X	het	2	2	mouse
Cdca8	2qfa	B	E	het	3	3	mouse
Gria2	3hsy	A	X	hom	1	2	mouse
Dcx	2xrp	I	X	het	3	9	mouse
Eea1	3mjh	B	X	het	2	2	mouse
Clasp1	3woy	A	X	mon	1	1	mouse
Rab25	3tso	A	X	het	2	4	mouse
Lamtor5	3ms6	A	U	hom	1	2	mouse
Guca1a	2r2i	A	X	mon	1	1	mouse
Ogg1	2xhi	A	X	mon	1	1	mouse
Gm5611	4n8m	A	X	hom	1	5	mouse
Ctnnd1	3l6x	A	E	het	2	2	mouse
Inpp5b	4cml	A	X	hom	1	3	mouse
Cobl	4jhd	C	X	het	2	3	mouse
Ppp2r2d	3dw8	B	X	het	4	4	mouse
Tfam	3fgh	A	X	hom	1	2	mouse
Acaa2	4c2k	A	U	hom	1	2	mouse
Sgms1	2d8c	A	X	mon	1	1	mouse
Ndufa2	1s3a	A	X	mon	1	1	mouse
CR974586.3	2mp1	A	X	mon	1	1	mouse
Casc5	4nf9	A	X	het	2	2	mouse
Mmp8	1jan	A	X	het	2	2	mouse
Tceb3	4hfx	A	X	hom	1	2	mouse
Mxd1	1nlw	A	X	het	2	2	mouse
Suv420h1	4bup	A	X	mon	1	1	mouse
Myo1b	4l79	A	U	het	2	2	mouse
Ndor1	4h2d	A	X	mon	1	1	mouse
Krt1	3tnu	B	X	het	2	4	mouse
Mrps25	5aj4	Ac	N	het	83	83	mouse
Dnajc2	2m2e	A	E	mon	1	1	mouse
Serpina3c	1yxa	A	X	mon	1	1	mouse
Msh2	3thw	A	U	het	2	2	mouse
Map2k3	3enm	A	E	hom	1	2	mouse
Rpl17	3jag	P	N	het	80	80	mouse
Dnajc10	3apo	A	U	mon	1	1	mouse
Piezo1	4rax	A	X	mon	1	1	mouse
Ikbkb	4e3c	A	X	hom	1	2	mouse
Iglv3	2otu	A	X	het	3	3	mouse
Dctn6	5afu	U	E	het	22	33	mouse
Cd200r1	4bfi	A	X	het	2	2	mouse
Ankra2	4lg6	A	X	het	2	2	mouse
Sco2	2rli	A	E	mon	1	1	mouse
Ren1	1smr	A	X	het	2	2	mouse
Sdc4	1ybo	C	X	het	2	4	mouse
Nlrp10	2do9	A	X	mon	1	1	mouse
Nr3c1	3mne	A	X	het	2	2	mouse
Ncbp2	1h6k	X	X	het	2	2	mouse
Exosc1	2nn6	I	X	het	9	9	mouse
Ska3	4aj5	1	E	het	3	30	mouse
Lonp1	2x36	A	U	hom	1	3	mouse
Glyr1	2uyy	A	U	hom	1	4	mouse
Lhx2	2dmq	A	X	mon	1	1	mouse
Mepce	3g07	A	E	mon	1	1	mouse
Cd247	2oq1	B	X	het	2	2	mouse
Fancd2	3s4w	B	X	het	2	2	mouse
Rnf8	4ayc	A	X	hom	1	4	mouse
Tdrd7	3rco	A	X	hom	1	24	mouse
Gm20521	3ucg	A	X	hom	1	2	mouse
Nras	1nvv	R	X	het	2	3	mouse
Slc14a1	4ezc	A	X	hom	1	3	mouse
Sirt2	4x3o	A	E	het	2	2	mouse
Ahcyl2	3gvp	A	X	hom	1	4	mouse
Pdzrn3	1uhp	A	X	mon	1	1	mouse
Pih1d1	4cv4	A	U	hom	1	2	mouse
Obsl1	3knb	B	U	het	2	2	mouse
Ptp4a2	1zck	A	X	hom	1	3	mouse
Lcor	2cob	A	X	mon	1	1	mouse
Pum1	3h3d	X	E	mon	1	1	mouse
Klra3	1p1z	D	X	het	4	8	mouse
Rit1	4klz	A	X	mon	1	1	mouse
Cops7a	4d18	G	E	het	8	8	mouse
Mup4	1i05	A	X	mon	1	1	mouse
Acbd7	3epy	A	X	hom	1	4	mouse
Epx	1cxp	C	X	het	2	4	mouse
Fgb	3bvh	B	X	het	4	7	mouse
Hbb-bt	1jeb	B	X	het	2	4	mouse
Rnf144a	1wim	A	X	mon	1	1	mouse
Kcnn1	1g4y	B	X	het	2	4	mouse
Chchd1	3j9m	A2	X	het	81	81	mouse
Rps6kb2	3a60	A	X	hom	1	2	mouse
Zranb2	1n0z	A	X	mon	1	1	mouse
Ms4a1	3pp4	P	X	het	3	3	mouse
Thbs4	3fby	A	X	mon	1	1	mouse
Irf2bp2	2cs3	A	U	mon	1	1	mouse
Clip1	3rdv	A	E	het	2	2	mouse
Lrrc4b	3zyj	A	X	het	2	2	mouse
Chrna7	1kc4	B	X	het	2	2	mouse
Otx1	2dms	A	X	mon	1	1	mouse
Lingo1	4oqt	A	X	het	3	6	mouse
Meis2	4xrs	A	X	het	2	2	mouse
Ets1	1mdm	B	X	het	2	2	mouse
Atad2	4qut	A	X	het	2	2	mouse
Grik3	3olz	A	X	hom	1	4	mouse
Qk	4jvh	A	E	hom	1	2	mouse
Uevld	3dl2	A	X	hom	1	2	mouse
Adcy4	1cul	B	X	het	3	3	mouse
Ywhae	3ual	A	E	het	2	4	mouse
Ptgs2	3ntg	A	X	hom	1	2	mouse
Ppp1r3b	2eef	A	X	mon	1	1	mouse
Gng7	4mk0	G	X	het	3	3	mouse
Eri3	2xri	A	X	mon	1	1	mouse
Dmrt1	4yj0	A	X	hom	1	3	mouse
Zranb1	3zrh	A	X	mon	1	1	mouse
Trav9n-3	2icw	I	X	het	6	6	mouse
Chrnb4	2k58	B	X	mon	1	1	mouse
Ppp1ca	1fjm	A	E	het	2	2	mouse
Brd9	4yy6	A	X	het	2	2	mouse
Mtss1l	2d1l	A	X	hom	1	2	mouse
Akap5	2h9r	C	X	het	2	3	mouse
Car1	4wup	A	X	mon	1	1	mouse
Crtam	4h5s	A	X	het	2	2	mouse
Rad9a	3a1j	A	X	het	3	3	mouse
Birc6	3ceg	A	E	mon	1	1	mouse
Insr	4oga	F	X	het	6	6	mouse
Ubxn1	1whc	A	E	mon	1	1	mouse
Stap2	2el8	A	X	mon	1	1	mouse
Mta2	4bkx	A	U	het	2	4	mouse
Gm11127	1ed3	A	X	het	3	3	mouse
S100a5	2kax	A	X	hom	1	2	mouse
Nsfl1c	1s3s	G	E	het	2	9	mouse
Clint1	2v8s	E	E	het	2	2	mouse
Efhc2	2z14	A	X	hom	1	2	mouse
Stag2	4pjw	A	U	het	2	2	mouse
S100a14	2m0r	A	X	hom	1	2	mouse
Igkv2-137	4r0l	B	X	het	3	6	mouse
Acly	3mwe	B	U	het	2	2	mouse
Cptp	4kf6	A	X	mon	1	1	mouse
Uso1	3gq2	A	E	hom	1	2	mouse
Defb7	1e4t	A	X	mon	1	1	mouse
Asb11	4uuc	A	X	mon	1	1	mouse
Cstf2t	2j8p	A	X	mon	1	1	mouse
Cbfb	3wtx	B	U	het	3	3	mouse
Zmynd10	2dan	A	X	mon	1	1	mouse
Ppcs	1p9o	A	X	hom	1	2	mouse
Myom1	2y25	A	X	hom	1	4	mouse
Nfasc	3p3y	A	X	hom	1	2	mouse
Apoh	2kri	A	X	het	2	2	mouse
Errfi1	2rfd	C	E	het	2	2	mouse
Dclre1a	5ahr	A	X	hom	1	2	mouse
Aldh3a2	4qgk	A	U	hom	1	2	mouse
Traf4	4k8u	A	X	hom	1	3	mouse
Tpx2	4c3p	B	U	het	2	4	mouse
Git1	2w6a	A	E	hom	1	2	mouse
Acvr2a	2goo	C	X	het	3	6	mouse
Mup8	2nnd	A	X	mon	1	1	mouse
Rnaseh2c	3p5j	C	E	het	3	3	mouse
Rpl10	5aj0	AI	X	het	79	79	mouse
Klf3	2wbu	A	X	mon	1	1	mouse
Gdi1	1d5t	A	U	mon	1	1	mouse
Tpsb2	2zeb	A	X	hom	1	4	mouse
Ppie	2cqb	A	X	mon	1	1	mouse
E2f2	1n4m	C	X	het	2	2	mouse
Ldb2	2xjy	B	X	het	2	2	mouse
Napepld	4qn9	A	X	hom	1	2	mouse
Lamtor2	1vet	B	X	het	2	2	mouse
Pdlim1	1x62	A	E	mon	1	1	mouse
Hdac3	4a69	A	U	het	2	2	mouse
Cadm1	4h5s	B	X	het	2	2	mouse
Gm7964	1zzj	A	X	hom	1	3	mouse
Bcl3	1k1b	A	X	mon	1	1	mouse
Scmh1	4edu	A	X	het	2	4	mouse
Smc3	2wd5	B	E	het	2	2	mouse
Crh	3ehu	C	X	het	2	2	mouse
Cth	2nmp	A	X	hom	1	4	mouse
Camk2d	1cdm	B	X	het	2	2	mouse
Il23a	3qwr	B	X	het	3	3	mouse
Sh3gl3	2z0v	A	X	hom	1	2	mouse
Fen1	1u7b	B	N	het	2	6	mouse
Trib1	5cem	A	X	mon	1	1	mouse
Casp3	2xyh	B	U	het	2	4	mouse
Cep120	4icw	A	X	mon	1	1	mouse
Rnf123	2ma6	A	X	mon	1	1	mouse
Ufsp2	3oqc	A	U	mon	1	1	mouse
Nkx2-9	4s0h	B	X	het	2	2	mouse
Qdpr	1dhr	A	X	hom	1	2	mouse
Ppfia1	3tad	A	U	het	2	2	mouse
Gria3	3o21	A	X	hom	1	2	mouse
Thrsp	3ont	A	X	hom	1	2	mouse
Nanog	4rbo	A	X	mon	1	1	mouse
Lats1	4zrk	E	X	het	2	2	mouse
Palb2	3eu7	A	X	het	2	2	mouse
Mup17	2l9c	A	X	mon	1	1	mouse
Igkv6-17	1i3g	L	X	het	2	2	mouse
Gmfb	4jd2	H	X	het	8	8	mouse
Npc2	1nep	A	X	mon	1	1	mouse
Cpt1b	2le3	A	X	mon	1	1	mouse
Ap1s3	4hmy	S	X	het	5	5	mouse
Map2k5	2npt	A	X	het	2	2	mouse
Calr	3rg0	A	E	mon	1	1	mouse
Yars2	2pid	A	U	hom	1	2	mouse
Eef1a1	4c0s	A	E	hom	1	2	mouse
Pnpt1	3u1k	A	U	hom	1	3	mouse
Sarnp	2do1	A	E	mon	1	1	mouse
Pin4	3ui4	A	X	mon	1	1	mouse
Lmo7	2eaq	A	X	mon	1	1	mouse
Tmod1	1io0	A	X	mon	1	1	mouse
Zbtb43	2csh	A	X	mon	1	1	mouse
Ahi1	4esr	A	X	mon	1	1	mouse
Cdh6	3lnd	A	X	hom	1	2	mouse
Ugt2a1	2o6l	A	X	hom	1	2	mouse
Bpgm	2hhj	A	X	hom	1	2	mouse
Amd2	3h0v	A	X	het	2	2	mouse
Zfpm1	1srk	A	X	mon	1	1	mouse
Snrnp48	2vy5	A	X	mon	1	1	mouse
Aldoart1	3bv4	A	X	hom	1	2	mouse
Pde5a	1udu	A	X	hom	1	2	mouse
Eed	3k26	A	E	het	2	2	mouse
Ppp1cb	1s70	A	E	het	2	2	mouse
Ccnb1	2jgz	B	N	het	2	2	mouse
Ighv1-61	1jhl	H	X	het	3	3	mouse
Anapc2	4ui9	N	U	het	18	23	mouse
Pde10a	3lxg	A	X	hom	1	3	mouse
Socs2	5bo4	A	X	het	3	3	mouse
H2-Q10	1ldp	H	X	het	4	4	mouse
Hist1h2ba	3x1v	D	X	het	4	8	mouse
Il5ra	3qt2	A	X	het	2	3	mouse
Dusp19	4d3q	A	X	hom	1	2	mouse
Snx11	4ikb	A	X	hom	1	2	mouse
Tlx1	3a01	A	X	het	2	2	mouse
Smarcb1	5aj1	A	N	mon	1	1	mouse
Insm1	3zms	C	X	het	3	3	mouse
Polb	3k75	D	X	het	2	2	mouse
Anxa2	4hre	A	U	het	3	6	mouse
Ddit4	3lq9	A	X	mon	1	1	mouse
Smurf1	2ltx	A	X	het	2	2	mouse
Igkv10-94	1a14	L	X	het	3	12	mouse
Cacna1e	3bxl	B	X	het	2	2	mouse
Arhgef7	2ak5	A	E	het	2	6	mouse
Col1a1	3hqv	A	X	het	2	27	mouse
l7Rn6	3ww0	B	X	hom	1	2	mouse
Uxs1	4gll	A	U	hom	1	2	mouse
Pcdha7	1wuz	A	X	mon	1	1	mouse
Rasgrp2	2ma2	A	X	mon	1	1	mouse
Pde6d	5e8f	A	X	het	2	2	mouse
Rock1	2v55	A	X	het	2	2	mouse
Tatdn1	2xio	A	X	mon	1	1	mouse
Bcl2l10	2kua	A	X	mon	1	1	mouse
Tyms	4eb4	A	N	hom	1	2	mouse
Vps4b	2jqk	A	U	het	2	2	mouse
U2af1	1jmt	A	E	het	2	2	mouse
Hoxa9	1puf	A	X	het	2	2	mouse
Slc25a24	4n5x	A	E	mon	1	1	mouse
F5	1sdd	A	X	het	2	2	mouse
Sri	4usl	D	U	het	2	2	mouse
Gm17296	2ha8	A	X	hom	1	2	mouse
Try10	3tgi	E	X	het	2	2	mouse
F11	1xx9	A	X	het	2	4	mouse
Atp5c1	2f43	G	U	het	3	7	mouse
Cdk12	4un0	C	E	het	2	2	mouse
Mapkapk3	3fyj	X	X	hom	1	3	mouse
Pcbp2	2axy	A	U	hom	1	2	mouse
Eml1	4ci8	A	X	mon	1	1	mouse
Cd81	1iv5	A	N	hom	1	2	mouse
Lgals7	1bkz	A	X	hom	1	2	mouse
Polr2h	5flm	H	X	het	12	12	mouse
Gata5	2l6z	A	X	het	3	3	mouse
Ppp1r13b	4a63	B	X	het	2	2	mouse
Rln3	2fhw	B	X	het	2	2	mouse
Sparc	1bmo	A	X	hom	1	2	mouse
Ncstn	5fn3	A	X	het	5	5	mouse
Ddx59	2yqp	A	E	mon	1	1	mouse
Snrpd2	4pjo	D	U	het	9	9	mouse
Fbxl5	3u9m	A	X	mon	1	1	mouse
Sftpd	3ikn	A	X	hom	1	3	mouse
Napa	3j96	G	U	het	5	13	mouse
Trim21	3zo0	B	X	het	2	4	mouse
Hras	1nvv	R	X	het	2	3	mouse
H2-DMb2	1k8i	B	X	het	2	2	mouse
Ubxn4	2kxj	A	X	mon	1	1	mouse
App	2roz	A	X	het	2	2	mouse
Nqo1	1dxq	A	X	hom	1	2	mouse
Hdac1	4bkx	B	N	het	2	4	mouse
Eprs	4hvc	A	U	hom	1	2	mouse
Fgd6	1wgq	A	X	mon	1	1	mouse
Nudcd2	2rh0	A	X	hom	1	2	mouse
Hist1h2bj	2cv5	D	X	het	4	8	mouse
Hddc2	4dmb	A	X	hom	1	2	mouse
Dmtn	1zv6	A	X	mon	1	1	mouse
Me3	1gq2	A	X	hom	1	4	mouse
Csf2rb	4qqv	A	X	hom	1	2	mouse
Gm5519	5bon	A	X	hom	1	2	mouse
Orc6	3m03	A	X	mon	1	1	mouse
mt-Co1	2ybb	L	X	het	37	48	mouse
Smad4	3qsv	A	E	hom	1	2	mouse
Gm5415	5aek	A	X	het	2	2	mouse
Hist2h2aa2	4edu	T	X	het	2	4	mouse
Cbll1	3vk6	A	X	hom	1	2	mouse
Lalba	1nf5	A	X	het	2	2	mouse
Pkn1	1cxz	B	X	het	2	2	mouse
Klrb1c	3m9z	A	X	hom	1	2	mouse
Mia	1i1j	A	X	mon	1	1	mouse
Scn9a	4djc	B	X	het	2	2	mouse
Cdk16	3mtl	A	E	mon	1	1	mouse
Pgam1	4gpz	A	E	hom	1	2	mouse
Tnpo1	4fq3	A	U	het	2	2	mouse
Trpv3	4n5q	A	X	mon	1	1	mouse
Crym	4bva	A	X	hom	1	2	mouse
Parp11	2dk6	A	X	mon	1	1	mouse
ENSMUSP00000098558	3gl6	A	X	het	2	4	mouse
Gm17669	3jaj	b	X	het	83	83	mouse
Rabgap1l	4nc6	A	X	mon	1	1	mouse
Uck2	1xrj	A	E	hom	1	4	mouse
Gm14226	1mof	A	X	hom	1	3	mouse
S100a16	3nxa	A	X	hom	1	2	mouse
Tk1	1xbt	A	X	hom	1	4	mouse
Car4	3znc	A	X	hom	1	2	mouse
Gpcpd1	2z0b	A	X	mon	1	1	mouse
Pnliprp1	2ppl	A	X	mon	1	1	mouse
Gm11711	1zox	A	X	mon	1	1	mouse
Trav9n-4	2icw	I	X	het	6	6	mouse
H2-Ob	4i0p	D	X	het	4	4	mouse
Lgals3bp	1by2	A	U	mon	1	1	mouse
Scp2	2c0l	B	N	het	2	2	mouse
Hdx	2da4	A	X	mon	1	1	mouse
Suclg1	2fp4	A	N	het	2	2	mouse
Mapk6	2i6l	A	X	hom	1	2	mouse
Arntl	4f3l	B	X	het	2	2	mouse
4930486L24Rik	1icf	B	X	het	3	3	mouse
Pde4b	3frg	A	X	hom	1	2	mouse
Gli2	2gli	A	X	mon	1	1	mouse
Igkv3-3	1qnz	L	X	het	3	3	mouse
Trmt10a	4fmw	A	X	mon	1	1	mouse
Hist1h3f	2f8n	A	X	het	6	8	mouse
Ap2a2	2jkr	A	U	het	5	5	mouse
Rbms3	1x4e	A	X	mon	1	1	mouse
Mgll	4uuq	A	X	hom	1	4	mouse
Ech1	1dci	A	X	hom	1	6	mouse
Ifna4	3oq3	A	X	het	2	2	mouse
Map3k7	4gs6	A	X	mon	1	1	mouse
Acot12	4mob	A	X	hom	1	3	mouse
F11r	1f97	A	X	mon	1	1	mouse
Dusp26	2e0t	A	X	hom	1	2	mouse
Dpp3	3t6b	A	E	het	2	2	mouse
Sp9	1va1	A	X	mon	1	1	mouse
Snrpd3	4pjo	A	N	het	9	9	mouse
Ntng2	3zyi	B	X	het	2	2	mouse
Lactb2	4ad9	A	X	hom	1	3	mouse
Sele	4csy	A	X	mon	1	1	mouse
Gps1	4d18	A	U	het	8	8	mouse
Ptbp2	3zzz	A	U	het	2	2	mouse
Nudt2	4ijx	A	X	mon	1	1	mouse
Arhgap32	3iug	A	X	mon	1	1	mouse
Mbnl2	2rpp	A	X	mon	1	1	mouse
Chmp2b	2jqk	B	X	het	2	2	mouse
Chia1	3rm4	A	X	mon	1	1	mouse
Rgs3	1whd	A	X	mon	1	1	mouse
Col18a1	3hsh	A	X	hom	1	3	mouse
Caskin2	4is7	A	X	hom	1	2	mouse
Ewsr1	2cpe	A	E	mon	1	1	mouse
Lgr4	4kt1	A	X	het	2	2	mouse
Jmjd7	4qu2	A	X	mon	1	1	mouse
Rbck1	4dbg	A	X	het	2	2	mouse
Macrod1	2x47	A	X	mon	1	1	mouse
Lepr	3v6o	A	X	het	3	3	mouse
Adipor1	3wxv	A	X	het	3	3	mouse
Zkscan5	2ytg	A	X	mon	1	1	mouse
Cdk17	3mtl	A	E	mon	1	1	mouse
Sbds	5anb	J	U	het	11	11	mouse
Pfkfb3	4d4j	A	X	hom	1	2	mouse
Nit2	2w1v	A	E	hom	1	2	mouse
Rpl7a-ps8	4v5z	Bf	X	het	50	50	mouse
Ighv3-8	1c08	B	X	het	3	3	mouse
Il1rapl1	1t3g	A	X	hom	1	2	mouse
Paip2	1jgn	B	X	het	2	2	mouse
Map3k14	4idt	A	X	hom	1	2	mouse
Tff2	1pos	A	X	mon	1	1	mouse
Hist1h4j	4zux	B	X	het	9	36	mouse
Btbd1	3no8	A	X	mon	1	1	mouse
Incenp	4af3	D	U	het	2	2	mouse
Zfp346	2mkd	A	X	mon	1	1	mouse
Nhp2l1	3siv	A	N	het	2	4	mouse
Stard13	3kuq	A	X	mon	1	1	mouse
Crem	1kdx	B	X	het	2	2	mouse
Cry2	4i6j	A	X	het	3	3	mouse
Cox6b1	2y69	H	N	het	13	13	mouse
Runx3	1io4	C	X	het	3	4	mouse
Rgl2	5cm8	A	X	het	2	2	mouse
Pias3	1v66	A	X	mon	1	1	mouse
Stx2	1hvv	A	X	hom	1	4	mouse
Rps29	4v6x	Ad	X	het	82	84	mouse
Abcb1a	4ksd	A	X	het	2	2	mouse
Myo5c	4l8t	A	X	mon	1	1	mouse
Rps6ka2	4nif	A	X	het	2	4	mouse
Adra2b	1hod	A	X	mon	1	1	mouse
Cyb5r3	1qx4	A	E	hom	1	2	mouse
