Gene	Class	PDB chain	Normalised assembly order	Seqid
Cox4i1	N	2ybb_O	0.111111	85.71
Uqcrc2	N	1sqb_B	0.050000	84.77
Mrpl39	N	4v1a_c	0.261905	84.73
Atp5j	N	4b2q_V	0.333333	83.33
Exosc3	N	2nn6_G	0.875000	83.04
Uqcrq	N	4d6t_G	0.250000	81.71
Mrpl49	N	4v1a_l	0.738095	80.72
Atp5o	N	5ara_S	1.000000	80.53
Eif3f	N	5a5t_F	0.357143	76.10
Psmc5	N	5a5b_J	0.338235	73.58
Plau	N	2fd6_A	0.166667	72.13
Mcm2	N	5bnx_C	0.666667	71.43
Actb	U	5afu_H	0.525000	100.00
Dctn2	U	5afu_d	0.850000	100.00
Psma3	U	3unb_F	0.500000	100.00
Psma7	U	3une_C	0.692308	100.00
Psma1	U	3unb_E	0.692308	100.00
Psmb1	U	3unf_L	0.461538	100.00
Psmb10	U	3unf_H	0.153846	100.00
Psmb2	U	3unb_J	0.961538	100.00
Eif3e	U	5a5t_E	1.000000	100.00
Copb2	U	5a1v_D	0.071429	100.00
Actr2	U	4jd2_B	0.428571	100.00
Arcn1	U	5a1y_H	0.571429	100.00
Snrpd2	U	4v98_AB	0.285714	100.00
Snrpg	U	4v98_A4	1.000000	100.00
Polr2a	U	4gwq_H	1.000000	100.00
Ap2b1	U	2xa7_B	0.625000	100.00
Ppp2r1a	U	3fga_A	0.125000	100.00
Ap2m1	U	2jkr_M	0.125000	100.00
Cul1	U	1ldk_B	0.125000	100.00
Tuba1b	U	4i4t_A	0.333333	100.00
Tubb2b	U	4o4i_B	0.666667	100.00
Gnb1	U	3ah8_B	0.166667	100.00
Ppp3r1	U	1mf8_B	0.166667	100.00
Sec22b	U	3egd_C	0.666667	100.00
Tceb2	U	4jgh_B	0.166667	100.00
Tceb1	U	4wqo_C	0.166667	100.00
Sumo2	U	3uio_B	0.666667	100.00
H3f3a	U	5bnx_A	0.166667	100.00
Cks1b	U	2ast_C	0.666667	100.00
Sec61a1	U	4cg6_A	0.166667	99.79
Ppp2r2a	U	3dw8_B	0.166667	99.78
Tubb2a	U	4hna_B	0.166667	99.78
Actr3	U	4jd2_A	0.285714	99.76
Actr1a	U	5afu_A	0.650000	99.73
Actg1	U	5afu_H	0.525000	99.73
Ap2a2	U	2jkr_A	0.500000	99.68
Arpc2	U	4jd2_D	0.071429	99.00
Mtor	U	5flc_B	0.100000	98.97
Sec23a	U	3egd_A	0.166667	98.95
Ap1b1	U	4hmy_B	0.625000	98.81
Napa	U	3j96_G	1.000000	98.65
Cops3	U	4d18_C	0.714286	98.59
Cops4	U	4d18_D	0.285714	98.54
Nsf	U	3j96_A	0.000000	98.53
Cdk9	U	4or5_A	1.000000	98.47
Fzr1	U	4ui9_R	0.352941	98.38
Cops5	U	4d18_E	0.071429	98.17
Arpc3	U	3rse_E	0.857143	97.75
Cct2	U	4b2t_B	1.000000	97.38
Cops7a	U	4d18_G	0.857143	97.30
Gps1	U	4d18_A	0.571429	97.08
Copa	U	5a1y_C	0.071429	96.99
Uqcrfs1	U	2ybb_E	0.805556	96.94
Sec13	U	5a9q_6	0.277778	96.89
Cdc27	U	5a31_F	0.058824	96.84
Ccnt1	U	4ogr_B	0.166667	96.59
Actr10	U	5afu_J	0.525000	96.57
Cct4	U	4b2t_D	0.571429	95.94
Cct8	U	4b2t_Q	0.571429	95.62
Tcp1	U	4b2t_A	0.000000	95.50
Arf1	U	4hmy_C	1.000000	95.35
Sdhb	U	3abv_B	0.166667	95.24
Cul4a	U	2hye_C	0.166667	95.13
Nup155	U	5a9q_A	0.666667	94.90
Gnaq	U	2bcj_Q	1.000000	94.90
Anapc2	U	4ui9_N	0.705882	93.92
Stx8	U	1gl2_D	0.666667	93.85
Actbl2	U	5afu_H	0.525000	93.51
Stx17	U	4wy4_B	0.166667	93.10
Stx12	U	2nps_B	0.166667	92.96
Eif3a	U	5a5t_A	0.571429	92.80
Itgav	U	4o02_A	0.166667	92.72
Skp2	U	1ldk_E	0.625000	92.68
Anapc5	U	4ui9_O	0.205882	92.06
Ap2a1	U	2xa7_A	0.125000	91.47
Nup107	U	5a9q_4	0.000000	91.35
Nup37	U	5a9q_2	0.555556	91.10
Uqcr11	U	1sqp_K	0.900000	91.07
Stx7	U	1gl2_B	0.166667	90.77
Uqcr10	U	4d6t_J	0.875000	90.62
Nup160	U	5a9q_1	0.444444	90.53
Gnb2	U	3ah8_B	0.166667	90.29
Ap1s1	U	4p6z_S	0.100000	89.24
Exosc5	U	2nn6_D	0.312500	88.61
Cox5b	U	2ybb_Q	0.083333	87.76
Dctn6	U	5afu_U	0.900000	87.50
Abi1	U	3p8c_F	0.750000	86.79
Capza2	U	5afu_K	0.425000	86.18
Mrpl43	U	4v1a_g	0.833333	86.16
Ppp2r1b	U	2nyl_A	0.166667	86.08
Gna11	U	2bcj_Q	1.000000	85.27
Sec23b	U	3egd_A	0.166667	84.95
Cul2	U	4wqo_D	0.666667	84.41
Nup133	U	5a9q_3	0.111111	83.22
Tpm2	U	2w49_A	0.750000	82.67
Ranbp2	U	3uin_D	0.166667	82.61
Cul4b	U	2hye_C	0.166667	81.69
Arf4	U	4hmy_C	1.000000	79.07
Mrpl48	U	4v1a_k	0.523810	78.77
Mrps18a	U	4v1a_x	0.166667	78.06
Atp6v1b2	U	3j9t_B	0.500000	73.89
Sec24b	U	3egd_B	0.166667	73.80
Ppp2r5e	U	2nyl_B	0.666667	72.94
Psmb7	E	3unb_H	0.192308	100.00
Psmb8	E	3unf_K	0.923077	100.00
Cope	E	5a1v_Q	1.000000	100.00
Snrpe	E	4v98_AC	0.571429	100.00
Ube2i	E	3uip_A	0.166667	100.00
Hist1h3b	E	1hq3_C	0.500000	100.00
Sumo1	E	3uip_B	0.666667	100.00
Ncoa1	E	1rdt_B	0.666667	100.00
Arpc5	E	4jd2_G	0.571429	99.34
Ap1g1	E	1w63_A	0.166667	99.19
Asf1b	E	5bnx_D	1.000000	96.84
Capza1	E	5afu_K	0.425000	96.73
Atg5	E	4naw_B	0.166667	96.73
Seh1l	E	5a9q_7	0.833333	96.11
Ppia	E	1m63_C	0.833333	95.76
Nup43	E	5a9q_0	1.000000	93.68
Cops8	E	4d18_H	1.000000	93.43
Uqcrh	E	1bcc_H	1.000000	92.31
Snap29	E	4wy4_D	0.666667	92.31
Gemin2	E	3s6n_2	0.083333	90.71
Ppp2r5d	E	2nyl_B	0.666667	90.21
Ube2c	E	5a31_Q	0.882353	87.65
Gmfb	E	4jd2_H	0.857143	80.28
Arf5	E	4hmy_C	1.000000	79.07
