Gene	Class	PDB chain	Interface size	Seqid	Unique subunits
Eif3m	N	5a5t_M	3589.5	99.47	8
Rpl17	N	5a8l_D	713	99.46	5
Ilf2	N	4at7_A	2260.5	99.45	2
Parn	N	3d45_A	1591.6	99.41	1
Uxs1	N	4gll_A	2039	99.41	1
Ddb1	N	2hye_A	3486.3	99.39	4
Nckap1	N	4n78_B	9545.5	99.38	6
Prpf8	N	3lru_A	3298.5	99.38	1
Copz1	N	3tjz_C	2021.4	99.35	3
Prkag1	N	4rew_G	3108.6	99.34	3
Cwc22	N	4c9b_B	1832	99.31	2
Eif4a3	N	2j0s_A	4205.2	99.27	4
Rps3a1	N	4d5l_B	2996.3	99.24	33
Pspc1	N	3sde_A	4814.8	99.23	2
Atp5b	N	1mab_B	6445	99.16	3
Cndp2	N	2zof_A	3802.2	99.16	1
Gtf2f2	N	1f3u_A	2337.9	99.15	2
Uba3	N	3gzn_B	4891.6	99.14	3
Cops2	N	4d18_B	3367.5	99.11	8
Map4k4	N	4rvt_A	1770.6	99.09	1
Cyfip1	N	4n78_A	13228.7	99.04	6
Rps5	N	4kzy_F	4357.9	99.02	35
Srp68	N	4ue5_C	884.5	98.97	6
Papss1	N	2pey_A	1286.9	98.88	1
Vim	N	3swk_A	2201.8	98.84	1
Glud1	N	1l1f_A	5037.8	98.81	1
Rps10	N	4kzy_K	1977.1	98.79	35
Cks2	N	1cks_A	3778.7	98.73	1
Ints3	N	4owt_A	2064.4	98.71	3
Eif3k	N	5a5t_K	2591.5	98.62	8
Pdcd10	N	3rqf_A	3076.2	98.60	2
Gtf2f1	N	2k7l_A	489.8	98.51	2
Rps4x	N	4kzy_E	5067.9	98.48	35
Hist1h2ah	N	2cv5_C	4664.8	98.46	4
Nhp2l1	N	3siv_A	1140.1	98.46	2
Vamp8	N	4wy4_A	2775.3	98.44	4
Ywhab	N	4dnk_A	1495.7	98.38	1
Eif3l	N	5a5t_L	4071.6	98.23	8
Gnai3	N	4g5r_A	1462	98.18	2
Cdc16	N	3hym_B	1409.8	98.18	2
Polr2e	N	5flm_E	2662.8	98.10	12
Nnt	N	1djl_A	600.3	98.07	1
Copg1	N	3tjz_B	2852.9	98.03	3
Ncbp1	N	3fey_A	2918.2	97.97	3
Pfkm	N	4omt_A	763.9	97.82	1
Pdha1	N	1ni4_A	4326.5	97.81	2
Rrm1	N	3hnd_A	2167.1	97.60	1
Mcl1	N	2jm6_B	1019.5	97.53	2
Eif3b	N	2krb_A	523.2	97.53	2
Cct3	N	4b2t_G	3006.4	97.43	8
Cyc1	N	4d6t_D	5406.3	97.36	9
Anapc7	N	4ui9_X	4608.3	97.35	18
Atp1a1	N	3wgu_A	5378.8	97.24	3
Pcna	N	4ztd_A	2161.9	97.23	3
Sbds	N	5anb_J	4612.2	97.20	11
Eif3h	N	5a5t_H	6403.2	97.16	8
Rpl8	N	4ccn_C	804.6	97.14	2
Cycs	N	3j2t_H	1548.3	97.12	2
Psmb6	N	4r3o_H	4018.7	97.03	14
Pgam5	N	3o0t_A	1649.3	97.03	1
Sars	N	4l87_A	3380	96.85	1
Eif3c	N	5a5t_C	5461	96.80	8
Gfer	N	1oqc_A	1994.6	96.80	1
Sdha	N	1zoy_A	3105.3	96.78	4
Hprt	N	1bzy_A	2897.7	96.77	1
Cyth2	N	1s9d_E	1309.6	96.55	2
Psmb5	N	4r3o_L	3269.9	96.52	14
Cct7	N	4b2t_H	3556	96.32	8
Vps33a	N	4bx9_A	1049	96.20	2
Aldh2	N	1cw3_A	5520.8	96.15	1
Cops6	N	4d18_F	9752.7	96.07	8
Acox1	N	1is2_A	5494.3	96.07	1
Srp14	N	4ue5_B	928.3	96.00	6
Pbrm1	N	2ktb_B	344.3	95.87	2
Col1a1	N	3ejh_E	593.7	95.65	2
Cct5	N	4b2t_E	3330.7	95.56	8
Arpc1b	N	3rse_C	1866.3	95.43	8
Capns1	N	1nx0_A	2988.8	95.38	3
Dld	N	1zy8_A	4655.1	95.36	2
Rps21	N	4d5l_V	3188.4	95.18	33
Smc4	N	3l51_B	879.7	95.18	2
Rps19	N	4d5l_T	3634.4	95.17	33
Pdhb	N	3exe_B	5769.2	95.14	2
Tkt	N	3mos_A	4686.5	94.97	1
Pdgfrb	N	2l6w_A	613	94.87	1
Epha2	N	3hei_A	1053.2	94.83	2
Eno1b	N	2psn_A	2032.3	94.70	1
Capn1	N	1tl9_A	348.1	94.69	2
Xdh	N	4yrw_A	3424	94.60	1
Khdrbs1	N	3qhe_B	986.8	94.55	2
Exosc4	N	2nn6_B	3311	94.38	9
Zmynd11	N	5hda_A	2779.7	94.35	2
Snrpa	N	4c4w_A	1392.5	94.12	2
Nup35	N	4lir_A	610	94.02	1
Maoa	N	1o5w_A	2848.4	94.01	1
Suclg1	N	2fp4_A	2045	93.77	2
Myl12a	N	3j04_B	1846.8	93.71	3
Top2b	N	3qx3_A	3580.6	93.65	1
Dhx9	N	3llm_A	972	93.62	1
Tubg1	N	3cb2_A	1742.4	93.47	1
Prpf40a	N	2dyf_A	259	93.33	2
Oxct1	N	1ooz_A	3209.7	93.26	1
Srp9	N	4ue5_E	1209.7	93.24	6
Atp5d	N	2xnd_H	2661.5	93.13	6
Adh5	N	1mc5_A	2399.6	93.05	1
Srpr	N	2go5_1	1220.2	92.97	7
Blmh	N	1cb5_A	5513.7	92.94	1
Hibadh	N	2gf2_A	2463.8	92.91	1
Glyr1	N	2uyy_A	3812.7	92.72	1
Sympk	N	3o2q_A	1133.1	92.59	3
Farsa	N	3l4g_A	6221.1	92.52	2
Ctsb	N	1cte_A	799.7	92.52	1
Msh2	N	3thw_A	4921.8	92.51	2
Mrpl11	N	4v19_K	1700.7	92.19	28
Etfb	N	1t9g_S	2919.1	92.16	3
Mrpl13	N	4ce4_N	3161.5	92.13	35
Anapc1	N	4ui9_A	11825	92.08	18
Rpa1	N	1fgu_A	469.7	92.06	1
Smarca5	N	2nog_A	688.2	91.91	1
Gnas	N	1u0h_C	1219.1	91.88	3
Cox6b1	N	2y69_H	1334.1	91.86	13
Fh1	N	3e04_A	7143.2	91.84	1
Fth1	N	4oyn_A	4555.2	91.80	1
Prim2	N	3l9q_A	2282.1	91.79	1
Cat	N	3re8_A	11031.4	91.78	1
Sec24d	N	3efo_B	1122.7	91.56	3
Itga5	N	4wk4_A	2746.3	91.56	3
Pnpt1	N	3u1k_A	4413.7	91.43	1
Mrpl15	N	4v19_P	6978.9	91.22	28
Parvb	N	4edn_A	441.7	90.98	2
Ctsd	N	1lyb_A	3916	90.72	3
Suclg2	N	4xx0_B	2409.6	90.63	2
Hk1	N	4foe_A	2387	90.62	1
Me2	N	1gz4_A	4424.6	90.56	1
Prim1	N	4rr2_A	814.4	90.48	2
Ctsa	N	4az3_B	4395	90.32	2
Dhfr	N	1dhf_A	888.2	89.78	1
Mrps16	N	5aj3_P	4759.5	89.63	33
Tpst2	N	3ap2_A	2424	89.61	2
Cyp51	N	3juv_A	1015.6	89.59	1
Ptgs1	N	1q4g_A	4961.2	89.51	1
Rpl27a	N	4bxf_C	848.5	89.47	2
Exosc2	N	2nn6_H	2257.3	89.29	9
Adh7	N	1agn_A	2254.8	89.01	1
Eri1	N	1zbh_A	2846.3	88.96	1
Wdr77	N	4gqb_B	2070.7	88.95	3
Msh6	N	2o8e_B	4436.8	88.65	2
Cisd1	N	2qh7_A	1905.9	88.16	1
Rps27l	N	4kzy_b	2696.2	88.10	35
Set	N	2e50_A	2070.6	88.00	1
Mrps25	N	5aj3_c	4484.7	87.86	33
Xpo5	N	3a6p_A	3983	87.71	3
Uqcrc1	N	1be3_A	4948.5	87.67	11
Mrpl38	N	4ce4_b	785.4	87.63	35
Cpox	N	2aex_A	1430.8	87.28	1
Psat1	N	3e77_A	2264.1	87.27	1
Acadvl	N	3b96_A	5858.1	86.88	1
Atp5f1	N	4b2q_T	4989.7	86.82	10
Pitrm1	N	4nge_A	1245.6	86.69	3
Acat1	N	2ibu_A	3901.3	86.58	1
Fasn	N	4w9n_A	1388.6	85.84	1
Cox4i1	N	1occ_D	5489.1	85.71	13
Yars2	N	2pid_A	1744.5	85.67	1
Pygb	N	2gj4_A	3106.8	85.32	1
Atox1	N	2k1r_B	554.7	85.29	2
Copg2	N	3tjz_B	2852.9	85.07	3
Renbp	N	1fp3_A	1075.6	84.83	1
Uqcrc2	N	1sqb_B	5454.3	84.77	11
Bcat1	N	2abj_A	2773.6	84.70	1
Pola1	N	4y97_B	1801	84.44	2
Sgpl1	N	4q6r_A	7212.9	84.15	1
Mrpl3	N	4v19_E	7432.3	83.62	28
Atp5j	N	4b2q_V	2351.8	83.33	10
Pola2	N	4y97_A	1653.9	83.28	2
Incenp	N	4af3_D	1602.8	83.10	2
Exosc3	N	2nn6_G	2130.4	83.04	9
Acaa1a	N	2iik_A	2565.5	82.78	1
Uqcrq	N	4d6t_G	4068	81.71	9
Mrpl22	N	4v19_W	3873.1	81.43	28
Mrpl49	N	4ce4_l	1245.6	80.72	35
Dpf2	N	2kwj_A	791.9	80.70	2
Gm10250	N	2cly_B	3113.3	80.62	3
Atp5o	N	5ara_S	364	80.53	11
Cd81	N	1iv5_A	921.6	80.00	1
Psap	N	2rb3_A	639.2	80.00	1
Rpl23	N	2x7n_C	1311.4	79.55	3
Mrpl39	N	4ce4_c	1525	79.07	35
Stag1	N	4pjw_A	3375.7	78.90	2
Tfrc	N	1de4_C	4108.4	77.97	3
Psmc2	N	3vlf_B	978.3	77.27	2
Dap3	N	5aj3_g	3678.6	76.83	33
Sept8	N	2qag_B	1690.9	76.81	3
Aldh1l2	N	2o2p_A	5150.7	76.79	1
Mrps9	N	3j6v_I	5800.7	76.77	15
Eif3f	N	5a5t_F	8301.4	76.10	8
Mrps11	N	3j6v_K	4426.1	75.63	15
Csnk1a1	N	4tw9_A	1502.3	75.25	1
Rpl36al	N	3j0l_F	469.6	74.74	8
Uhrf1	N	2lgg_A	749.4	73.91	2
Mcm3ap	N	4dhx_A	2981.8	73.33	2
Psmd14	N	4ocl_B	2492.3	73.18	3
Rpl30	N	1ysh_C	1031	73.08	3
Vcam1	N	1vsc_A	781.6	72.96	1
Gsto1	N	1eem_A	1341.9	72.20	1
Mcm2	N	5bnx_C	2053.7	71.43	4
Gnb2l1	U	4kzy_g	1445.8	100.00	35
Rps18	U	4kzy_S	4048.5	100.00	35
Rps12	U	4kzy_M	1125.4	100.00	35
Eif1ax	U	4kzy_n	1025.7	100.00	35
Rps24	U	4d5l_Y	3180.5	100.00	33
Psma3	U	3unb_F	3735.2	100.00	14
Psma7	U	3une_C	3941.5	100.00	14
Psma1	U	3unb_E	3685.8	100.00	14
Psmb1	U	3unf_L	4173.9	100.00	14
Psmb10	U	3unf_H	5238.4	100.00	14
Psmb2	U	3unb_J	3604	100.00	14
Snrpd2	U	4pjo_D	3521.1	100.00	9
Snrpb	U	4pjo_B	2258.3	100.00	9
Snrpg	U	4pjo_G	2188.6	100.00	9
Snrpc	U	4pjo_L	1659.2	100.00	9
Eif3e	U	5a5t_E	3330.6	100.00	8
Actr2	U	4jd2_B	3602.2	100.00	8
Polr2a	U	4gwq_H	748.9	100.00	8
Srp54b	U	2go5_W	724.9	100.00	7
Ap2b1	U	2xa7_B	6115.5	100.00	5
Ppp2r1a	U	3fga_A	2769.2	100.00	5
Ap2m1	U	2jkr_M	5671.6	100.00	5
Cul1	U	1ldk_B	3173.1	100.00	5
Tuba1b	U	4i4t_A	4792.4	100.00	4
Tubb2b	U	4o4i_B	4162.4	100.00	4
Gnb1	U	3ah8_B	3010	100.00	4
Ppp3r1	U	1mf8_B	2075.6	100.00	4
Magoh	U	2hyi_A	2990.4	100.00	4
Sec22b	U	3egd_C	1153	100.00	4
Tceb2	U	4jgh_B	1324.4	100.00	4
Tceb1	U	4wqo_C	2910	100.00	4
Sumo2	U	3uio_B	1167.2	100.00	4
H3f3a	U	5bnx_A	3653.3	100.00	4
Cks1b	U	2ast_C	1284.9	100.00	4
Tuba1a	U	4x1i_A	3123.9	100.00	3
Prkar2a	U	3j4r_B	2659.4	100.00	3
Gnaq	U	4gnk_A	1857.5	100.00	3
Anxa2	U	4hre_A	1192.6	100.00	3
Rnaseh2a	U	3p5j_A	2230.9	100.00	3
Ran	U	4hat_A	4492.9	100.00	3
Rab1	U	4fmc_B	1676.5	100.00	3
Rap1b	U	4hdq_B	1161.8	100.00	3
Ube2n	U	4dhj_C	775.3	100.00	3
Calm3	U	4jpz_C	1676.5	100.00	3
Tpm1	U	4a7f_B	3751.3	100.00	3
Runx1	U	1io4_C	1894.4	100.00	3
Nfkb1	U	1ikn_C	1375.5	100.00	3
Mtpn	U	2kxp_C	679.9	100.00	3
Rnaseh2c	U	3p5j_C	3756.8	100.00	3
Psip1	U	3u88_C	1119	100.00	3
Nfyc	U	4awl_C	3049.3	100.00	3
Kdm2a	U	4qwn_B	2037.5	100.00	3
Jun	U	1s9k_E	1867	100.00	3
Creb1	U	2lxt_C	629.9	100.00	3
Dync1i2	U	2pg1_I	1912.2	100.00	3
Lrrc16a	U	3aa0_C	1493.8	100.00	3
Ube2m	U	1tt5_E	842.5	100.00	3
Tubb5	U	3qo0_C	266.2	100.00	3
Kpnb1	U	1ukl_A	1292.7	100.00	2
Vcp	U	5c1b_A	8302.7	100.00	2
Plxna1	U	3ryt_A	543.4	100.00	2
Gm10184	U	3knd_A	1310.1	100.00	2
Rbbp4	U	4pc0_A	984.8	100.00	2
Pnkp	U	1yj5_A	1162.6	100.00	2
Actb	U	3byh_A	3280.9	100.00	2
Eed	U	3k26_A	215.6	100.00	2
Mapk1	U	3o71_A	584.2	100.00	2
Flrt2	U	4v2c_A	661.9	100.00	2
Kcnab2	U	3lut_A	2650	100.00	2
Prmt1	U	1or8_A	1449.7	100.00	2
Xxylt1	U	4wm0_A	728.9	100.00	2
Keap1	U	1x2r_A	964.5	100.00	2
Tln1	U	4w8p_A	749.3	100.00	2
Mlkl	U	4m69_B	1320.5	100.00	2
Upf2	U	1uw4_B	1024.8	100.00	2
Plaur	U	3laq_U	1657.5	100.00	2
Ywhae	U	3ual_A	1763.2	100.00	2
Cnot1	U	4ct6_A	1640	100.00	2
Ctnna1	U	1dow_A	1259.2	100.00	2
Smc3	U	2wd5_B	1580.6	100.00	2
Eif4e	U	1ej4_A	867.9	100.00	2
Ist1	U	3jc1_Aa	2193.1	100.00	2
Arf1	U	1r8q_A	1890.8	100.00	2
Mob1a	U	4jiz_A	462.4	100.00	2
Ppic	U	2rmc_A	450.7	100.00	2
Rac1	U	1foe_B	1654.9	100.00	2
Rnd3	U	2v55_B	1059.2	100.00	2
Ilk	U	2kbx_A	662.9	100.00	2
Rab7	U	1vg9_B	1460.2	100.00	2
Arl1	U	1r4a_A	1077.4	100.00	2
Prkar1a	U	3pvb_B	1736.9	100.00	2
Smc2	U	3l51_A	1081.4	100.00	2
Lamc1	U	1npe_B	912.2	100.00	2
Clint1	U	2v8s_E	944.1	100.00	2
Nedd4	U	3m7f_B	986.2	100.00	2
Parva	U	2k2r_A	342.9	100.00	2
Pfn2	U	2v8f_A	904.1	100.00	2
Xpo1	U	2l1l_B	785.5	100.00	2
Brd2	U	2dvq_A	1707.2	100.00	2
Sf3b6	U	2f9d_A	1244.7	100.00	2
Gabpa	U	1awc_A	1531.4	100.00	2
U2af2	U	1o0p_A	681.8	100.00	2
Mtor	U	1fap_B	714.4	100.00	2
Rnf2	U	2h0d_B	2295.6	100.00	2
Ep300	U	1l3e_B	1523	100.00	2
Srsf1	U	4c0o_C	2159.6	100.00	2
Sin3a	U	1g1e_B	684.2	100.00	2
Eny2	U	4dhx_B	1420.2	100.00	2
Dynll1	U	1f95_A	1423.8	100.00	2
Sumo3	U	2ckh_B	1171	100.00	2
Lrp1	U	2fyl_B	862	100.00	2
Nploc4	U	2pjh_A	1001.9	100.00	2
Dlg1	U	2i0i_A	314.1	100.00	2
Mllt3	U	2mv7_A	771.9	100.00	2
Pak1	U	1f3m_A	2769.7	100.00	2
Timm10	U	2bsk_B	2365.8	100.00	2
Btf3	U	3lkx_A	1153.1	100.00	2
Meis1	U	4xrs_A	556.2	100.00	2
Cask	U	1zl8_B	1049.3	100.00	2
Cbx3	U	3dm1_A	525.8	100.00	2
Naca	U	3mcb_A	1145.2	100.00	2
Nup98	U	3mmy_B	1477.3	100.00	2
Nup50	U	2c1m_B	2380.2	100.00	2
Sf3b1	U	2f9d_P	1404.6	100.00	2
Yap1	U	3jua_B	1358.2	100.00	2
Nedd4l	U	2lb2_A	540.8	100.00	2
Nup153	U	3ch5_B	882.2	100.00	2
Pin1	U	2n1o_A	315.8	100.00	2
Ezh2	U	2qxv_B	1601.9	100.00	2
Baiap2	U	4js0_B	1269.6	100.00	2
Actn1	U	1ydi_B	1306.9	100.00	2
Actn4	U	1ydi_B	1306.9	100.00	2
Ppp3ca	U	2jzi_B	1362.4	100.00	2
Bak1	U	2voh_B	1032.5	100.00	2
Mta1	U	4pbz_B	948.4	100.00	2
Fus	U	4fdd_B	1452.6	100.00	2
Ncor1	U	3n00_B	1345.4	100.00	2
Hnrnpa1	U	2h4m_C	1963.8	100.00	2
Eif4g1	U	1lj2_C	943.4	100.00	2
Kmt2a	U	2msr_A	330.1	100.00	2
Diap3	U	2f31_B	807.7	100.00	2
Sart1	U	4pyu_C	540.8	100.00	2
Ncor2	U	1kkq_E	996.1	100.00	2
Hgs	U	2d3g_P	1032.8	100.00	2
Pogz	U	2n3a_A	444.2	100.00	2
Itch	U	2p4r_T	700	100.00	2
Syne2	U	4fi9_B	1005.9	100.00	2
Rbm39	U	4oo6_B	682.8	100.00	2
Sri	U	4usl_D	473.7	100.00	2
Nampt	U	2gvl_A	4156.8	100.00	1
Sepsecs	U	3bcb_A	4960	100.00	1
Ccbl2	U	2zjg_A	3054	100.00	1
Got2	U	3hlm_A	3393.4	100.00	1
Carm1	U	2y1w_A	2583.1	100.00	1
Cstf3	U	2ond_A	2737.8	100.00	1
Csnk1d	U	1ckj_A	1100.1	100.00	1
Pacsin2	U	3lll_A	4604.2	100.00	1
Nit2	U	2w1v_A	2090.9	100.00	1
Picalm	U	1hf8_A	1009.9	100.00	1
Cops5	U	4f7o_A	1157.6	100.00	1
Gstp1	U	1glp_A	1561.6	100.00	1
Sept7	U	3tw4_A	869	100.00	1
Pdcd6	U	1hqv_A	1248.5	100.00	1
Glo1	U	2za0_A	3873.1	100.00	1
Ptp4a1	U	1zck_A	1307.8	100.00	1
Acot7	U	2q2b_A	1541.8	100.00	1
Twf1	U	1m4j_A	556.8	100.00	1
Pih1d1	U	4cv4_A	1210.6	100.00	1
Brd4	U	2dww_A	716.3	100.00	1
Stom	U	4fvf_A	794.1	100.00	1
Sptbn1	U	1btn_A	781.1	100.00	1
Nfkb2	U	3jv5_A	711.6	100.00	1
Hdgf	U	2nlu_A	2579.1	100.00	1
Erh	U	2nml_A	718.3	100.00	1
Cxcl12	U	3gv3_A	866.9	100.00	1
Eps8	U	1aoj_A	1976.8	100.00	1
Trim28	U	2yvr_A	574.6	100.00	1
Jup	U	3ifq_A	4684.1	99.82	2
Sema3a	U	1q47_A	1613.5	99.80	1
Cltc	U	1bpo_A	1752.9	99.80	1
Sec61a1	U	2wwb_A	3698.6	99.79	11
Shmt1	U	1eji_A	6296.7	99.79	1
Ppp2r2a	U	3dw8_B	2045.8	99.78	4
Tubb2a	U	4hna_B	2871.6	99.78	4
Rnh1	U	3tsr_E	1559.2	99.78	2
Ruvbl1	U	2c9o_A	3821.9	99.78	1
Fancd2	U	3s4w_B	3406.5	99.77	2
Actr3	U	4jd2_A	4156.3	99.76	8
Idh1	U	2cmj_A	4357.3	99.76	1
Eif4a1	U	2zu6_A	1968.4	99.74	2
Arntl	U	4f3l_B	4854.1	99.74	2
Arnt	U	4zpk_A	4816.3	99.74	2
Hdac3	U	4a69_A	1473.5	99.73	2
Actg1	U	3b63_L	3238.5	99.73	2
Usp7	U	1nbf_A	1685.1	99.72	2
Kif5b	U	4atx_C	489.6	99.71	3
Gm10031	U	4ib5_A	997.5	99.70	2
Gna13	U	3cx7_A	1664.5	99.70	2
Ppp1ca	U	1fjm_A	656.5	99.70	2
Tbk1	U	4jl9_A	2957.6	99.70	1
Ap2a2	U	2jkr_A	6217	99.68	5
Tnpo1	U	4fq3_A	1107.6	99.66	2
Msn	U	1sgh_A	486.1	99.66	2
Ccnk	U	5efq_B	1015.1	99.63	2
Nono	U	3sde_B	4786.8	99.62	2
Spr	U	1sep_A	2587.1	99.62	1
Snrnp200	U	4kit_B	3040.5	99.60	2
Ctnna2	U	4ons_A	2128.6	99.60	2
Ywhaz	U	1qjb_A	1497.7	99.59	2
Hsp90aa1	U	2vci_A	1247.8	99.58	1
Tmpo	U	2v0x_A	4504.8	99.57	1
Pafah1b2	U	1vyh_A	1891.9	99.56	2
Fanci	U	3s4w_A	3344.4	99.54	2
Qk	U	4jvh_A	1453.1	99.52	1
Ube2k	U	3k9o_A	438.3	99.50	2
Stag2	U	4pjw_A	3375.7	99.49	2
Ilf3	U	4at7_B	1948.2	99.48	2
Acta2	U	3w3d_A	1317.5	99.47	2
Rhoa	U	1cc0_A	1043.4	99.47	2
Rab6a	U	3cwz_A	1014.7	99.47	2
Psmd7	U	2o95_A	3018.5	99.47	1
Cacnb3	U	1vyt_A	754.7	99.43	2
Rab5a	U	4q9u_B	1154.8	99.42	3
Cdk13	U	5efq_A	1351.6	99.42	2
Spen	U	2rt5_A	549.5	99.41	2
Rpl12	U	5a8l_G	1545.3	99.39	5
Skp1a	U	4i6j_C	1601.8	99.39	3
Orc1	U	4dow_A	646	99.39	2
Upf1	U	2wjv_A	2457.5	99.38	2
Hdac1	U	4bkx_B	2850.4	99.38	2
Dab2	U	1m7e_A	620.9	99.38	2
Plxnb2	U	5e6p_A	812	99.36	2
Rdx	U	3x23_A	647	99.36	2
Ripk3	U	4m69_A	1646.8	99.36	2
Tnpo3	U	4ol0_B	1920.3	99.35	2
Oxsr1	U	2vwi_A	1137.4	99.34	1
Rpsa	U	4kzy_A	3123.5	99.32	35
Cdk5	U	1unl_A	1811.6	99.32	2
Ahcyl1	U	3mtg_A	4544.8	99.32	1
Tlr2	U	5d3i_A	1696.9	99.30	2
Kpna4	U	4uae_A	1737.6	99.29	2
Rad21	U	4pjw_B	3837	99.29	2
Rbbp7	U	3cfs_B	629	99.28	2
Pik3r1	U	4ovu_B	3622.9	99.28	2
Rtf1	U	3u1u_A	703.5	99.27	1
Rprd1b	U	4fu3_A	2656.5	99.26	1
Usp5	U	2g45_A	467	99.22	2
Hist1h2bg	U	2cv5_D	4038.9	99.21	4
Ddx6	U	5anr_B	1959.7	99.21	3
H2afy	U	2f8n_G	4569	99.17	6
Itsn1	U	3qbv_B	1041.6	99.15	2
Usp4	U	3jyu_A	1225.8	99.13	1
Rae1	U	4owr_A	2386.5	99.12	3
Otub1	U	3von_A	728.5	99.12	3
Cab39	U	3gni_A	1987.1	99.12	2
Plec	U	4q58_A	695.3	99.12	2
Ppp1cb	U	1s70_A	2683.5	99.09	2
Tead1	U	3kys_A	1776.3	99.09	2
Ddx39b	U	1t6n_A	859.6	99.09	1
Srprb	U	2go5_2	1037.6	99.07	7
Src	U	1hcs_B	410.2	99.07	2
2210018M11Rik	U	1utu_A	1228	99.07	1
Alyref	U	3ulh_A	1106.9	99.07	1
Gls	U	3voy_A	1958.1	99.05	1
Trio	U	2nz8_B	1255.7	99.04	2
U2af1	U	1jmt_A	873.5	99.04	2
Arpc2	U	4jd2_D	3800.6	99.00	8
Rab11b	U	4ojk_A	1215.4	99.00	2
Exoc2	U	1uad_C	525.2	98.99	2
Sephs1	U	3fd6_A	2832.3	98.98	1
Chp1	U	2e30_A	1400.1	98.97	2
Kpna6	U	4uad_A	1597.5	98.96	2
Sec23a	U	3egd_A	1322.5	98.95	4
Nfkbib	U	1oy3_D	1587.5	98.94	2
Hdgfrp2	U	3qby_A	857.3	98.94	2
Dctn1	U	1txq_A	1198.8	98.92	2
Tnk2	U	4ewh_A	596.5	98.91	1
Ube3a	U	1c4z_A	2988.7	98.88	2
Rab5b	U	2hei_A	1021.8	98.88	1
Pabpn1	U	3ucg_A	1117.1	98.88	1
Rnps1	U	4a8x_A	1157.1	98.86	3
Snrpa1	U	1a9n_A	963.9	98.86	2
Sfpq	U	4wii_A	5035.5	98.86	1
Ahcy	U	1k0u_A	5737.6	98.84	1
Atp5a1	U	2f43_A	5851.5	98.82	3
Sf3a1	U	2dt7_B	619.3	98.82	2
