human_entrez	mouse_entrez	mouse_uniprot
2549	14388	Q9QYY0
5423	18970	Q8K409
4659	17931	Q9DBR7
3024	80838	P43275
9643	56397	Q9R0Q4
9643	56397	
122704	68836	Q9D0Y8
122704	68836	
3910	16775	P97927
5578	18750	
83548	338337	
5082	67466	Q9DBX2
5082	67466	
160622	56149	Q9JJA9
320	319924	B2RUJ5
6206	20042	
84733	12416	P30658
10928	19765	Q62172
56655	66979	
56655	66979	Q9CQ36
1938	13629	P58252
10302	330959	
7027	21781	Q08639
3082	15234	Q08048
9555	26914	Q9QZQ8
3456	15977	P01575
58538	227157	Q6P7F1
58538	227157	
10558	268656	O35704
4700	67130	Q9CQZ5
219771	67974	Q8BGU5
3275	15468	
404672	66467	Q8K2X8
2588	50917	Q571E4
4739	18003	O35177
4739	18003	
22955	29871	Q8K214
22955	29871	
4643	71602	E9Q634
6637	NA	P62309
10273	56424	Q9WUD1
6606	20595	P97801
6606	20595	
554313	326620	P62806
554313	102641229	P62806
29979	56085	Q8R317
3977	16880	P42703
6602	83797	Q61466
26173	68510	
10226	66905	Q9DBG5
10884	59054	Q9D0G0
7465	22390	P47810
55140	74195	Q9CZX0
112936	69091	Q8C0E2
201595	68292	
5932	225182	Q80YR6
9441	70625	Q7TN02
57599	67561	Q8BH57
80351	74493	Q3UES3
80351	74493	
5934	19651	Q64700
2354	14282	P13346
10943	73390	
1965	13665	Q6ZWX6
8874	54126	
8874	54126	Q9ES28
258010	75744	Q3UZP4
22894	72662	Q9CSH3
6203	76846	Q6ZWN5
6203	76846	
9590	83397	Q9WTQ5
9113	16798	Q8BYR2
10632	27425	Q9CPQ8
51073	66163	Q9DCU6
79902	445007	Q8R480
79902	445007	
6837	20933	Q62276
6837	20933	
64218	20351	Q62178
64218	20351	
10556	54364	O88796
65078	65079	Q99PI8
7020	21418	
7249	22084	
29882	99152	Q8BZQ7
29882	99152	
2962	98053	Q3THK3
1387	12914	
7991	80286	Q8BTV1
7991	80286	
23368	21981	Q62415
23368	21981	
23517	72198	Q9CZU3
652	12159	P21275
11051	68219	Q9CQF3
4152	17190	
1266	71994	Q9DAW9
1266	71994	
29102	14000	Q5HZJ0
29102	14000	
977	12476	O35566
84811	215051	
84811	215051	Q8R149
3838	NA	P52293
9610	225870	Q921Q7
7043	21809	
2720	12091	P23780
64398	56217	Q9JLB2
5706	67089	P62334
10284	100041953	
128866	75608	Q9D8B3
3646	16341	P60229
5116	18541	
64105	60411	Q9ESN5
64105	60411	
3297	15499	P38532
283989	76265	Q8C2A2
283989	76265	
6205	27207	P62281
8676	74732	
28977	67270	Q9CPV3
6176	56040	P47955
3832	16551	Q6P9P6
6235	20090	P62274
5868	271457	Q9CQD1
5071	50873	Q9WVS6
5071	50873	
6314	246103	Q8R4I1
10059	74006	Q8K1M6
10059	74006	
84759	69837	
84759	69837	Q8R023
9837	69270	Q9CZ15
7334	93765	P61089
5700	19179	P62192
23428	50934	Q9QXW9
54815	234366	
54815	234366	Q8CHY6
9014	21340	P97358
1174	11769	P61967
1174	11769	
1431	12974	Q9CZU6
8454	26965	
8454	26965	Q9WTX6
3716	16451	
23521	22121	P19253
79019	66570	Q9CQA0
26993	54194	
54487	94223	Q9EQM6
988	71702	Q6A068
29074	67681	Q9CQL5
56254	109331	Q5DTM8
56254	109331	
55802	75901	Q91YD3
256297	19213	Q9QX98
23398	238831	Q8CEC6
143098	75739	
10239	11778	Q8BSZ2
10239	11778	
5568	18747	P05132
1793	330662	Q8BUR4
5591	19090	P97313
10673	24099	Q9WU72
23207	69582	
9652	218343	
9156	26909	Q9QZ11
9156	26909	
10891	19017	O70343
10891	19017	
5701	19181	
55829	109815	Q9BCZ4
55829	109815	
23389	76199	
5787	19263	B2RU80
25842	66403	Q9CQE6
4093	55994	Q9JIW5
26520	30056	Q9WV98
5584	18759	Q62074
5584	18759	
252969	382913	Q6R2P8
4296	26403	Q80XI6
5029	18442	
1060	12617	P49452
6202	20116	P62242
2972	72308	
3676	16401	
57804	69745	Q9CWP8
55839	72155	Q9CZW2
55729	54343	
55729	54343	Q7TT18
25	11350	P00520
25	11350	
602	12051	
602	12051	Q9Z2F6
23339	269338	Q8R5L3
84292	67836	Q9DAJ4
84292	67836	
3996	16897	
3996	16897	Q80Y17
84893	50755	Q8K2I9
84893	50755	
57122	103468	
57122	103468	Q8BH74
10267	51801	
10267	51801	Q9WTJ5
85406	74330	Q921R4
9804	67952	Q9DCC8
5427	18974	O54956
2963	68705	Q8R0A0
26277	28113	
3183	15381	Q9Z204
26512	18130	Q6PCM2
23016	66446	Q9D0M0
51008	69090	Q9D8Z1
3675	16400	Q62470
3675	16400	
84707	19716	Q9R224
23411	93759	Q923E4
23411	93759	
116541	66047	Q9CPW3
5411	18949	
26589	67308	Q9EQI8
10946	75062	Q9D554
6622	20617	O55042
22828	106583	Q6DID3
8943	11776	O54774
10189	100043247	
10189	100043227	
64963	67994	
5537	67857	Q9CQR6
5537	67857	
10775	66161	Q9CR08
10775	66161	
57805	219158	Q8VDP4
23097	78334	Q8BWD8
23097	78334	
10519	23991	Q9Z0F4
10519	23991	
8801	20917	
8801	20917	Q9Z2I8
6773	20847	
10285	76479	Q8BGT7
6228	66475	P62267
3178	15382	
3178	545091	
3178	15382	P49312
3178	545091	P49312
5516	19053	P62715
9701	71474	
23405	192119	
79228	386612	Q5U4D9
79228	386612	
55558	18846	P70208
5436	67710	P62488
4790	18033	P25799
4790	18033	
2091	14113	P35550
2091	102643269	P35550
10788	544963	Q3UQ44
2058	107508	Q8CGC7
2058	107508	
6142	76808	P62717
3609	16201	Q9Z1X4
3609	16201	
5460	18999	P20263
5460	18999	
23523	104248	
5683	19166	P49722
3298	15500	P38533
3069	110611	Q8VDJ3
3069	110611	
63915	17828	Q8R015
51434	56317	Q9WVM3
51434	56317	
8649	56692	O88653
8649	56692	
8649	NA	O88653
6829	20924	O55201
6167	67281	Q9D823
6167	100502825	Q9D823
11198	114741	
1003	12562	P55284
1794	94176	Q8C3J5
1794	94176	
79897	67676	
79897	67676	Q8R040
51497	57314	Q922L6
51497	57314	
1786	13433	
1786	13433	P13864
7155	21974	Q64511
7155	21974	
4792	18035	Q9Z1E3
23418	170788	Q8VHS2
23418	170788	
9282	26896	A2ABV5
9282	26896	
5970	19697	Q04207
4671	17951	
9630	14675	P30677
2107	225363	Q8BWY3
2107	225363	
58533	72183	Q6P8X1
26060	72993	Q8K3H0
50855	56513	
50855	56513	Q9Z101
10401	229615	O54714
10401	229615	
10254	56324	O88811
10254	56324	
6129	19989	P14148
6129	19989	
10466	238123	Q8C0L8
6657	20674	
8220	27886	
10010	21353	
10010	21353	P70347
5663	19164	P49769
3482	16004	Q07113
3482	16004	
84296	109145	Q99LZ3
3276	15469	
55752	52398	Q8C1B7
55752	52398	
9716	11834	Q8CFQ3
9716	11834	
5682	26440	Q9R1P4
55832	71902	Q6ZQ38
55832	71902	
8972	232714	
23585	71817	Q9CXL1
51264	94064	Q99N92
3066	15182	
124995	107732	Q3TBW2
124995	107732	
84790	22146	P68373
967	12512	P41731
30836	99480	Q8R2M2
8661	13669	P23116
11157	78651	P62313
55070	76375	
55070	76375	Q9D0A0
9015	21339	
55746	234865	Q8R0G9
2547	14375	
26121	68988	Q8CCF0
26121	68988	
5336	234779	Q8CIH5
10921	19826	Q99M28
63941	56846	Q9D6J4
63941	56846	
6218	20068	P63276
11137	103136	Q99LL5
11137	103136	
55690	107975	Q8K212
10523	27967	
2197	14109	
10892	240354	Q2TBA3
4637	17904	Q60605
23279	59015	Q9Z0W3
196	11622	
80223	75767	Q9D620
80223	75767	
2277	14205	P97946
23594	56452	
9045	67115	Q9CR57
5721	621823	P97372
5721	19188	P97372
5721	19188	
3685	16410	P43406
3685	16410	
3308	15525	
2113	23871	P27577
2113	23871	
64431	67019	
9775	668137	
9658	329003	Q7TSH3
154	11555	P18762
27243	68953	Q9DB34
7071	21847	O89091
51023	68735	Q8R2L5
51023	68735	
23032	170822	Q8R5K2
23032	170822	
63908	17957	P28663
63908	17957	
27316	19656	Q91VM5
27316	19655	Q9WV02
27316	19655	
5892	19364	
5892	19364	O55230
8165	11640	O08715
8165	11640	
6157	26451	P14115
6157	26451	
5708	21762	Q8VDM4
5708	21762	
91687	70454	Q3U3S3
91687	70454	
5604	26395	P31938
25929	216766	Q8BX17
25929	216766	
2812	14724	
2812	14724	P56400
6626	53607	Q62189
6626	53607	
5976	19704	Q9EPU0
2810	55948	O70456
10109	76709	
10109	76709	Q9CVB6
27443	330409	
9495	238276	
9495	238276	D3YVF0
7529	54401	Q9CQV8
7529	54401	
3661	54131	P70671
29894	94230	Q9EPU4
79801	20419	Q9Z179
8667	68135	Q91WK2
7329	22196	P63280
7329	102641751	P63280
7329	22196	
7329	102641751	
64981	94065	Q99N91
22913	19383	Q64012
22913	19383	
55823	71732	Q91W86
4193	17246	P23804
4193	17246	
64326	26374	
64326	26374	Q9R1A8
54892	76044	Q6DFV1
4609	17869	P01108
4609	17869	
83990	237911	Q5SXJ3
3727	16478	P15066
29105	14894	Q8BTU1
1874	104394	Q8R0K9
51263	107734	Q9D7N6
51263	107734	
3690	16416	O54890
5073	74108	
6432	225027	Q8BL97
1968	26905	Q9Z0N1
1968	26905	
10643	140488	Q9CPN8
57508	70422	Q80UK8
57508	70422	
2208	14128	P20693
23607	12488	Q9JLQ0
65993	79044	Q9JIK9
142689	70392	Q9D738
4670	76936	Q9D0E1
4670	76936	
10422	98766	Q8VDI7
10422	98766	
23450	101943	Q921M3
54460	66292	P58059
54460	66292	
51650	14548	Q9D2R8
51650	100041328	Q9D2R8
51650	14548	
51650	100041328	
9755	73174	
9755	73174	A2A9T0
153	11554	P34971
1407	12952	P97784
6667	20683	
6667	20683	O89090
4976	74143	P58281
4976	74143	
55090	192191	Q8VCS6
25962	66185	A2AIV2
25962	66185	
2494	26424	P45448
2494	26424	
10498	59035	Q9WVG6
10498	59035	
6204	67097	P63325
6204	67097	
8727	54366	O88327
8727	54366	
9551	57423	P56135
9551	57423	
4174	17218	
64928	68463	Q9D1I6
51649	64656	Q8VE22
51649	64656	
22938	66354	
7857	20254	
7857	20254	Q03517
5331	18797	P51432
10066	24044	Q9ERN0
5885	19357	Q61550
55749	67500	Q8CH18
332	11799	O70201
9439	70208	
6632	20641	P62315
5393	50911	
5393	50911	Q9JHI7
81620	67177	Q8R4E9
9820	66515	Q8VE73
9820	66515	
5378	227099	
8192	53895	O88696
8449	69192	
7068	21834	P37242
3912	16777	P02469
3912	16777	
57410	78891	Q9EQC5
126961	97114	P84228
55094	67471	Q9DBM1
55094	67471	
5277	18700	Q64323
5277	18700	
3692	16418	O55135
3692	16418	
51428	72935	Q91VN6
51013	66583	Q9DAA6
7414	22330	Q64727
28956	83409	Q9JHS3
28956	83409	
351	11820	P12023
26122	227867	Q8C0I4
26122	227867	
79869	269061	Q8BTV2
3993	217325	Q3TJ91
3993	217325	
7416	22333	Q60932
7416	22333	
27043	75273	Q9DBD5
27043	75273	
51586	94112	
10016	18570	P12815
6618	102209	Q91XA5
10845	270166	Q9JHS4
10845	270166	
1431	71832	
4808	18071	Q02576
80789	109077	
80789	109077	Q8CHT3
27335	73830	Q9DBZ5
7516	57434	Q9CX47
7516	57434	
5684	19167	O70435
5684	19167	
9212	20877	O70126
5747	14083	P34152
55596	70650	Q9CYA6
55596	70650	
10933	21761	P60762
10933	627352	P60762
10933	21761	
10933	627352	
1059	12616	P27790
103	56417	Q99MU3
10947	64933	Q8R2R9
4297	214162	P55200
4297	214162	
3185	98758	
3185	98758	Q9Z2X1
147841	67629	Q9D083
9700	105988	P60330
8487	66603	Q9CQQ4
4830	18102	P15532
4830	18102	
8813	13480	O70152
84876	109305	Q8BWG9
1024	264064	
1024	264064	Q8R3L8
54556	71777	Q8VEK6
54556	71777	
6154	19941	P61255
6154	19941	
3455	15976	O35664
3455	15976	
1163	54124	P61025
1163	54124	
1163	624855	
55814	544971	Q571C7
55814	544971	
9184	12237	Q9WVA3
5693	19173	O55234
140460	117589	
140460	117589	Q91ZU0
355	14102	P25446
355	14102	
3702	16428	
3702	16428	Q03526
196528	77044	
841	12370	O89110
841	12370	
2072	50505	Q9QZD4
2072	50505	
27175	103768	Q8VCK3
5283	110417	Q5M9N4
5707	70247	
5707	70247	Q3TXS7
6132	26961	P62918
91584	243743	Q80UG2
11007	240514	Q6PDY0
892	51813	
892	51813	Q62447
4616	17873	P22339
54386	57321	Q91VL8
1642	13194	Q3U1J4
23586	230073	Q6Q899
23586	230073	
57628	269109	
10579	57752	
154810	75723	Q9D4H4
154810	75723	
6159	19944	P47915
6159	666642	P47915
11338	22185	
11338	22185	P26369
354	16624	P07628
2273	14199	P97447
2273	14199	
22944	16588	Q8K339
10283	67285	Q3TKY6
10283	67285	
92609	66525	Q9D880
7251	22088	Q61187
7251	22088	
54205	NA	P62897
55681	213326	Q8CFE4
55681	213326	
6601	68094	Q6PDG5
6601	68094	
6850	20963	P48025
6850	20963	
9879	212880	Q569Z5
9879	212880	
1053	110794	Q6PZD9
51072	76890	Q91VH6
1876	50496	O54917
2057	13857	P14753
4791	18034	Q9WTK5
2934	227753	P13020
2934	227753	
2976	71752	Q8BL74
2976	71752	
5902	19385	P34022
5902	19385	
6231	NA	P62855
899	12449	P51944
7486	22427	O09053
7486	105242468	O09053
22837	319876	
22837	319876	Q3UMF0
5190	224824	Q99LC9
25804	50783	
1958	13653	P08046
4356	13384	
6877	226182	
28964	216963	Q68FF6
28964	216963	
4809	100862468	Q9D0T1
6867	320165	Q6Y685
6867	320165	
10073	66069	Q80W37
79711	75751	Q8VI75
79711	75751	
339302	225644	Q80WM3
6629	20639	Q9CQI7
6629	20639	
8450	72584	
8450	72584	A2A432
29893	19183	O35047
29893	19183	
1665	13204	O35286
1665	13204	
53981	51786	O35218
57045	65960	Q9EP52
140803	225997	Q8CIR4
25855	107392	Q99N20
8658	21951	Q6PFX9
5144	238871	Q01063
5144	238871	
1977	13684	P63073
1977	13684	
5883	19367	Q9Z0F6
9793	75786	
56915	27998	Q9CRA8
56915	27998	
7430	22350	P26040
87	109711	Q7TPR4
87	109711	
9810	233900	
9810	233900	Q3U319
5713	17463	P26516
8518	230233	Q7TT37
54948	94063	Q99N93
89941	214952	Q8JZN7
89941	214952	
10199	67973	Q810V0
10055	56459	Q9R1T2
1875	13559	Q61502
1875	13559	
2491	102920	Q8K1K4
2491	102920	
2353	14281	P01101
5201	67199	
55756	210925	
8772	14082	Q61160
6208	20044	P62264
6208	102634709	P62264
6208	20044	
6208	102634709	
51028	70160	Q91XD6
6643	67804	Q9CWK8
55840	106389	Q91ZD6
55840	106389	
2782	14688	P62874
2782	14688	
10128	72416	Q6PB66
10128	72416	
5520	71978	Q6P1F6
11140	12539	Q61081
6477	20437	P61092
9188	56200	Q9JIK5
23309	20467	Q62141
3956	16852	P16045
9133	12442	P30276
51373	66258	Q9CQE3
51373	66258	
8648	17977	P70365
25839	102339	
25839	102339	Q8R1U1
5884	19356	Q6NXW6
1861	30931	Q9ER39
7750	76007	Q9CU65
9521	66143	Q9D1M4
6839	20937	O54864
6839	20937	
10978	98985	Q99LI9
123169	235497	Q5XJE5
409	216869	
409	216869	Q91YI4
90390	69790	Q9CQI9
7411	22327	
7411	22327	P61759
23649	18969	P33611
23649	18969	
8417	53331	
3981	319583	Q8BTF7
6722	20807	Q9JM73
64780	171580	Q8VDP3
64780	171580	
9688	71805	Q8BJ71
8812	12454	
7048	21813	Q62312
84312	52592	Q3U1T3
10212	68278	Q8VDW0
10212	68278	
7756	22680	Q9JMD0
7756	22680	
10053	11768	
9493	71819	E9Q5G3
22870	243819	Q7TSI3
22870	243819	
516	11951	Q9CR84
5617	19111	O35257
5617	19111	
5617	18814	P04769
7150	21969	Q04750
11176	116848	
8669	100042807	Q66JS6
